the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
with the kid's help , he figures he can be known again , particularly at the biggest bowling tournament rapidly approaching in reno , nevada . 	with the kid's help , he figures he can be known again , particularly at the biggest bowling tournament rapidly approaching in reno , nevada .	1	-1	 with[0] the[0] kid's[0] help[0] he[0] figures[0] he[0] can[0] be[0] known[0] again[0] particularly[0] at[0] the[0] biggest[0] bowling[0] tournament[0] rapidly[0] approaching[0] in[0] reno[0] nevada[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , the amish kid needs some coaxing , particularly when you consider , well , he's amish . 	of course , the amish kid needs some coaxing , particularly when you consider , well , he's amish .	1	-1	 of[0] course[0] the[0] amish[0] kid[0] needs[0] some[0] coaxing[0] particularly[0] when[0] you[0] consider[0] well[0] he's[0] amish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this leads to some of the best comic scenes in the film , such as roy's process of removing horseshoes or milking the cow . 	this leads to some of the best comic scenes in the film , such as roy's process of removing horseshoes or milking the cow .	2	-1	 this[0] leads[0] to[0] some[0] of[0] the[0] best[1] comic[0] scenes[0] in[0] the[0] film[0] such[0] as[0] roy's[0] process[0] of[0] removing[0] horseshoes[0] or[0] milking[0] the[0] cow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , the duo get on the road and , along the way , pick up an additional helper- a beautiful hustler ( played by the gorgeous vanessa angel ) . 	finally , the duo get on the road and , along the way , pick up an additional helper- a beautiful hustler ( played by the gorgeous vanessa angel ) .	3	-2	 finally[0] the[0] duo[0] get[0] on[0] the[0] road[0] and[0] along[0] the[0] way[0] pick[0] up[0] an[0] additional[0] helper[0] a[0] beautiful[2] hustler[-1] played[0] by[0] the[0] gorgeous[2] vanessa[0] angel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the main problem i had with kingpin wasn't the fact it wasn't funny . 	the main problem i had with kingpin wasn't the fact it wasn't funny .	2	-2	 the[0] main[0] problem[-1] i[0] had[0] with[0] kingpin[0] wasn't[0] the[0] fact[0] it[0] wasn't[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , it does have some rather hilarious scenes in it , such as the aformentioned above and roy's explanation of not having children ( something involving a cheese grater ? ) . 	in fact , it does have some rather hilarious scenes in it , such as the aformentioned above and roy's explanation of not having children ( something involving a cheese grater ?<br> ) .	3	-1	 in[0] fact[0] it[0] does[0] have[0] some[0] rather[0] hilarious[2] scenes[0] in[0] it[0] such[0] as[0] the[0] aformentioned[0] above[0] and[0] roy's[0] explanation[0] of[0] not[0] having[0] children[0] something[0] involving[0] a[0] cheese[0] grater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but that's just it- scenes . 	but that's just it- scenes .	1	-1	 but[0] that's[0] just[0] it[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a couple of really serious scenes that throw off the entire momentum of the movie , like the abuse angel takes from her hustler ex-boyfriend . 	there's a couple of really serious scenes that throw off the entire momentum of the movie , like the abuse angel takes from her hustler ex-boyfriend .	2	-4	 there's[0] a[0] couple[0] of[0] really[0] serious[-1][-1 LastWordBoosterStrength] scenes[0] that[0] throw[0] off[0] the[0] entire[0] momentum[0] of[0] the[0] movie[0] like[1] the[0] abuse[-3] angel[0] takes[0] from[0] her[0] hustler[-1] ex[0] boyfriend[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i mean , was this really necessary ? 	i mean , was this really necessary ?	1	-1	 i[0] mean[0] was[0] this[0] really[0] necessary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
couldn't have this been handled just a bit wackier ? 	couldn't have this been handled just a bit wackier ?	1	-1	 couldn't[0] have[0] this[0] been[0] handled[0] just[0] a[0] bit[0] wackier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , this is a comedy , why throw ethics in ? 	i mean , this is a comedy , why throw ethics in ?	1	-1	 i[0] mean[0] this[0] is[0] a[0] comedy[0] why[0] throw[0] ethics[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
particularly in a farrelly brothers vehicle , where hair gel can be easily mistaken ? 	particularly in a farrelly brothers vehicle , where hair gel can be easily mistaken ?	1	-2	 particularly[0] in[0] a[0] farrelly[0] brothers[0] vehicle[0] where[0] hair[0] gel[0] can[0] be[0] easily[0] mistaken[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that really ruined it , however , and that's too bad . 	that really ruined it , however , and that's too bad .	1	-3	 that[0] really[0] ruined[-1][-1 LastWordBoosterStrength] it[0] however[0] and[0] that's[0] too[0] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting is top notch , especially from angel and murray , and the really funny scenes are worth noting . 	the acting is top notch , especially from angel and murray , and the really funny scenes are worth noting .	3	-1	 the[0] acting[0] is[0] top[0] notch[0] especially[0] from[0] angel[0] and[0] murray[0] and[0] the[0] really[0] funny[1][1 LastWordBoosterStrength] scenes[0] are[0] worth[0] noting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
still , if you're going to think dumb , think dumb all the way through , ok ? 	still , if you're going to think dumb , think dumb all the way through , ok ?	1	-2	 still[0] if[0] you're[0] going[0] to[0] think[0] dumb[-1] think[0] dumb[-1] all[0] the[0] way[0] through[0] ok[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least the farrelly brothers got back on track with mary or i'd still be a little bit irked . 	at least the farrelly brothers got back on track with mary or i'd still be a little bit irked .	1	-2	 at[0] least[0] the[0] farrelly[0] brothers[0] got[0] back[0] on[0] track[0] with[0] mary[0] or[0] i'd[0] still[0] be[0] a[0] little[0] bit[0] irked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
