hollywood never fails to astound me . 	Translation	Positive	Negative	EmotionRationale
it seems that satan ( gabriel byrne ) gets a shot at world domination only once every thousand years ( and here i thought he'd pulled it off with the republican landslide of '94 ) . 	it seems that satan ( gabriel byrne ) gets a shot at world domination only once every thousand years ( and here i thought he'd pulled it off with the republican landslide of '94 ) .	1	-3	 it[0] seems[0] that[0] satan[-2] gabriel[0] byrne[0] gets[0] a[0] shot[-1] at[0] world[0] domination[-1] only[0] once[0] every[0] thousand[0] years[0] and[0] here[0] i[0] thought[0] he'd[0] pulled[0] it[0] off[0] with[0] the[0] republican[0] landslide[0] of[0] '94[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if he has sex with 20-year old christine york ( robin tunney ) , " the chosen one , " their child will be the antichrist , or at least a brat . 	if he has sex with 20-year old christine york ( robin tunney ) , " the chosen one , " their child will be the antichrist , or at least a brat .	1	-2	 if[0] he[0] has[0] sex[0] with[0] 20[0] year[0] old[0] christine[0] york[0] robin[0] tunney[0] the[0] chosen[0] one[0] their[0] child[0] will[0] be[0] the[0] antichrist[0] or[0] at[0] least[0] a[0] brat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ah , but this deal has more catches than a new year's eve pass from a halfway house . 	ah , but this deal has more catches than a new year's eve pass from a halfway house .	1	-1	 ah[0] but[0] this[0] deal[0] has[0] more[0] catches[0] than[0] a[0] new[0] year's[0] eve[0] pass[0] from[0] a[0] halfway[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the unholy union must take place on december 31 , 1999 ( you see , 999 is just 666 turned upside down ) , but only between 11 p . m . and midnight ( no wonder this guy is so cranky ) . 	the unholy union must take place on december 31 , 199 ( you see , 99 is just 66 turned upside down ) , but only between 11 p .<br> m .<br> and midnight ( no wonder this guy is so cranky ) .	1	-2	 the[0] unholy[0] union[0] must[0] take[0] place[0] on[0] december[0] 31[0] 1999/199[0] you[0] see[0] 999/99[0] is[0] just[0] 666/66[0] turned[0] upside[0] down[0] but[0] only[0] between[0] 11[0] p[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] and[0] midnight[0] no[0] wonder[0] this[0] guy[0] is[0] so[0] cranky[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and if the chosen one is given refuge in a church , the devil won't know where she is , because he can't see into the sanctuary . 	and if the chosen one is given refuge in a church , the devil won't know where she is , because he can't see into the sanctuary .	1	-2	 and[0] if[0] the[0] chosen[0] one[0] is[0] given[0] refuge[0] in[0] a[0] church[0] the[0] devil[-1] won't[0] know[0] where[0] she[0] is[0] because[0] he[0] can't[0] see[0] into[0] the[0] sanctuary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you know , it's kind of like superman's x-ray vision and lead walls , only evil . 	you know , it's kind of like superman's x-ray vision and lead walls , only evil .	2	-3	 you[0] know[0] it's[0] kind[1] of[0] like[1] superman's[0] x[1] ray[0] vision[0] and[0] lead[0] walls[0] only[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a group of guerrilla catholic priests decide the best way to stop the situation is by killing the girl . 	a group of guerrilla catholic priests decide the best way to stop the situation is by killing the girl .	2	-2	 a[0] group[0] of[0] guerrilla[-1] catholic[0] priests[0] decide[0] the[0] best[1] way[0] to[0] stop[0] the[0] situation[0] is[0] by[0] killing[-1] the[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
arnold chooses to save the girl and kick the hell out of satan , if you'll pardon the expression . 	arnold chooses to save the girl and kick the hell out of satan , if you'll pardon the expression .	2	-3	 arnold[0] chooses[0] to[0] save[1] the[0] girl[0] and[0] kick[-1] the[0] hell[-1] out[0] of[0] satan[-2] if[0] you'll[0] pardon[0] the[0] expression[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and kevin meets up with an exploding van and has to make some decisions of his own . 	and kevin meets up with an exploding van and has to make some decisions of his own .	1	-1	 and[0] kevin[0] meets[0] up[0] with[0] an[0] exploding[0] van[0] and[0] has[0] to[0] make[0] some[0] decisions[0] of[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , the anguish ! 	oh , the anguish !	1	-4	 oh[0] the[0] anguish[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oh , the humanity ! 	oh , the humanity !	1	-1	 oh[0] the[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , the writing ! 	oh , the writing !	1	-1	 oh[0] the[0] writing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andrew w . marlowe's screenplay ladles implausibility upon implausibility , from the preposterous otherworldly histrionics to his handling of jericho cane , schwarzenegger's character . 	andrew w .<br> marlowe's screenplay ladles implausibility upon implausibility , from the preposterous otherworldly histrionics to his handling of jericho cane , schwarzenegger's character .	1	-2	 andrew[0] w[0] [[Sentence=-1,1=word max, 1-5]] marlowe's[0] screenplay[0] ladles[0] implausibility[0] upon[0] implausibility[0] from[0] the[0] preposterous[-1] otherworldly[0] histrionics[0] to[0] his[0] handling[0] of[0] jericho[0] cane[0] schwarzenegger's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cane starts the film a la mel gibson in the first " lethal weapon , " preparing to put a gun in his mouth due to ongoing despondence over the murder of his wife and daughter . 	cane starts the film a la mel gibson in the first " lethal weapon , " preparing to put a gun in his mouth due to ongoing despondence over the murder of his wife and daughter .	1	-4	 cane[0] starts[0] the[0] film[0] a[0] la[0] mel[0] gibson[0] in[0] the[0] first[0] lethal[0] weapon[-1] preparing[0] to[0] put[0] a[0] gun[-1] in[0] his[0] mouth[0] due[0] to[0] ongoing[0] despondence[0] over[0] the[0] murder[-3] of[0] his[0] wife[0] and[0] daughter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
twenty minutes later , he's racing through the bowels of new york city , deciphering clues that sherlock holmes and kreskin would find baffling . 	twenty minutes later , he's racing through the bowels of new york city , deciphering clues that sherlock holmes and kreskin would find baffling .	1	-1	 twenty[0] minutes[0] later[0] he's[0] racing[0] through[0] the[0] bowels[0] of[0] new[0] york[0] city[0] deciphering[0] clues[0] that[0] sherlock[0] holmes[0] and[0] kreskin[0] would[0] find[0] baffling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when cane meets up with christine york , he instantly switches to terminator father figure mode , with the young woman serving as surrogate daughter . 	when cane meets up with christine york , he instantly switches to terminator father figure mode , with the young woman serving as surrogate daughter .	1	-1	 when[0] cane[0] meets[0] up[0] with[0] christine[0] york[0] he[0] instantly[0] switches[0] to[0] terminator[0] father[0] figure[0] mode[0] with[0] the[0] young[0] woman[0] serving[0] as[0] surrogate[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in case anyone misses the connection , the camera comes in for a close up of christine's music box , which just happens to be identical to one owned by cane's daughter . 	in case anyone misses the connection , the camera comes in for a close up of christine's music box , which just happens to be identical to one owned by cane's daughter .	1	-3	 in[0] case[0] anyone[0] misses[-2] the[0] connection[0] the[0] camera[0] comes[0] in[0] for[0] a[0] close[0] up[0] of[0] christine's[0] music[0] box[0] which[0] just[0] happens[0] to[0] be[0] identical[0] to[0] one[0] owned[0] by[0] cane's[0] daughter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
subtle , marlowe , subtle . 	subtle , marlowe , subtle .	1	-1	 subtle[0] marlowe[0] subtle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
speaking of cameras , director peter hyams is just the man to take marlowe's script and make it even more self-important , murky and annoying . 	speaking of cameras , director peter hyams is just the man to take marlowe's script and make it even more self-important , murky and annoying .	1	-3	 speaking[0] of[0] cameras[0] director[0] peter[0] hyams[0] is[0] just[0] the[0] man[0] to[0] take[0] marlowe's[0] script[0] and[0] make[0] it[0] even[0] more[0] self[0] important[0] murky[-1] and[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hyams' direction shows all the subtlety of a gwar video , with cane running a gauntlet of ridiculous action set pieces , punctuated with loads of big explosions . 	hyams' direction shows all the subtlety of a gwar video , with cane running a gauntlet of ridiculous action set pieces , punctuated with loads of big explosions .	1	-3	 hyams'[0] direction[0] shows[0] all[0] the[0] subtlety[0] of[0] a[0] gwar[0] video[0] with[0] cane[0] running[0] a[0] gauntlet[0] of[0] ridiculous[-2] action[0] set[0] pieces[0] punctuated[0] with[0] loads[0] of[0] big[0] explosions[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eager to satisfy arnold's core audience , he even throws in a few pairs of breasts as well . 	eager to satisfy arnold's core audience , he even throws in a few pairs of breasts as well .	2	-1	 eager[0] to[0] satisfy[1] arnold's[0] core[0] audience[0] he[0] even[0] throws[0] in[0] a[0] few[0] pairs[0] of[0] breasts[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what a guy . 	what a guy .	1	-1	 what[0] a[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
had the film delivered some decent scares , or even maintained a consistently ominous tone , the bombastic clich ? s might have been tolerable , but " end of days " is simply a flaccid special effects show . 	had the film delivered some decent scares , or even maintained a consistently ominous tone , the bombastic clich ?<br> s might have been tolerable , but " end of days " is simply a flaccid special effects show .	2	-4	 had[0] the[0] film[0] delivered[0] some[0] decent[0] scares[-3] or[0] even[0] maintained[0] a[0] consistently[0] ominous[-2] tone[0] the[0] bombastic[-1] clich[0] [[Sentence=-4,1=word max, 1-5]] s[0] might[0] have[0] been[0] tolerable[0] but[0] end[0] of[0] days[0] is[0] simply[0] a[0] flaccid[0] special[1] effects[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
the cast is just as ineffective . 	the cast is just as ineffective .	1	-2	 the[0] cast[0] is[0] just[0] as[0] ineffective[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his early scenes , gabriel byrne attempts to invest beelzebub with some panache , but he all too soon turns into just another standard issue monster . 	in his early scenes , gabriel byrne attempts to invest beelzebub with some panache , but he all too soon turns into just another standard issue monster .	1	-2	 in[0] his[0] early[0] scenes[0] gabriel[0] byrne[0] attempts[0] to[0] invest[0] beelzebub[0] with[0] some[0] panache[0] but[0] he[0] all[0] too[0] soon[0] turns[0] into[0] just[0] another[0] standard[0] issue[0] monster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin pollak comes and goes quickly , robin tunney comes off like a bargain basement winona ryder and as for arnold , well ? he's a better actor than casper van dien . 	kevin pollak comes and goes quickly , robin tunney comes off like a bargain basement winona ryder and as for arnold , well ?<br> he's a better actor than casper van dien .	2	-1	 kevin[0] pollak[0] comes[0] and[0] goes[0] quickly[0] robin[0] tunney[0] comes[0] off[0] like[1] a[0] bargain[0] basement[0] winona[0] ryder[0] and[0] as[0] for[0] arnold[0] well[0] [[Sentence=-1,2=word max, 1-5]] he's[0] a[0] better[0] actor[0] than[0] casper[0] van[0] dien[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
that should count for something . 	that should count for something .	1	-1	 that[0] should[0] count[0] for[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
way back in the aftermath " the exorcist " and " the omen , " supernatural swill like " end of days " might have passed muster as a b-movie . 	way back in the aftermath " the exorcist " and " the omen , " supernatural swill like " end of days " might have passed muster as a b-movie .	2	-1	 way[0] back[0] in[0] the[0] aftermath[0] the[0] exorcist[0] and[0] the[0] omen[0] supernatural[0] swill[0] like[1] end[0] of[0] days[0] might[0] have[0] passed[0] muster[0] as[0] a[0] b[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that was then and this is now . 	but that was then and this is now .	1	-1	 but[0] that[0] was[0] then[0] and[0] this[0] is[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the x-files " and " buffy the vampire slayer " deliver real scares on a weekly basis and , if we want to see the devil , all we have to do is flip on " the 700 club " and take a gander at pat robertson's grinning maw . 	 " the x-files " and " buffy the vampire slayer " deliver real scares on a weekly basis and , if we want to see the devil , all we have to do is flip on " the 700 club " and take a gander at pat robertson's grinning maw .	2	-4	 the[0] x[1] files[0] and[0] buffy[0] the[0] vampire[0] slayer[-1] deliver[0] real[0] scares[-3] on[0] a[0] weekly[0] basis[0] and[0] if[0] we[0] want[0] to[0] see[0] the[0] devil[-1] all[0] we[0] have[0] to[0] do[0] is[0] flip[0] on[0] the[0] 700[0] club[0] and[0] take[0] a[0] gander[0] at[0] pat[0] robertson's[0] grinning[1] maw[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after enduring " end of days , " all i can say is " get thee behind me , satan . 	after enduring " end of days , " all i can say is " get thee behind me , satan .	1	-3	 after[0] enduring[0] end[0] of[0] days[0] all[0] i[0] can[0] say[0] is[0] get[0] thee[0] behind[0] me[0] satan[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and while you're at it , get thee a better agent as well . " 	and while you're at it , get thee a better agent as well .<br> "	1	-1	 and[0] while[0] you're[0] at[0] it[0] get[0] thee[0] a[0] better[0] agent[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
