in the mid-1980s , following the splendid debut in hugh hudson's greystoke and relative success of first highlander film , it looked like christopher lambert's acting career might go somewhere . 	Translation	Positive	Negative	EmotionRationale
jake survives many ordeals and earns respect of some inmates which would help him when he begins planing the escape . 	jake survives many ordeals and earns respect of some inmates which would help him when he begins planing the escape .	3	-3	 jake[0] survives[0] many[0] ordeals[-2] and[0] earns[0] respect[2] of[0] some[0] inmates[0] which[0] would[0] help[0] him[0] when[0] he[0] begins[0] planing[0] the[0] escape[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
such escape should become necessity , because the warden poe ( kurtwood smith ) begins showing unhealthy interest in karen . 	such escape should become necessity , because the warden poe ( kurtwood smith ) begins showing unhealthy interest in karen .	2	-2	 such[0] escape[0] should[0] become[0] necessity[0] because[0] the[0] warden[0] poe[0] kurtwood[0] smith[0] begins[0] showing[0] unhealthy[-1] interest[1] in[0] karen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after rather intriguing beginning and some interesting special effects that depict the futuristic settings of prison , this film soon starts sinking into mediocrity . 	after rather intriguing beginning and some interesting special effects that depict the futuristic settings of prison , this film soon starts sinking into mediocrity .	2	-2	 after[0] rather[0] intriguing[0] beginning[0] and[0] some[0] interesting[1][-1 LastWordBoosterStrength] special[1] effects[0] that[0] depict[0] the[0] futuristic[0] settings[0] of[0] prison[-1] this[0] film[0] soon[0] starts[0] sinking[0] into[0] mediocrity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the reason is in the screenplay that quickly degenerates into whole series of prison movie clich ? s and situations that are painfully predictable . 	the reason is in the screenplay that quickly degenerates into whole series of prison movie clich ?<br> s and situations that are painfully predictable .	1	-4	 the[0] reason[0] is[0] in[0] the[0] screenplay[0] that[0] quickly[0] degenerates[-1] into[0] whole[0] series[0] of[0] prison[-1] movie[0] clich[0] [[Sentence=-2,1=word max, 1-5]] s[0] and[0] situations[0] that[0] are[0] painfully[-3] predictable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by the time brennick begins his escape from fortress , those situations not only begin to look predictable , but utterly implausible too . 	by the time brennick begins his escape from fortress , those situations not only begin to look predictable , but utterly implausible too .	1	-1	 by[0] the[0] time[0] brennick[0] begins[0] his[0] escape[0] from[0] fortress[0] those[0] situations[0] not[0] only[0] begin[0] to[0] look[0] predictable[0] but[0] utterly[0] implausible[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , film never tried to explain why the country that lacks resources to support its present population happens to spend bucketloads of money on ultra-expensive supertechnology with sole intention of keeping alive most useless and dangerous members of the society . 	of course , film never tried to explain why the country that lacks resources to support its present population happens to spend bucketloads of money on ultra-expensive supertechnology with sole intention of keeping alive most useless and dangerous members of the society .	2	-3	 of[0] course[0] film[0] never[0] tried[0] to[0] explain[0] why[0] the[0] country[0] that[0] lacks[0] resources[0] to[0] support[1] its[0] present[0] population[0] happens[0] to[0] spend[0] bucketloads[0] of[0] money[0] on[0] ultra[0] expensive[-1] supertechnology[0] with[0] sole[0] intention[0] of[0] keeping[0] alive[0] most[0] useless[-2] and[0] dangerous[-1] members[0] of[0] the[0] society[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the initially interesting plot is done even more wrong by stereotyped characters , played by not too interested or talented actors . 	the initially interesting plot is done even more wrong by stereotyped characters , played by not too interested or talented actors .	2	-2	 the[0] initially[0] interesting[1] plot[0] is[0] done[0] even[0] more[0] wrong[-1] by[0] stereotyped[0] characters[0] played[0] by[0] not[0] too[0] interested[1][NegatedDueToPreviousWord] or[0] talented[1] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lori laughlin , although physically attractive , shows the acting ability of sequoia . 	lori laughlin , although physically attractive , shows the acting ability of sequoia .	2	-1	 lori[0] laughlin[1] although[0] physically[0] attractive[1] shows[0] the[0] acting[0] ability[0] of[0] sequoia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kurtwood smith as prison warden is rather uninspired , capable of solid , yet forgettable performance . 	kurtwood smith as prison warden is rather uninspired , capable of solid , yet forgettable performance .	1	-2	 kurtwood[0] smith[0] as[0] prison[-1] warden[0] is[0] rather[0] uninspired[0] capable[0] of[0] solid[0] yet[0] forgettable[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lambert's performance is also good , but even the bigger talent couldn't help this film , destined to end in oblivion . 	lambert's performance is also good , but even the bigger talent couldn't help this film , destined to end in oblivion .	2	-1	 lambert's[0] performance[0] is[0] also[0] good[1] but[0] even[0] the[0] bigger[0] talent[1] couldn't[0] help[0] this[0] film[0] destined[0] to[0] end[0] in[0] oblivion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
