a disappointing biography about the homosexual relationship of two famous 19th century french poets . 	Translation	Positive	Negative	EmotionRationale
once there , rimbaud is disappointed in the bourgeoisie household , has an immediate conflict with verlaine's busty 18-year-old wife mathilde ( romane ) , and finds to his regret that the drunken verlaine loves his rich wife for her body and that he lives off her family's money , even though he has nothing else in common with her . 	once there , rimbaud is disappointed in the bourgeoisie household , has an immediate conflict with verlaine's busty 18-year-old wife mathilde ( romane ) , and finds to his regret that the drunken verlaine loves his rich wife for her body and that he lives off her family's money , even though he has nothing else in common with her .	3	-2	 once[0] there[0] rimbaud[0] is[0] disappointed[-1] in[0] the[0] bourgeoisie[0] household[0] has[0] an[0] immediate[0] conflict[-1] with[0] verlaine's[0] busty[0] 18[0] year[0] old[0] wife[0] mathilde[0] romane[0] and[0] finds[0] to[0] his[0] regret[-1] that[0] the[0] drunken[-1] verlaine[0] loves[2] his[0] rich[0] wife[0] for[0] her[0] body[0] and[0] that[0] he[0] lives[0] off[0] her[0] family's[0] money[0] even[0] though[0] he[0] has[0] nothing[0] else[0] in[0] common[0] with[0] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when verlaine states , " poets can learn from one another , " rimbaud replies in a haughty tone , " only if they're bad poets . " 	when verlaine states , " poets can learn from one another , " rimbaud replies in a haughty tone , " only if they're bad poets .<br> "	1	-2	 when[0] verlaine[0] states[0] poets[0] can[0] learn[0] from[0] one[0] another[0] rimbaud[0] replies[0] in[0] a[0] haughty[-1] tone[0] only[0] if[0] they're[0] bad[-1] poets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he will continue to treat the older poet like dirt for the rest of their relationship . 	he will continue to treat the older poet like dirt for the rest of their relationship .	2	-2	 he[0] will[0] continue[0] to[0] treat[1] the[0] older[0] poet[0] like[1] dirt[-1] for[0] the[0] rest[0] of[0] their[0] relationship[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
verlaine proves to be weak-willed , beating his wife regularly , and plays just as despicable a character as rimbaud . 	verlaine proves to be weak-willed , beating his wife regularly , and plays just as despicable a character as rimbaud .	2	-4	 verlaine[0] proves[0] to[0] be[0] weak[-1] willed[0] beating[0] his[0] wife[0] regularly[0] and[0] plays[1] just[0] as[0] despicable[-3] a[0] character[0] as[0] rimbaud[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when mathilde's father kicks rimbaud out of the house , verlaine finds him in a rooming house and the two become lovers . 	when mathilde's father kicks rimbaud out of the house , verlaine finds him in a rooming house and the two become lovers .	4	-2	 when[0] mathilde's[0] father[0] kicks[-1] rimbaud[0] out[0] of[0] the[0] house[0] verlaine[0] finds[0] him[0] in[0] a[0] rooming[0] house[0] and[0] the[0] two[0] become[0] lovers[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's a real downer to watch this story unfold into a series of obnoxious behavior patterns on the part of the two poets , which leads them to traveling together and mathilde asking for a divorce . 	it's a real downer to watch this story unfold into a series of obnoxious behavior patterns on the part of the two poets , which leads them to traveling together and mathilde asking for a divorce .	1	-3	 it's[0] a[0] real[0] downer[0] to[0] watch[0] this[0] story[0] unfold[0] into[0] a[0] series[0] of[0] obnoxious[-2] behavior[0] patterns[0] on[0] the[0] part[0] of[0] the[0] two[0] poets[0] which[0] leads[0] them[0] to[0] traveling[0] together[0] and[0] mathilde[0] asking[0] for[0] a[0] divorce[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in brussels , verlaine gets arrested for sodomy and spends two years in jail . 	in brussels , verlaine gets arrested for sodomy and spends two years in jail .	1	-2	 in[0] brussels[0] verlaine[0] gets[0] arrested[0] for[0] sodomy[0] and[0] spends[0] two[0] years[0] in[0] jail[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while rimbaud becomes angered at the literary world and never writes another poem after he becomes 19 . 	while rimbaud becomes angered at the literary world and never writes another poem after he becomes 19 .	1	-4	 while[0] rimbaud[0] becomes[0] angered[-3] at[0] the[0] literary[0] world[0] and[0] never[0] writes[0] another[0] poem[0] after[0] he[0] becomes[0] 19[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he instead goes to north africa and becomes an adventurer and a gun-runner , and after ten years there , comes home with a tumor on his knee and dies a changed man at the age of 37 . 	he instead goes to north africa and becomes an adventurer and a gun-runner , and after ten years there , comes home with a tumor on his knee and dies a changed man at the age of 37 .	1	-2	 he[0] instead[0] goes[0] to[0] north[0] africa[0] and[0] becomes[0] an[0] adventurer[0] and[0] a[0] gun[-1] runner[0] and[0] after[0] ten[0] years[0] there[0] comes[0] home[0] with[0] a[0] tumor[0] on[0] his[0] knee[0] and[0] dies[0] a[0] changed[0] man[0] at[0] the[0] age[0] of[0] 37[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hopeless relationship between the two is what the picture covers in detail and that was not very satisfying . 	the hopeless relationship between the two is what the picture covers in detail and that was not very satisfying .	1	-4	 the[0] hopeless[-3] relationship[0] between[0] the[0] two[0] is[0] what[0] the[0] picture[0] covers[0] in[0] detail[0] and[0] that[0] was[0] not[0] very[0] satisfying[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film ends on a whimper . . . with 	the film ends on a whimper .<br> .<br> .<br> with	1	-2	 the[0] film[0] ends[0] on[0] a[0] whimper[-1] [[Sentence=-2,1=word max, 1-5]] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
verlaine talking with rimbaud's sister about her brother and the poems of his he still possesses , which the sister wants destroyed so as not to embarrass the family or ruin the name of her deceased brother if published . 	verlaine talking with rimbaud's sister about her brother and the poems of his he still possesses , which the sister wants destroyed so as not to embarrass the family or ruin the name of her deceased brother if published .	3	-3	 verlaine[0] talking[0] with[0] rimbaud's[0] sister[0] about[0] her[0] brother[0] and[0] the[0] poems[0] of[0] his[0] he[0] still[0] possesses[0] which[0] the[0] sister[0] wants[0] destroyed[-2] so[0] as[0] not[0] to[0] embarrass[-2][NegatedDueToPreviousWord] the[0] family[0] or[0] ruin[-1] the[0] name[0] of[0] her[0] deceased[0] brother[0] if[0] published[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this film was especially annoying because rimbaud's poems are filled with a visionary tenseness that are not even approached in this film , as the film only manages to skim the surface of the lives of these poets and completely ignores the value of their poetry . 	this film was especially annoying because rimbaud's poems are filled with a visionary tenseness that are not even approached in this film , as the film only manages to skim the surface of the lives of these poets and completely ignores the value of their poetry .	2	-4	 this[0] film[0] was[0] especially[0] annoying[-2][-1 LastWordBoosterStrength] because[0] rimbaud's[0] poems[0] are[0] filled[0] with[0] a[0] visionary[0] tenseness[-2] that[0] are[0] not[0] even[0] approached[0] in[0] this[0] film[0] as[0] the[0] film[0] only[0] manages[0] to[0] skim[0] the[0] surface[0] of[0] the[0] lives[0] of[0] these[0] poets[0] and[0] completely[0] ignores[0] the[0] value[1] of[0] their[0] poetry[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i have no idea what the filmmaker was trying to say in this film , but whatever it was , it just didn't work . 	i have no idea what the filmmaker was trying to say in this film , but whatever it was , it just didn't work .	1	-1	 i[0] have[0] no[0] idea[0] what[0] the[0] filmmaker[0] was[0] trying[0] to[0] say[0] in[0] this[0] film[0] but[0] whatever[0] it[0] was[0] it[0] just[0] didn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it certainly didn't bring any light into understanding what rimbaud meant to modern poetry and why he earned the reputation as the so-called father of modern poetry . 	it certainly didn't bring any light into understanding what rimbaud meant to modern poetry and why he earned the reputation as the so-called father of modern poetry .	1	-1	 it[0] certainly[0] didn't[0] bring[0] any[0] light[0] into[0] understanding[0] what[0] rimbaud[0] meant[0] to[0] modern[0] poetry[0] and[0] why[0] he[0] earned[0] the[0] reputation[0] as[0] the[0] so[0] called[0] father[0] of[0] modern[0] poetry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
