 " knock off " is exactly that : a cheap knock off of an action movie . 	Translation	Positive	Negative	EmotionRationale
 " army of darkness " , one of his best movies , features some of the most inventive camera work i have ever seen , but raimi never lets the special effects get in the way of story . 	 " army of darkness " , one of his best movies , features some of the most inventive camera work i have ever seen , but raimi never lets the special effects get in the way of story .	2	-1	 army[0] of[0] darkness[0] one[0] of[0] his[0] best[1] movies[0] features[0] some[0] of[0] the[0] most[0] inventive[0] camera[0] work[0] i[0] have[0] ever[0] seen[0] but[0] raimi[0] never[0] lets[0] the[0] special[1] effects[0] get[0] in[0] the[0] way[0] of[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's a concept that tsui can't seem to grasp . 	that's a concept that tsui can't seem to grasp .	1	-1	 that's[0] a[0] concept[0] that[0] tsui[0] can't[0] seem[0] to[0] grasp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects and outrageous camera angles * rule * " knock off " to the point where the audience doesn't have a clue as to what's happening any more . 	the special effects and outrageous camera angles * rule * " knock off " to the point where the audience doesn't have a clue as to what's happening any more .	2	-3	 the[0] special[1] effects[0] and[0] outrageous[-2] camera[0] angles[0] rule[0] knock[0] off[0] to[0] the[0] point[0] where[0] the[0] audience[0] doesn't[0] have[0] a[0] clue[0] as[0] to[0] what's[0] happening[0] any[0] more[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
another problem with the film is that it looks cheap . 	another problem with the film is that it looks cheap .	1	-2	 another[0] problem[-1] with[0] the[0] film[0] is[0] that[0] it[0] looks[0] cheap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film stock used is of such low caliber that i thought i was watching one of those chinese films shown really late at night . 	the film stock used is of such low caliber that i thought i was watching one of those chinese films shown really late at night .	1	-2	 the[0] film[0] stock[0] used[0] is[0] of[0] such[0] low[-1] caliber[0] that[0] i[0] thought[0] i[0] was[0] watching[0] one[0] of[0] those[0] chinese[0] films[0] shown[0] really[0] late[0] at[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and for some inexplicable reason , everyone's voice seems to have been dubbed . 	and for some inexplicable reason , everyone's voice seems to have been dubbed .	1	-1	 and[0] for[0] some[0] inexplicable[-1][--1 LastWordBoosterStrength] reason[0] everyone's[0] voice[0] seems[0] to[0] have[0] been[0] dubbed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the stars . 	even the stars .	1	-1	 even[0] the[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and even the special effects , seemingly the only aspect of the film the director actually cared about , are inconsistent . 	and even the special effects , seemingly the only aspect of the film the director actually cared about , are inconsistent .	2	-2	 and[0] even[0] the[0] special[1] effects[0] seemingly[0] the[0] only[0] aspect[0] of[0] the[0] film[0] the[0] director[0] actually[0] cared[1] about[0] are[0] inconsistent[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for example , there is a scene in which van damme drives a car out of a window . 	for example , there is a scene in which van dame drives a car out of a window .	1	-1	 for[0] example[0] there[0] is[0] a[0] scene[0] in[0] which[0] van[0] damme/dame[0] drives[0] a[0] car[0] out[0] of[0] a[0] window[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the car slams into the ground , and the left wheel is completely destroyed . 	the car slams into the ground , and the left wheel is completely destroyed .	1	-4	 the[0] car[0] slams[-1] into[0] the[0] ground[0] and[0] the[0] left[0] wheel[0] is[0] completely[0] destroyed[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
seconds later , the car drives off at full speed . 	seconds later , the car drives off at full speed .	1	-1	 seconds[0] later[0] the[0] car[0] drives[0] off[0] at[0] full[0] speed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , i have no problem suspending my disbelief in an action movie , but a line must be drawn somewhere . 	hey , i have no problem suspending my disbelief in an action movie , but a line must be drawn somewhere .	2	-2	 hey[1] i[0] have[0] no[0] problem[-1] suspending[0] my[0] disbelief[-1] in[0] an[0] action[0] movie[0] but[0] a[0] line[0] must[0] be[0] drawn[0] somewhere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , the acting . 	finally , the acting .	1	-1	 finally[0] the[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nobody gives a good performance in this film . 	nobody gives a good performance in this film .	2	-1	 nobody[0] gives[0] a[0] good[1] performance[0] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
van damme , an actor i usually like , is way off the mark playing " everyman " . 	van dame , an actor i usually like , is way off the mark playing " everyman " .	2	-1	 van[0] damme/dame[0] an[0] actor[0] i[0] usually[0] like[1] is[0] way[0] off[0] the[0] mark[0] playing[1] everyman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and schneider , here to provide comic relief i assume , is totally unfunny and over acts his way through every scene . 	and schneider , here to provide comic relief i assume , is totally unfunny and over acts his way through every scene .	2	-1	 and[0] schneider[0] here[0] to[0] provide[0] comic[0] relief[1] i[0] assume[0] is[0] totally[0] unfunny[0] and[0] over[0] acts[0] his[0] way[0] through[0] every[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the usually solid paul sorvino gives a terribly over-the-top performance as . . . 	even the usually solid paul sorvino gives a terribly over-the-top performance as .<br> .<br> .	1	-4	 even[0] the[0] usually[0] solid[0] paul[0] sorvino[0] gives[0] a[0] terribly[-3] over[0] the[0] top[0] performance[0] as[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once again , i have no idea who he was supposed to be . 	once again , i have no idea who he was supposed to be .	1	-1	 once[0] again[0] i[0] have[0] no[0] idea[0] who[0] he[0] was[0] supposed[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in case i haven't yet made it clear enough , " knock off " is the worst movie of van damme's career and possibly the worst movie of the decade . 	in case i haven't yet made it clear enough , " knock off " is the worst movie of van damme's career and possibly the worst movie of the decade .	1	-3	 in[0] case[0] i[0] haven't[0] yet[0] made[0] it[0] clear[0] enough[0] knock[0] off[0] is[0] the[0] worst[-2] movie[0] of[0] van[0] damme's[0] career[0] and[0] possibly[0] the[0] worst[-2] movie[0] of[0] the[0] decade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and it's not even one of those movies that's so bad it's funny . 	and it's not even one of those movies that's so bad it's funny .	2	-2	 and[0] it's[0] not[0] even[0] one[0] of[0] those[0] movies[0] that's[0] so[0] bad[-1] it's[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's too inept to be funny . 	it's too inept to be funny .	2	-1	 it's[0] too[0] inept[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are no redeeming factors in " knock off " and i seriously hope that every print of this film is burned to a crisp and that somehow my memory of watching the film can be erased . 	there are no redeeming factors in " knock off " and i seriously hope that every print of this film is burned to a crisp and that somehow my memory of watching the film can be erased .	3	-2	 there[0] are[0] no[0] redeeming[0] factors[0] in[0] knock[0] off[0] and[0] i[0] seriously[0] hope[2] that[0] every[0] print[0] of[0] this[0] film[0] is[0] burned[-1] to[0] a[0] crisp[0] and[0] that[0] somehow[0] my[0] memory[0] of[0] watching[0] the[0] film[0] can[0] be[0] erased[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
