michael richards leaves his spot as kramer on the infamous seinfeld tv sitcom for a stint as a lanky , goofy best friend to jeff daniels' lawyer character in this ill-fated , and unfunny , " comedy " . 	Translation	Positive	Negative	EmotionRationale
the movie attempts to weave a couple of love stories through its vision , but unfortunately , they are also lacking in conviction , believability and credibility . 	the movie attempts to weave a couple of love stories through its vision , but unfortunately , they are also lacking in conviction , believability and credibility .	3	-2	 the[0] movie[0] attempts[0] to[0] weave[0] a[0] couple[0] of[0] love[2] stories[0] through[0] its[0] vision[0] but[0] unfortunately[-1] they[0] are[0] also[0] lacking[0] in[0] conviction[-1] believability[0] and[0] credibility[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they are contrived and appear to be placed into the story for convenience sake . 	they are contrived and appear to be placed into the story for convenience sake .	1	-1	 they[0] are[0] contrived[0] and[0] appear[0] to[0] be[0] placed[0] into[0] the[0] story[0] for[0] convenience[0] sake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors were all adequate enough in their roles , but the problem didn't lie in the acting . 	the actors were all adequate enough in their roles , but the problem didn't lie in the acting .	1	-2	 the[0] actors[0] were[0] all[0] adequate[0] enough[0] in[0] their[0] roles[0] but[0] the[0] problem[-1] didn't[0] lie[0] in[0] the[0] acting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wish i could find one good reason for you to see this waste of time , but i can't . 	i wish i could find one good reason for you to see this waste of time , but i can't .	2	-2	 i[0] wish[0] i[0] could[0] find[0] one[0] good[1] reason[0] for[0] you[0] to[0] see[0] this[0] waste[-1] of[0] time[0] but[0] i[0] can't[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unless of course , you need something playing on your tv set while you waste some time around the house . 	unless of course , you need something playing on your tv set while you waste some time around the house .	2	-2	 unless[0] of[0] course[0] you[0] need[0] something[0] playing[1] on[0] your[0] tv[0] set[0] while[0] you[0] waste[-1] some[0] time[0] around[0] the[0] house[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
overall , this movie stinks . 	overall , this movie stinks .	1	-3	 overall[0] this[0] movie[0] stinks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the good side , charlize theron is darn cute , and the movie is no longer then 90 minutes . 	on the good side , charlize theron is darn cute , and the movie is no longer then 90 minutes .	2	-2	 on[0] the[0] good[1] side[0] charlize[0] theron[0] is[0] darn[-1] cute[1] and[0] the[0] movie[0] is[0] no[0] longer[0] then[0] 90[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the bad side , this movie is not funny , interesting or enjoyable in any which way possible . 	on the bad side , this movie is not funny , interesting or enjoyable in any which way possible .	3	-2	 on[0] the[0] bad[-1] side[0] this[0] movie[0] is[0] not[0] funny[1][NegatedDueToPreviousWord] interesting[1][NegatedDueToPreviousWord] or[0] enjoyable[2] in[0] any[0] which[0] way[0] possible[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a person wouldn't even enjoy his nachos while watching this emptiness . 	a person wouldn't even enjoy his nachos while watching this emptiness .	1	-3	 a[0] person[0] wouldn't[0] even[0] enjoy[2][NegatedDueToPreviousWord] his[0] nachos[0] while[0] watching[0] this[0] emptiness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
please skip it . 	please skip it .	2	-1	 please[1] skip[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little known facts : jonathan lynn earned a degree in law from cambridge before becoming an actor/director . 	little known facts : jonathan lyn earned a degree in law from cambridge before becoming an actor/director .	1	-1	 little[0] known[0] facts[0] jonathan[0] lynn/lyn[0] earned[0] a[0] degree[0] in[0] law[0] from[0] cambridge[0] before[0] becoming[0] an[0] actor/director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charlize theron grew up on a farm outside benoni , south africa , as the only child . 	charlize theron grew up on a farm outside benoni , south africa , as the only child .	1	-1	 charlize[0] theron[0] grew[0] up[0] on[0] a[0] farm[0] outside[0] benoni[0] south[0] africa[0] as[0] the[0] only[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the age of 18 her mother made her go to los angeles to try a career in the movie industry . 	at the age of 18 her mother made her go to los angeles to try a career in the movie industry .	1	-1	 at[0] the[0] age[0] of[0] 18[0] her[0] mother[0] made[0] her[0] go[0] to[0] los[0] angeles[0] to[0] try[0] a[0] career[0] in[0] the[0] movie[0] industry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she came to la without knowing anyone in the city but after two weeks when she was standing in line on hollywood boulevard an agent gave her his card . 	she came to la without knowing anyone in the city but after two weeks when she was standing in line on hollywood boulevard an agent gave her his card .	1	-1	 she[0] came[0] to[0] la[0] without[0] knowing[0] anyone[0] in[0] the[0] city[0] but[0] after[0] two[0] weeks[0] when[0] she[0] was[0] standing[0] in[0] line[0] on[0] hollywood[0] boulevard[0] an[0] agent[0] gave[0] her[0] his[0] card[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after eight months in la she got her first part . 	after eight months in la she got her first part .	1	-1	 after[0] eight[0] months[0] in[0] la[0] she[0] got[0] her[0] first[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since then she has taken acting lessons and her career has skyrocketed , specifically in devil's advocate ( 8/10 ) . 	since then she has taken acting lessons and her career has skyrocketed , specifically in devil's advocate ( 8/10 ) .	1	-2	 since[0] then[0] she[0] has[0] taken[0] acting[0] lessons[0] and[0] her[0] career[0] has[0] skyrocketed[0] specifically[0] in[0] devil's[-1] advocate[0] 8/10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
charlize was narrowly beat out by elizabeth berkley for the lead role in the " movie " , showgirls . 	charlize was narrowly beat out by elizabeth berkley for the lead role in the " movie " , showgirls .	1	-1	 charlize[0] was[0] narrowly[0] beat[0] out[0] by[0] elizabeth[0] berkley[0] for[0] the[0] lead[0] role[0] in[0] the[0] movie[0] showgirls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was quoted as saying " it was like i had some guardian angel . " 	she was quoted as saying " it was like i had some guardian angel .<br> "	2	-1	 she[0] was[0] quoted[0] as[0] saying[0] it[0] was[0] like[1] i[0] had[0] some[0] guardian[0] angel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
