plot : token director alan smithee steals the only copy of his film " trio " from the studio , after they complete the " final cut " without him . 	Translation	Positive	Negative	EmotionRationale
see it if you like to watch really bad movies , otherwise skip it , because it will just have you hating every star that makes an appearance in it . 	see it if you like to watch really bad movies , otherwise skip it , because it will just have you hating every star that makes an appearance in it .	2	-4	 see[0] it[0] if[0] you[0] like[1] to[0] watch[0] really[0] bad[-1][-1 LastWordBoosterStrength] movies[0] otherwise[0] skip[0] it[0] because[0] it[0] will[0] just[0] have[0] you[0] hating[-3] every[0] star[0] that[0] makes[0] an[0] appearance[0] in[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
luckily for us all , this mess only lasts about 80 minutes , and miramax honcho harvey weinstein plays a lead-faced detective . 	luckily for us all , this mess only lasts about 80 minutes , and miramax honcho harvey weinstein plays a lead-faced detective .	3	-1	 luckily[2] for[0] us[0] all[0] this[0] mess[0] only[0] lasts[0] about[0] 80[0] minutes[0] and[0] miramax[0] honcho[0] harvey[0] weinstein[0] plays[1] a[0] lead[0] faced[0] detective[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the way , is there any reason why the studio or the producer couldn't have cut another version of the film by the way of all the filmed stock that was left over ? 	by the way , is there any reason why the studio or the producer couldn't have cut another version of the film by the way of all the filmed stock that was left over ?	1	-1	 by[0] the[0] way[0] is[0] there[0] any[0] reason[0] why[0] the[0] studio[0] or[0] the[0] producer[0] couldn't[0] have[0] cut[0] another[0] version[0] of[0] the[0] film[0] by[0] the[0] way[0] of[0] all[0] the[0] filmed[0] stock[0] that[0] was[0] left[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows , who cares , this " satire " sucks the bag . 	who knows , who cares , this " satire " sucks the bag .	2	-2	 who[0] knows[0] who[0] cares[1] this[0] satire[0] sucks[-1] the[0] bag[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
little known facts about this film and its stars : ironically , the original director of this film , arthur hiller , also requested his name be taken off the credits and replaced by the dga's alan smithee moniker . 	little known facts about this film and its stars : ironically , the original director of this film , arthur hiller , also requested his name be taken off the credits and replaced by the dga's alan smithee moniker .	1	-2	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] ironically[-1] the[0] original[0] director[0] of[0] this[0] film[0] arthur[0] hiller[0] also[0] requested[0] his[0] name[0] be[0] taken[0] off[0] the[0] credits[0] and[0] replaced[0] by[0] the[0] dga's[0] alan[0] smithee[0] moniker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was after the film's production company , cinergi pictures , preferred the cut made by producer/writer joe eszterhas to his . 	this was after the film's production company , cinergi pictures , preferred the cut made by producer/writer joe eszterhas to his .	1	-1	 this[0] was[0] after[0] the[0] film's[0] production[0] company[0] cinergi[0] pictures[0] preferred[0] the[0] cut[0] made[0] by[0] producer/writer[0] joe[0] eszterhas[0] to[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the original script of this film included arnold schwarzenegger and bruce willis . 	the original script of this film included arnold schwarzenegger and bruce willis .	1	-1	 the[0] original[0] script[0] of[0] this[0] film[0] included[0] arnold[0] schwarzenegger[0] and[0] bruce[0] willis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eszterhas announced through the media during post-production that cinergi pictures didn't have the money to pay for soundtrack . 	eszterhas announced through the media during post-production that cinergi pictures didn't have the money to pay for soundtrack .	1	-1	 eszterhas[0] announced[0] through[0] the[0] media[0] during[0] post[0] production[0] that[0] cinergi[0] pictures[0] didn't[0] have[0] the[0] money[0] to[0] pay[0] for[0] soundtrack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he said that he would finance the soundtrack from his own money and asked to submit tracks for it to him . 	he said that he would finance the soundtrack from his own money and asked to submit tracks for it to him .	1	-1	 he[0] said[0] that[0] he[0] would[0] finance[0] the[0] soundtrack[0] from[0] his[0] own[0] money[0] and[0] asked[0] to[0] submit[0] tracks[0] for[0] it[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he received 9 , 200 cds and cassettes from mostly unknown and unsigned artists , listened to all that was sent ( at least a couple of tracks from each record ) and compiled the soundtrack . 	he received 9 , 200 cds and cassettes from mostly unknown and unsigned artists , listened to all that was sent ( at least a couple of tracks from each record ) and compiled the soundtrack .	1	-1	 he[0] received[0] 9[0] 200[0] cds[0] and[0] cassettes[0] from[0] mostly[0] unknown[0] and[0] unsigned[0] artists[0] listened[0] to[0] all[0] that[0] was[0] sent[0] at[0] least[0] a[0] couple[0] of[0] tracks[0] from[0] each[0] record[0] and[0] compiled[0] the[0] soundtrack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film practically swept the " razzie awards " in 1999 , given out to the worst of all movie categories of the year , with no less than the " worst picture " award , the " worst screenplay " ( joe eszterhas ) , the " worst supporting actor " ( joe eszterhas ) , the " worst new star " ( joe eszterhas tied with jerry springer ) and the " worst original song " ( " i wanna be mike ovitz ! " 	this film practically swept the " razie awards " in 199 , given out to the worst of all movie categories of the year , with no less than the " worst picture " award , the " worst screenplay " ( joe eszterhas ) , the " worst supporting actor " ( joe eszterhas ) , the " worst new star " ( joe eszterhas tied with jerry springer ) and the " worst original song " ( " i wanna be mike ovitz !<br> "	2	-3	 this[0] film[0] practically[0] swept[0] the[0] razzie/razie[0] awards[0] in[0] 1999/199[0] given[0] out[0] to[0] the[0] worst[-2] of[0] all[0] movie[0] categories[0] of[0] the[0] year[0] with[0] no[0] less[0] than[0] the[0] worst[-2] picture[0] award[0] the[0] worst[-2] screenplay[0] joe[0] eszterhas[0] the[0] worst[-2] supporting[1] actor[0] joe[0] eszterhas[0] the[0] worst[-2] new[0] star[0] joe[0] eszterhas[0] tied[0] with[0] jerry[0] springer[0] and[0] the[0] worst[-2] original[0] song[0] i[0] wanna[0] be[0] mike[0] ovitz[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as written by joe eszterhas ) . 	as written by joe eszterhas ) .	1	-1	 as[0] written[0] by[0] joe[0] eszterhas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
