possibly the years the most anticipated film and finally it arrives here in the uk . 	Translation	Positive	Negative	EmotionRationale
enter familiar mumbling man jeff goldblum who only agrees to go when told his girlfriend is already there . 	enter familiar mumbling man jeff goldblum who only agrees to go when told his girlfriend is already there .	1	-1	 enter[0] familiar[0] mumbling[0] man[0] jeff[0] goldblum[0] who[0] only[0] agrees[0] to[0] go[0] when[0] told[0] his[0] girlfriend[0] is[0] already[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , basically , what you have is this . 	so , basically , what you have is this .	1	-1	 so[0] basically[0] what[0] you[0] have[0] is[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two teams , one sent to catch and move some dinosaurs to the mainland and the other , trying to document them , being forced to work together , fighting for survival against the dinosaurs' firm intentions on eating them . 	two teams , one sent to catch and move some dinosaurs to the mainland and the other , trying to document them , being forced to work together , fighting for survival against the dinosaurs' firm intentions on eating them .	1	-3	 two[0] teams[0] one[0] sent[0] to[0] catch[0] and[0] move[0] some[0] dinosaurs[0] to[0] the[0] mainland[0] and[0] the[0] other[0] trying[0] to[0] document[0] them[0] being[0] forced[0] to[0] work[0] together[0] fighting[-2] for[0] survival[0] against[-1] the[0] dinosaurs'[0] firm[0] intentions[0] on[0] eating[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a fairly good idea , however it's let down by one slight problem . 	a fairly good idea , however it's let down by one slight problem .	2	-2	 a[0] fairly[0] good[1] idea[0] however[0] it's[0] let[0] down[0] by[0] one[0] slight[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's crap . 	it's crap .	1	-3	 it's[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
over two hours of chase scenes gets way too boring , way too quiclky . 	over two hours of chase scenes gets way too boring , way too quiclky .	1	-2	 over[0] two[0] hours[0] of[0] chase[-1] scenes[0] gets[0] way[0] too[0] boring[-1] way[0] too[0] quiclky[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
add to this a terrible script and some feeble attempts at some occasional characterisation and you end up very disinterested . 	add to this a terrible script and some feeble attempts at some occasional characterisation and you end up very disinterested .	1	-4	 add[0] to[0] this[0] a[0] terrible[-3] script[0] and[0] some[0] feeble[-1][--1 LastWordBoosterStrength] attempts[0] at[0] some[0] occasional[0] characterisation[0] and[0] you[0] end[0] up[0] very[0] disinterested[-1][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it becomes background noise while your mind starts concentrating on things like , 'what's for tea ? ' and 'should you cut the lawn later ? ' 	it becomes background noise while your mind starts concentrating on things like , 'what's for tea ?<br> ' and 'should you cut the lawn later ?<br> '	2	-1	 it[0] becomes[0] background[0] noise[0] while[0] your[0] mind[0] starts[0] concentrating[0] on[0] things[0] like[1] 'what's[0] for[0] tea[0] [[Sentence=-1,2=word max, 1-5]] '[0] and[0] 'should[0] you[0] cut[0] the[0] lawn[0] later[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
 ( yes , you should ) . 	 ( yes , you should ) .	1	-1	 yes[0] you[0] should[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a shame then really , that spielberg has lowered himself into making what essentially is a blatant cash in , which adds practically nothing to the far superior jurrasic park . 	it's a shame then really , that spielberg has lowered himself into making what essentially is a blatant cash in , which adds practically nothing to the far superior jurrasic park .	3	-3	 it's[0] a[0] shame[-2] then[0] really[0] that[0] spielberg[0] has[0] lowered[0] himself[0] into[0] making[0] what[0] essentially[0] is[0] a[0] blatant[-1] cash[0] in[0] which[0] adds[0] practically[0] nothing[0] to[0] the[0] far[0] superior[2] jurrasic[0] park[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with only a few creative and genuinely tense scenes and fabulous c . g . i 	with only a few creative and genuinely tense scenes and fabulous c .<br> grin� .<br> i	3	-3	 with[0] only[0] a[0] few[0] creative[0] and[0] genuinely[0] tense[-2] scenes[0] and[0] fabulous[2] c[0] [[Sentence=-3,3=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
dinosaurs ( the t . rex's have to be seen to be believed ) , there is nothing else to recommend the lost world . 	dinosaurs ( the t .<br> rex's have to be seen to be believed ) , there is nothing else to recommend the lost world .	1	-1	 dinosaurs[0] the[0] t[0] [[Sentence=-1,1=word max, 1-5]] rex's[0] have[0] to[0] be[0] seen[0] to[0] be[0] believed[0] there[0] is[0] nothing[0] else[0] to[0] recommend[0] the[0] lost[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a very dissapointing sequel , indeed . 	a very dissapointing sequel , indeed .	1	-1	 a[0] very[0] dissapointing[0] sequel[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
