she was the femme in " la femme nikita . " 	Translation	Positive	Negative	EmotionRationale
parillaud and baldwin , who aren't exactly shakespearean material to begin with , are saddled with such leaden dialogue that their characters have zero chance of breaking free of their cardboard confines . 	parillaud and baldwin , who aren't exactly shakespearean material to begin with , are saddled with such leaden dialogue that their characters have zero chance of breaking free of their cardboard confines .	1	-1	 parillaud[0] and[0] baldwin[0] who[0] aren't[0] exactly[0] shakespearean[0] material[0] to[0] begin[0] with[0] are[0] saddled[0] with[0] such[0] leaden[0] dialogue[0] that[0] their[0] characters[0] have[0] zero[0] chance[0] of[0] breaking[0] free[0] of[0] their[0] cardboard[0] confines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lines like : 	lines like :	2	-1	 lines[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " you don't beg , you insist . 	 " you don't beg , you insist .	2	-1	 you[0] don't[0] beg[-1][NegatedDueToPreviousWord] you[0] insist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like that in a woman . " 	i like that in a woman .<br> "	2	-1	 i[0] like[1] that[0] in[0] a[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's parillaud's character talking . . . 	that's parillaud's character talking .<br> .<br> .	1	-1	 that's[0] parillaud's[0] character[0] talking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to her cat ! 	to her cat !	1	-1	 to[0] her[0] cat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and : 	and :	1	-1	 and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you're not the reason i couldn't care less about you . " 	 " you're not the reason i couldn't care less about you .<br> "	1	-2	 you're[0] not[0] the[0] reason[0] i[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] about[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this wonderful bathroom interchange early in the film : 	and this wonderful bathroom interchange early in the film :	3	-1	 and[0] this[0] wonderful[2] bathroom[0] interchange[0] early[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " if you give me a couple of minutes you know i'll charm the pants off you . " 	 " if you give me a couple of minutes you know i'll charm the pants off you .<br> "	2	-1	 if[0] you[0] give[0] me[0] a[0] couple[0] of[0] minutes[0] you[0] know[0] i'll[0] charm[1] the[0] pants[0] off[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " i don't have that kind of time . " 	 " i don't have that kind of time .<br> "	2	-1	 i[0] don't[0] have[0] that[0] kind[1] of[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
talking of pants , parillaud has her clothes off faster than you can say " point of no return . " 	talking of pants , parillaud has her clothes off faster than you can say " point of no return .<br> "	1	-1	 talking[0] of[0] pants[0] parillaud[0] has[0] her[0] clothes[0] off[0] faster[0] than[0] you[0] can[0] say[0] point[0] of[0] no[0] return[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we have come to expect this from billy baldwin , but it might have been nice to have learned something about their characters first . 	we have come to expect this from billy baldwin , but it might have been nice to have learned something about their characters first .	2	-1	 we[0] have[0] come[0] to[0] expect[0] this[0] from[0] billy[0] baldwin[0] but[0] it[0] might[0] have[0] been[0] nice[1] to[0] have[0] learned[0] something[0] about[0] their[0] characters[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but there's nothing to learn . 	but there's nothing to learn .	1	-1	 but[0] there's[0] nothing[0] to[0] learn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
karen is as interesting as a cereal box , a someone's-out-to-get-me crybaby who imagines the voice at the other end of the phone , the stranger who sends her flowers , maybe even her husband himself , is her would-be killer . 	karen is as interesting as a cereal box , a someone's-out-to-get-me crybaby who imagines the voice at the other end of the phone , the stranger who sends her flowers , maybe even her husband himself , is her would-be killer .	2	-2	 karen[0] is[0] as[0] interesting[1] as[0] a[0] cereal[0] box[0] a[0] someone's[0] out[0] to[0] get[0] me[0] crybaby[0] who[0] imagines[0] the[0] voice[0] at[0] the[0] other[0] end[0] of[0] the[0] phone[0] the[0] stranger[0] who[0] sends[0] her[0] flowers[0] maybe[0] even[0] her[0] husband[0] himself[0] is[0] her[0] would[0] be[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
siouxsie is the chromium cool , tough-as-nails crack killing machine who shoots out a couple of mirrors in order to justify the film's meaningless stock title . 	siouxsie is the chromium cool , tough-as-nails crack killing machine who shoots out a couple of mirrors in order to justify the film's meaningless stock title .	2	-2	 siouxsie[0] is[0] the[0] chromium[0] cool[1] tough[-1] as[0] nails[0] crack[0] killing[-1] machine[0] who[0] shoots[-1] out[0] a[0] couple[0] of[0] mirrors[0] in[0] order[0] to[0] justify[0] the[0] film's[0] meaningless[-1] stock[0] title[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
baldwin seems more interested in parillaud's nest egg ( so that he can pave paradise and put up a parking lot ) than he does in her . 	baldwin seems more interested in parillaud's nest egg ( so that he can pave paradise and put up a parking lot ) than he does in her .	4	-1	 baldwin[0] seems[0] more[0] interested[1] in[0] parillaud's[0] nest[0] egg[0] so[0] that[0] he[0] can[0] pave[0] paradise[3] and[0] put[0] up[0] a[0] parking[0] lot[0] than[0] he[0] does[0] in[0] her[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
each time graham greene shows up he gets killed . 	each time graham greene shows up he gets killed .	1	-4	 each[0] time[0] graham[0] greene[0] shows[0] up[0] he[0] gets[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
barbet schroeder ( " reversal of fortune " ) co-produced and should be ashamed of himself . 	barbet schroeder ( " reversal of fortune " ) co-produced and should be ashamed of himself .	1	-2	 barbet[0] schroeder[0] reversal[0] of[0] fortune[0] co[0] produced[0] and[0] should[0] be[0] ashamed[-1] of[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every now and again it's fun to watch a really bad movie . 	every now and again it's fun to watch a really bad movie .	2	-3	 every[0] now[0] and[0] again[0] it's[0] fun[1] to[0] watch[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and every now and again , as " shattered image " makes agonizingly clear , it isn't . 	and every now and again , as " shattered image " makes agonizingly clear , it isn't .	1	-4	 and[0] every[0] now[0] and[0] again[0] as[0] shattered[0] image[0] makes[0] agonizingly[-3] clear[0] it[0] isn't[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
