america loves convenience . 	Translation	Positive	Negative	EmotionRationale
apparently , crime in the bronx has gotten so bad that the residents have actually taken to ritually decapitating one another for entertainment . 	apparently , crime in the bronx has gotten so bad that the residents have actually taken to ritually decapitating one another for entertainment .	1	-2	 apparently[0] crime[-1] in[0] the[0] bronx[0] has[0] gotten[0] so[0] bad[-1] that[0] the[0] residents[0] have[0] actually[0] taken[0] to[0] ritually[0] decapitating[0] one[0] another[0] for[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , even in the film's darkest moments , fate conveniently lends a hand , supplying heavily armored transportation and easily accessible rifles and dynamite . 	but , even in the film's darkest moments , fate conveniently lends a hand , supplying heavily armored transportation and easily accessible rifles and dynamite .	1	-1	 but[0] even[0] in[0] the[0] film's[0] darkest[0] moments[0] fate[0] conveniently[0] lends[0] a[0] hand[0] supplying[0] heavily[0] armored[0] transportation[0] and[0] easily[0] accessible[0] rifles[0] and[0] dynamite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , in the future , man may travel to space and conquer mars , but nothing beats a good stick of tnt . 	yes , in the future , man may travel to space and conquer mars , but nothing beats a good stick of tnt .	2	-1	 yes[0] in[0] the[0] future[0] man[0] may[0] travel[0] to[0] space[0] and[0] conquer[0] mars[0] but[0] nothing[0] beats[0] a[0] good[1] stick[0] of[0] tnt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and as we all know , every police station , past , present , or future , keeps a healthy supply on hand . 	and as we all know , every police station , past , present , or future , keeps a healthy supply on hand .	1	-1	 and[0] as[0] we[0] all[0] know[0] every[0] police[0] station[0] past[0] present[0] or[0] future[0] keeps[0] a[0] healthy[0] supply[0] on[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
characters die , heads are lopped off , but they were only supporting roles anyway , so why should we care ? 	characters die , heads are lopped off , but they were only supporting roles anyway , so why should we care ?	2	-1	 characters[0] die[0] heads[0] are[0] lopped[0] off[0] but[0] they[0] were[0] only[0] supporting[1] roles[0] anyway[0] so[0] why[0] should[0] we[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as long as you have plenty of narcotics , immunity is guaranteed . 	as long as you have plenty of narcotics , immunity is guaranteed .	1	-1	 as[0] long[0] as[0] you[0] have[0] plenty[0] of[0] narcotics[0] immunity[0] is[0] guaranteed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually though , even the most well-trained zombie alien gets a bit uppity and needs to be taught a lesson . 	eventually though , even the most well-trained zombie alien gets a bit uppity and needs to be taught a lesson .	1	-2	 eventually[0] though[0] even[0] the[0] most[0] well[0] trained[0] zombie[0] alien[-1] gets[0] a[0] bit[0] uppity[0] and[0] needs[0] to[0] be[0] taught[0] a[0] lesson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what better way than by sacrificing a few minor characters to a convenient nuclear detonation , killing anything the machine guns can't handle . 	what better way than by sacrificing a few minor characters to a convenient nuclear detonation , killing anything the machine guns can't handle .	1	-2	 what[0] better[0] way[0] than[0] by[0] sacrificing[0] a[0] few[0] minor[0] characters[0] to[0] a[0] convenient[0] nuclear[0] detonation[0] killing[-1] anything[0] the[0] machine[0] guns[-1] can't[0] handle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
explosions are fun . 	explosions are fun .	2	-2	 explosions[-1] are[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and even if the nukes don't get them , the conveniently placed dynamite packs on the train stolen from the set of the road warrior certainly will . 	and even if the nukes don't get them , the conveniently placed dynamite packs on the train stolen from the set of the road warrior certainly will .	1	-2	 and[0] even[0] if[0] the[0] nukes[0] don't[0] get[0] them[0] the[0] conveniently[0] placed[0] dynamite[0] packs[0] on[0] the[0] train[0] stolen[-1] from[0] the[0] set[0] of[0] the[0] road[0] warrior[0] certainly[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end this film defines itself when our cop's tribunal pronounces , " is that all you have to tell us ? " 	in the end this film defines itself when our cop's tribunal pronounces , " is that all you have to tell us ?<br> "	1	-1	 in[0] the[0] end[0] this[0] film[0] defines[0] itself[0] when[0] our[0] cop's[0] tribunal[0] pronounces[0] is[0] that[0] all[0] you[0] have[0] to[0] tell[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for , indeed , john carpenter has run out of things to say , and has instead decided to use whatever is convenient to tell a ridiculously bad story . 	for , indeed , john carpenter has run out of things to say , and has instead decided to use whatever is convenient to tell a ridiculously bad story .	1	-3	 for[0] indeed[0] john[0] carpenter[0] has[0] run[0] out[0] of[0] things[0] to[0] say[0] and[0] has[0] instead[0] decided[0] to[0] use[0] whatever[0] is[0] convenient[0] to[0] tell[0] a[0] ridiculously[-2] bad[-1] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
