 " the red violin " is a cold , sterile feature that leaves you uninvolved and detached . 	Translation	Positive	Negative	EmotionRationale
here is a story that could have made use of various camera angles and lighting to heighten its impact . 	here is a story that could have made use of various camera angles and lighting to heighten its impact .	1	-1	 here[0] is[0] a[0] story[0] that[0] could[0] have[0] made[0] use[0] of[0] various[0] camera[0] angles[0] and[0] lighting[0] to[0] heighten[0] its[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
girard , for some unknown reason , uses mostly master shots , keeping his camera - and thus us - at a distance . 	girard , for some unknown reason , uses mostly master shots , keeping his camera - and thus us - at a distance .	1	-1	 girard[0] for[0] some[0] unknown[0] reason[0] uses[0] mostly[0] master[0] shots[0] keeping[0] his[0] camera[0] and[0] thus[0] us[0] at[0] a[0] distance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get no feel for the miracle that is the violin . 	we get no feel for the miracle that is the violin .	1	-1	 we[0] get[0] no[0] feel[0] for[0] the[0] miracle[0] that[0] is[0] the[0] violin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's resonance , its purity of sound are not emphasized enough to make an impression . 	it's resonance , its purity of sound are not emphasized enough to make an impression .	1	-1	 it's[0] resonance[0] its[0] purity[0] of[0] sound[0] are[0] not[0] emphasized[0] enough[0] to[0] make[0] an[0] impression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nor are any of the performances memorable . 	nor are any of the performances memorable .	1	-1	 nor[0] are[0] any[0] of[0] the[0] performances[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as if girard wanted all his actors to play second fiddle to his violin . 	it's as if girard wanted all his actors to play second fiddle to his violin .	1	-1	 it's[0] as[0] if[0] girard[0] wanted[0] all[0] his[0] actors[0] to[0] play[0] second[0] fiddle[0] to[0] his[0] violin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the red violin " promises much , but delivers little . 	 " the red violin " promises much , but delivers little .	2	-1	 the[0] red[0] violin[0] promises[1] much[0] but[0] delivers[0] little[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is dull at times , a bit pretentious and a might murky . 	it is dull at times , a bit pretentious and a might murky .	1	-2	 it[0] is[0] dull[-1] at[0] times[0] a[0] bit[0] pretentious[-1] and[0] a[0] might[0] murky[-1][--1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie's music soars over its story and performers . 	the movie's music soars over its story and performers .	1	-1	 the[0] movie's[0] music[0] soars[0] over[0] its[0] story[0] and[0] performers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is its only saving grace . 	and that is its only saving grace .	3	-1	 and[0] that[0] is[0] its[0] only[0] saving[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
