a friend invites you to a movie . 	Translation	Positive	Negative	EmotionRationale
what sort of warped ramifications would this lead for the rest of his life ? 	what sort of warped ramifications would this lead for the rest of his life ?	1	-2	 what[0] sort[0] of[0] warped[-1] ramifications[0] would[0] this[0] lead[0] for[0] the[0] rest[0] of[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
outside of this , there are other sure signs of screenwriters block . 	outside of this , there are other sure signs of screenwriters block .	1	-2	 outside[0] of[0] this[0] there[0] are[0] other[0] sure[0] signs[0] of[0] screenwriters[0] block[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the daughter stands up to the bully at school . 	when the daughter stands up to the bully at school .	1	-1	 when[0] the[0] daughter[0] stands[0] up[0] to[0] the[0] bully[0] at[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when birdy almost loses her job . 	when birdy almost loses her job .	1	-2	 when[0] birdy[0] almost[0] loses[-1] her[0] job[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the family pulls in a goofy lip-synch to cheer someone up . 	when the family pulls in a goofy lip-synch to cheer someone up .	2	-1	 when[0] the[0] family[0] pulls[0] in[0] a[0] goofy[0] lip[0] synch[0] to[0] cheer[1] someone[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when someone dies . 	when someone dies .	1	-1	 when[0] someone[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the daughter cries , ( no , wails ) in exasperation that her father is not coming back . 	when the daughter cries , ( no , wails ) in exasperation that her father is not coming back .	1	-3	 when[0] the[0] daughter[0] cries[-2] no[0] wails[-1] in[0] exasperation[-1] that[0] her[0] father[0] is[0] not[0] coming[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a movie like this , you notice the strings being pushed , and you sit there , comatose , hoping it will end . 	in a movie like this , you notice the strings being pushed , and you sit there , comatose , hoping it will end .	2	-1	 in[0] a[0] movie[0] like[1] this[0] you[0] notice[0] the[0] strings[0] being[0] pushed[0] and[0] you[0] sit[0] there[0] comatose[0] hoping[1] it[0] will[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who can survive such a debacle ? 	who can survive such a debacle ?	1	-1	 who[0] can[0] survive[0] such[0] a[0] debacle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i worry for bullock's career , which has been running on auto-pilot for the last few years . 	i worry for bullock's career , which has been running on auto-pilot for the last few years .	1	-4	 i[0] worry[-3] for[0] bullock's[0] career[0] which[0] has[0] been[0] running[0] on[0] auto[0] pilot[0] for[0] the[0] last[0] few[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she has an attitude , a solid perkiness , and can drive a bus--but she can't handle the emotional scenes , much less hold a southern accent . 	she has an attitude , a solid perkiness , and can drive a bus-but she can't handle the emotional scenes , much less hold a southern accent .	1	-2	 she[0] has[0] an[0] attitude[0] a[0] solid[0] perkiness[0] and[0] can[0] drive[0] a[0] bus[0] but[0] she[0] can't[0] handle[0] the[0] emotional[-1] scenes[0] much[0] less[0] hold[0] a[0] southern[0] accent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry connick , jr . is worse--stick with singing , or get some acting lessons , please ! 	harry connick , jr .<br> is worse-stick with singing , or get some acting lessons , please !	2	-3	 harry[0] connick[0] jr[0] [[Sentence=-1,1=word max, 1-5]] is[0] worse[-2] stick[0] with[0] singing[0] or[0] get[0] some[0] acting[0] lessons[0] please[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gena rowlands is the best part of the film . 	gena rowlands is the best part of the film .	2	-1	 gena[0] rowlands[0] is[0] the[0] best[1] part[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but she's such a good actress , that it staggers the mind that she's weighed down by such lukewarm material here . 	but she's such a good actress , that it staggers the mind that she's weighed down by such lukewarm material here .	2	-1	 but[0] she's[0] such[0] a[0] good[1] actress[0] that[0] it[0] staggers[0] the[0] mind[0] that[0] she's[0] weighed[0] down[0] by[0] such[0] lukewarm[0] material[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would be a severe tragedy if the recurring star of john cassavettes' great films is known for this film . 	it would be a severe tragedy if the recurring star of john cassavettes' great films is known for this film .	3	-3	 it[0] would[0] be[0] a[0] severe[-1] tragedy[-2] if[0] the[0] recurring[0] star[0] of[0] john[0] cassavettes'[0] great[2] films[0] is[0] known[0] for[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
two notes to forest whittaker : ( 1 ) cut the slow-motion sequences . 	two notes to forest whittaker : ( 1 ) cut the slow-motion sequences .	1	-1	 two[0] notes[0] to[0] forest[0] whittaker[0] 1[0] cut[0] the[0] slow[0] motion[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are twelve times where you undercut your own direction by such a failed trick . 	there are twelve times where you undercut your own direction by such a failed trick .	1	-3	 there[0] are[0] twelve[0] times[0] where[0] you[0] undercut[0] your[0] own[0] direction[0] by[0] such[0] a[0] failed[-2] trick[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
have you done so , you could have shaved off ten-minutes of this almost unbearable debacle . 	have you done so , you could have shaved off ten-minutes of this almost unbearable debacle .	1	-4	 have[0] you[0] done[0] so[0] you[0] could[0] have[0] shaved[0] off[0] ten[0] minutes[0] of[0] this[0] almost[0] unbearable[-3] debacle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( 2 ) you've had to know something was wrong if your cinematographer's filter makes the candlelight appear like little " x " s . 	 ( 2 ) you've had to know something was wrong if your cinematographer's filter makes the candlelight appear like little " x " s .	2	-2	 2[0] you've[0] had[0] to[0] know[0] something[0] was[0] wrong[-1] if[0] your[0] cinematographer's[0] filter[0] makes[0] the[0] candlelight[0] appear[0] like[1] little[0] x[1] s[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you're not a bad director , but you can't change a terrible script . 	you're not a bad director , but you can't change a terrible script .	2	-4	 you're[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] director[0] but[0] you[0] can't[0] change[0] a[0] terrible[-3] script[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's a recurring scene where birdy , working at the neighborhood fotomat , finds the machine go wrong , and image after destroyed , warped , dark image appear . 	there's a recurring scene where birdy , working at the neighborhood fotomat , finds the machine go wrong , and image after destroyed , warped , dark image appear .	1	-3	 there's[0] a[0] recurring[0] scene[0] where[0] birdy[0] working[0] at[0] the[0] neighborhood[0] fotomat[0] finds[0] the[0] machine[0] go[0] wrong[-1] and[0] image[0] after[0] destroyed[-2] warped[-1] dark[0] image[0] appear[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
think about it . 	think about it .	1	-1	 think[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a succession of destroyed images may have been more entertaining than this movie . 	a succession of destroyed images may have been more entertaining than this movie .	3	-3	 a[0] succession[2] of[0] destroyed[-2] images[0] may[0] have[0] been[0] more[0] entertaining[0] than[0] this[0] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
