anna and the king is at least the fourth film adaptation of margaret landon's fact based novel the king and i , and it's big , expensive and soulless . 	Translation	Positive	Negative	EmotionRationale
he , though self-righteous as ever , can't help but be influenced by the eloquent anna and they slowly , quietly , develop affections for each other . 	he , though self-righteous as ever , can't help but be influenced by the eloquent anna and they slowly , quietly , develop affections for each other .	3	-1	 he[0] though[0] self[0] righteous[0] as[0] ever[0] can't[0] help[0] but[0] be[0] influenced[0] by[0] the[0] eloquent[0] anna[0] and[0] they[0] slowly[0] quietly[0] develop[0] affections[2] for[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a scene in the middle of anna and the king where one of the king's younger daughters dies . 	there is a scene in the middle of anna and the king where one of the king's younger daughters dies .	1	-1	 there[0] is[0] a[0] scene[0] in[0] the[0] middle[0] of[0] anna[0] and[0] the[0] king[0] where[0] one[0] of[0] the[0] king's[0] younger[0] daughters[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's your classic deathbed scene , with the girl's mournful eyes staring at her father , who tries only semi- successfully to maintain his composure . 	it's your classic deathbed scene , with the girl's mournful eyes staring at her father , who tries only semi- successfully to maintain his composure .	3	-3	 it's[0] your[0] classic[0] deathbed[-2] scene[0] with[0] the[0] girl's[0] mournful[-2] eyes[0] staring[0] at[0] her[0] father[0] who[0] tries[0] only[0] semi[0] successfully[2] to[0] maintain[0] his[0] composure[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
anna then comes in and cries a bit . 	anna then comes in and cries a bit .	1	-3	 anna[0] then[0] comes[0] in[0] and[0] cries[-2] a[0] bit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sequence was there for a purpose : to evoke a strong emotional response from the viewer . 	the sequence was there for a purpose : to evoke a strong emotional response from the viewer .	1	-2	 the[0] sequence[0] was[0] there[0] for[0] a[0] purpose[0] to[0] evoke[0] a[0] strong[0] emotional[-1] response[0] from[0] the[0] viewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm usually a sucker for such scenes and yet this time , i was just sitting there , my emotions untouched . 	i'm usually a sucker for such scenes and yet this time , i was just sitting there , my emotions untouched .	1	-2	 i'm[0] usually[0] a[0] sucker[-1] for[0] such[0] scenes[0] and[0] yet[0] this[0] time[0] i[0] was[0] just[0] sitting[0] there[0] my[0] emotions[0] untouched[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this remains true through all of the movie which remains emotionally barren . 	this remains true through all of the movie which remains emotionally barren .	2	-2	 this[0] remains[0] true[1] through[0] all[0] of[0] the[0] movie[0] which[0] remains[0] emotionally[0] barren[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we never develop connections to the characters ; never given a reason to care . 	we never develop connections to the characters ; never given a reason to care .	2	-1	 we[0] never[0] develop[0] connections[0] to[0] the[0] characters[0] never[0] given[0] a[0] reason[0] to[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this ludicrously long epic was directed by andy tennant , whose last film was ever after , one of my favorites of 1998 . 	this ludicrously long epic was directed by andy tenant , whose last film was ever after , one of my favorites of 1998 .	2	-3	 this[0] ludicrously[-2] long[0] epic[0] was[0] directed[0] by[0] andy[0] tennant/tenant[0] whose[0] last[0] film[0] was[0] ever[0] after[0] one[0] of[0] my[0] favorites[1] of[0] 1998[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i do not doubt tennant's ability to put together a decent movie , but anna and the king , aside from being psychologically inept is also technologically deficient . 	i do not doubt tennant's ability to put together a decent movie , but anna and the king , aside from being psychologically inept is also technologically deficient .	2	-2	 i[0] do[0] not[0] doubt[-1][NegatedDueToPreviousWord] tennant's[0] ability[0] to[0] put[0] together[0] a[0] decent[0] movie[0] but[0] anna[0] and[0] the[0] king[0] aside[0] from[0] being[0] psychologically[0] inept[0] is[0] also[0] technologically[0] deficient[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the sets and scenery are gorgeous , but the camerawork does nothing to convey its grandeur . 	the sets and scenery are gorgeous , but the camerawork does nothing to convey its grandeur .	3	-1	 the[0] sets[0] and[0] scenery[0] are[0] gorgeous[2] but[0] the[0] camerawork[0] does[0] nothing[0] to[0] convey[0] its[0] grandeur[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even terrence malick managed to do more with flora and fauna in his otherwise abysmal the thin red line than tennant can muster from  75 million worth of props and a shoot in malaysia . 	even terrence malick managed to do more with flora and fauna in his otherwise abysmal the thin red line than tenant can muster from  75 million worth of props and a shoot in malaysia .	1	-2	 even[0] terrence[0] malick[0] managed[0] to[0] do[0] more[0] with[0] flora[0] and[0] fauna[0] in[0] his[0] otherwise[0] abysmal[0] the[0] thin[0] red[0] line[0] than[0] tennant/tenant[0] can[0] muster[0] from[0] 75[0] million[0] worth[0] of[0] props[0] and[0] a[0] shoot[-1] in[0] malaysia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we feel like the camera is restricted to its immediate point of view ; there are no wide tracking shots or sweeping zooms to fill us with larger-than-life awe . 	we feel like the camera is restricted to its immediate point of view ; there are no wide tracking shots or sweeping zooms to fill us with larger-than-life awe .	2	-2	 we[0] feel[0] like[1] the[0] camera[0] is[0] restricted[-1] to[0] its[0] immediate[0] point[0] of[0] view[0] there[0] are[0] no[0] wide[0] tracking[0] shots[0] or[0] sweeping[0] zooms[0] to[0] fill[0] us[0] with[0] larger[0] than[0] life[0] awe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i liked both foster and yun-fat , who give entertaining if not terribly involving performances in the two lead roles . 	i liked both foster and yun-fat , who give entertaining if not terribly involving performances in the two lead roles .	4	-2	 i[0] liked[2] both[0] foster[0] and[0] yun[0] fat[-1] who[0] give[0] entertaining[0] if[0] not[0] terribly[-3][NegatedDueToPreviousWord] involving[0] performances[0] in[0] the[0] two[0] lead[0] roles[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
foster's generally stoic persona serves her well here , as she is playing a reserved , formal and rather underdeveloped character . 	foster's generally stoic persona serves her well here , as she is playing a reserved , formal and rather underdeveloped character .	2	-1	 foster's[0] generally[0] stoic[0] persona[0] serves[0] her[0] well[0] here[0] as[0] she[0] is[0] playing[1] a[0] reserved[0] formal[0] and[0] rather[0] underdeveloped[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yun-fat is especially effective , perfectly conveying the king of siam's sangfroid permeated with violent outbursts . 	yun-fat is especially effective , perfectly conveying the king of siam's sangfroid permeated with violent outbursts .	2	-3	 yun[0] fat[-1] is[0] especially[0] effective[0] perfectly[1] conveying[0] the[0] king[0] of[0] siam's[0] sangfroid[0] permeated[0] with[0] violent[-2] outbursts[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what does anna and the king in is its inability to involve the viewer in its characters and situations . 	what does anna and the king in is its inability to involve the viewer in its characters and situations .	1	-2	 what[0] does[0] anna[0] and[0] the[0] king[0] in[0] is[0] its[0] inability[-1] to[0] involve[0] the[0] viewer[0] in[0] its[0] characters[0] and[0] situations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast is great , the director is talented , and the budget is lavish , but this ill-advised remake of the classic rogers and hammerstein movie is unable to utilize any of those things to form a compelling whole . 	the cast is great , the director is talented , and the budget is lavish , but this ill-advised remake of the classic rogers and hammerstein movie is unable to utilize any of those things to form a compelling whole .	3	-2	 the[0] cast[0] is[0] great[2] the[0] director[0] is[0] talented[1] and[0] the[0] budget[0] is[0] lavish[0] but[0] this[0] ill[-1] advised[0] remake[0] of[0] the[0] classic[0] rogers[0] and[0] hammerstein[0] movie[0] is[0] unable[0] to[0] utilize[0] any[0] of[0] those[0] things[0] to[0] form[0] a[0] compelling[0] whole[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is an emotionless costume epic . 	this is an emotionless costume epic .	1	-1	 this[0] is[0] an[0] emotionless[0] costume[0] epic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
