one would think that david duchovny , star of the cult favorite " x-files " would be very careful in choosing his leading man cinema roles . 	Translation	Positive	Negative	EmotionRationale
the would-be big time operator is desperately in need of help . 	the would-be big time operator is desperately in need of help .	1	-3	 the[0] would[0] be[0] big[0] time[0] operator[0] is[0] desperately[-2] in[0] need[0] of[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the run from russian mobsters ( the bad guys that seem to be all the rage in this year's films ) and trying to cut a pirate software deal with the chinese mafia , blossom is surrounded by blood . 	on the run from russian mobsters ( the bad guys that seem to be all the rage in this year's films ) and trying to cut a pirate software deal with the chinese mafia , blossom is surrounded by blood .	1	-4	 on[0] the[0] run[0] from[0] russian[0] mobsters[0] the[0] bad[-1] guys[0] that[0] seem[0] to[0] be[0] all[0] the[0] rage[-3] in[0] this[0] year's[0] films[0] and[0] trying[0] to[0] cut[0] a[0] pirate[0] software[0] deal[0] with[0] the[0] chinese[0] mafia[0] blossom[0] is[0] surrounded[0] by[0] blood[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after a few medical misadventures , the physician grows disenchanted with his employment . 	after a few medical misadventures , the physician grows disenchanted with his employment .	1	-1	 after[0] a[0] few[0] medical[0] misadventures[0] the[0] physician[0] grows[0] disenchanted[0] with[0] his[0] employment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an encounter with a couple of psycho surfer dudes who threaten to blow him away unless he " fixes " their dead buddy cements his feeling that he is in the wrong line of work . 	an encounter with a couple of psycho surfer dudes who threaten to blow him away unless he " fixes " their dead buddy cements his feeling that he is in the wrong line of work .	1	-3	 an[0] encounter[0] with[0] a[0] couple[0] of[0] psycho[0] surfer[0] dudes[0] who[0] threaten[-2] to[0] blow[0] him[0] away[0] unless[0] he[0] fixes[0] their[0] dead[-2] buddy[0] cements[0] his[0] feeling[0] that[0] he[0] is[0] in[0] the[0] wrong[-1] line[0] of[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the fbi visits and forces him to become an informant , there is no question that he needs to be somewhere else . 	when the fbi visits and forces him to become an informant , there is no question that he needs to be somewhere else .	1	-1	 when[0] the[0] fbi[0] visits[0] and[0] forces[0] him[0] to[0] become[0] an[0] informant[0] there[0] is[0] no[0] question[0] that[0] he[0] needs[0] to[0] be[0] somewhere[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oddly enough , these seem like they could be exciting scenes . 	oddly enough , these seem like they could be exciting scenes .	3	-1	 oddly[0] enough[0] these[0] seem[0] like[1] they[0] could[0] be[0] exciting[2] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film disproves that assumption . 	the film disproves that assumption .	1	-1	 the[0] film[0] disproves[0] that[0] assumption[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then a bunch of other uninteresting things happen . 	then a bunch of other uninteresting things happen .	1	-1	 then[0] a[0] bunch[0] of[0] other[0] uninteresting[0] things[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writing this only two days after seeing the film , its a struggle to remember the events . 	writing this only two days after seeing the film , its a struggle to remember the events .	1	-2	 writing[0] this[0] only[0] two[0] days[0] after[0] seeing[0] the[0] film[0] its[0] a[0] struggle[-1] to[0] remember[0] the[0] events[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can take that as a solid lack of recommendation . 	you can take that as a solid lack of recommendation .	1	-2	 you[0] can[0] take[0] that[0] as[0] a[0] solid[0] lack[-1] of[0] recommendation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for all the coolness that duchovny exhibits in " x-files " , it's a surprise that his big screen presence is so lacking in charisma . 	for all the coolness that duchovny exhibits in " x-files " , it's a surprise that his big screen presence is so lacking in charisma .	2	-2	 for[0] all[0] the[0] coolness[-1] that[0] duchovny[0] exhibits[0] in[0] x[1] files[0] it's[0] a[0] surprise[0] that[0] his[0] big[0] screen[0] presence[0] is[0] so[0] lacking[0] in[0] charisma[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the doctor is particularly bland and dull . 	the doctor is particularly bland and dull .	1	-2	 the[0] doctor[0] is[0] particularly[0] bland[-1] and[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the cold turkey bit which is rife with dramatic possibilities come across as banal . 	even the cold turkey bit which is rife with dramatic possibilities come across as banal .	1	-2	 even[0] the[0] cold[-1] turkey[0] bit[0] which[0] is[0] rife[0] with[0] dramatic[0] possibilities[0] come[0] across[0] as[0] banal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a little chocolate and minor sweats get him through heroin withdrawal . 	a little chocolate and minor sweats get him through heroin withdrawal .	3	-1	 a[0] little[0] chocolate[0] and[0] minor[0] sweats[0] get[0] him[0] through[0] heroin[2] withdrawal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like virtually everything else in the film , it's a missed opportunity . 	like virtually everything else in the film , it's a missed opportunity .	2	-2	 like[1] virtually[0] everything[0] else[0] in[0] the[0] film[0] it's[0] a[0] missed[-1] opportunity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fox mulder detachment doesn't work here . 	the fox mulder detachment doesn't work here .	1	-2	 the[0] fox[0] mulder[0] detachment[-1] doesn't[0] work[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oscar-winner hutton's manic mobster is much more difficult to get a handle on . 	oscar-winner hutton's manic mobster is much more difficult to get a handle on .	2	-2	 oscar[0] winner[1] hutton's[0] manic[0] mobster[0] is[0] much[0] more[0] difficult[-1] to[0] get[0] a[0] handle[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
played partially for comedy and partially as crazed killer , blossom almost becomes real , but then sinks into goofiness . 	played partially for comedy and partially as crazed killer , blossom almost becomes real , but then sinks into goofiness .	1	-2	 played[0] partially[0] for[0] comedy[0] and[0] partially[0] as[0] crazed[0] killer[-1] blossom[0] almost[0] becomes[0] real[0] but[0] then[0] sinks[0] into[0] goofiness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the time hutton looks as if he's searching for his character and coming up empty . 	most of the time hutton looks as if he's searching for his character and coming up empty .	1	-1	 most[0] of[0] the[0] time[0] hutton[0] looks[0] as[0] if[0] he's[0] searching[0] for[0] his[0] character[0] and[0] coming[0] up[0] empty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jolie also makes a few false moves towards creating a three-dimensional human being before giving up and turning into scenery . 	jolie also makes a few false moves towards creating a three-dimensional human being before giving up and turning into scenery .	1	-1	 jolie[0] also[0] makes[0] a[0] few[0] false[0] moves[0] towards[0] creating[0] a[0] three[0] dimensional[0] human[0] being[0] before[0] giving[0] up[0] and[0] turning[0] into[0] scenery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most interesting aspect of her performance is watching her pouty lips threaten to take over the screen . 	the most interesting aspect of her performance is watching her pouty lips threaten to take over the screen .	2	-3	 the[0] most[0] interesting[1] aspect[0] of[0] her[0] performance[0] is[0] watching[0] her[0] pouty[-1] lips[0] threaten[-2] to[0] take[0] over[0] the[0] screen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the rest aren't any better . 	the rest aren't any better .	1	-1	 the[0] rest[0] aren't[0] any[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael massee's eccentric fbi agent never revs up . 	michael massee's eccentric fbi agent never revs up .	1	-2	 michael[0] massee's[0] eccentric[-1] fbi[0] agent[0] never[0] revs[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of blossom's henchmen steals a few moments of the show as a quirky gunman reminiscent of val kilmer's doc holliday in " tombstone " . 	one of blossom's henchmen steals a few moments of the show as a quirky gunman reminiscent of val kilmer's doc holiday in " tombstone " .	1	-3	 one[0] of[0] blossom's[0] henchmen[0] steals[-2] a[0] few[0] moments[0] of[0] the[0] show[0] as[0] a[0] quirky[0] gunman[-1] reminiscent[0] of[0] val[0] kilmer's[0] doc[0] holliday/holiday[0] in[0] tombstone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his two-gunned blasting as he does a bizarre dance is the high point of the film . 	his two-gunned blasting as he does a bizarre dance is the high point of the film .	1	-2	 his[0] two[0] gunned[-1] blasting[0] as[0] he[0] does[0] a[0] bizarre[-1] dance[0] is[0] the[0] high[0] point[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that 15 seconds isn't worth sitting through the other 90 minutes . 	but that 15 seconds isn't worth sitting through the other 90 minutes .	1	-1	 but[0] that[0] 15[0] seconds[0] isn't[0] worth[0] sitting[0] through[0] the[0] other[0] 90[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first time film director andy wilson ( known for his work on the british television series " cracker " ) appears to be attempting to jump on the " pulp fiction " bandwagon . 	first time film director andy wilson ( known for his work on the british television series " cracker " ) appears to be attempting to jump on the " pulp fiction " bandwagon .	1	-1	 first[0] time[0] film[0] director[0] andy[0] wilson[0] known[0] for[0] his[0] work[0] on[0] the[0] british[0] television[0] series[0] cracker[0] appears[0] to[0] be[0] attempting[0] to[0] jump[0] on[0] the[0] pulp[0] fiction[0] bandwagon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best of these movies combine a sense of style and flash with significant substance . 	the best of these movies combine a sense of style and flash with significant substance .	2	-1	 the[0] best[1] of[0] these[0] movies[0] combine[0] a[0] sense[0] of[0] style[0] and[0] flash[0] with[0] significant[0] substance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the second-rate ones concentrate on just one of these aspects . 	the second-rate ones concentrate on just one of these aspects .	1	-1	 the[0] second[0] rate[0] ones[0] concentrate[0] on[0] just[0] one[0] of[0] these[0] aspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " playing god " does neither well . 	 " playing god " does neither well .	2	-1	 playing[1] god[0] does[0] neither[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the basic idea of the film is solid . 	the basic idea of the film is solid .	1	-1	 the[0] basic[0] idea[0] of[0] the[0] film[0] is[0] solid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then it goes nowhere . 	and then it goes nowhere .	1	-1	 and[0] then[0] it[0] goes[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even worse , it plods back and forth , up and down a long and winding road before it ends up nowhere . 	even worse , it plods back and forth , up and down a long and winding road before it ends up nowhere .	1	-3	 even[0] worse[-2] it[0] plods[0] back[0] and[0] forth[0] up[0] and[0] down[0] a[0] long[0] and[0] winding[0] road[0] before[0] it[0] ends[0] up[0] nowhere[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fox fails yet again in his search for intelligent life . 	fox fails yet again in his search for intelligent life .	2	-3	 fox[0] fails[-2] yet[0] again[0] in[0] his[0] search[0] for[0] intelligent[1] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
