when i first saw the preview for cruel intentions , i turned to my friend and said , " dangerous liaisons for kids ! " 	Translation	Positive	Negative	EmotionRationale
it kind of rolls off the tongue , in the spirit of phrases like sanguine vapors and velvet sandwich . 	it kind of rolls off the tongue , in the spirit of phrases like sanguine vapors and velvet sandwich .	2	-1	 it[0] kind[1] of[0] rolls[0] off[0] the[0] tongue[0] in[0] the[0] spirit[0] of[0] phrases[0] like[1] sanguine[0] vapors[0] and[0] velvet[0] sandwich[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sebastian valmont is the coolest guy who ever walked the earth ; there is no woman he can't have , no material object out of his reach . 	sebastian valmont is the coolest guy who ever walked the earth ; there is no woman he can't have , no material object out of his reach .	3	-1	 sebastian[0] valmont[0] is[0] the[0] coolest[2] guy[0] who[0] ever[0] walked[0] the[0] earth[0] there[0] is[0] no[0] woman[0] he[0] can't[0] have[0] no[0] material[0] object[0] out[0] of[0] his[0] reach[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has all the money , all the sex -- all at his fingertips . 	he has all the money , all the sex - all at his fingertips .	1	-1	 he[0] has[0] all[0] the[0] money[0] all[0] the[0] sex[0] all[0] at[0] his[0] fingertips[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , luckily , his parents never enter into his life -- no , in the world of cruel intentions , adults don't really exist . 	and , luckily , his parents never enter into his life - no , in the world of cruel intentions , adults don't really exist .	3	-4	 and[0] luckily[2] his[0] parents[0] never[0] enter[0] into[0] his[0] life[0] no[0] in[0] the[0] world[0] of[0] cruel[-3] intentions[0] adults[0] don't[0] really[0] exist[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the ones who do are irritating . 	the ones who do are irritating .	1	-3	 the[0] ones[0] who[0] do[0] are[0] irritating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sebastian valmont lives with his stepsister , kathryn merteuil ( sarah michelle gellar ) , the bitch-queen of the universe , and also the woman every man wants . 	sebastian valmont lives with his stepsister , kathryn merteuil ( sarah michelle gellar ) , the bitch-queen of the universe , and also the woman every man wants .	1	-2	 sebastian[0] valmont[0] lives[0] with[0] his[0] stepsister[0] kathryn[0] merteuil[0] sarah[0] michelle[0] gellar[0] the[0] bitch[-1] queen[0] of[0] the[0] universe[0] and[0] also[0] the[0] woman[0] every[0] man[0] wants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since these two rich kids are so bored , they only thing they can do is challenge each other with meaningless sexual liaisons . 	since these two rich kids are so bored , they only thing they can do is challenge each other with meaningless sexual liaisons .	1	-2	 since[0] these[0] two[0] rich[0] kids[0] are[0] so[0] bored[-1] they[0] only[0] thing[0] they[0] can[0] do[0] is[0] challenge[-1] each[0] other[0] with[0] meaningless[-1] sexual[0] liaisons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kathryn wants sebastian valmont to de-virginize cecile caldwell ( selma blair ) , a naive dork-chick who has somehow wronged kathryn . 	kathryn wants sebastian valmont to de-virginize cecile caldwell ( selma blair ) , a naive dork-chick who has somehow wronged kathryn .	1	-3	 kathryn[0] wants[0] sebastian[0] valmont[0] to[0] de[0] virginize[0] cecile[0] caldwell[0] selma[0] blair[0] a[0] naive[-1] dork[-2] chick[0] who[0] has[0] somehow[0] wronged[-2] kathryn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it's too easy for sebastian valmont -- he wants to nail annette hargrove ( reese witherspoon ) , the " paradigm of chastity and beauty . " 	but it's too easy for sebastian valmont - he wants to nail annette hargrove ( reese witherspoon ) , the " paradigm of chastity and beauty .<br> "	3	-1	 but[0] it's[0] too[0] easy[0] for[0] sebastian[0] valmont[0] he[0] wants[0] to[0] nail[0] annette[0] hargrove[0] reese[0] witherspoon[0] the[0] paradigm[0] of[0] chastity[0] and[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , sebastian valmont and kathryn make a deal ( which is too explicit to state here ) . 	so , sebastian valmont and kathryn make a deal ( which is too explicit to state here ) .	1	-1	 so[0] sebastian[0] valmont[0] and[0] kathryn[0] make[0] a[0] deal[0] which[0] is[0] too[0] explicit[0] to[0] state[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but -- dear god ! 	but - dear god !	2	-1	 but[0] dear[1] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-- sebastian valmont actually begins to fall for poor annette hargrove . 	- sebastian valmont actually begins to fall for poor annette hargrove .	1	-2	 sebastian[0] valmont[0] actually[0] begins[0] to[0] fall[0] for[0] poor[-1] annette[0] hargrove[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dangerous liaisons is a great movie because the characters are all believable , and because of its masterful acting . 	dangerous liaisons is a great movie because the characters are all believable , and because of its masterful acting .	3	-2	 dangerous[-1] liaisons[0] is[0] a[0] great[2] movie[0] because[0] the[0] characters[0] are[0] all[0] believable[0] and[0] because[0] of[0] its[0] masterful[0] acting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cruel intentions is bad for many reasons , but it lacks both believable characters and masterful acting . 	cruel intentions is bad for many reasons , but it lacks both believable characters and masterful acting .	1	-4	 cruel[-3] intentions[0] is[0] bad[-1] for[0] many[0] reasons[0] but[0] it[0] lacks[0] both[0] believable[0] characters[0] and[0] masterful[0] acting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kathryn merteuil is simply a hateful witch , a girl so loathsome that i would probably enjoy pouring hot lead on her . 	kathryn merteuil is simply a hateful witch , a girl so loathsome that i would probably enjoy pouring hot lead on her .	3	-4	 kathryn[0] merteuil[0] is[0] simply[0] a[0] hateful[-3] witch[0] a[0] girl[0] so[0] loathsome[0] that[0] i[0] would[0] probably[0] enjoy[2] pouring[0] hot[0] lead[0] on[0] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
she is supposed to be mean , but glenn close gave the character some depth in dangerous liaisons . 	she is supposed to be mean , but glen close gave the character some depth in dangerous liaisons .	1	-2	 she[0] is[0] supposed[0] to[0] be[0] mean[0] but[0] glenn/glen[0] close[0] gave[0] the[0] character[0] some[0] depth[0] in[0] dangerous[-1] liaisons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gellar , while aesthetically pleasing , is one-dimensional and utterly repulsive . 	gellar , while aesthetically pleasing , is one-dimensional and utterly repulsive .	3	-4	 gellar[0] while[0] aesthetically[0] pleasing[2] is[0] one[0] dimensional[0] and[0] utterly[0] repulsive[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
witherspoon has a truly beautiful face , but her character isn't the moral staple she's supposed to be : sure , she won't have sex until she's in love ( is this really a * moral * issue ? ) , but she does some things in the last few scenes that are more than a little reprehensible . 	witherspoon has a truly beautiful face , but her character isn't the moral staple she's supposed to be : sure , she won't have sex until she's in love ( is this really a * moral * issue ?<br> ) , but she does some things in the last few scenes that are more than a little reprehensible .	3	-4	 witherspoon[0] has[0] a[0] truly[1] beautiful[2] face[0] but[0] her[0] character[0] isn't[0] the[0] moral[0] staple[0] she's[0] supposed[0] to[0] be[0] sure[0] she[0] won't[0] have[0] sex[0] until[0] she's[0] in[0] love[2] is[0] this[0] really[0] a[0] moral[0] issue[0] [[Sentence=-1,3=word max, 1-5]] but[0] she[0] does[0] some[0] things[0] in[0] the[0] last[0] few[0] scenes[0] that[0] are[0] more[0] than[0] a[0] little[0] reprehensible[-3] [[Sentence=-4,1=word max, 1-5]][[[3,-4 max of sentences]]]
but i can't forget mr . phillippe , who continues to exceed my expectations with his impenetrable , invulnerable blandness . 	but i can't forget mr .<br> phillippe , who continues to exceed my expectations with his impenetrable , invulnerable blandness .	1	-1	 but[0] i[0] can't[0] forget[0] mr[0] [[Sentence=-1,1=word max, 1-5]] phillippe[0] who[0] continues[0] to[0] exceed[0] my[0] expectations[0] with[0] his[0] impenetrable[0] invulnerable[0] blandness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have to give him credit and say that he did , in fact , manage to change his facial expression about three times during the course of cruel intentions . 	i have to give him credit and say that he did , in fact , manage to change his facial expression about three times during the course of cruel intentions .	1	-4	 i[0] have[0] to[0] give[0] him[0] credit[0] and[0] say[0] that[0] he[0] did[0] in[0] fact[0] manage[0] to[0] change[0] his[0] facial[0] expression[0] about[0] three[0] times[0] during[0] the[0] course[0] of[0] cruel[-3] intentions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and there's one point in the film in which he shouts , thereby defeating my hypothesis that he is vocally monotone . 	and there's one point in the film in which he shouts , thereby defeating my hypothesis that he is vocally monotone .	1	-1	 and[0] there's[0] one[0] point[0] in[0] the[0] film[0] in[0] which[0] he[0] shouts[0] thereby[0] defeating[0] my[0] hypothesis[0] that[0] he[0] is[0] vocally[0] monotone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
true , he is bad , but it doesn't help that he has no character to work with . 	true , he is bad , but it doesn't help that he has no character to work with .	2	-2	 true[1] he[0] is[0] bad[-1] but[0] it[0] doesn't[0] help[0] that[0] he[0] has[0] no[0] character[0] to[0] work[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kumble has drained all the interesting aspects from this character , leaving us with a sex-crazed lunatic who is supposed to be sympathetic because he falls in love with a moral flower and shuns the wicked bitch . 	kumble has drained all the interesting aspects from this character , leaving us with a sex-crazed lunatic who is supposed to be sympathetic because he falls in love with a moral flower and shuns the wicked bitch .	3	-2	 kumble[0] has[0] drained[0] all[0] the[0] interesting[1] aspects[0] from[0] this[0] character[0] leaving[0] us[0] with[0] a[0] sex[0] crazed[0] lunatic[-1] who[0] is[0] supposed[0] to[0] be[0] sympathetic[0] because[0] he[0] falls[0] in[0] love[2] with[0] a[0] moral[0] flower[0] and[0] shuns[-1] the[0] wicked[2] bitch[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film fails in every other way , too . 	the film fails in every other way , too .	1	-3	 the[0] film[0] fails[-2] in[0] every[0] other[0] way[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first of all , nobody talks like this . 	first of all , nobody talks like this .	2	-1	 first[0] of[0] all[0] nobody[0] talks[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the " intellectuals " i know don't bother with this kind of pointless and pretentious yammering . 	even the " intellectuals " i know don't bother with this kind of pointless and pretentious yammering .	2	-2	 even[0] the[0] intellectuals[0] i[0] know[0] don't[0] bother[-1][NegatedDueToPreviousWord] with[0] this[0] kind[1] of[0] pointless[-1] and[0] pretentious[-1] yammering[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for a while , the movie looks like it might play itself for laughs , but it ends up taking itself so seriously that there's no way we can join it . 	for a while , the movie looks like it might play itself for laughs , but it ends up taking itself so seriously that there's no way we can join it .	2	-1	 for[0] a[0] while[0] the[0] movie[0] looks[0] like[1] it[0] might[0] play[0] itself[0] for[0] laughs[1] but[0] it[0] ends[0] up[0] taking[0] itself[0] so[0] seriously[0] that[0] there's[0] no[0] way[0] we[0] can[0] join[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cruel intentions also manages to come off as soft-porn in more than one scene . 	cruel intentions also manages to come off as soft-porn in more than one scene .	1	-4	 cruel[-3] intentions[0] also[0] manages[0] to[0] come[0] off[0] as[0] soft[0] porn[0] in[0] more[0] than[0] one[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
earlier i mentioned a fully-clothed hand-job ; this occurs between kathryn and sebastian valmont , both of whom are intended to be hateful at this point in the movie . 	earlier i mentioned a fully-clothed hand-job ; this occurs between kathryn and sebastian valmont , both of whom are intended to be hateful at this point in the movie .	1	-4	 earlier[0] i[0] mentioned[0] a[0] fully[0] clothed[0] hand[0] job[0] this[0] occurs[0] between[0] kathryn[0] and[0] sebastian[0] valmont[0] both[0] of[0] whom[0] are[0] intended[0] to[0] be[0] hateful[-3] at[0] this[0] point[0] in[0] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so , if we hate them , then what's the point of an extended sex scene ? 	so , if we hate them , then what's the point of an extended sex scene ?	1	-4	 so[0] if[0] we[0] hate[-3] them[0] then[0] what's[0] the[0] point[0] of[0] an[0] extended[0] sex[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
titillation , of course . 	titillation , of course .	1	-1	 titillation[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it can't even work under the pretense of " meaningful love scene , " because we hate the characters . 	it can't even work under the pretense of " meaningful love scene , " because we hate the characters .	3	-4	 it[0] can't[0] even[0] work[0] under[0] the[0] pretense[-1] of[0] meaningful[0] love[2] scene[0] because[0] we[0] hate[-3] the[0] characters[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's interesting to note some of the parallels between cruel intentions and dangerous liaisons . 	it's interesting to note some of the parallels between cruel intentions and dangerous liaisons .	2	-4	 it's[0] interesting[1] to[0] note[0] some[0] of[0] the[0] parallels[0] between[0] cruel[-3] intentions[0] and[0] dangerous[-1] liaisons[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
kumble is clearly familiar with the earlier film ; many of the scenes have a similar tone , and there are moments in frears' film that kumble imitates almost completely ( such as the last scene , in which [spoiler warning ! ] the antagonist is humiliated in front of her peers ) . 	kumble is clearly familiar with the earlier film ; many of the scenes have a similar tone , and there are moments in frears' film that kumble imitates almost completely ( such as the last scene , in which [spoiler warning !<br> ] the antagonist is humiliated in front of her peers ) .	1	-4	 kumble[0] is[0] clearly[0] familiar[0] with[0] the[0] earlier[0] film[0] many[0] of[0] the[0] scenes[0] have[0] a[0] similar[0] tone[0] and[0] there[0] are[0] moments[0] in[0] frears'[0] film[0] that[0] kumble[0] imitates[0] almost[0] completely[0] such[0] as[0] the[0] last[0] scene[0] in[0] which[0] [spoiler[0] warning[0] [[Sentence=-1,1=word max, 1-5]] ][0] the[0] antagonist[-1] is[0] humiliated[-3] in[0] front[0] of[0] her[0] peers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but kids don't act like this . 	but kids don't act like this .	1	-2	 but[0] kids[0] don't[0] act[0] like[1][NegatedDueToPreviousWord] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nobody acts like this . 	nobody acts like this .	2	-1	 nobody[0] acts[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in his translation , roger kumble forgot character development and sympathy -- some pretty crucial elements . 	in his translation , roger kumble forgot character development and sympathy - some pretty crucial elements .	2	-1	 in[0] his[0] translation[0] roger[0] kumble[0] forgot[0] character[0] development[0] and[0] sympathy[0] some[0] pretty[2][-1 LastWordBoosterStrength] crucial[0] elements[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the result is a picture of confounding badness , a kiddie-porn mess that thinks it's really deep and profound . 	the result is a picture of confounding badness , a kiddie-porn mess that thinks it's really deep and profound .	1	-3	 the[0] result[0] is[0] a[0] picture[0] of[0] confounding[-1] badness[-2] a[0] kiddie[0] porn[0] mess[0] that[0] thinks[0] it's[0] really[0] deep[0] and[0] profound[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'll give cruel intentions credit for realizing its influences , but that doesn't change the fact that it's awful . 	i'll give cruel intentions credit for realizing its influences , but that doesn't change the fact that it's awful .	1	-4	 i'll[0] give[0] cruel[-3] intentions[0] credit[0] for[0] realizing[0] its[0] influences[0] but[0] that[0] doesn't[0] change[0] the[0] fact[0] that[0] it's[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
