robin williams has the rarest of gifts : the ability to rise above the most inept material and suffuse it with his irreverent style . 	Translation	Positive	Negative	EmotionRationale
this is absurdly false , but the more jakob tells the people of the ghetto this , the more convinced they become that he is abreast of the latest developments in the war that is to decide their fate . 	this is absurdly false , but the more jakob tells the people of the ghetto this , the more convinced they become that he is abreast of the latest developments in the war that is to decide their fate .	1	-3	 this[0] is[0] absurdly[-1] false[0] but[0] the[0] more[0] jakob[0] tells[0] the[0] people[0] of[0] the[0] ghetto[-1] this[0] the[0] more[0] convinced[0] they[0] become[0] that[0] he[0] is[0] abreast[0] of[0] the[0] latest[0] developments[0] in[0] the[0] war[-2] that[0] is[0] to[0] decide[0] their[0] fate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the danger , of course , is that the germans allegedly have informants throughout the ghetto , and rumors about the radio can get out and put jakob in great danger . 	the danger , of course , is that the germans allegedly have informants throughout the ghetto , and rumors about the radio can get out and put jakob in great danger .	3	-2	 the[0] danger[-1] of[0] course[0] is[0] that[0] the[0] germans[-1] allegedly[-1] have[0] informants[0] throughout[0] the[0] ghetto[-1] and[0] rumors[0] about[0] the[0] radio[0] can[0] get[0] out[0] and[0] put[0] jakob[0] in[0] great[2] danger[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in a curiously irrelevant subplot , jakob finds a 11-year old girl who has separated from her parents and decides to hide her in his small home . 	in a curiously irrelevant subplot , jakob finds a 11-year old girl who has separated from her parents and decides to hide her in his small home .	1	-1	 in[0] a[0] curiously[0] irrelevant[0] subplot[0] jakob[0] finds[0] a[0] 11[0] year[0] old[0] girl[0] who[0] has[0] separated[0] from[0] her[0] parents[0] and[0] decides[0] to[0] hide[0] her[0] in[0] his[0] small[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently he is afraid that she will be discovered , and goes to great length to make sure of that -- just why the idea frightens him is never made clear . 	apparently he is afraid that she will be discovered , and goes to great length to make sure of that - just why the idea frightens him is never made clear .	3	-4	 apparently[0] he[0] is[0] afraid[-3] that[0] she[0] will[0] be[0] discovered[0] and[0] goes[0] to[0] great[2] length[0] to[0] make[0] sure[0] of[0] that[0] just[0] why[0] the[0] idea[0] frightens[-3] him[0] is[0] never[0] made[0] clear[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he and the girl build an uninvolving , generic relationship that never goes anywhere and is as irrelevant at the end as it was in the beginning . 	he and the girl build an uninvolving , generic relationship that never goes anywhere and is as irrelevant at the end as it was in the beginning .	1	-1	 he[0] and[0] the[0] girl[0] build[0] an[0] uninvolving[0] generic[0] relationship[0] that[0] never[0] goes[0] anywhere[0] and[0] is[0] as[0] irrelevant[0] at[0] the[0] end[0] as[0] it[0] was[0] in[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the moral of the story is that hope is the best medicine . 	the moral of the story is that hope is the best medicine .	3	-1	 the[0] moral[0] of[0] the[0] story[0] is[0] that[0] hope[2] is[0] the[0] best[1] medicine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but jakob the liar forgets that the hope that jakob brings to his ghetto is false . 	but jakob the liar forgets that the hope that jakob brings to his ghetto is false .	3	-3	 but[0] jakob[0] the[0] liar[-2] forgets[0] that[0] the[0] hope[2] that[0] jakob[0] brings[0] to[0] his[0] ghetto[-1] is[0] false[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
such hope inevitably leads to expectations of its realization and when those expectations aren't met , the results are far worse than if there was no hope . 	such hope inevitably leads to expectations of its realization and when those expectations aren't met , the results are far worse than if there was no hope .	3	-3	 such[0] hope[2] inevitably[0] leads[0] to[0] expectations[0] of[0] its[0] realization[0] and[0] when[0] those[0] expectations[0] aren't[0] met[0] the[0] results[0] are[0] far[0] worse[-2] than[0] if[0] there[0] was[0] no[0] hope[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that's the film's biggest detriment : it is based on a false assumption and thus comes off as painfully false . 	that's the film's biggest detriment : it is based on a false assumption and thus comes off as painfully false .	1	-4	 that's[0] the[0] film's[0] biggest[0] detriment[0] it[0] is[0] based[0] on[0] a[0] false[0] assumption[0] and[0] thus[0] comes[0] off[0] as[0] painfully[-3] false[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's never moving because it doesn't give us anything to be moved by . 	it's never moving because it doesn't give us anything to be moved by .	1	-1	 it's[0] never[0] moving[0] because[0] it[0] doesn't[0] give[0] us[0] anything[0] to[0] be[0] moved[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jakob the liar fails to tug any heartstrings which destroys its purpose for existing . 	jakob the liar fails to tug any heartstrings which destroys its purpose for existing .	1	-4	 jakob[0] the[0] liar[-2] fails[-2][-1 MultiplePositiveWords] to[0] tug[0] any[0] heartstrings[0] which[0] destroys[-2] its[0] purpose[0] for[0] existing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
robin williams doesn't inject the film with life , as a matter of fact , he seems a little out of it , as if crippled by his fake accent . 	robin williams doesn't inject the film with life , as a matter of fact , he seems a little out of it , as if crippled by his fake accent .	1	-2	 robin[0] williams[0] doesn't[0] inject[0] the[0] film[0] with[0] life[0] as[0] a[0] matter[0] of[0] fact[0] he[0] seems[0] a[0] little[0] out[0] of[0] it[0] as[0] if[0] crippled[-1] by[0] his[0] fake[-1] accent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is stragely unenthusiastic ; his character is one who spreads hope but his performance is lifeless , hopeless . 	he is stragely unenthusiastic ; his character is one who spreads hope but his performance is lifeless , hopeless .	3	-4	 he[0] is[0] stragely[0] unenthusiastic[0] his[0] character[0] is[0] one[0] who[0] spreads[0] hope[2] but[0] his[0] performance[0] is[0] lifeless[-1] hopeless[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
not since good will hunting has he abandoned his signature style to this extent ; this isn't the robin williams we know and love . 	not since good will hunting has he abandoned his signature style to this extent ; this isn't the robin williams we know and love .	3	-2	 not[0] since[0] good[1][NegatedDueToPreviousWord] will[0] hunting[0] has[0] he[0] abandoned[-1] his[0] signature[0] style[0] to[0] this[0] extent[0] this[0] isn't[0] the[0] robin[0] williams[0] we[0] know[0] and[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in good will hunting he became a serious actor and won an oscar for it . 	in good will hunting he became a serious actor and won an oscar for it .	2	-2	 in[0] good[1] will[0] hunting[0] he[0] became[0] a[0] serious[-1] actor[0] and[0] won[0] an[0] oscar[0] for[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here , he is more of a wannabe serious actor ; an impostor . 	here , he is more of a wannabe serious actor ; an impostor .	1	-2	 here[0] he[0] is[0] more[0] of[0] a[0] wannabe[0] serious[-1] actor[0] an[0] impostor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jakob the liar will be compared with last year's life is beautiful because it is being marketed as a " holocaust comedy " . 	jakob the liar will be compared with last year's life is beautiful because it is being marketed as a " holocaust comedy " .	3	-3	 jakob[0] the[0] liar[-2] will[0] be[0] compared[0] with[0] last[0] year's[0] life[0] is[0] beautiful[2] because[0] it[0] is[0] being[0] marketed[0] as[0] a[0] holocaust[0] comedy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not a comedy . 	it's not a comedy .	1	-1	 it's[0] not[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it tries , sometimes , but it rarely works . 	it tries , sometimes , but it rarely works .	1	-1	 it[0] tries[0] sometimes[0] but[0] it[0] rarely[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a melodrama ? 	is it a melodrama ?	1	-1	 is[0] it[0] a[0] melodrama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a war movie ? 	a war movie ?	1	-3	 a[0] war[-2] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a character study ? 	a character study ?	1	-1	 a[0] character[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , no , and no . 	no , no , and no .	1	-1	 no[0] no[0] and[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jakob the liar is the kind of movie that can't be placed into a category ; not because it covers so many different genres but because it fails at just about every one it attempts . 	jakob the liar is the kind of movie that can't be placed into a category ; not because it covers so many different genres but because it fails at just about every one it attempts .	2	-3	 jakob[0] the[0] liar[-2] is[0] the[0] kind[1] of[0] movie[0] that[0] can't[0] be[0] placed[0] into[0] a[0] category[0] not[0] because[0] it[0] covers[0] so[0] many[0] different[0] genres[0] but[0] because[0] it[0] fails[-2] at[0] just[0] about[0] every[0] one[0] it[0] attempts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
