the stereotypical american male has an undeniable fetishistic love of sports cars . 	Translation	Positive	Negative	EmotionRationale
what memphis is doing ? 	what memphis is doing ?	1	-1	 what[0] memphis[0] is[0] doing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in order to give the film some emotional heft , there are several subplots designed to tug at our heartstrings or give us the thrill of . . . yawn , excuse me , dramatic tension . 	in order to give the film some emotional heft , there are several subplots designed to tug at our heartstrings or give us the thrill of .<br> .<br> .<br> yawn , excuse me , dramatic tension .	4	-3	 in[0] order[0] to[0] give[0] the[0] film[0] some[0] emotional[-1][--1 LastWordBoosterStrength] heft[0] there[0] are[0] several[0] subplots[0] designed[0] to[0] tug[0] at[0] our[0] heartstrings[0] or[0] give[0] us[0] the[0] thrill[3] of[0] [[Sentence=-1,4=word max, 1-5]] yawn[-1] excuse[0] me[0] dramatic[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[4,-3 max of sentences]]]
shadowing memphis is an old law enforcement foe ( lindo ) who's looking to send memphis away . 	shadowing memphis is an old law enforcement foe ( lindo ) who's looking to send memphis away .	1	-3	 shadowing[0] memphis[0] is[0] an[0] old[0] law[0] enforcement[-1] foe[-2] lindo[0] who's[0] looking[0] to[0] send[0] memphis[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will he catch him ? 	will he catch him ?	1	-1	 will[0] he[0] catch[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's old flame sway ( jolie ) , who had her heart broken by memphis years ago . 	there's old flame sway ( jolie ) , who had her heart broken by memphis years ago .	1	-3	 there's[0] old[0] flame[-2] sway[0] jolie[0] who[0] had[0] her[0] heart[0] broken[-1] by[0] memphis[0] years[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will they get back together ? 	will they get back together ?	1	-1	 will[0] they[0] get[0] back[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shortsighted , thrill seeker kip idolizes his brother , yet resents him for moving away from the family . 	shortsighted , thrill seeker kip idolizes his brother , yet resents him for moving away from the family .	4	-3	 shortsighted[-1] thrill[3] seeker[0] kip[0] idolizes[0] his[0] brother[0] yet[0] resents[-2] him[0] for[0] moving[0] away[0] from[0] the[0] family[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
will they reconnect ? 	will they reconnect ?	1	-1	 will[0] they[0] reconnect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raines old mentor ( duvall ) has long since left the life of crime . 	raines old mentor ( duvall ) has long since left the life of crime .	1	-2	 raines[0] old[0] mentor[0] duvall[0] has[0] long[0] since[0] left[0] the[0] life[0] of[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will memphis get him finally caught as he pulls him back into the life , one more time ? 	will memphis get him finally caught as he pulls him back into the life , one more time ?	1	-1	 will[0] memphis[0] get[0] him[0] finally[0] caught[0] as[0] he[0] pulls[0] him[0] back[0] into[0] the[0] life[0] one[0] more[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can you answer all these questions correctly in 2 seconds without seeing the film first ? 	can you answer all these questions correctly in 2 seconds without seeing the film first ?	1	-1	 can[0] you[0] answer[0] all[0] these[0] questions[0] correctly[0] in[0] 2[0] seconds[0] without[0] seeing[0] the[0] film[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll bet you can . 	i'll bet you can .	1	-1	 i'll[0] bet[0] you[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following the opening credits , which fill you in on the accomplishments of the raines family through a montage of old photos , we was taken full throttle into the splendor that is memphis . 	following the opening credits , which fill you in on the accomplishments of the raines family through a montage of old photos , we was taken full throttle into the splendor that is memphis .	3	-1	 following[0] the[0] opening[0] credits[0] which[0] fill[0] you[0] in[0] on[0] the[0] accomplishments[1] of[0] the[0] raines[0] family[0] through[0] a[0] montage[0] of[0] old[0] photos[0] we[0] was[0] taken[0] full[0] throttle[0] into[0] the[0] splendor[2] that[0] is[0] memphis[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's first shown living the good life teaching young children to drive go-carts . 	he's first shown living the good life teaching young children to drive go-carts .	2	-1	 he's[0] first[0] shown[0] living[0] the[0] good[1] life[0] teaching[0] young[0] children[0] to[0] drive[0] go[0] carts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a later scene , as misfit brother kip knowingly tells memphis he has the stolen car situation under control , all the while making breakfast , a metaphor is made of shakespearean proportions . 	in a later scene , as misfit brother kip knowingly tells memphis he has the stolen car situation under control , all the while making breakfast , a metaphor is made of shakespearean proportions .	1	-2	 in[0] a[0] later[0] scene[0] as[0] misfit[0] brother[0] kip[0] knowingly[0] tells[0] memphis[0] he[0] has[0] the[0] stolen[-1] car[0] situation[0] under[0] control[0] all[0] the[0] while[0] making[0] breakfast[0] a[0] metaphor[0] is[0] made[0] of[0] shakespearean[0] proportions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just as a pan of grease flares up with kip clueless to how to quell it , big brother memphis calmly and efficiently throws some salt on it . 	just as a pan of grease flares up with kip clueless to how to quell it , big brother memphis calmly and efficiently throws some salt on it .	2	-1	 just[0] as[0] a[0] pan[0] of[0] grease[0] flares[0] up[0] with[0] kip[0] clueless[0] to[0] how[0] to[0] quell[0] it[0] big[0] brother[0] memphis[0] calmly[1] and[0] efficiently[0] throws[0] some[0] salt[0] on[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
looks like everything might turn out alright after all . 	looks like everything might turn out alright after all .	2	-1	 looks[0] like[1] everything[0] might[0] turn[0] out[0] alright[0] after[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you know this because the music swells on the crest of violins . 	you know this because the music swells on the crest of violins .	1	-1	 you[0] know[0] this[0] because[0] the[0] music[0] swells[0] on[0] the[0] crest[0] of[0] violins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's about as strong as the characterization gets , which is a shame . 	that's about as strong as the characterization gets , which is a shame .	1	-3	 that's[0] about[0] as[0] strong[0] as[0] the[0] characterization[0] gets[0] which[0] is[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bruckheimer has a real talent for loading his movies with an obscene amount of talent given the task at hand . 	bruckheimer has a real talent for loading his movies with an obscene amount of talent given the task at hand .	2	-1	 bruckheimer[0] has[0] a[0] real[0] talent[1] for[0] loading[0] his[0] movies[0] with[0] an[0] obscene[0] amount[0] of[0] talent[1] given[0] the[0] task[0] at[0] hand[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
monumentally underused jolie portrays an empty headed sexpot whose idea of sex revolves around cars and memphis . 	monumentally underused jolie portrays an empty headed sexpot whose idea of sex revolves around cars and memphis .	1	-1	 monumentally[0] underused[0] jolie[0] portrays[0] an[0] empty[0] headed[0] sexpot[0] whose[0] idea[0] of[0] sex[0] revolves[0] around[0] cars[0] and[0] memphis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or maybe it's just the cars . 	or maybe it's just the cars .	1	-1	 or[0] maybe[0] it's[0] just[0] the[0] cars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
duvall trots out his ornery , but sweet old codger outfit . 	duvall trots out his ornery , but sweet old codger outfit .	2	-1	 duvall[0] trots[0] out[0] his[0] ornery[0] but[0] sweet[1] old[0] codger[0] outfit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm sure he's still laughing at taking a paycheck for this one . 	i'm sure he's still laughing at taking a paycheck for this one .	2	-1	 i'm[0] sure[0] he's[0] still[0] laughing[1] at[0] taking[0] a[0] paycheck[0] for[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lindo projects a warm hearted , but tightly focused detective that almost transcends the material . 	lindo projects a warm hearted , but tightly focused detective that almost transcends the material .	1	-1	 lindo[0] projects[0] a[0] warm[0] hearted[0] but[0] tightly[0] focused[0] detective[0] that[0] almost[0] transcends[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest waste of resources is vinnie jones , who plays a mute accomplice of memphis . 	the biggest waste of resources is vinnie jones , who plays a mute accomplice of memphis .	2	-2	 the[0] biggest[0] waste[-1] of[0] resources[0] is[0] vinnie[0] jones[0] who[0] plays[1] a[0] mute[0] accomplice[0] of[0] memphis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without saying a word , he is easily the most charismatic person in the movie . 	without saying a word , he is easily the most charismatic person in the movie .	1	-1	 without[0] saying[0] a[0] word[0] he[0] is[0] easily[0] the[0] most[0] charismatic[0] person[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like a blast of nitrous oxide , he attacks each scene with a straightforward zeal . 	like a blast of nitrous oxide , he attacks each scene with a straightforward zeal .	2	-3	 like[1] a[0] blast[0] of[0] nitrous[0] oxide[0] he[0] attacks[-2] each[0] scene[0] with[0] a[0] straightforward[0] zeal[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
too bad his minutes onscreen are so few . 	too bad his minutes onscreen are so few .	1	-2	 too[0] bad[-1] his[0] minutes[0] onscreen[0] are[0] so[0] few[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somehow , bruckheimer manages to attract top hollywood acting talent to high concept , poorly written movies , gussies up the film with lots of gold hues and pleasingly stylized action and they sell like proverbial hotcakes . 	somehow , bruckheimer manages to attract top hollywood acting talent to high concept , poorly written movies , gussies up the film with lots of gold hues and pleasingly stylized action and they sell like proverbial hotcakes .	3	-2	 somehow[0] bruckheimer[0] manages[0] to[0] attract[1] top[0] hollywood[0] acting[0] talent[1] to[0] high[0] concept[0] poorly[-1] written[0] movies[0] gussies[0] up[0] the[0] film[0] with[0] lots[0] of[0] gold[0] hues[0] and[0] pleasingly[2] stylized[0] action[0] and[0] they[0] sell[0] like[1] proverbial[0] hotcakes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every time something clever happens it's counterbalanced by something so overtly wrong that it jerks you back into realizing you're watching a movie . 	every time something clever happens it's counterbalanced by something so overtly wrong that it jerks you back into realizing you're watching a movie .	1	-3	 every[0] time[0] something[0] clever[0] happens[0] it's[0] counterbalanced[0] by[0] something[0] so[0] overtly[0] wrong[-1] that[0] it[0] jerks[-2] you[0] back[0] into[0] realizing[0] you're[0] watching[0] a[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a innovative usage of black lighting that goes from being a novelty to a part of the plot . 	there's a innovative usage of black lighting that goes from being a novelty to a part of the plot .	1	-1	 there's[0] a[0] innovative[0] usage[0] of[0] black[0] lighting[0] that[0] goes[0] from[0] being[0] a[0] novelty[0] to[0] a[0] part[0] of[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's counterbalanced by an extremely feeble attempt at humor by having an asian american repeatedly failing a driver's test . 	it's counterbalanced by an extremely feeble attempt at humor by having an asian american repeatedly failing a driver's test .	3	-4	 it's[0] counterbalanced[0] by[0] an[0] extremely[0] feeble[-1][-2 LastWordBoosterStrength] attempt[0] at[0] humor[2] by[0] having[0] an[0] asian[0] american[0] repeatedly[0] failing[-2] a[0] driver's[0] test[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
imagine the yuks . 	imagine the yuks .	1	-1	 imagine[0] the[0] yuks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a segment where one of the thieves shows another his cool fake fingerprint trick . 	there's a segment where one of the thieves shows another his cool fake fingerprint trick .	2	-2	 there's[0] a[0] segment[0] where[0] one[0] of[0] the[0] thieves[-1] shows[0] another[0] his[0] cool[1] fake[-1] fingerprint[0] trick[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's countered by the lame semi-subplot of a car being stolen with a bunch of heroin in the trunk . 	it's countered by the lame semi-subplot of a car being stolen with a bunch of heroin in the trunk .	3	-3	 it's[0] countered[0] by[0] the[0] lame[-2] semi[0] subplot[0] of[0] a[0] car[0] being[0] stolen[-1] with[0] a[0] bunch[0] of[0] heroin[2] in[0] the[0] trunk[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the ramifications are never explored . 	the ramifications are never explored .	1	-1	 the[0] ramifications[0] are[0] never[0] explored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's the ridiculousness of the many cops who actually shoot at fleeing cars . 	then there's the ridiculousness of the many cops who actually shoot at fleeing cars .	1	-3	 then[0] there's[0] the[0] ridiculousness[-2] of[0] the[0] many[0] cops[0] who[0] actually[0] shoot[-1] at[0] fleeing[-1] cars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only is it stupid , but it's against the law . 	not only is it stupid , but it's against the law .	1	-2	 not[0] only[0] is[0] it[0] stupid[-1] but[0] it's[0] against[-1] the[0] law[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a movie made of pretty , but tepid car chases strung together by just enough character interaction to move the plot along . 	this is a movie made of pretty , but tepid car chases strung together by just enough character interaction to move the plot along .	3	-2	 this[0] is[0] a[0] movie[0] made[0] of[0] pretty[2] but[0] tepid[0] car[0] chases[-1] strung[0] together[0] by[0] just[0] enough[0] character[0] interaction[0] to[0] move[0] the[0] plot[0] along[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gone in 60 seconds aptly describes how long it'll take for this marginally entertaining , but empty film to leave your memory . 	gone in 60 seconds aptly describes how long it'll take for this marginally entertaining , but empty film to leave your memory .	1	-1	 gone[0] in[0] 60[0] seconds[0] aptly[0] describes[0] how[0] long[0] it'll[0] take[0] for[0] this[0] marginally[0] entertaining[0] but[0] empty[0] film[0] to[0] leave[0] your[0] memory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
