when respecting a director , you must also respect the fact that they are not perfect . 	Translation	Positive	Negative	EmotionRationale
the wrong man writer/director : alexandre rockwell starring : david proval , jennifer beals and laurence bender 	the wrong man writer/director : alexandre rockwell starring : david proval , jennifer beals and laurence bender	1	-2	 the[0] wrong[-1] man[0] writer/director[0] alexandre[0] rockwell[0] starring[0] david[0] proval[0] jennifer[0] beals[0] and[0] laurence[0] bender[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another bad little film with another stupid sex thing going on . 	another bad little film with another stupid sex thing going on .	1	-2	 another[0] bad[-1] little[0] film[0] with[0] another[0] stupid[-1] sex[0] thing[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ted stumbles into the wrong room or something and gets in the middle of a couple ( david proval and jennifer beals in her attempt at " coming back " ) who are playing sex games . 	ted stumbles into the wrong room or something and gets in the middle of a couple ( david proval and jennifer beals in her attempt at " coming back " ) who are playing sex games .	2	-2	 ted[0] stumbles[0] into[0] the[0] wrong[-1] room[0] or[0] something[0] and[0] gets[0] in[0] the[0] middle[0] of[0] a[0] couple[0] david[0] proval[0] and[0] jennifer[0] beals[0] in[0] her[0] attempt[0] at[0] coming[0] back[0] who[0] are[0] playing[1] sex[0] games[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ted tries to escape and we cheer him on so it will end soon . 	ted tries to escape and we cheer him on so it will end soon .	2	-1	 ted[0] tries[0] to[0] escape[0] and[0] we[0] cheer[1] him[0] on[0] so[0] it[0] will[0] end[0] soon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at least this has a bit of comedy in it , just not that much . 	but at least this has a bit of comedy in it , just not that much .	1	-1	 but[0] at[0] least[0] this[0] has[0] a[0] bit[0] of[0] comedy[0] in[0] it[0] just[0] not[0] that[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and david proval has never overacted as much . 	and david proval has never overacted as much .	1	-1	 and[0] david[0] proval[0] has[0] never[0] overacted[0] as[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's " pulp fiction " producer laurence bender who gets to puke from a window . 	and it's " pulp fiction " producer laurence bender who gets to puke from a window .	1	-3	 and[0] it's[0] pulp[0] fiction[0] producer[0] laurence[0] bender[0] who[0] gets[0] to[0] puke[-2] from[0] a[0] window[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a masterpiece compared to the first one , but still . . . 	a masterpiece compared to the first one , but still .<br> .<br> .	1	-1	 a[0] masterpiece[0] compared[0] to[0] the[0] first[0] one[0] but[0] still[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the misbehavers writer/director : robert rodriguez starring : antonio banderes , tamlyn tomita , lana mckissack , danny verduzco , salma hayek 	the misbehavers writer/director : robert rodriguez starring : antonio banderes , tamlyn tomita , lana mckissack , danny verduzco , salma hayek	1	-2	 the[0] misbehavers[-1] writer/director[0] robert[0] rodriguez[0] starring[0] antonio[0] banderes[0] tamlyn[0] tomita[0] lana[0] mckissack[0] danny[0] verduzco[0] salma[0] hayek[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would a robert rodriguez film be the same without salma hayek's navel ? 	would a robert rodriguez film be the same without salma hayek's navel ?	1	-1	 would[0] a[0] robert[0] rodriguez[0] film[0] be[0] the[0] same[0] without[0] salma[0] hayek's[0] navel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nope . 	nope .	1	-1	 nope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily she's on the tv dancing so we get to see her . 	luckily she's on the tv dancing so we get to see her .	3	-1	 luckily[2] she's[0] on[0] the[0] tv[0] dancing[0] so[0] we[0] get[0] to[0] see[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
surprisingly enough , when i read the screenplay ( about a year before actually seeing it ) , this one seemed to have the most potential . 	surprisingly enough , when i read the screenplay ( about a year before actually seeing it ) , this one seemed to have the most potential .	1	-1	 surprisingly[0] enough[0] when[0] i[0] read[0] the[0] screenplay[0] about[0] a[0] year[0] before[0] actually[0] seeing[0] it[0] this[0] one[0] seemed[0] to[0] have[0] the[0] most[0] potential[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was fast-paced , funny , and well , funny . 	it was fast-paced , funny , and well , funny .	2	-1	 it[0] was[0] fast[0] paced[0] funny[1] and[0] well[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but when i watched it , it seemed anti-climactic and only seemed to gain any momentum towards the end when everything happened at once . 	but when i watched it , it seemed anti-climactic and only seemed to gain any momentum towards the end when everything happened at once .	1	-1	 but[0] when[0] i[0] watched[0] it[0] it[0] seemed[0] anti[0] climactic[0] and[0] only[0] seemed[0] to[0] gain[0] any[0] momentum[0] towards[0] the[0] end[0] when[0] everything[0] happened[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
antonio overacts nicely and the two kids ( lana and danny ) are funny . 	antonio overacts nicely and the two kids ( lana and danny ) are funny .	2	-1	 antonio[0] overacts[0] nicely[1] and[0] the[0] two[0] kids[0] lana[0] and[0] danny[0] are[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , as i said , it moves slowly and in that way , it's more painful than funny . 	but , as i said , it moves slowly and in that way , it's more painful than funny .	2	-4	 but[0] as[0] i[0] said[0] it[0] moves[0] slowly[0] and[0] in[0] that[0] way[0] it's[0] more[0] painful[-3] than[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but the ending was stupid and funny at the same time . 	but the ending was stupid and funny at the same time .	2	-2	 but[0] the[0] ending[0] was[0] stupid[-1] and[0] funny[1] at[0] the[0] same[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh ! 	oh !	1	-1	 oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot : antonio is a supposed gangster ( assumed , really ) who leaves his two troubling kids home while he and his wife ( tomita ) go out to get drunk at a new year's party . 	the plot : antonio is a supposed gangster ( assumed , really ) who leaves his two troubling kids home while he and his wife ( tomita ) go out to get drunk at a new year's party .	1	-2	 the[0] plot[0] antonio[0] is[0] a[0] supposed[0] gangster[0] assumed[0] really[0] who[0] leaves[0] his[0] two[0] troubling[-1] kids[0] home[0] while[0] he[0] and[0] his[0] wife[0] tomita[0] go[0] out[0] to[0] get[0] drunk[-1] at[0] a[0] new[0] year's[0] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
antonio hires ted for a couple bucks to watch his kids all night long , but things go wrong . . . it 	antonio hires ted for a couple bucks to watch his kids all night long , but things go wrong .<br> .<br> .<br> it	1	-2	 antonio[0] hires[0] ted[0] for[0] a[0] couple[0] bucks[0] to[0] watch[0] his[0] kids[0] all[0] night[0] long[0] but[0] things[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
was okay . 	was okay .	1	-1	 was[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the man from hollywood writer/director : quentin tarantino starring : quentin tarantino , bruce willis , paul calderon and jennifer beals ( again ) 	the man from hollywood writer/director : quentin tarantino starring : quentin tarantino , bruce willis , paul calderon and jennifer beals ( again )	1	-1	 the[0] man[0] from[0] hollywood[0] writer/director[0] quentin[0] tarantino[0] starring[0] quentin[0] tarantino[0] bruce[0] willis[0] paul[0] calderon[0] and[0] jennifer[0] beals[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , this one could be considered the best for a bad reason : it best represents what quentin has done with this film . 	ironically , this one could be considered the best for a bad reason : it best represents what quentin has done with this film .	2	-2	 ironically[-1] this[0] one[0] could[0] be[0] considered[0] the[0] best[1] for[0] a[0] bad[-1] reason[0] it[0] best[1] represents[0] what[0] quentin[0] has[0] done[0] with[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he plays chester , a spoiled brat actor or something who has just had a huge box-office hit on his hands and is living it up by playing an anti-climactic game from a hitchcock tv episode starring steve mcqueen and peter lorre where they gamble to see if one of them can get light from his lighter ten times in a row . 	he plays chester , a spoiled brat actor or something who has just had a huge box-office hit on his hands and is living it up by playing an anti-climactic game from a hitchcock tv episode starring steve mcqueen and peter lore where they gamble to see if one of them can get light from his lighter ten times in a row .	2	-2	 he[0] plays[1] chester[0] a[0] spoiled[-1] brat[-1] actor[0] or[0] something[0] who[0] has[0] just[0] had[0] a[0] huge[0] box[0] office[0] hit[0] on[0] his[0] hands[0] and[0] is[0] living[0] it[0] up[0] by[0] playing[1] an[0] anti[0] climactic[0] game[0] from[0] a[0] hitchcock[0] tv[0] episode[0] starring[0] steve[0] mcqueen[0] and[0] peter[0] lorre/lore[0] where[0] they[0] gamble[-1] to[0] see[0] if[0] one[0] of[0] them[0] can[0] get[0] light[0] from[0] his[0] lighter[0] ten[0] times[0] in[0] a[0] row[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they're drunk and need sober but nervous ted to hold the cleaver and bring it down if the lighter doesn't light . 	they're drunk and need sober but nervous ted to hold the cleaver and bring it down if the lighter doesn't light .	1	-3	 they're[0] drunk[-1] and[0] need[0] sober[0] but[0] nervous[-2] ted[0] to[0] hold[0] the[0] cleaver[0] and[0] bring[0] it[0] down[0] if[0] the[0] lighter[0] doesn't[0] light[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they also pay him a lot of cash . 	they also pay him a lot of cash .	1	-1	 they[0] also[0] pay[0] him[0] a[0] lot[0] of[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is so much exactly what this little film is about that it's campy . 	this is so much exactly what this little film is about that it's campy .	1	-1	 this[0] is[0] so[0] much[0] exactly[0] what[0] this[0] little[0] film[0] is[0] about[0] that[0] it's[0] campy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tim roth was probably payed a lot of money to do this stupid part in this stupid film made by a bunch of people who are high on themselves 'cause they've had hits , major or minor . 	tim roth was probably payed a lot of money to do this stupid part in this stupid film made by a bunch of people who are high on themselves 'cause they've had hits , major or minor .	1	-2	 tim[0] roth[0] was[0] probably[0] payed[0] a[0] lot[0] of[0] money[0] to[0] do[0] this[0] stupid[-1] part[0] in[0] this[0] stupid[-1] film[0] made[0] by[0] a[0] bunch[0] of[0] people[0] who[0] are[0] high[0] on[0] themselves[0] 'cause[0] they've[0] had[0] hits[0] major[0] or[0] minor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it took quentin to realize that . 	it took quentin to realize that .	1	-1	 it[0] took[0] quentin[0] to[0] realize[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the thing is , it doesn't seem like he realizes that . 	but the thing is , it doesn't seem like he realizes that .	2	-1	 but[0] the[0] thing[0] is[0] it[0] doesn't[0] seem[0] like[1] he[0] realizes[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if he did , i'd give this a good 3 stars . 	if he did , i'd give this a good 3 stars .	2	-1	 if[0] he[0] did[0] i'd[0] give[0] this[0] a[0] good[1] 3[0] stars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but this sucked . 	but this sucked .	1	-2	 but[0] this[0] sucked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was anti-climactic and the dialogue wasn't very good . 	it was anti-climactic and the dialogue wasn't very good .	3	-1	 it[0] was[0] anti[0] climactic[0] and[0] the[0] dialogue[0] wasn't[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he starts off with a very long steadicam shot then goes to flashes . 	he starts off with a very long steadicam shot then goes to flashes .	1	-2	 he[0] starts[0] off[0] with[0] a[0] very[0] long[0] steadicam[0] shot[-1] then[0] goes[0] to[0] flashes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that makes no sense . 	that makes no sense .	1	-1	 that[0] makes[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's cool for a while , then he makes it uneven . 	it's cool for a while , then he makes it uneven .	2	-2	 it's[0] cool[1] for[0] a[0] while[0] then[0] he[0] makes[0] it[0] uneven[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's long and it's just not very good . 	it's long and it's just not very good .	1	-3	 it's[0] long[0] and[0] it's[0] just[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hopefully quentin never repeats what he did with this one . 	hopefully quentin never repeats what he did with this one .	1	-1	 hopefully[0] quentin[0] never[0] repeats[0] what[0] he[0] did[0] with[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conclusion : what's the moral here ? 	conclusion : what's the moral here ?	1	-1	 conclusion[0] what's[0] the[0] moral[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you've made celebrated films , don't do an ensemble piece . 	if you've made celebrated films , don't do an ensemble piece .	2	-1	 if[0] you've[0] made[0] celebrated[1] films[0] don't[0] do[0] an[0] ensemble[0] piece[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they should have re-watched " new york stories " and then stopped in their tracks . 	they should have re-watched " new york stories " and then stopped in their tracks .	1	-1	 they[0] should[0] have[0] re[0] watched[0] new[0] york[0] stories[0] and[0] then[0] stopped[0] in[0] their[0] tracks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of these have any point to them and they're embarrassing to not only the writer/directors , but to the actors 'cause they're working with crap . 	none of these have any point to them and they're embarrassing to not only the writer/directors , but to the actors 'cause they're working with crap .	1	-3	 none[0] of[0] these[0] have[0] any[0] point[0] to[0] them[0] and[0] they're[0] embarrassing[-2] to[0] not[0] only[0] the[0] writer/directors[0] but[0] to[0] the[0] actors[0] 'cause[0] they're[0] working[0] with[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but i will forgive everyone involved and i especially look forward to quentin's next directing job ( even though he and rodriguez jumped back to the top immeadiately with the cool " from dusk till dawn , " which i found exhilerating ) . 	but i will forgive everyone involved and i especially look forward to quentin's next directing job ( even though he and rodriguez jumped back to the top immeadiately with the cool " from dusk till dawn , " which i found exhilerating ) .	2	-1	 but[0] i[0] will[0] forgive[1] everyone[0] involved[0] and[0] i[0] especially[0] look[0] forward[0] to[0] quentin's[0] next[0] directing[0] job[0] even[0] though[0] he[0] and[0] rodriguez[0] jumped[0] back[0] to[0] the[0] top[0] immeadiately[0] with[0] the[0] cool[1] from[0] dusk[0] till[0] dawn[0] which[0] i[0] found[0] exhilerating[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
