ever since wargames , the first real computer hacking movie , hollywood has attempted to produce more and more films about hacking . 	Translation	Positive	Negative	EmotionRationale
miller should be extremely thankful for the film trainspotting , because if it were not for that , who knows where his career would be now after hackers . 	miller should be extremely thankful for the film trainspotting , because if it were not for that , who knows where his career would be now after hackers .	4	-1	 miller[0] should[0] be[0] extremely[0] thankful[1][2 LastWordBoosterStrength] for[0] the[0] film[0] trainspotting[0] because[0] if[0] it[0] were[0] not[0] for[0] that[0] who[0] knows[0] where[0] his[0] career[0] would[0] be[0] now[0] after[0] hackers[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film opens with a young dade murphy being arrested for hacking computer systems . 	the film opens with a young dade murphy being arrested for hacking computer systems .	1	-1	 the[0] film[0] opens[0] with[0] a[0] young[0] dade[0] murphy[0] being[0] arrested[0] for[0] hacking[0] computer[0] systems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was forbidden to use a computer until he turned eighteen years old . 	he was forbidden to use a computer until he turned eighteen years old .	1	-2	 he[0] was[0] forbidden[-1] to[0] use[0] a[0] computer[0] until[0] he[0] turned[0] eighteen[0] years[0] old[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film then picks up at that point , an eighteen year old dade murphy hacking away at the computer . 	the film then picks up at that point , an eighteen year old dade murphy hacking away at the computer .	1	-1	 the[0] film[0] then[0] picks[0] up[0] at[0] that[0] point[0] an[0] eighteen[0] year[0] old[0] dade[0] murphy[0] hacking[0] away[0] at[0] the[0] computer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dade later meets up with fellow hackers acid burn ( angelina jolie ) , cereal killer ( matthew lillard ) , lord nikon ( laurence mason ) , and the phantom phreak ( renoly santiago ) , who are basically trying to do what is next to impossible : hack the gibson computer and not get caught by the fbi . 	dade later meets up with fellow hackers acid burn ( angelina jolie ) , cereal killer ( matthew lillard ) , lord nikon ( laurence mason ) , and the phantom phreak ( renoly santiago ) , who are basically trying to do what is next to impossible : hack the gibson computer and not get caught by the fbi .	1	-2	 dade[0] later[0] meets[0] up[0] with[0] fellow[0] hackers[0] acid[0] burn[-1] angelina[0] jolie[0] cereal[0] killer[-1] matthew[0] lillard[0] lord[0] nikon[0] laurence[0] mason[0] and[0] the[0] phantom[0] phreak[0] renoly[0] santiago[0] who[0] are[0] basically[0] trying[0] to[0] do[0] what[0] is[0] next[0] to[0] impossible[0] hack[-1] the[0] gibson[0] computer[0] and[0] not[0] get[0] caught[0] by[0] the[0] fbi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , and as a little sub-plot , dade also tries to woo acid burn , the only female hacker in the film . 	oh , and as a little sub-plot , dade also tries to woo acid burn , the only female hacker in the film .	1	-2	 oh[0] and[0] as[0] a[0] little[0] sub[0] plot[0] dade[0] also[0] tries[0] to[0] woo[0] acid[0] burn[-1] the[0] only[0] female[0] hacker[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
really , i can't think of much more to say about the film's plot aside from what i've said . 	really , i can't think of much more to say about the film's plot aside from what i've said .	1	-1	 really[0] i[0] can't[0] think[0] of[0] much[0] more[0] to[0] say[0] about[0] the[0] film's[0] plot[0] aside[0] from[0] what[0] i've[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just a bunch of computer geeks ( no , obsessive compulsive computer geeks a little too advanced for reality ) running around hacking computers and staying away from the fbi . 	it's just a bunch of computer geeks ( no , obsessive compulsive computer geeks a little too advanced for reality ) running around hacking computers and staying away from the fbi .	1	-3	 it's[0] just[0] a[0] bunch[0] of[0] computer[0] geeks[0] no[0] obsessive[-2] compulsive[0] computer[0] geeks[0] a[0] little[0] too[0] advanced[0] for[0] reality[0] running[0] around[0] hacking[0] computers[0] and[0] staying[0] away[0] from[0] the[0] fbi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thanks to this movie , the public unfamiliar with computers now has a distorted viewpoint of computers and what they can do . 	thanks to this movie , the public unfamiliar with computers now has a distorted viewpoint of computers and what they can do .	2	-2	 thanks[1] to[0] this[0] movie[0] the[0] public[0] unfamiliar[-1] with[0] computers[0] now[0] has[0] a[0] distorted[-1] viewpoint[0] of[0] computers[0] and[0] what[0] they[0] can[0] do[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie makes computers look a little bit too advanced for their time , and the frivolous suggestions it makes are too many to list . 	this movie makes computers look a little bit too advanced for their time , and the frivolous suggestions it makes are too many to list .	1	-2	 this[0] movie[0] makes[0] computers[0] look[0] a[0] little[0] bit[0] too[0] advanced[0] for[0] their[0] time[0] and[0] the[0] frivolous[-1] suggestions[0] it[0] makes[0] are[0] too[0] many[0] to[0] list[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to sum it up , hackers is a terrible computer film . 	to sum it up , hackers is a terrible computer film .	1	-4	 to[0] sum[0] it[0] up[0] hackers[0] is[0] a[0] terrible[-3] computer[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you're looking for a film about computers closer to what goes on in the real world , i suggest sneakers . 	if you're looking for a film about computers closer to what goes on in the real world , i suggest sneakers .	1	-2	 if[0] you're[0] looking[0] for[0] a[0] film[0] about[0] computers[0] closer[0] to[0] what[0] goes[0] on[0] in[0] the[0] real[0] world[0] i[0] suggest[0] sneakers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although at times it too may seem a little far fetched , it should be much more believable than hackers to regular computer users . 	although at times it too may seem a little far fetched , it should be much more believable than hackers to regular computer users .	1	-1	 although[0] at[0] times[0] it[0] too[0] may[0] seem[0] a[0] little[0] far[0] fetched[0] it[0] should[0] be[0] much[0] more[0] believable[0] than[0] hackers[0] to[0] regular[0] computer[0] users[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully , this film didn't influence too many young computer users out to think they can do what is portrayed in this 105 minute waste of time . 	hopefully , this film didn't influence too many young computer users out to think they can do what is portrayed in this 105 minute waste of time .	1	-2	 hopefully[0] this[0] film[0] didn't[0] influence[0] too[0] many[0] young[0] computer[0] users[0] out[0] to[0] think[0] they[0] can[0] do[0] what[0] is[0] portrayed[0] in[0] this[0] 105[0] minute[0] waste[-1] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
