disconnect the phone line . 	Translation	Positive	Negative	EmotionRationale
if  hanging up' was an apple pie , then i felt as if we were getting the mere crust of the story . 	if  hanging up' was an apple pie , then i felt as if we were getting the mere crust of the story .	1	-1	 if[0] hanging[0] up'[0] was[0] an[0] apple[0] pie[0] then[0] i[0] felt[0] as[0] if[0] we[0] were[0] getting[0] the[0] mere[0] crust[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted , there are a few genuine and sincere moments in the film . 	granted , there are a few genuine and sincere moments in the film .	1	-1	 granted[0] there[0] are[0] a[0] few[0] genuine[0] and[0] sincere[0] moments[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they only help to establish that the remainder of the strained emotions are nothing but inferior dramatic muck . 	but they only help to establish that the remainder of the strained emotions are nothing but inferior dramatic muck .	1	-2	 but[0] they[0] only[0] help[0] to[0] establish[0] that[0] the[0] remainder[0] of[0] the[0] strained[-1] emotions[0] are[0] nothing[0] but[0] inferior[-1] dramatic[0] muck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most outrageous strategy in  hanging up' is that , after a series of largely unrealized attempts at character development , we are expected to exhibit compassion and courtesy toward the sisters as they join for a melodramatic finale . 	the most outrageous strategy in  hanging up' is that , after a series of largely unrealized attempts at character development , we are expected to exhibit compassion and courtesy toward the sisters as they join for a melodramatic finale .	2	-3	 the[0] most[0] outrageous[-2] strategy[0] in[0] hanging[0] up'[0] is[0] that[0] after[0] a[0] series[0] of[0] largely[0] unrealized[0] attempts[0] at[0] character[0] development[0] we[0] are[0] expected[0] to[0] exhibit[0] compassion[1] and[0] courtesy[0] toward[0] the[0] sisters[0] as[0] they[0] join[0] for[0] a[0] melodramatic[-1] finale[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we are able to identify with eve ( ryan ) , the most open and caring daughter , because she is the one who stayed by her father's side as everyone else moved forward to pursue a impending career . 	we are able to identify with eve ( ryan ) , the most open and caring daughter , because she is the one who stayed by her father's side as everyone else moved forward to pursue a impending career .	3	-1	 we[0] are[0] able[0] to[0] identify[0] with[0] eve[0] ryan[0] the[0] most[0] open[0] and[0] caring[2] daughter[0] because[0] she[0] is[0] the[0] one[0] who[0] stayed[0] by[0] her[0] father's[0] side[0] as[0] everyone[0] else[0] moved[0] forward[0] to[0] pursue[0] a[0] impending[0] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
georgia ( keaton ) , the eldest daughter , is celebrating the fifth year anniversary of her magazine called . . . . 	georgia ( keaton ) , the eldest daughter , is celebrating the fifth year anniversary of her magazine called .<br> .<br> .<br> .	2	-1	 georgia[0] keaton[0] the[0] eldest[0] daughter[0] is[0] celebrating[1] the[0] fifth[0] year[0] anniversary[0] of[0] her[0] magazine[0] called[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 georgia' . 	 georgia' .	1	-1	 georgia'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maddy ( kudrow ) , the soap opera actress , spends time either contemplating her possible path to stardom or nursing her dog . 	maddy ( kudrow ) , the soap opera actress , spends time either contemplating her possible path to stardom or nursing her dog .	1	-1	 maddy[0] kudrow[0] the[0] soap[0] opera[0] actress[0] spends[0] time[0] either[0] contemplating[0] her[0] possible[0] path[0] to[0] stardom[0] or[0] nursing[0] her[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ryan's convincing performance and diverting cuteness are two of the more agreeable aspects of  hanging up' . 	ryan's convincing performance and diverting cuteness are two of the more agreeable aspects of  hanging up' .	2	-1	 ryan's[0] convincing[0] performance[0] and[0] diverting[0] cuteness[1] are[0] two[0] of[0] the[0] more[0] agreeable[0] aspects[0] of[0] hanging[0] up'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kudrow , so delightfully eccentric as the off-kilter airhead phoebe in  friends' , is totally wasted . 	kudrow , so delightfully eccentric as the off-kilter airhead phoebe in  friends' , is totally wasted .	3	-3	 kudrow[0] so[0] delightfully[2] eccentric[-1] as[0] the[0] off[0] kilter[0] airhead[0] phoebe[0] in[0] friends'[1] is[0] totally[0] wasted[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ditto for keaton , who is serving a double shift as co-star and director - a time slot that can be a difficult priority juggle . 	ditto for keaton , who is serving a double shift as co-star and director - a time slot that can be a difficult priority juggle .	1	-2	 ditto[0] for[0] keaton[0] who[0] is[0] serving[0] a[0] double[0] shift[0] as[0] co[0] star[0] and[0] director[0] a[0] time[0] slot[0] that[0] can[0] be[0] a[0] difficult[-1] priority[0] juggle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her frenzy is apparent . 	her frenzy is apparent .	1	-1	 her[0] frenzy[0] is[0] apparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a chick flick , there is a distressing lack of chuckles . 	for a chick flick , there is a distressing lack of chuckles .	3	-3	 for[0] a[0] chick[0] flick[0] there[0] is[0] a[0] distressing[-2] lack[-1] of[0] chuckles[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the reliable matthau is reduced to chaotic shtick that , given his character's situation , seems more depressing than amusing . 	the reliable matthau is reduced to chaotic shtick that , given his character's situation , seems more depressing than amusing .	2	-4	 the[0] reliable[0] matthau[0] is[0] reduced[0] to[0] chaotic[-1] shtick[0] that[0] given[0] his[0] character's[0] situation[0] seems[0] more[0] depressing[-3] than[0] amusing[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
even so , the peak form of humor in  hanging up' is represented by some of matthau's nasty quips and ryan's eternal battle to have the aforementioned pooch swallow a pill . 	even so , the peak form of humor in  hanging up' is represented by some of matthau's nasty quips and ryan's eternal battle to have the aforementioned pooch swallow a pill .	3	-3	 even[0] so[0] the[0] peak[0] form[0] of[0] humor[2] in[0] hanging[0] up'[0] is[0] represented[0] by[0] some[0] of[0] matthau's[0] nasty[-2] quips[0] and[0] ryan's[0] eternal[0] battle[-1] to[0] have[0] the[0] aforementioned[0] pooch[0] swallow[0] a[0] pill[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that about accounts for the three or four chuckles you will expel during the film . 	that about accounts for the three or four chuckles you will expel during the film .	3	-2	 that[0] about[0] accounts[0] for[0] the[0] three[0] or[0] four[0] chuckles[2] you[0] will[0] expel[-1] during[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
my curiosity has suddenly been tweaked to discover how such a promising and star-studded approach could turn so viciously sour . 	my curiosity has suddenly been tweaked to discover how such a promising and star-studded approach could turn so viciously sour .	2	-4	 my[0] curiosity[0] has[0] suddenly[0] been[0] tweaked[0] to[0] discover[0] how[0] such[0] a[0] promising[1] and[0] star[0] studded[0] approach[0] could[0] turn[0] so[0] viciously[-3] sour[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but really , it's no mystery . 	but really , it's no mystery .	1	-1	 but[0] really[0] it's[0] no[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the predictable , melodramatic filth that is  hanging up' is certainly not the fault of these actresses . 	the predictable , melodramatic filth that is  hanging up' is certainly not the fault of these actresses .	2	-4	 the[0] predictable[0] melodramatic[-1] filth[-3] that[0] is[0] hanging[0] up'[0] is[0] certainly[0] not[0] the[0] fault[-1][NegatedDueToPreviousWord] of[0] these[0] actresses[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
pin it on the screenplay , which attempts to clear up vital issues in three or four minutes , while spending the rest of the running time in an annoying flurry of phone conversations . 	pin it on the screenplay , which attempts to clear up vital issues in three or four minutes , while spending the rest of the running time in an annoying flurry of phone conversations .	1	-3	 pin[0] it[0] on[0] the[0] screenplay[0] which[0] attempts[0] to[0] clear[0] up[0] vital[0] issues[0] in[0] three[0] or[0] four[0] minutes[0] while[0] spending[0] the[0] rest[0] of[0] the[0] running[0] time[0] in[0] an[0] annoying[-2] flurry[0] of[0] phone[0] conversations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's certainly a far cry from what one would label as a rewarding experience , but  hanging up' should have at least been enjoyable . 	it's certainly a far cry from what one would label as a rewarding experience , but  hanging up' should have at least been enjoyable .	3	-4	 it's[0] certainly[0] a[0] far[0] cry[-3] from[0] what[0] one[0] would[0] label[0] as[0] a[0] rewarding[1] experience[0] but[0] hanging[0] up'[0] should[0] have[0] at[0] least[0] been[0] enjoyable[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
uh-uh . 	uh-uh .	1	-1	 uh[0] uh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a wrong number from the beginning . 	it's a wrong number from the beginning .	1	-2	 it's[0] a[0] wrong[-1] number[0] from[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
