in french , the phrase " film noir " literally means " black film . " 	Translation	Positive	Negative	EmotionRationale
rhea needs " a threatening voice and someone to collect the ransom " for the staged kidnapping of her teenage stepdaughter odette ( chloe sevigny . ) 	rhea needs " a threatening voice and someone to collect the ransom " for the staged kidnapping of her teenage stepdaughter odette ( chloe sevigny .<br> )	1	-3	 rhea[0] needs[0] a[0] threatening[-2] voice[0] and[0] someone[0] to[0] collect[0] the[0] ransom[0] for[0] the[0] staged[0] kidnapping[0] of[0] her[0] teenage[0] stepdaughter[0] odette[0] chloe[0] sevigny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the girls want to bilk a half-million dollar " ransom " from the old man and will happily give harry  50 , 000 for helping with the scam . 	the girls want to bilk a half-million dollar " ransom " from the old man and will happily give harry  50 , 00 for helping with the scam .	3	-1	 the[0] girls[0] want[0] to[0] bilk[0] a[0] half[0] million[0] dollar[0] ransom[0] from[0] the[0] old[0] man[0] and[0] will[0] happily[2] give[0] harry[0] 50[0] 000/00[0] for[0] helping[0] with[0] the[0] scam[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
things go wrong , of course . 	things go wrong , of course .	1	-2	 things[0] go[0] wrong[-1] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
odette is found dead , leaving harry frantically trying to dispose of the corpse and cover his tracks . 	odette is found dead , leaving harry frantically trying to dispose of the corpse and cover his tracks .	1	-3	 odette[0] is[0] found[0] dead[-2] leaving[0] harry[0] frantically[-1] trying[0] to[0] dispose[-1] of[0] the[0] corpse[0] and[0] cover[0] his[0] tracks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in an ironic twist , harry is asked to work for the local d . a . 's 	in an ironic twist , harry is asked to work for the local d .<br> a .<br> 's	1	-2	 in[0] an[0] ironic[-1] twist[0] harry[0] is[0] asked[0] to[0] work[0] for[0] the[0] local[0] d[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] 's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
office . 	office .	1	-1	 office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they need a press liaison to field questions about odette's kidnapping and feel that harry is the perfect man for the job . 	they need a press liaison to field questions about odette's kidnapping and feel that harry is the perfect man for the job .	2	-1	 they[0] need[0] a[0] press[0] liaison[0] to[0] field[0] questions[0] about[0] odette's[0] kidnapping[0] and[0] feel[0] that[0] harry[0] is[0] the[0] perfect[1] man[0] for[0] the[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not a bad set-up for a noir film , if only schlondorff knew how to handle the material , but he never settles on a consistent tone . 	not a bad set-up for a noir film , if only schlondorff knew how to handle the material , but he never settles on a consistent tone .	2	-1	 not[0] a[0] bad[-1][NegatedDueToPreviousWord] set[0] up[0] for[0] a[0] noir[0] film[0] if[0] only[0] schlondorff[0] knew[0] how[0] to[0] handle[0] the[0] material[0] but[0] he[0] never[0] settles[0] on[0] a[0] consistent[0] tone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actors don't know what to do with their characters either , muddling the proceedings even further . 	the actors don't know what to do with their characters either , muddling the proceedings even further .	1	-1	 the[0] actors[0] don't[0] know[0] what[0] to[0] do[0] with[0] their[0] characters[0] either[0] muddling[0] the[0] proceedings[0] even[0] further[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if that wasn't enough , the story suffers from major problems in logic . 	as if that wasn't enough , the story suffers from major problems in logic .	1	-4	 as[0] if[0] that[0] wasn't[0] enough[0] the[0] story[0] suffers[-3] from[0] major[0] problems[-1] in[0] logic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
woody harrelson is a talented actor with an admirable willingness to take on risky parts , but he's lost here . 	woody harrelson is a talented actor with an admirable willingness to take on risky parts , but he's lost here .	3	-2	 woody[0] harrelson[0] is[0] a[0] talented[1] actor[0] with[0] an[0] admirable[2] willingness[0] to[0] take[0] on[0] risky[-1] parts[0] but[0] he's[0] lost[0] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
presented as a crusading journalist who was horribly wronged , it makes no sense that harry would be stupid and dishonest enough to get caught up in this scheme . 	presented as a crusading journalist who was horribly wronged , it makes no sense that harry would be stupid and dishonest enough to get caught up in this scheme .	1	-4	 presented[0] as[0] a[0] crusading[0] journalist[0] who[0] was[0] horribly[-3] wronged[-2][-1 MultiplePositiveWords] it[0] makes[0] no[0] sense[0] that[0] harry[0] would[0] be[0] stupid[-1] and[0] dishonest[-1] enough[0] to[0] get[0] caught[0] up[0] in[0] this[0] scheme[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
harrelson clearly doesn't know what to do with harry's character , so he spends most of the film glowering , sweating and generally acting miserable . 	harrelson clearly doesn't know what to do with harry's character , so he spends most of the film glowering , sweating and generally acting miserable .	1	-3	 harrelson[0] clearly[0] doesn't[0] know[0] what[0] to[0] do[0] with[0] harry's[0] character[0] so[0] he[0] spends[0] most[0] of[0] the[0] film[0] glowering[0] sweating[0] and[0] generally[0] acting[0] miserable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , elisabeth shue gives a goofy performance , behaving like a vamp on nitrous oxide . 	meanwhile , elisabeth shue gives a goofy performance , behaving like a vamp on nitrous oxide .	2	-1	 meanwhile[0] elisabeth[0] shue[0] gives[0] a[0] goofy[0] performance[0] behaving[0] like[1] a[0] vamp[0] on[0] nitrous[0] oxide[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the stepdaughter , chloe sevigny lays on so many slurpy quirks that she comes off like juliette lewis jr . despite a number of steamy scenes , there's no chemistry between harrelson and the women . 	as the stepdaughter , chloe sevigny lays on so many slurpy quirks that she comes off like juliette lewis jr .<br> despite a number of steamy scenes , there's no chemistry between harrelson and the women .	2	-1	 as[0] the[0] stepdaughter[0] chloe[0] sevigny[0] lays[0] on[0] so[0] many[0] slurpy[0] quirks[0] that[0] she[0] comes[0] off[0] like[1] juliette[0] lewis[0] jr[0] [[Sentence=-1,2=word max, 1-5]] despite[0] a[0] number[0] of[0] steamy[0] scenes[0] there's[0] no[0] chemistry[0] between[0] harrelson[0] and[0] the[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
to make matters worse , schlondorff badly dubs in dialogue while the character's lips are running over each others bodies . 	to make matters worse , schlondorff badly dubs in dialogue while the character's lips are running over each others bodies .	1	-3	 to[0] make[0] matters[0] worse[-2] schlondorff[0] badly[-1] dubs[0] in[0] dialogue[0] while[0] the[0] character's[0] lips[0] are[0] running[0] over[0] each[0] others[0] bodies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
two particularly bad scenes highlight the film's problems . 	two particularly bad scenes highlight the film's problems .	1	-2	 two[0] particularly[0] bad[-1] scenes[0] highlight[0] the[0] film's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while driving with a body in his trunk , harry has a minor car wreck and a cop shows up . 	while driving with a body in his trunk , harry has a minor car wreck and a cop shows up .	1	-2	 while[0] driving[0] with[0] a[0] body[0] in[0] his[0] trunk[0] harry[0] has[0] a[0] minor[0] car[0] wreck[-1] and[0] a[0] cop[0] shows[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the officer wants to help change harry's flat tire and asks him to open the trunk . 	the officer wants to help change harry's flat tire and asks him to open the trunk .	1	-2	 the[0] officer[0] wants[0] to[0] help[0] change[0] harry's[0] flat[0] tire[-1] and[0] asks[0] him[0] to[0] open[0] the[0] trunk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry's pathetic attempts to keep the trunk closed might have worked if played as comedy , but under schlondorff's grim direction , the scene is just embarrassing . 	harry's pathetic attempts to keep the trunk closed might have worked if played as comedy , but under schlondorff's grim direction , the scene is just embarrassing .	1	-3	 harry's[0] pathetic[-2] attempts[0] to[0] keep[0] the[0] trunk[0] closed[0] might[0] have[0] worked[0] if[0] played[0] as[0] comedy[0] but[0] under[0] schlondorff's[0] grim[-2] direction[0] the[0] scene[0] is[0] just[0] embarrassing[-2][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's nadir comes when a bad guy prepares to kill harry and nina . 	the film's nadir comes when a bad guy prepares to kill harry and nina .	1	-2	 the[0] film's[0] nadir[0] comes[0] when[0] a[0] bad[-1] guy[0] prepares[0] to[0] kill[-1] harry[0] and[0] nina[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're supposed to be horrified watching our hero dangling over a bathtub filled with acid , but by this point the film has foundered so badly that the scene is merely reminiscent of when jessica and roger rabbit were suspended over a vat of dip . 	we're supposed to be horrified watching our hero dangling over a bathtub filled with acid , but by this point the film has foundered so badly that the scene is merely reminiscent of when jessica and roger rabbit were suspended over a vat of dip .	3	-4	 we're[0] supposed[0] to[0] be[0] horrified[-3] watching[0] our[0] hero[2] dangling[0] over[0] a[0] bathtub[0] filled[0] with[0] acid[0] but[0] by[0] this[0] point[0] the[0] film[0] has[0] foundered[0] so[0] badly[-1] that[0] the[0] scene[0] is[0] merely[0] reminiscent[0] of[0] when[0] jessica[0] and[0] roger[0] rabbit[0] were[0] suspended[0] over[0] a[0] vat[0] of[0] dip[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
had " palmetto " been played with tongue firmly in cheek , it might have been an entertaining shaggy dog story . 	had " palmetto " been played with tongue firmly in cheek , it might have been an entertaining shaggy dog story .	1	-2	 had[0] palmetto[0] been[0] played[0] with[0] tongue[0] firmly[0] in[0] cheek[0] it[0] might[0] have[0] been[0] an[0] entertaining[0] shaggy[-1] dog[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but under the harsh direction of schlondorff , the film is just a sluggish paint-by-numbers exercise in neo- noir cluelessness . 	but under the harsh direction of schlondorff , the film is just a sluggish paint-by-numbers exercise in neo- noir cluelessness .	1	-2	 but[0] under[0] the[0] harsh[-1] direction[0] of[0] schlondorff[0] the[0] film[0] is[0] just[0] a[0] sluggish[-1] paint[0] by[0] numbers[0] exercise[0] in[0] neo[0] noir[0] cluelessness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
avoid this nonsense and go see " l . a . confidential " instead . 	avoid this nonsense and go see " l .<br> a .<br> confidential " instead .	1	-2	 avoid[-1] this[0] nonsense[-1] and[0] go[0] see[0] l[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
