let me just start this review off by saying i am a huge fan of professional wrestling and have been for fifteen years . 	Translation	Positive	Negative	EmotionRationale
in the movie , gordie starts up an ill-fated romance with nitro girl sasha ( the lovely rose mcgowan . 	in the movie , gordie starts up an ill-fated romance with nitro girl sasha ( the lovely rose mcgowan .	4	-2	 in[0] the[0] movie[0] gordie[0] starts[0] up[0] an[0] ill[-1] fated[0] romance[3] with[0] nitro[0] girl[0] sasha[0] the[0] lovely[1] rose[0] mcgowan[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
what she sees in that freak marilyn manson i'll never understand ) , only to find that she has hospitalized king's trainer for sinclair . 	what she sees in that freak marilyn manson i'll never understand ) , only to find that she has hospitalized king's trainer for sinclair .	1	-2	 what[0] she[0] sees[0] in[0] that[0] freak[-1] marilyn[0] manson[0] i'll[0] never[0] understand[0] only[0] to[0] find[0] that[0] she[0] has[0] hospitalized[0] king's[0] trainer[0] for[0] sinclair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wouldn't it have been easier to just have them fall in love instead of doing the typical spy-girl-for-the-bad-guy cliche ? 	wouldn't it have been easier to just have them fall in love instead of doing the typical spy-girl-for-the-bad-guy cliche ?	3	-2	 wouldn't[0] it[0] have[0] been[0] easier[0] to[0] just[0] have[0] them[0] fall[0] in[0] love[2] instead[0] of[0] doing[0] the[0] typical[0] spy[0] girl[0] for[0] the[0] bad[-1] guy[0] cliche[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i hate that . 	i hate that .	1	-4	 i[0] hate[-3] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
6 . 	6 .	1	-1	 6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last , but certainly not least , there was not one single moment in this movie that i could not predict would happen , nor did i laugh once either . 	last , but certainly not least , there was not one single moment in this movie that i could not predict would happen , nor did i laugh once either .	2	-1	 last[0] but[0] certainly[0] not[0] least[0] there[0] was[0] not[0] one[0] single[0] moment[0] in[0] this[0] movie[0] that[0] i[0] could[0] not[0] predict[0] would[0] happen[0] nor[0] did[0] i[0] laugh[1] once[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the world wrestling federation should have been the wrestling company to make the movie , for these reasons : 	the world wrestling federation should have been the wrestling company to make the movie , for these reasons :	1	-1	 the[0] world[0] wrestling[0] federation[0] should[0] have[0] been[0] the[0] wrestling[0] company[0] to[0] make[0] the[0] movie[0] for[0] these[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 . they're the better promotion . 	1 .<br> they're the better promotion .	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]] they're[0] the[0] better[0] promotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2 . they have better and younger talent , performers and wrestlers . 	2 .<br> they have better and younger talent , performers and wrestlers .	2	-1	 2[0] [[Sentence=-1,1=word max, 1-5]] they[0] have[0] better[0] and[0] younger[0] talent[1] performers[0] and[0] wrestlers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3 . 	3 .	1	-1	 3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they give their fans what they want and don't treat them like idiots . 	they give their fans what they want and don't treat them like idiots .	2	-3	 they[0] give[0] their[0] fans[0] what[0] they[0] want[0] and[0] don't[0] treat[1][NegatedDueToPreviousWord] them[0] like[1] idiots[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
4 . they're winning the ratings and they're the promotion everybody cares about . 	4 .<br> they're winning the ratings and they're the promotion everybody cares about .	2	-1	 4[0] [[Sentence=-1,1=word max, 1-5]] they're[0] winning[1] the[0] ratings[0] and[0] they're[0] the[0] promotion[0] everybody[0] cares[1] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5 . simply put , they could make a movie a hundred times better , and they could do a wrestling movie the right way . 	5 .<br> simply put , they could make a movie a hundred times better , and they could do a wrestling movie the right way .	1	-1	 5[0] [[Sentence=-1,1=word max, 1-5]] simply[0] put[0] they[0] could[0] make[0] a[0] movie[0] a[0] hundred[0] times[0] better[0] and[0] they[0] could[0] do[0] a[0] wrestling[0] movie[0] the[0] right[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only good thing about this movie was they played outtakes at the end . 	the only good thing about this movie was they played outtakes at the end .	2	-1	 the[0] only[0] good[1] thing[0] about[0] this[0] movie[0] was[0] they[0] played[0] outtakes[0] at[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if i spoiled it for you , good , i saved you from wasting seven dollars . 	and if i spoiled it for you , good , i saved you from wasting seven dollars .	2	-2	 and[0] if[0] i[0] spoiled[-1] it[0] for[0] you[0] good[1] i[0] saved[1] you[0] from[0] wasting[0] seven[0] dollars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
