some movies i should just skip . 	Translation	Positive	Negative	EmotionRationale
the dialog is . . . let's face it , it's pretty bad . 	the dialog is .<br> .<br> .<br> let's face it , it's pretty bad .	3	-2	 the[0] dialog[0] is[0] [[Sentence=-1,1=word max, 1-5]] let's[0] face[0] it[0] it's[0] pretty[2] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tag-line after a major set-piece battle is a faux pas that makes no sense in context . 	the tag-line after a major set-piece battle is a faux pas that makes no sense in context .	1	-2	 the[0] tag[0] line[0] after[0] a[0] major[0] set[0] piece[0] battle[-1] is[0] a[0] faux[0] pas[0] that[0] makes[0] no[0] sense[0] in[0] context[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a lot of the lines ( especially hughley's ) appear to be made up as they go along , by people with little gift for ad-lib . 	a lot of the lines ( especially hughley's ) appear to be made up as they go along , by people with little gift for ad-lib .	1	-1	 a[0] lot[0] of[0] the[0] lines[0] especially[0] hughley's[0] appear[0] to[0] be[0] made[0] up[0] as[0] they[0] go[0] along[0] by[0] people[0] with[0] little[0] gift[0] for[0] ad[0] lib[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
about three-quarters of the film is a somewhat unnecessary origin story for both gadget and claw . 	about three-quarters of the film is a somewhat unnecessary origin story for both gadget and claw .	1	-2	 about[0] three[0] quarters[0] of[0] the[0] film[0] is[0] a[0] somewhat[0] unnecessary[-1] origin[0] story[0] for[0] both[0] gadget[0] and[0] claw[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gadget then spends the latter third of the movie trying to locate claw and having various altercations ( not really " battles " ) with the evil gadget . 	gadget then spends the latter third of the movie trying to locate claw and having various altercations ( not really " battles " ) with the evil gadget .	3	-3	 gadget[0] then[0] spends[0] the[0] latter[0] third[0] of[0] the[0] movie[0] trying[0] to[0] locate[0] claw[0] and[0] having[0] various[0] altercations[-1] not[0] really[0] battles[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] with[0] the[0] evil[-2] gadget[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
penny does about a minute and a half of the detective work her character did every week in the cartoon . 	penny does about a minute and a half of the detective work her character did every week in the cartoon .	1	-1	 penny[0] does[0] about[0] a[0] minute[0] and[0] a[0] half[0] of[0] the[0] detective[0] work[0] her[0] character[0] did[0] every[0] week[0] in[0] the[0] cartoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let me rage here just for a minute . 	let me rage here just for a minute .	1	-4	 let[0] me[0] rage[-3] here[0] just[0] for[0] a[0] minute[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
michelle trachtenberg was an excellent choice for the penny character . 	michelle trachtenberg was an excellent choice for the penny character .	4	-1	 michelle[0] trachtenberg[0] was[0] an[0] excellent[3] choice[0] for[0] the[0] penny[0] character[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she's utterly charming , and has excellent experience ( harriet the spy ) for the part of the pint-size detective . 	she's utterly charming , and has excellent experience ( harriet the spy ) for the part of the pint-size detective .	4	-1	 she's[0] utterly[0] charming[1] and[0] has[0] excellent[3] experience[0] harriet[0] the[0] spy[0] for[0] the[0] part[0] of[0] the[0] pint[0] size[0] detective[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
why she is so underutilized in this film is a real mystery . 	why she is so underutilized in this film is a real mystery .	1	-1	 why[0] she[0] is[0] so[0] underutilized[0] in[0] this[0] film[0] is[0] a[0] real[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film loses a star for casting brilliance coupled with scripting ( or editing ) stupidity . 	the film loses a star for casting brilliance coupled with scripting ( or editing ) stupidity .	2	-2	 the[0] film[0] loses[-1] a[0] star[0] for[0] casting[0] brilliance[1] coupled[0] with[0] scripting[0] or[0] editing[0] stupidity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
inspector gadget is missing the long , long stretches of potty humor that ( among other things ) made my favorite martian so unbearable , but it's a very short movie , so perhaps something was cut at the last moment . 	inspector gadget is missing the long , long stretches of potty humor that ( among other things ) made my favorite martian so unbearable , but it's a very short movie , so perhaps something was cut at the last moment .	3	-4	 inspector[0] gadget[0] is[0] missing[0] the[0] long[0] long[0] stretches[0] of[0] potty[0] humor[2] that[0] among[0] other[0] things[0] made[0] my[0] favorite[1] martian[0] so[0] unbearable[-3] but[0] it's[0] a[0] very[0] short[0] movie[0] so[0] perhaps[0] something[0] was[0] cut[0] at[0] the[0] last[0] moment[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
probably the best scenes in the film occur during the end credits . 	probably the best scenes in the film occur during the end credits .	2	-1	 probably[0] the[0] best[1] scenes[0] in[0] the[0] film[0] occur[0] during[0] the[0] end[0] credits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the " evil sidekick support group " is especially worth seeing , and has an amazing number of cameo appearances for the few seconds it's onscreen . 	the " evil sidekick support group " is especially worth seeing , and has an amazing number of cameo appearances for the few seconds it's onscreen .	3	-3	 the[0] evil[-2] sidekick[0] support[1] group[0] is[0] especially[0] worth[0] seeing[0] and[0] has[0] an[0] amazing[2] number[0] of[0] cameo[0] appearances[0] for[0] the[0] few[0] seconds[0] it's[0] onscreen[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all in all , another bad live action film from the premere studio for bad live action films . 	all in all , another bad live action film from the premere studio for bad live action films .	1	-2	 all[0] in[0] all[0] another[0] bad[-1] live[0] action[0] film[0] from[0] the[0] premere[0] studio[0] for[0] bad[-1] live[0] action[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wonder if disney uses the revenues for it's generally money-making cartoons to produce these losers . 	i wonder if disney uses the revenues for it's generally money-making cartoons to produce these losers .	1	-3	 i[0] wonder[0] if[0] disney[0] uses[0] the[0] revenues[0] for[0] it's[0] generally[0] money[0] making[0] cartoons[0] to[0] produce[0] these[0] losers[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but if true , why ? 	but if true , why ?	2	-1	 but[0] if[0] true[1] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if they're trying for another mary poppins , they need to find a team that can produce one , and then give them a chance to do it . 	if they're trying for another mary poppins , they need to find a team that can produce one , and then give them a chance to do it .	1	-1	 if[0] they're[0] trying[0] for[0] another[0] mary[0] poppins[0] they[0] need[0] to[0] find[0] a[0] team[0] that[0] can[0] produce[0] one[0] and[0] then[0] give[0] them[0] a[0] chance[0] to[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
