capsule : an insult . 	Translation	Positive	Negative	EmotionRationale
they only exist to rehash the kind of dynamics that was * written * into a movie like white men can't jump , and which simply does not exist here . 	they only exist to rehash the kind of dynamics that was * written * into a movie like white men can't jump , and which simply does not exist here .	2	-1	 they[0] only[0] exist[0] to[0] rehash[0] the[0] kind[1] of[0] dynamics[1] that[0] was[0] written[0] into[0] a[0] movie[0] like[1] white[0] men[0] can't[0] jump[0] and[0] which[0] simply[0] does[0] not[0] exist[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are idiots , and we're expected to root for them . 	they are idiots , and we're expected to root for them .	1	-3	 they[0] are[0] idiots[-2] and[0] we're[0] expected[0] to[0] root[0] for[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bullcrap . 	bullcrap .	1	-1	 bullcrap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is completely schizophrenic in its tone and texture . 	the movie is completely schizophrenic in its tone and texture .	1	-1	 the[0] movie[0] is[0] completely[0] schizophrenic[0] in[0] its[0] tone[0] and[0] texture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what exactly is this mess ? 	what exactly is this mess ?	1	-1	 what[0] exactly[0] is[0] this[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a cop movie ? 	a cop movie ?	1	-1	 a[0] cop[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
police procedure is not given a moment's genuine thought anywhere . 	police procedure is not given a moment's genuine thought anywhere .	1	-1	 police[0] procedure[0] is[0] not[0] given[0] a[0] moment's[0] genuine[0] thought[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a thriller ? 	a thriller ?	2	-1	 a[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the subplot with the token booth killer is inept , a throwaway that should have been ditched in the rewrite . 	the subplot with the token booth killer is inept , a throwaway that should have been ditched in the rewrite .	1	-2	 the[0] subplot[0] with[0] the[0] token[0] booth[0] killer[-1] is[0] inept[0] a[0] throwaway[0] that[0] should[0] have[0] been[0] ditched[0] in[0] the[0] rewrite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a comedy ? 	a comedy ?	1	-1	 a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the few jokes that do work are wasted . 	the few jokes that do work are wasted .	2	-2	 the[0] few[0] jokes[1] that[0] do[0] work[0] are[0] wasted[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a drama ? 	a drama ?	1	-1	 a[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all dramatic tension between both principals is freeze-dried and off-the-rack . 	all dramatic tension between both principals is freeze-dried and off-the-rack .	1	-3	 all[0] dramatic[0] tension[-2] between[0] both[0] principals[0] is[0] freeze[0] dried[0] and[0] off[0] the[0] rack[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's not a moment in the movie where i felt like i was listening to genuine human beings talk ; it's all screenwriterese , that bizarre analect where every sentence ends in a punchline and the primary mode of expression is the unique conjunctions of four-letter words . 	there's not a moment in the movie where i felt like i was listening to genuine human beings talk ; it's all screenwriterese , that bizarre analect where every sentence ends in a punchline and the primary mode of expression is the unique conjunctions of four-letter words .	2	-2	 there's[0] not[0] a[0] moment[0] in[0] the[0] movie[0] where[0] i[0] felt[0] like[1] i[0] was[0] listening[0] to[0] genuine[0] human[0] beings[0] talk[0] it's[0] all[0] screenwriterese[0] that[0] bizarre[-1] analect[0] where[0] every[0] sentence[0] ends[0] in[0] a[0] punchline[-1] and[0] the[0] primary[0] mode[0] of[0] expression[0] is[0] the[0] unique[0] conjunctions[0] of[0] four[0] letter[0] words[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( actual dialogue excerpt : " fuck you . " 	 ( actual dialogue excerpt : " fuck you .<br> "	1	-3	 actual[0] dialogue[0] excerpt[0] fuck[-2] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " what ? " 	 " what ?<br> "	1	-1	 what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you heard me : fuck * you * . " 	 " you heard me : fuck * you * .<br> "	1	-3	 you[0] heard[0] me[0] fuck[-2] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " no : fuck * you * ! " ) 	 " no : fuck * you * !<br> " )	1	-3	 no[0] fuck[-2] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
look . i'll be honest here . 	look .<br> i'll be honest here .	1	-1	 look[0] [[Sentence=-1,1=word max, 1-5]] i'll[0] be[0] honest[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've tried writing screenplays , and even * i * suspect that if i tried to pitch this mess , i'd get laughed out of the office . 	i've tried writing screenplays , and even * i * suspect that if i tried to pitch this mess , i'd get laughed out of the office .	2	-2	 i've[0] tried[0] writing[0] screenplays[0] and[0] even[0] i[0] suspect[-1] that[0] if[0] i[0] tried[0] to[0] pitch[0] this[0] mess[0] i'd[0] get[0] laughed[1] out[0] of[0] the[0] office[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anyone interested in hearing my ideas for a few good movies can write me and hear my pitch , because god knows i know i can do better . 	anyone interested in hearing my ideas for a few good movies can write me and hear my pitch , because god knows i know i can do better .	2	-1	 anyone[0] interested[1] in[0] hearing[0] my[0] ideas[0] for[0] a[0] few[0] good[1] movies[0] can[0] write[0] me[0] and[0] hear[0] my[0] pitch[0] because[0] god[0] knows[0] i[0] know[0] i[0] can[0] do[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i've weasted enough time on this piece of tripe . 	i've weasted enough time on this piece of tripe .	1	-1	 i've[0] weasted[0] enough[0] time[0] on[0] this[0] piece[0] of[0] tripe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
