 " goodbye , lover " sat on the shelf for almost a year since its lukewarm reception at the cannes film festival last may , and one look will tell you why . 	Translation	Positive	Negative	EmotionRationale
rita pompano is called in to investigate the allegedly accidental death of . . . wait . 	rita pompano is called in to investigate the allegedly accidental death of .<br> .<br> .<br> wait .	1	-3	 rita[0] pompano[0] is[0] called[0] in[0] to[0] investigate[0] the[0] allegedly[-1] accidental[-1] death[-2] of[0] [[Sentence=-3,1=word max, 1-5]] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
to give away too much of the plot would all but ruin a film that has very little going for it outside of its numbing plot twists and multiple triple-crosses . 	to give away too much of the plot would all but ruin a film that has very little going for it outside of its numbing plot twists and multiple triple-crosses .	1	-2	 to[0] give[0] away[0] too[0] much[0] of[0] the[0] plot[0] would[0] all[0] but[0] ruin[-1] a[0] film[0] that[0] has[0] very[0] little[0] going[0] for[0] it[0] outside[0] of[0] its[0] numbing[-1] plot[0] twists[0] and[0] multiple[0] triple[0] crosses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's best described this way : 	it's best described this way :	2	-1	 it's[0] best[1] described[0] this[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sultry sexpot/real estate agent sandra dunmore ( patricia arquette ) is married to jake , a " creative yet unfocused " ( and alcoholic ) advertising rep , played by dermot mulroney . 	sultry sexpot/real estate agent sandra dunmore ( patricia arquette ) is married to jake , a " creative yet unfocused " ( and alcoholic ) advertising rep , played by dermot mulroney .	1	-1	 sultry[0] sexpot/real[0] estate[0] agent[0] sandra[0] dunmore[0] patricia[0] arquette[0] is[0] married[0] to[0] jake[0] a[0] creative[0] yet[0] unfocused[0] and[0] alcoholic[0] advertising[0] rep[0] played[0] by[0] dermot[0] mulroney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandra likes to act out her deep-seated sexual fantasies and jake's brother ben ( the suave-as-ever don johnson ) likes to help . 	sandra likes to act out her deep-seated sexual fantasies and jake's brother ben ( the suave-as-ever don johnson ) likes to help .	3	-1	 sandra[0] likes[2] to[0] act[0] out[0] her[0] deep[0] seated[0] sexual[0] fantasies[0] and[0] jake's[0] brother[0] ben[0] the[0] suave[0] as[0] ever[0] don[0] johnson[0] likes[2] to[0] help[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ben is also coming on to his petite , mousy co-worker peggy blaine ( mary-louise parker ) and someone , somewhere , is planning to cash in on that huge life insurance policy of his . 	ben is also coming on to his petite , mousy co-worker peggy blaine ( mary-louise parker ) and someone , somewhere , is planning to cash in on that huge life insurance policy of his .	1	-1	 ben[0] is[0] also[0] coming[0] on[0] to[0] his[0] petite[0] mousy[0] co[0] worker[0] peggy[0] blaine[0] mary[0] louise[0] parker[0] and[0] someone[0] somewhere[0] is[0] planning[0] to[0] cash[0] in[0] on[0] that[0] huge[0] life[0] insurance[0] policy[0] of[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is ripe with cheating lovers cheating on each other and back again . 	the film is ripe with cheating lovers cheating on each other and back again .	4	-3	 the[0] film[0] is[0] ripe[0] with[0] cheating[-2] lovers[3] cheating[-2] on[0] each[0] other[0] and[0] back[0] again[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
although there are some genuine surprises , the plot twists get too contrived too quickly . 	although there are some genuine surprises , the plot twists get too contrived too quickly .	1	-1	 although[0] there[0] are[0] some[0] genuine[0] surprises[0] the[0] plot[0] twists[0] get[0] too[0] contrived[0] too[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably around the time degeneres' gumcracking gumshoe appears . 	probably around the time degeneres' gumcracking gumshoe appears .	1	-1	 probably[0] around[0] the[0] time[0] degeneres'[0] gumcracking[0] gumshoe[0] appears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least the former " ellen " star is going for something a little different . 	at least the former " ellen " star is going for something a little different .	1	-1	 at[0] least[0] the[0] former[0] ellen[0] star[0] is[0] going[0] for[0] something[0] a[0] little[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arquette turns in yet another of her stiletto-heeled , platinum blonde bombshell roles ( see : " lost highway , " " true romance " ) while quoting embarrassing lines like " i'm not wearing any underwear . " 	arquette turns in yet another of her stiletto-heeled , platinum blonde bombshell roles ( see : " lost highway , " " true romance " ) while quoting embarrassing lines like " i'm not wearing any underwear .<br> "	4	-3	 arquette[0] turns[0] in[0] yet[0] another[0] of[0] her[0] stiletto[0] heeled[0] platinum[0] blonde[0] bombshell[-1] roles[0] see[0] lost[0] highway[0] true[1] romance[3] while[0] quoting[0] embarrassing[-2] lines[0] like[1] i'm[0] not[0] wearing[0] any[0] underwear[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i hope she got paid a lot of money to do this . 	i hope she got paid a lot of money to do this .	3	-1	 i[0] hope[2] she[0] got[0] paid[0] a[0] lot[0] of[0] money[0] to[0] do[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
here's an example of some of the film's flat-out stupidity . 	here's an example of some of the film's flat-out stupidity .	1	-2	 here's[0] an[0] example[0] of[0] some[0] of[0] the[0] film's[0] flat[0] out[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sandra purchases a used car and disguises herself in a red wig prior to stalking two of the film's duplicitous lovers . 	sandra purchases a used car and disguises herself in a red wig prior to stalking two of the film's duplicitous lovers .	4	-1	 sandra[0] purchases[0] a[0] used[0] car[0] and[0] disguises[0] herself[0] in[0] a[0] red[0] wig[0] prior[0] to[0] stalking[0] two[0] of[0] the[0] film's[0] duplicitous[0] lovers[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she drives the motorbiking couple off a cliff while blaring her favorite " the sound of music " on her car stereo , intent on identifying herself to her hapless victims . 	she drives the motorbiking couple off a cliff while blaring her favorite " the sound of music " on her car stereo , intent on identifying herself to her hapless victims .	2	-3	 she[0] drives[0] the[0] motorbiking[0] couple[0] off[0] a[0] cliff[0] while[0] blaring[0] her[0] favorite[1] the[0] sound[0] of[0] music[0] on[0] her[0] car[0] stereo[0] intent[0] on[0] identifying[0] herself[0] to[0] her[0] hapless[-1] victims[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so what was the point of the wig and the car ? 	so what was the point of the wig and the car ?	1	-1	 so[0] what[0] was[0] the[0] point[0] of[0] the[0] wig[0] and[0] the[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the sound of music " stuff might be a reference to " the wizard of oz " allusions in david lynch's " wild at heart , " but if so joff ? must have forgotten that " wild at heart " was a despicable movie . 	 " the sound of music " stuff might be a reference to " the wizard of oz " allusions in david lynch's " wild at heart , " but if so joff ?<br> must have forgotten that " wild at heart " was a despicable movie .	1	-4	 the[0] sound[0] of[0] music[0] stuff[0] might[0] be[0] a[0] reference[0] to[0] the[0] wizard[0] of[0] oz[0] allusions[0] in[0] david[0] lynch's[0] wild[0] at[0] heart[0] but[0] if[0] so[0] joff[0] [[Sentence=-1,1=word max, 1-5]] must[0] have[0] forgotten[0] that[0] wild[0] at[0] heart[0] was[0] a[0] despicable[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's hard to believe that " goodbye , lover " was directed by the same person who made " the killing fields " and " the mission . " 	it's hard to believe that " goodbye , lover " was directed by the same person who made " the killing fields " and " the mission .<br> "	4	-2	 it's[0] hard[0] to[0] believe[0] that[0] goodbye[0] lover[3] was[0] directed[0] by[0] the[0] same[0] person[0] who[0] made[0] the[0] killing[-1] fields[0] and[0] the[0] mission[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's not , however , hard to see why it sat on the shelf for so long . 	it's not , however , hard to see why it sat on the shelf for so long .	1	-1	 it's[0] not[0] however[0] hard[0] to[0] see[0] why[0] it[0] sat[0] on[0] the[0] shelf[0] for[0] so[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it should have stayed there . 	it should have stayed there .	1	-1	 it[0] should[0] have[0] stayed[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
