part buddy comedy , part fish-out-of-water story , part nature tale , meet the deedles is not nearly as interesting as any of those archetypes . 	Translation	Positive	Negative	EmotionRationale
yellowstone has a problem . 	yellowstone has a problem .	1	-2	 yellowstone[0] has[0] a[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's only a week before the famous geyser old faithful celebrates its one billionth birthday , and the park is being overrun with prairie dogs . 	it's only a week before the famous geyser old faithful celebrates its one billionth birthday , and the park is being overrun with prairie dogs .	2	-2	 it's[0] only[0] a[0] week[0] before[0] the[0] famous[0] geyser[0] old[0] faithful[1] celebrates[1] its[0] one[0] billionth[0] birthday[0] and[0] the[0] park[0] is[0] being[0] overrun[-1] with[0] prairie[0] dogs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not just one or two . . . thousands of them . 	not just one or two .<br> .<br> .<br> thousands of them .	1	-1	 not[0] just[0] one[0] or[0] two[0] [[Sentence=-1,1=word max, 1-5]] thousands[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the deedles are assigned to eliminate the p . dog menace , not knowing that it all is part of a fiendish plan by disgraced former head ranger frank slater ( dennis hopper ) . 	the deedles are assigned to eliminate the p .<br> dog menace , not knowing that it all is part of a fiendish plan by disgraced former head ranger frank slater ( dennis hopper ) .	1	-4	 the[0] deedles[0] are[0] assigned[0] to[0] eliminate[-1] the[0] p[0] [[Sentence=-2,1=word max, 1-5]] dog[0] menace[-2] not[0] knowing[0] that[0] it[0] all[0] is[0] part[0] of[0] a[0] fiendish[0] plan[0] by[0] disgraced[-3] former[0] head[0] ranger[0] frank[0] slater[0] dennis[0] hopper[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the brothers deedle aren't supposed to be out-and-out stupid , like the team from dumb and dumber , or bill and ted . 	the brothers deedle aren't supposed to be out-and-out stupid , like the team from dumb and dumber , or bill and ted .	2	-2	 the[0] brothers[0] deedle[0] aren't[0] supposed[0] to[0] be[0] out[0] and[0] out[0] stupid[-1] like[1] the[0] team[0] from[0] dumb[-1] and[0] dumber[-1] or[0] bill[0] and[0] ted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , their brains just operate in a different , simpler , realm . 	instead , their brains just operate in a different , simpler , realm .	1	-1	 instead[0] their[0] brains[0] just[0] operate[0] in[0] a[0] different[0] simpler[0] realm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a more accurate comparison would be with carrot top in chairman of the board , a film which , unfortunately , this one resembles in several hideous ways . 	a more accurate comparison would be with carrot top in chairman of the board , a film which , unfortunately , this one resembles in several hideous ways .	1	-2	 a[0] more[0] accurate[0] comparison[0] would[0] be[0] with[0] carrot[0] top[0] in[0] chairman[0] of[0] the[0] board[0] a[0] film[0] which[0] unfortunately[-1] this[0] one[0] resembles[0] in[0] several[0] hideous[-1] ways[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the central problem with meet the deedles is that it simply just isn't funny . 	the central problem with meet the deedles is that it simply just isn't funny .	1	-2	 the[0] central[0] problem[-1] with[0] meet[0] the[0] deedles[0] is[0] that[0] it[0] simply[0] just[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a moment when phil utters the line , " insert laugh here " , which nearly sums up the entire meet the deedles experience . 	there's a moment when phil utters the line , " insert laugh here " , which nearly sums up the entire meet the deedles experience .	2	-1	 there's[0] a[0] moment[0] when[0] phil[0] utters[0] the[0] line[0] insert[0] laugh[1] here[0] which[0] nearly[0] sums[0] up[0] the[0] entire[0] meet[0] the[0] deedles[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the result isn't bad in a run-shrieking-from-the-theater type of way . 	the result isn't bad in a run-shrieking-from-the-theater type of way .	2	-2	 the[0] result[0] isn't[0] bad[-1][NegatedDueToPreviousWord] in[0] a[0] run[0] shrieking[-1] from[0] the[0] theater[0] type[0] of[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , it's merely bad in an excruciatingly boring sort of way . 	instead , it's merely bad in an excruciatingly boring sort of way .	1	-5	 instead[0] it's[0] merely[0] bad[-1] in[0] an[0] excruciatingly[-4] boring[-1] sort[0] of[0] way[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the cast seems decent , but they're never asked to do anything remotely interesting . 	the cast seems decent , but they're never asked to do anything remotely interesting .	2	-1	 the[0] cast[0] seems[0] decent[0] but[0] they're[0] never[0] asked[0] to[0] do[0] anything[0] remotely[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , the film inundates the audience with countless shots of people and/or cars rolling downhill in the forest , and with constant annoying references to other disney films . 	instead , the film inundates the audience with countless shots of people and/or cars rolling downhill in the forest , and with constant annoying references to other disney films .	1	-3	 instead[0] the[0] film[0] inundates[-1] the[0] audience[0] with[0] countless[0] shots[0] of[0] people[0] and/or[0] cars[0] rolling[0] downhill[0] in[0] the[0] forest[0] and[0] with[0] constant[0] annoying[-2] references[0] to[0] other[0] disney[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you'll have much better luck finding a good spot to surf in wyoming than finding entertainment in meet the deedles . 	you'll have much better luck finding a good spot to surf in wyoming than finding entertainment in meet the deedles .	3	-1	 you'll[0] have[0] much[0] better[0] luck[2] finding[0] a[0] good[1] spot[0] to[0] surf[0] in[0] wyoming[0] than[0] finding[0] entertainment[0] in[0] meet[0] the[0] deedles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
