`the bachelor' is one of the best terrible movies you will ever see . 	Translation	Positive	Negative	EmotionRationale
there are certainly a few worthwhile aspects of  the bachelor' . 	there are certainly a few worthwhile aspects of  the bachelor' .	2	-1	 there[0] are[0] certainly[0] a[0] few[0] worthwhile[1] aspects[0] of[0] the[0] bachelor'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for one , the movie's approach is interesting and not dripping with clich ? . 	for one , the movie's approach is interesting and not dripping with clich ?<br> .	2	-1	 for[0] one[0] the[0] movie's[0] approach[0] is[0] interesting[1] and[0] not[0] dripping[0] with[0] clich[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another is the colorful cast . 	another is the colorful cast .	1	-1	 another[0] is[0] the[0] colorful[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o'donnell and zellweger are cute together , and the supporting cast tries relentlessly to rescue the film from drowning in it's own mediocrity . 	o'donnell and zellweger are cute together , and the supporting cast tries relentlessly to rescue the film from drowning in it's own mediocrity .	2	-2	 o'donnell[0] and[0] zellweger[0] are[0] cute[1] together[0] and[0] the[0] supporting[1] cast[0] tries[0] relentlessly[0] to[0] rescue[0] the[0] film[0] from[0] drowning[-1] in[0] it's[0] own[0] mediocrity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ustinov is enjoyable as the cranky grandfather figure , and james cromwell is sincere and effective as a wise priest dragged through jimmie's marital adventures . 	ustinov is enjoyable as the cranky grandfather figure , and james cromwell is sincere and effective as a wise priest dragged through jimmie's marital adventures .	3	-2	 ustinov[0] is[0] enjoyable[2] as[0] the[0] cranky[-1] grandfather[0] figure[0] and[0] james[0] cromwell[0] is[0] sincere[0] and[0] effective[0] as[0] a[0] wise[0] priest[0] dragged[0] through[0] jimmie's[0] marital[0] adventures[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and now the cons : the approach may be interesting , but in trying an old-fashioned method , director gary sinyor gives the film a synthetic feel . 	and now the cons : the approach may be interesting , but in trying an old-fashioned method , director gary sinyor gives the film a synthetic feel .	2	-1	 and[0] now[0] the[0] cons[0] the[0] approach[0] may[0] be[0] interesting[1] but[0] in[0] trying[0] an[0] old[0] fashioned[0] method[0] director[0] gary[0] sinyor[0] gives[0] the[0] film[0] a[0] synthetic[0] feel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters are drawn with obvious , broad strokes , and the plot is bogged down with everything humanly imaginable . 	the characters are drawn with obvious , broad strokes , and the plot is bogged down with everything humanly imaginable .	1	-1	 the[0] characters[0] are[0] drawn[0] with[0] obvious[0] broad[0] strokes[0] and[0] the[0] plot[0] is[0] bogged[0] down[0] with[0] everything[0] humanly[0] imaginable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes ,  the bachelor' is far more frustrating than cute . 	yes ,  the bachelor' is far more frustrating than cute .	2	-3	 yes[0] the[0] bachelor'[0] is[0] far[0] more[0] frustrating[-2] than[0] cute[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the screenplay is lamely written , and the subject matter poorly conceived . 	the screenplay is lamely written , and the subject matter poorly conceived .	1	-3	 the[0] screenplay[0] is[0] lamely[-2] written[0] and[0] the[0] subject[0] matter[0] poorly[-1] conceived[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the considerable charm of the two leads is thoughtlessly wasted , along with whatever promise the film initially contained . 	the considerable charm of the two leads is thoughtlessly wasted , along with whatever promise the film initially contained .	2	-2	 the[0] considerable[0] charm[1] of[0] the[0] two[0] leads[0] is[0] thoughtlessly[-1] wasted[-1] along[0] with[0] whatever[0] promise[1] the[0] film[0] initially[0] contained[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
potential goes out the window early to suit sinyor's  colorful' approach , but not a minute of this hapless drivel seems accustomed to the director's wishes . 	potential goes out the window early to suit sinyor's  colorful' approach , but not a minute of this hapless drivel seems accustomed to the director's wishes .	1	-2	 potential[0] goes[0] out[0] the[0] window[0] early[0] to[0] suit[0] sinyor's[0] colorful'[0] approach[0] but[0] not[0] a[0] minute[0] of[0] this[0] hapless[-1] drivel[-1] seems[0] accustomed[-1] to[0] the[0] director's[0] wishes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 the bachelor' becomes lost without a homing beacon to save it . 	 the bachelor' becomes lost without a homing beacon to save it .	2	-1	 the[0] bachelor'[0] becomes[0] lost[0] without[0] a[0] homing[0] beacon[0] to[0] save[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you've seen the tv spots , haven't you ? 	you've seen the tv spots , haven't you ?	1	-1	 you've[0] seen[0] the[0] tv[0] spots[0] haven't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o'donnell is madly rushing down a deserted street and the caption reads  what is this man running from ? ' 	o'donnell is madly rushing down a deserted street and the caption reads  what is this man running from ?<br> '	2	-1	 o'donnell[0] is[0] madly[1] rushing[0] down[0] a[0] deserted[0] street[0] and[0] the[0] caption[0] reads[0] what[0] is[0] this[0] man[0] running[0] from[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
in actuality , he's fleeing from thousands of angry brides who want to marry him and inherit his fortune ( it's one of the few enjoyable sequences in the film ) . 	in actuality , he's fleeing from thousands of angry brides who want to marry him and inherit his fortune ( it's one of the few enjoyable sequences in the film ) .	3	-4	 in[0] actuality[0] he's[0] fleeing[-1] from[0] thousands[0] of[0] angry[-3] brides[0] who[0] want[0] to[0] marry[0] him[0] and[0] inherit[0] his[0] fortune[0] it's[0] one[0] of[0] the[0] few[0] enjoyable[2] sequences[0] in[0] the[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after seeing the movie , i believe that the approaching horde could be something else . 	after seeing the movie , i believe that the approaching horde could be something else .	1	-2	 after[0] seeing[0] the[0] movie[0] i[0] believe[0] that[0] the[0] approaching[0] horde[-1] could[0] be[0] something[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o'donnell could be running from his angry fans , who have just endured  the bachelor' , and are hunting him down for revenge . 	o'donnell could be running from his angry fans , who have just endured  the bachelor' , and are hunting him down for revenge .	1	-4	 o'donnell[0] could[0] be[0] running[0] from[0] his[0] angry[-3] fans[0] who[0] have[0] just[0] endured[0] the[0] bachelor'[0] and[0] are[0] hunting[0] him[0] down[0] for[0] revenge[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
