ever feel you're spending your whole life on the net ( ouch ! ) , eating , breathing and excreting web sites ? 	Translation	Positive	Negative	EmotionRationale
here's salwen's plot : while all the characters are in a dysfunctional , telefixated limbo , loud quirky stranger denise calls up martin to announce that she is pregnant with his child , courtesy of the sperm he donated to the local bank . 	here's salwen's plot : while all the characters are in a dysfunctional , telefixated limbo , loud quirky stranger denise calls up martin to announce that she is pregnant with his child , courtesy of the sperm he donated to the local bank .	1	-1	 here's[0] salwen's[0] plot[0] while[0] all[0] the[0] characters[0] are[0] in[0] a[0] dysfunctional[0] telefixated[0] limbo[0] loud[0] quirky[0] stranger[0] denise[0] calls[0] up[0] martin[0] to[0] announce[0] that[0] she[0] is[0] pregnant[0] with[0] his[0] child[0] courtesy[0] of[0] the[0] sperm[0] he[0] donated[0] to[0] the[0] local[0] bank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as martin progresses from slamming the phone on her to long phone conversations over the baby's name , his friends - and his friends' friends - get involved , courtesy of call-waiting and double-lines . 	as martin progresses from slamming the phone on her to long phone conversations over the baby's name , his friends - and his friends' friends - get involved , courtesy of call-waiting and double-lines .	2	-2	 as[0] martin[0] progresses[0] from[0] slamming[-1] the[0] phone[0] on[0] her[0] to[0] long[0] phone[0] conversations[0] over[0] the[0] baby's[0] name[0] his[0] friends[1] and[0] his[0] friends'[1] friends[1] get[0] involved[0] courtesy[0] of[0] call[0] waiting[0] and[0] double[0] lines[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the tigher and more tantalizing sub-plot , barbara and jerry are set up on a blind date that neither turns up for . 	in the tigher and more tantalizing sub-plot , barbara and jerry are set up on a blind date that neither turns up for .	1	-2	 in[0] the[0] tigher[0] and[0] more[0] tantalizing[0] sub[0] plot[0] barbara[0] and[0] jerry[0] are[0] set[0] up[0] on[0] a[0] blind[-1] date[0] that[0] neither[0] turns[0] up[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both profess to have too complicated schedules to ever meet , but they get it going over the phone . 	both profess to have too complicated schedules to ever meet , but they get it going over the phone .	1	-2	 both[0] profess[0] to[0] have[0] too[0] complicated[-1] schedules[0] to[0] ever[0] meet[0] but[0] they[0] get[0] it[0] going[0] over[0] the[0] phone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with repeated phone sex comes a glitch ; what if the other person is simply faking it ? 	with repeated phone sex comes a glitch ; what if the other person is simply faking it ?	1	-1	 with[0] repeated[0] phone[0] sex[0] comes[0] a[0] glitch[0] what[0] if[0] the[0] other[0] person[0] is[0] simply[0] faking[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
denise calls up scores with some inspired moments . 	denise calls up scores with some inspired moments .	2	-1	 denise[0] calls[0] up[0] scores[0] with[0] some[0] inspired[2][-1 LastWordBoosterStrength] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mousy barbara metamorphoses into a vamp over her cordless , everyone shares the excitement of denise's delivery through a conference call to her handphone , and barbara's best friend gale is killed in a car accident while taling animatedly into another friend's answering machine . 	mousy barbara metamorphoses into a vamp over her cordless , everyone shares the excitement of denise's delivery through a conference call to her handphone , and barbara's best friend gale is killed in a car accident while taling animatedly into another friend's answering machine .	3	-4	 mousy[0] barbara[0] metamorphoses[0] into[0] a[0] vamp[0] over[0] her[0] cordless[0] everyone[0] shares[0] the[0] excitement[2] of[0] denise's[0] delivery[0] through[0] a[0] conference[0] call[0] to[0] her[0] handphone[0] and[0] barbara's[0] best[1] friend[1] gale[0] is[0] killed[-3] in[0] a[0] car[0] accident[-1] while[0] taling[0] animatedly[0] into[0] another[0] friend's[1] answering[0] machine[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( as gale's overly-chatty aunt recounts , her cordless was knicked into her ear and lodged in her brain . ) 	 ( as gale's overly-chatty aunt recounts , her cordless was knicked into her ear and lodged in her brain .<br> )	1	-1	 as[0] gale's[0] overly[0] chatty[0] aunt[0] recounts[0] her[0] cordless[0] was[0] knicked[0] into[0] her[0] ear[0] and[0] lodged[0] in[0] her[0] brain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but these moments are not enough to sustain the movie . 	but these moments are not enough to sustain the movie .	1	-1	 but[0] these[0] moments[0] are[0] not[0] enough[0] to[0] sustain[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pace sags , the dialogue drags and not much acting appears to be required of the telephone-touters . 	the pace sags , the dialogue drags and not much acting appears to be required of the telephone-touters .	1	-2	 the[0] pace[0] sags[-1] the[0] dialogue[0] drags[0] and[0] not[0] much[0] acting[0] appears[0] to[0] be[0] required[0] of[0] the[0] telephone[0] touters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the ending is literally a non-event as expected , everyone is too chicken to turn up for the party frank throws in gale's memory despite promising over the phone that they will . 	and the ending is literally a non-event as expected , everyone is too chicken to turn up for the party frank throws in gale's memory despite promising over the phone that they will .	2	-1	 and[0] the[0] ending[0] is[0] literally[0] a[0] non[0] event[0] as[0] expected[0] everyone[0] is[0] too[0] chicken[0] to[0] turn[0] up[0] for[0] the[0] party[0] frank[0] throws[0] in[0] gale's[0] memory[0] despite[0] promising[1] over[0] the[0] phone[0] that[0] they[0] will[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we get the point . 	we get the point .	1	-1	 we[0] get[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie appears to be intent on flogging its terribly-'90s statement until they have it coming out of your ears . 	the movie appears to be intent on flogging its terribly-'90s statement until they have it coming out of your ears .	1	-4	 the[0] movie[0] appears[0] to[0] be[0] intent[0] on[0] flogging[0] its[0] terribly[-3] '90s[0] statement[0] until[0] they[0] have[0] it[0] coming[0] out[0] of[0] your[0] ears[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
pun intended . 	pun intended .	1	-1	 pun[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's even a on the movie's web site where you can win cellular phones ( as if we haven't had enough of these things already ) . 	there's even a on the movie's web site where you can win cellular phones ( as if we haven't had enough of these things already ) .	1	-1	 there's[0] even[0] a[0] on[0] the[0] movie's[0] web[0] site[0] where[0] you[0] can[0] win[0] cellular[0] phones[0] as[0] if[0] we[0] haven't[0] had[0] enough[0] of[0] these[0] things[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch the movie only if you find it philosophy compelling enough for a earful . 	watch the movie only if you find it philosophy compelling enough for a earful .	1	-1	 watch[0] the[0] movie[0] only[0] if[0] you[0] find[0] it[0] philosophy[0] compelling[0] enough[0] for[0] a[0] earful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flying inkpot's rating system : * wait for the video . 	the flying inkpot's rating system : * wait for the video .	1	-1	 the[0] flying[0] inkpot's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
