kids today , they don't just want to see heartthrob and master thespian freddie prinze jr . loving on the ladies . 	Translation	Positive	Negative	EmotionRationale
before long , you start to wonder : is freddy prinze jr . is capable of having a thought of his own ? 	before long , you start to wonder : is freddy prinze jr .<br> is capable of having a thought of his own ?	1	-1	 before[0] long[0] you[0] start[0] to[0] wonder[0] is[0] freddy[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] is[0] capable[0] of[0] having[0] a[0] thought[0] of[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't answer that . 	don't answer that .	1	-1	 don't[0] answer[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only real joy in the film is found in biel's character , and not just because of the skimpy outfits , which are also usually wet . 	the only real joy in the film is found in biel's character , and not just because of the skimpy outfits , which are also usually wet .	3	-1	 the[0] only[0] real[0] joy[2] in[0] the[0] film[0] is[0] found[0] in[0] biel's[0] character[0] and[0] not[0] just[0] because[0] of[0] the[0] skimpy[0] outfits[0] which[0] are[0] also[0] usually[0] wet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she's the only one in the movie that is able to do much with her role , taking the rebelling-against-daddy character to at least a passing grade . 	she's the only one in the movie that is able to do much with her role , taking the rebelling-against-daddy character to at least a passing grade .	1	-2	 she's[0] the[0] only[0] one[0] in[0] the[0] movie[0] that[0] is[0] able[0] to[0] do[0] much[0] with[0] her[0] role[0] taking[0] the[0] rebelling[-1] against[-1] daddy[0] character[0] to[0] at[0] least[0] a[0] passing[0] grade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she's on screen , the time flies by . 	when she's on screen , the time flies by .	1	-1	 when[0] she's[0] on[0] screen[0] the[0] time[0] flies[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when she's not , you realize that for some ungodly reason this movie is almost two hours long . 	when she's not , you realize that for some ungodly reason this movie is almost two hours long .	1	-1	 when[0] she's[0] not[0] you[0] realize[0] that[0] for[0] some[0] ungodly[0] reason[0] this[0] movie[0] is[0] almost[0] two[0] hours[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a pg-13 teen romance ( despite near-constant sexual innuendo ) , one has to ask warner brothers : what were you thinking ? ? ? 	for a pg-13 teen romance ( despite near-constant sexual innuendo ) , one has to ask warner brothers : what were you thinking ?<br> ?<br> ?	4	-1	 for[0] a[0] pg[0] -13[0] teen[0] romance[3] despite[0] near[0] constant[0] sexual[0] innuendo[0] one[0] has[0] to[0] ask[0] warner[0] brothers[0] what[0] were[0] you[0] thinking[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for her part , biel has fallen so far from her 7th heaven roots that she has almost become denise richards . 	for her part , biel has fallen so far from her 7th heaven roots that she has almost become denise richards .	2	-1	 for[0] her[0] part[0] biel[0] has[0] fallen[0] so[0] far[0] from[0] her[0] 7th[0] heaven[1] roots[0] that[0] she[0] has[0] almost[0] become[0] denise[0] richards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hollywood is either about to eat her alive . . . 	hollywood is either about to eat her alive .<br> .<br> .	1	-1	 hollywood[0] is[0] either[0] about[0] to[0] eat[0] her[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or vice versa . 	or vice versa .	1	-2	 or[0] vice[-1] versa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
either way , good luck , jessica . 	either way , good luck , jessica .	3	-1	 either[0] way[0] good[1] luck[2] jessica[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for freddie , if he keeps pumping teen romances out at the rate of two a year , prinze's next " summer catch " is liable to be a venereal disease . 	as for freddie , if he keeps pumping teen romances out at the rate of two a year , prinze's next " summer catch " is liable to be a venereal disease .	4	-3	 as[0] for[0] freddie[0] if[0] he[0] keeps[0] pumping[0] teen[0] romances[3] out[0] at[0] the[0] rate[0] of[0] two[0] a[0] year[0] prinze's[0] next[0] summer[0] catch[0] is[0] liable[-1] to[0] be[0] a[0] venereal[0] disease[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
