the last of vampire-films offers plenty of blood and gore , but beyond that - nothing . 	Translation	Positive	Negative	EmotionRationale
at the end of the film it becomes clear that cardinal alba ( maximilian schell ) has simply used crow and his team to find valek , so that he would gain eternal life . 	at the end of the film it becomes clear that cardinal alba ( maximilian schell ) has simply used crow and his team to find valek , so that he would gain eternal life .	1	-1	 at[0] the[0] end[0] of[0] the[0] film[0] it[0] becomes[0] clear[0] that[0] cardinal[0] alba[0] maximilian[0] schell[0] has[0] simply[0] used[0] crow[0] and[0] his[0] team[0] to[0] find[0] valek[0] so[0] that[0] he[0] would[0] gain[0] eternal[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise the catholic priests are shown cool - drinking , smoking and breaking the rool of celibacy . 	otherwise the catholic priests are shown cool - drinking , smoking and breaking the rool of celibacy .	2	-1	 otherwise[0] the[0] catholic[0] priests[0] are[0] shown[0] cool[1] drinking[0] smoking[0] and[0] breaking[0] the[0] rool[0] of[0] celibacy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carpenter has created an interesting atmosphere . 	carpenter has created an interesting atmosphere .	2	-1	 carpenter[0] has[0] created[0] an[0] interesting[1] atmosphere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
set in new mexican dessert , he switches between bright golden sunrises and bloody sundowns , symbolically illustrating the good and the evil through light and darkness . 	set in new mexican dessert , he switches between bright golden sunrises and bloody sundowns , symbolically illustrating the good and the evil through light and darkness .	2	-3	 set[0] in[0] new[0] mexican[0] dessert[0] he[0] switches[0] between[0] bright[0] golden[0] sunrises[0] and[0] bloody[-1] sundowns[0] symbolically[0] illustrating[0] the[0] good[1] and[0] the[0] evil[-2] through[0] light[0] and[0] darkness[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
more than anything in this film , this simple illustration shows the battle between good and evil . 	more than anything in this film , this simple illustration shows the battle between good and evil .	2	-3	 more[0] than[0] anything[0] in[0] this[0] film[0] this[0] simple[0] illustration[0] shows[0] the[0] battle[-1] between[0] good[1] and[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the cinematography by gary b . kibbe is probably the film's greatest achievement . 	the cinematography by gary b .<br> kibbe is probably the film's greatest achievement .	3	-1	 the[0] cinematography[0] by[0] gary[0] b[0] [[Sentence=-1,1=word max, 1-5]] kibbe[0] is[0] probably[0] the[0] film's[0] greatest[2] achievement[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
music ( composed by john carpenter himself ) is at times effective , the special effects and makeup are likewise worth a notice . 	music ( composed by john carpenter himself ) is at times effective , the special effects and makeup are likewise worth a notice .	2	-1	 music[0] composed[0] by[0] john[0] carpenter[0] himself[0] is[0] at[0] times[0] effective[0] the[0] special[1] effects[0] and[0] makeup[0] are[0] likewise[0] worth[0] a[0] notice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when it comes to the cast ( in an intellectual film like this casting is the last problem ; everyone can scream and swing the axe ! ) , but here james woods is suprisingly convincing . 	when it comes to the cast ( in an intellectual film like this casting is the last problem ; everyone can scream and swing the axe !<br> ) , but here james woods is suprisingly convincing .	2	-4	 when[0] it[0] comes[0] to[0] the[0] cast[0] in[0] an[0] intellectual[0] film[0] like[1] this[0] casting[0] is[0] the[0] last[0] problem[-1] everyone[0] can[0] scream[-3] and[0] swing[0] the[0] axe[0] [[Sentence=-4,2=word max, 1-5]] but[0] here[0] james[0] woods[0] is[0] suprisingly[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
he is macho and cool as the dedicated hunter , who lost his family to the " breed of evil " . 	he is macho and cool as the dedicated hunter , who lost his family to the " breed of evil " .	2	-3	 he[0] is[0] macho[0] and[0] cool[1] as[0] the[0] dedicated[0] hunter[-1] who[0] lost[0] his[0] family[0] to[0] the[0] breed[0] of[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
woods is constantly overacting , which really saves the film from falling into the trap of serious self importance . 	woods is constantly overacting , which really saves the film from falling into the trap of serious self importance .	3	-2	 woods[0] is[0] constantly[0] overacting[0] which[0] really[0] saves[1][1 LastWordBoosterStrength] the[0] film[0] from[0] falling[0] into[0] the[0] trap[-1] of[0] serious[-1] self[0] importance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
daniel baldwin is also entertaining as crow's loyal partner . 	daniel baldwin is also entertaining as crow's loyal partner .	2	-1	 daniel[0] baldwin[0] is[0] also[0] entertaining[0] as[0] crow's[0] loyal[1] partner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other cast members are struggling . 	the other cast members are struggling .	1	-2	 the[0] other[0] cast[0] members[0] are[0] struggling[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because the film doesn't take itself too seriously , it stays afloat . 	because the film doesn't take itself too seriously , it stays afloat .	1	-1	 because[0] the[0] film[0] doesn't[0] take[0] itself[0] too[0] seriously[0] it[0] stays[0] afloat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still it is like most vampire-films - a mediocre experience . 	still it is like most vampire-films - a mediocre experience .	2	-2	 still[0] it[0] is[0] like[1] most[0] vampire[0] films[0] a[0] mediocre[-1] experience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
