starring william baldwin ; cindy crawford & steven berkoff all right , the first problem that fair game has is the casting of supermodel cindy crawford in the lead role . 	Translation	Positive	Negative	EmotionRationale
so right about now you are no doubt asking yourself what sort of movie does cindy crawford , arguably the most beautiful woman on the planet , chose for her foray into the world of cinema ? 	so right about now you are no doubt asking yourself what sort of movie does cindy crawford , arguably the most beautiful woman on the planet , chose for her foray into the world of cinema ?	3	-2	 so[0] right[0] about[0] now[0] you[0] are[0] no[0] doubt[-1] asking[0] yourself[0] what[0] sort[0] of[0] movie[0] does[0] cindy[0] crawford[0] arguably[-1] the[0] most[0] beautiful[2] woman[0] on[0] the[0] planet[0] chose[0] for[0] her[0] foray[0] into[0] the[0] world[0] of[0] cinema[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , i'm glad you asked that question . 	well , i'm glad you asked that question .	2	-1	 well[0] i'm[0] glad[1] you[0] asked[0] that[0] question[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cindy plays a lawyer who by some convoluted plot twists becomes a target for former elite kgb agents . 	cindy plays a lawyer who by some convoluted plot twists becomes a target for former elite kgb agents .	2	-1	 cindy[0] plays[1] a[0] lawyer[0] who[0] by[0] some[0] convoluted[0] plot[0] twists[0] becomes[0] a[0] target[0] for[0] former[0] elite[0] kgb[0] agents[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why woud they target someone as likable as cindy , you ask ? 	why woud they target someone as likable as cindy , you ask ?	1	-1	 why[0] woud[0] they[0] target[0] someone[0] as[0] likable[0] as[0] cindy[0] you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of the movie you won't care . 	by the end of the movie you won't care .	1	-2	 by[0] the[0] end[0] of[0] the[0] movie[0] you[0] won't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is so contrived it isn't funny . 	the story is so contrived it isn't funny .	1	-2	 the[0] story[0] is[0] so[0] contrived[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway after cindy gets blown out of the window of her house , without getting so much as a scratch i might add , she is placed into protective police custody under the watchful eve of william baldwin . 	anyway after cindy gets blown out of the window of her house , without getting so much as a scratch i might add , she is placed into protective police custody under the watchful eve of william baldwin .	1	-1	 anyway[0] after[0] cindy[0] gets[0] blown[0] out[0] of[0] the[0] window[0] of[0] her[0] house[0] without[0] getting[0] so[0] much[0] as[0] a[0] scratch[0] i[0] might[0] add[0] she[0] is[0] placed[0] into[0] protective[0] police[0] custody[0] under[0] the[0] watchful[0] eve[0] of[0] william[0] baldwin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who's character , max kilpatric , a police detective , seems to possess the skills of some sort of fighting machine ( my guess is that the writers have seen way too many of steven seagal's early films ) . 	who's character , max kilpatric , a police detective , seems to possess the skills of some sort of fighting machine ( my guess is that the writers have seen way too many of steven seagal's early films ) .	1	-3	 who's[0] character[0] max[0] kilpatric[0] a[0] police[0] detective[0] seems[0] to[0] possess[0] the[0] skills[0] of[0] some[0] sort[0] of[0] fighting[-2] machine[0] my[0] guess[0] is[0] that[0] the[0] writers[0] have[0] seen[0] way[0] too[0] many[0] of[0] steven[0] seagal's[0] early[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the point is that the idea of the crawford and baldwin's characters of the run from these killer russians isn't all that bad of an idea , it's just everything around that basic idea which kinda stinks out loud . 	the point is that the idea of the crawford and baldwin's characters of the run from these killer russians isn't all that bad of an idea , it's just everything around that basic idea which kinda stinks out loud .	1	-3	 the[0] point[0] is[0] that[0] the[0] idea[0] of[0] the[0] crawford[0] and[0] baldwin's[0] characters[0] of[0] the[0] run[0] from[0] these[0] killer[-1] russians[0] isn't[0] all[0] that[0] bad[-1] of[0] an[0] idea[0] it's[0] just[0] everything[0] around[0] that[0] basic[0] idea[0] which[0] kinda[0] stinks[-2] out[0] loud[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting cast members are nothing more that over acted stereotypes . 	the supporting cast members are nothing more that over acted stereotypes .	2	-1	 the[0] supporting[1] cast[0] members[0] are[0] nothing[0] more[0] that[0] over[0] acted[0] stereotypes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i was baldwin , i'd hope this film disappears . 	if i was baldwin , i'd hope this film disappears .	3	-1	 if[0] i[0] was[0] baldwin[0] i'd[0] hope[2] this[0] film[0] disappears[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for crawford , she may indeed have some acting ability . 	as for crawford , she may indeed have some acting ability .	1	-1	 as[0] for[0] crawford[0] she[0] may[0] indeed[0] have[0] some[0] acting[0] ability[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , any she does have is obscured by writing that goes beyond bad . 	unfortunately , any she does have is obscured by writing that goes beyond bad .	1	-2	 unfortunately[-1] any[0] she[0] does[0] have[0] is[0] obscured[0] by[0] writing[0] that[0] goes[0] beyond[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie was obviously written with cindy in mind , since the writers spend most of their time finding ways to capitalize off of her looks . 	this movie was obviously written with cindy in mind , since the writers spend most of their time finding ways to capitalize off of her looks .	1	-1	 this[0] movie[0] was[0] obviously[0] written[0] with[0] cindy[0] in[0] mind[0] since[0] the[0] writers[0] spend[0] most[0] of[0] their[0] time[0] finding[0] ways[0] to[0] capitalize[0] off[0] of[0] her[0] looks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's too bad they hadn't spent more time on a half decent plot , since ms . crawford is more than capable of looking just fine all by herself thank you very much . 	it's too bad they hadn't spent more time on a half decent plot , since ms .<br> crawford is more than capable of looking just fine all by herself thank you very much .	2	-2	 it's[0] too[0] bad[-1] they[0] hadn't[0] spent[0] more[0] time[0] on[0] a[0] half[0] decent[0] plot[0] since[0] ms[0] [[Sentence=-2,1=word max, 1-5]] crawford[0] is[0] more[0] than[0] capable[0] of[0] looking[0] just[0] fine[2][-1 LastWordBoosterStrength] all[0] by[0] herself[0] thank[1] you[0] very[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
unless you are a huge fan of either baldwin or crawford this is a movie that will only disappoint you . 	unless you are a huge fan of either baldwin or crawford this is a movie that will only disappoint you .	1	-2	 unless[0] you[0] are[0] a[0] huge[0] fan[0] of[0] either[0] baldwin[0] or[0] crawford[0] this[0] is[0] a[0] movie[0] that[0] will[0] only[0] disappoint[-1] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
