synopsis : a humorless police officer's life changes when he befriends a super-smart , super-adorable golden retriever named einstein and a cute , young blond scientist . 	Translation	Positive	Negative	EmotionRationale
people who read many of his books , however , often complain of repetitive plot devices . 	people who read many of his books , however , often complain of repetitive plot devices .	1	-2	 people[0] who[0] read[0] many[0] of[0] his[0] books[0] however[0] often[0] complain[-1] of[0] repetitive[0] plot[0] devices[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's definately not a koontz book if there isn't ( 1 ) a psychic , ( 2 ) a super-intelligent dog , or ( 3 ) a psychotic killer who likes ripping out people's eyeballs . 	it's definately not a koontz book if there isn't ( 1 ) a psychic , ( 2 ) a super-intelligent dog , or ( 3 ) a psychotic killer who likes ripping out people's eyeballs .	3	-2	 it's[0] definately[0] not[0] a[0] koontz[0] book[0] if[0] there[0] isn't[0] 1[0] a[0] psychic[0] 2[0] a[0] super[2] intelligent[1] dog[0] or[0] 3[0] a[0] psychotic[0] killer[-1] who[0] likes[2] ripping[0] out[0] people's[0] eyeballs[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
watchers has all three devices , which may explain why it's arguably the most popular of koontz's books . 	watchers has all three devices , which may explain why it's arguably the most popular of koontz's books .	1	-2	 watchers[0] has[0] all[0] three[0] devices[0] which[0] may[0] explain[0] why[0] it's[0] arguably[-1] the[0] most[0] popular[0] of[0] koontz's[0] books[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the idea behind koontz's novel , though highly implausible , is very interesting . 	the idea behind koontz's novel , though highly implausible , is very interesting .	3	-1	 the[0] idea[0] behind[0] koontz's[0] novel[0] though[0] highly[0] implausible[0] is[0] very[0] interesting[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
basically , a biological war machine is created : a smart dog can be released in battle , track down its target , and then relay the target's position , psychically , to a large creature designed to kill in hand-to-hand combat . 	basically , a biological war machine is created : a smart dog can be released in battle , track down its target , and then relay the target's position , psychically , to a large creature designed to kill in hand-to-hand combat .	2	-3	 basically[0] a[0] biological[0] war[-2] machine[0] is[0] created[0] a[0] smart[1] dog[0] can[0] be[0] released[0] in[0] battle[-1] track[0] down[0] its[0] target[0] and[0] then[0] relay[0] the[0] target's[0] position[0] psychically[0] to[0] a[0] large[0] creature[0] designed[0] to[0] kill[-1] in[0] hand[0] to[0] hand[0] combat[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
silly but kind of neat too . 	silly but kind of neat too .	2	-2	 silly[-1] but[0] kind[1] of[0] neat[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm sorry . 	i'm sorry .	1	-2	 i'm[0] sorry[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't mean to ramble on about matters not directly linked to watchers reborn , the movie . 	i don't mean to ramble on about matters not directly linked to watchers reborn , the movie .	1	-2	 i[0] don't[0] mean[0] to[0] ramble[-1] on[0] about[0] matters[0] not[0] directly[0] linked[0] to[0] watchers[0] reborn[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose i just don't want to talk about the movie itself . 	i suppose i just don't want to talk about the movie itself .	1	-1	 i[0] suppose[0] i[0] just[0] don't[0] want[0] to[0] talk[0] about[0] the[0] movie[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this turkey is really cheesy . 	this turkey is really cheesy .	1	-1	 this[0] turkey[0] is[0] really[0] cheesy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one in this movie can act , including mark hamill , and it's difficult seeing the aged luke skywalker stumble around trying to be the hero . 	no one in this movie can act , including mark hamill , and it's difficult seeing the aged luke skywalker stumble around trying to be the hero .	3	-2	 no[0] one[0] in[0] this[0] movie[0] can[0] act[0] including[0] mark[0] hamill[0] and[0] it's[0] difficult[-1] seeing[0] the[0] aged[0] luke[0] skywalker[0] stumble[0] around[0] trying[0] to[0] be[0] the[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the cheese factor is only increased when he's involved in an implied sex scene with the blond biologist / geneticist / zoologist / whatever-the-f * * k-she's-supposed-to-be whom he befriends . 	the cheese factor is only increased when he's involved in an implied sex scene with the blond biologist / geneticist / zoologist / whatever-the-f * * k-she's-supposed-to-be whom he befriends .	1	-1	 the[0] cheese[0] factor[0] is[0] only[0] increased[0] when[0] he's[0] involved[0] in[0] an[0] implied[0] sex[0] scene[0] with[0] the[0] blond[0] biologist[0] /[0] geneticist[0] /[0] zoologist[0] /[0] whatever[0] the[0] f[0] k[0] she's[0] supposed[0] to[0] be[0] whom[0] he[0] befriends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mercifully , the filmmakers opted not to do nudity . 	mercifully , the filmmakers opted not to do nudity .	1	-1	 mercifully[0] the[0] filmmakers[0] opted[0] not[0] to[0] do[0] nudity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be honest , the only half-convincing actor in the film is the golden retriever who plays einstein . 	to be honest , the only half-convincing actor in the film is the golden retriever who plays einstein .	2	-1	 to[0] be[0] honest[0] the[0] only[0] half[0] convincing[0] actor[0] in[0] the[0] film[0] is[0] the[0] golden[0] retriever[0] who[0] plays[1] einstein[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you know a movie is bad when a dog outacts all of its human counterparts . 	you know a movie is bad when a dog outacts all of its human counterparts .	1	-2	 you[0] know[0] a[0] movie[0] is[0] bad[-1] when[0] a[0] dog[0] outacts[0] all[0] of[0] its[0] human[0] counterparts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i find it difficult to relate how laughable the action sequences are in this movie . 	i find it difficult to relate how laughable the action sequences are in this movie .	1	-2	 i[0] find[0] it[0] difficult[-1] to[0] relate[0] how[0] laughable[-1] the[0] action[0] sequences[0] are[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the creature ! 	and the creature !	1	-1	 and[0] the[0] creature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , the creature out after poor einstein is some guy in a furry suit and a mask which poorly imitates the werewolves in the howling . 	yes , the creature out after poor einstein is some guy in a furry suit and a mask which poorly imitates the werewolves in the howling .	1	-2	 yes[0] the[0] creature[0] out[0] after[0] poor[-1] einstein[0] is[0] some[0] guy[0] in[0] a[0] furry[0] suit[0] and[0] a[0] mask[0] which[0] poorly[-1] imitates[0] the[0] werewolves[0] in[0] the[0] howling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this creature is shot about 500 , 000 times , but it's okay . 	this creature is shot about 500 , 00 times , but it's okay .	1	-2	 this[0] creature[0] is[0] shot[-1] about[0] 500[0] 000/00[0] times[0] but[0] it's[0] okay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the creature has the ability to kill people by swinging his arms around and pushing . 	the creature has the ability to kill people by swinging his arms around and pushing .	1	-2	 the[0] creature[0] has[0] the[0] ability[0] to[0] kill[-1] people[0] by[0] swinging[0] his[0] arms[0] around[0] and[0] pushing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , he can also rip body parts off , allowing for many scenes of fake hands and arms being thrown around . 	oh , he can also rip body parts off , allowing for many scenes of fake hands and arms being thrown around .	1	-2	 oh[0] he[0] can[0] also[0] rip[-1] body[0] parts[0] off[0] allowing[0] for[0] many[0] scenes[0] of[0] fake[-1] hands[0] and[0] arms[0] being[0] thrown[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cheesy gore . 	cheesy gore .	1	-1	 cheesy[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's another main element of watchers reborn . 	that's another main element of watchers reborn .	1	-1	 that's[0] another[0] main[0] element[0] of[0] watchers[0] reborn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has many bloody scenes which are thoroughly unconvincing and only increase the film's campiness rather than its suspense . 	it has many bloody scenes which are thoroughly unconvincing and only increase the film's campiness rather than its suspense .	1	-2	 it[0] has[0] many[0] bloody[-1] scenes[0] which[0] are[0] thoroughly[0] unconvincing[0] and[0] only[0] increase[0] the[0] film's[0] campiness[0] rather[0] than[0] its[0] suspense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ultimately , i gave watchers reborn a star and a half because bad horror / sci-fi film buffs may get a few kicks out of the film's silliness ( though this film will tax even their patience -- it's an 83 minute film , but it feels like four hours ) . 	ultimately , i gave watchers reborn a star and a half because bad horror / sci-fi film buffs may get a few kicks out of the film's silliness ( though this film will tax even their patience - it's an 83 minute film , but it feels like four hours ) .	2	-4	 ultimately[0] i[0] gave[0] watchers[0] reborn[0] a[0] star[0] and[0] a[0] half[0] because[0] bad[-1] horror[-3] /[0] sci[0] fi[0] film[0] buffs[0] may[0] get[0] a[0] few[0] kicks[-1] out[0] of[0] the[0] film's[0] silliness[1] though[0] this[0] film[0] will[0] tax[-1] even[0] their[0] patience[0] it's[0] an[0] 83[0] minute[0] film[0] but[0] it[0] feels[0] like[1] four[0] hours[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
also , i hate to admit , i have survived far worse than this . 	also , i hate to admit , i have survived far worse than this .	1	-4	 also[0] i[0] hate[-3] to[0] admit[0] i[0] have[0] survived[0] far[0] worse[-2] than[0] this[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
anyone who has sat through the christopher lambert and natasha henstridge debacle known as adrenalin : fear the rush will know what i mean . 	anyone who has sat through the christopher lambert and natasha henstridge debacle known as adrenalin : fear the rush will know what i mean .	1	-4	 anyone[0] who[0] has[0] sat[0] through[0] the[0] christopher[0] lambert[0] and[0] natasha[0] henstridge[0] debacle[0] known[0] as[0] adrenalin[0] fear[-3] the[0] rush[0] will[0] know[0] what[0] i[0] mean[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
finally , i couldn't help but think that watchers reborn would work well as " bot fodder " for the creative folks behind one of my all-time favorite shows , " mystery science theater 3000 . " 	finally , i couldn't help but think that watchers reborn would work well as " bot fodder " for the creative folks behind one of my all-time favorite shows , " mystery science theater 300 .<br> "	2	-1	 finally[0] i[0] couldn't[0] help[0] but[0] think[0] that[0] watchers[0] reborn[0] would[0] work[0] well[0] as[0] bot[0] fodder[0] for[0] the[0] creative[0] folks[0] behind[0] one[0] of[0] my[0] all[0] time[0] favorite[1] shows[0] mystery[0] science[0] theater[0] 3000/300[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this thought alone helped me survive watchers reborn with a smile on my face . 	this thought alone helped me survive watchers reborn with a smile on my face .	3	-1	 this[0] thought[0] alone[0] helped[0] me[0] survive[0] watchers[0] reborn[0] with[0] a[0] smile[2] on[0] my[0] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rated r , watchers reborn contains dozens of blood-spattered bodies and unconvincing gore . 	rated are , watchers reborn contains dozens of blood-spattered bodies and unconvincing gore .	1	-1	 rated[0] r[0] watchers[0] reborn[0] contains[0] dozens[0] of[0] blood[0] spattered[0] bodies[0] and[0] unconvincing[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also has violence , obviously . 	it also has violence , obviously .	1	-4	 it[0] also[0] has[0] violence[-3] obviously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i wouldn't recommend it for the little kids , but i'm sure even young teens would make it through this movie okay . 	i wouldn't recommend it for the little kids , but i'm sure even young teens would make it through this movie okay .	1	-1	 i[0] wouldn't[0] recommend[0] it[0] for[0] the[0] little[0] kids[0] but[0] i'm[0] sure[0] even[0] young[0] teens[0] would[0] make[0] it[0] through[0] this[0] movie[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of watching this film , however , i recommend reading koontz's book . 	instead of watching this film , however , i recommend reading koontz's book .	1	-1	 instead[0] of[0] watching[0] this[0] film[0] however[0] i[0] recommend[0] reading[0] koontz's[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me , it'll be time much , much better spent . 	trust me , it'll be time much , much better spent .	2	-1	 trust[1] me[0] it'll[0] be[0] time[0] much[0] much[0] better[0] spent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
