 " come on , silent bob ! 	Translation	Positive	Negative	EmotionRationale
-- they run into a group of hotties who pretend to be with an animal-rights group , but are really jewel thiefs who parade around in charlie's angels-style outfits . 	- they run into a group of hotties who pretend to be with an animal-rights group , but are really jewel thiefs who parade around in charlie's angels-style outfits .	1	-2	 they[0] run[0] into[0] a[0] group[0] of[0] hotties[0] who[0] pretend[-1] to[0] be[0] with[0] an[0] animal[0] rights[0] group[0] but[0] are[0] really[0] jewel[0] thiefs[0] who[0] parade[0] around[0] in[0] charlie's[0] angels[0] style[0] outfits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , they set jay and silent bob up to look like the thieves , so that there is a massive manhunt going on during the second half of the film . 	of course , they set jay and silent bob up to look like the thieves , so that there is a massive manhunt going on during the second half of the film .	2	-2	 of[0] course[0] they[0] set[0] jay[0] and[0] silent[0] bob[0] up[0] to[0] look[0] like[1] the[0] thieves[-1] so[0] that[0] there[0] is[0] a[0] massive[0] manhunt[0] going[0] on[0] during[0] the[0] second[0] half[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
will ferrell , who again proves himself incapable of doing anything but sketch comedy , shows up as the wildlife marshal inspector who thinks the two have stolen a monkey . 	will ferrell , who again proves himself incapable of doing anything but sketch comedy , shows up as the wildlife marshal inspector who thinks the two have stolen a monkey .	1	-2	 will[0] ferrell[0] who[0] again[0] proves[0] himself[0] incapable[-1] of[0] doing[0] anything[0] but[0] sketch[0] comedy[0] shows[0] up[0] as[0] the[0] wildlife[0] marshal[0] inspector[0] who[0] thinks[0] the[0] two[0] have[0] stolen[-1] a[0] monkey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie will probably please only smith's die-hard , undiscerning fans ; everyone else will be critical of this mind-bogglingly stupid effort following some the sophisticated cinema that he churned out in years past . 	the movie will probably please only smith's die-hard , undiscerning fans ; everyone else will be critical of this mind-bogglingly stupid effort following some the sophisticated cinema that he churned out in years past .	2	-2	 the[0] movie[0] will[0] probably[0] please[1] only[0] smith's[0] die[0] hard[0] undiscerning[0] fans[0] everyone[0] else[0] will[0] be[0] critical[-1] of[0] this[0] mind[0] bogglingly[0] stupid[-1] effort[0] following[0] some[0] the[0] sophisticated[0] cinema[0] that[0] he[0] churned[0] out[0] in[0] years[0] past[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
any appeal the movie has will come from the " in " jokes , most of which i think i understood , but the movie is " in " to the point of absurdity . 	any appeal the movie has will come from the " in " jokes , most of which i think i understood , but the movie is " in " to the point of absurdity .	2	-2	 any[0] appeal[0] the[0] movie[0] has[0] will[0] come[0] from[0] the[0] in[0] jokes[1] most[0] of[0] which[0] i[0] think[0] i[0] understood[0] but[0] the[0] movie[0] is[0] in[0] to[0] the[0] point[0] of[0] absurdity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there needs to be something holding it together other than its own smugness . 	there needs to be something holding it together other than its own smugness .	1	-2	 there[0] needs[0] to[0] be[0] something[0] holding[0] it[0] together[0] other[0] than[0] its[0] own[0] smugness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once jay and silent bob get to hollywood , the movie abruptly switches gears from gross-out comedy to ridiculously broad hollywood satire . 	once jay and silent bob get to hollywood , the movie abruptly switches gears from gross-out comedy to ridiculously broad hollywood satire .	1	-3	 once[0] jay[0] and[0] silent[0] bob[0] get[0] to[0] hollywood[0] the[0] movie[0] abruptly[0] switches[0] gears[0] from[0] gross[-1] out[0] comedy[0] to[0] ridiculously[-2] broad[0] hollywood[0] satire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
countless " hot " movie stars and personalities make an appearance , from smith veterans matt damon and ben affleck to wes craven , but jay and silent bob strike back resorts to such low-brow gags as another scream sequel with a monkey as the killer . 	countless " hot " movie stars and personalities make an appearance , from smith veterans matt damon and ben affleck to wes craven , but jay and silent bob strike back resorts to such low-brow gags as another scream sequel with a monkey as the killer .	1	-4	 countless[0] hot[0] movie[0] stars[0] and[0] personalities[0] make[0] an[0] appearance[0] from[0] smith[0] veterans[0] matt[0] damon[0] and[0] ben[0] affleck[0] to[0] wes[0] craven[-1] but[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] resorts[0] to[0] such[0] low[-1] brow[0] gags[0] as[0] another[0] scream[-3] sequel[0] with[0] a[0] monkey[0] as[0] the[0] killer[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
get it ? 	get it ?	1	-1	 get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're so desperate for another movie , they ran out of ideas and used a monkey ! 	they're so desperate for another movie , they ran out of ideas and used a monkey !	1	-3	 they're[0] so[0] desperate[-2] for[0] another[0] movie[0] they[0] ran[0] out[0] of[0] ideas[0] and[0] used[0] a[0] monkey[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a monkey ! 	a monkey !	1	-1	 a[0] monkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as often happens with writers who are working below what they are actually capable of , most of the really good lines are throwaways , while the big , painstaking gags mostly fall flat . 	as often happens with writers who are working below what they are actually capable of , most of the really good lines are throwaways , while the big , painstaking gags mostly fall flat .	3	-1	 as[0] often[0] happens[0] with[0] writers[0] who[0] are[0] working[0] below[0] what[0] they[0] are[0] actually[0] capable[0] of[0] most[0] of[0] the[0] really[0] good[1][1 LastWordBoosterStrength] lines[0] are[0] throwaways[0] while[0] the[0] big[0] painstaking[0] gags[0] mostly[0] fall[0] flat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the funniest lines in the movie flies by : when asked to comment on the clitoris ( don't ask ) , jay responds : " the female clitoris ? " 	one of the funniest lines in the movie flies by : when asked to comment on the clitoris ( don't ask ) , jay responds : " the female clitoris ?<br> "	2	-1	 one[0] of[0] the[0] funniest[1] lines[0] in[0] the[0] movie[0] flies[0] by[0] when[0] asked[0] to[0] comment[0] on[0] the[0] clitoris[0] don't[0] ask[0] jay[0] responds[0] the[0] female[0] clitoris[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kevin smith is a talented writer ( though i agree that his films would be better off if he'd let a real director take the helm ) , and jay and silent bob strike back holds true to his promise to make a more facetious film . 	kevin smith is a talented writer ( though i agree that his films would be better off if he'd let a real director take the helm ) , and jay and silent bob strike back holds true to his promise to make a more facetious film .	2	-2	 kevin[0] smith[0] is[0] a[0] talented[1] writer[0] though[0] i[0] agree[0] that[0] his[0] films[0] would[0] be[0] better[0] off[0] if[0] he'd[0] let[0] a[0] real[0] director[0] take[0] the[0] helm[0] and[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] holds[0] true[1] to[0] his[0] promise[1] to[0] make[0] a[0] more[0] facetious[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , it's also shapeless , pointless and largely unfunny . 	unfortunately , it's also shapeless , pointless and largely unfunny .	1	-2	 unfortunately[-1] it's[0] also[0] shapeless[0] pointless[-1] and[0] largely[0] unfunny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
smith's " verbal trampoline , " as ben affleck once called his distinctive dialogue , takes a back seat to his dubious instincts as a populist filmmaker . 	smith's " verbal trampoline , " as ben affleck once called his distinctive dialogue , takes a back seat to his dubious instincts as a populist filmmaker .	1	-2	 smith's[0] verbal[0] trampoline[0] as[0] ben[0] affleck[0] once[0] called[0] his[0] distinctive[0] dialogue[0] takes[0] a[0] back[0] seat[0] to[0] his[0] dubious[-1] instincts[0] as[0] a[0] populist[0] filmmaker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was supposed to be the movie that didn't offend anyone , but it's offensive because it's terrible . 	this was supposed to be the movie that didn't offend anyone , but it's offensive because it's terrible .	1	-4	 this[0] was[0] supposed[0] to[0] be[0] the[0] movie[0] that[0] didn't[0] offend[-2] anyone[0] but[0] it's[0] offensive[-2] because[0] it's[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
