contrary to popular belief , not every single foregin film released to an american market is a masterpiece . 	Translation	Positive	Negative	EmotionRationale
she'll be ( and sleep ) with each of them for 3 days each , then on sunday , she'll rest by herself . 	she'll be ( and sleep ) with each of them for 3 days each , then on sunday , she'll rest by herself .	1	-1	 she'll[0] be[0] and[0] sleep[0] with[0] each[0] of[0] them[0] for[0] 3[0] days[0] each[0] then[0] on[0] sunday[0] she'll[0] rest[0] by[0] herself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , she needs it if she's gonna have more sex than sylvia kristel . 	after all , she needs it if she's gonna have more sex than sylvia kristel .	1	-1	 after[0] all[0] she[0] needs[0] it[0] if[0] she's[0] gonna[0] have[0] more[0] sex[0] than[0] sylvia[0] kristel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film goes on for over an hour and a half , through stupidity after stupidity , moronic twist after moronic twist , and soon there's the little ironic ( ! ! ! ) 	the film goes on for over an hour and a half , through stupidity after stupidity , moronic twist after moronic twist , and soon there's the little ironic ( !<br> !<br> !<br> )	1	-3	 the[0] film[0] goes[0] on[0] for[0] over[0] an[0] hour[0] and[0] a[0] half[0] through[0] stupidity[-1] after[0] stupidity[-1] moronic[-2] twist[0] after[0] moronic[-2] twist[0] and[0] soon[0] there's[0] the[0] little[0] ironic[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ending . 	ending .	1	-1	 ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know it's a completely different culture , and i'm quite familiar with the french and their cinema , but this is just bad . 	i know it's a completely different culture , and i'm quite familiar with the french and their cinema , but this is just bad .	1	-1	 i[0] know[0] it's[0] a[0] completely[0] different[0] culture[0] and[0] i'm[0] quite[0] familiar[0] with[0] the[0] french[0] and[0] their[0] cinema[0] but[0] this[0] is[0] just[0] bad[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of the characters are more intelligent than peter stormare in " fargo " ( a movie where stupid characters were backed up to make a point ) , and any action they do is pretty much just to get a hopeful chuckle from the audience . 	none of the characters are more intelligent than peter stormare in " fargo " ( a movie where stupid characters were backed up to make a point ) , and any action they do is pretty much just to get a hopeful chuckle from the audience .	3	-2	 none[0] of[0] the[0] characters[0] are[0] more[0] intelligent[1] than[0] peter[0] stormare[0] in[0] fargo[0] a[0] movie[0] where[0] stupid[-1] characters[0] were[0] backed[0] up[0] to[0] make[0] a[0] point[0] and[0] any[0] action[0] they[0] do[0] is[0] pretty[2] much[0] just[0] to[0] get[0] a[0] hopeful[1] chuckle[2] from[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what's shocking is this was not only one of france's biggest hits , but it was nominated for a lot of cesars ( french equivalent of oscars ) . 	what's shocking is this was not only one of france's biggest hits , but it was nominated for a lot of cesars ( french equivalent of oscars ) .	1	-3	 what's[0] shocking[-2] is[0] this[0] was[0] not[0] only[0] one[0] of[0] france's[0] biggest[0] hits[0] but[0] it[0] was[0] nominated[0] for[0] a[0] lot[0] of[0] cesars[0] french[0] equivalent[0] of[0] oscars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the writing and directing is really the big problem with it . 	the writing and directing is really the big problem with it .	1	-2	 the[0] writing[0] and[0] directing[0] is[0] really[0] the[0] big[0] problem[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
josiane balasko does a good acting job with her role , but her little sex comedy isn't very humerous , entertaining , or even deep at all . 	josiane balasko does a good acting job with her role , but her little sex comedy isn't very humerous , entertaining , or even deep at all .	2	-1	 josiane[0] balasko[0] does[0] a[0] good[1] acting[0] job[0] with[0] her[0] role[0] but[0] her[0] little[0] sex[0] comedy[0] isn't[0] very[0] humerous[0] entertaining[0] or[0] even[0] deep[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even woody allen's not-very-good " a midsummer night's sex comedy " is intelligent , well-written , and possesses some depth . 	even woody allen's not-very-good " a midsummer night's sex comedy " is intelligent , well-written , and possesses some depth .	2	-3	 even[0] woody[0] allen's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] a[0] midsummer[0] night's[0] sex[0] comedy[0] is[0] intelligent[1] well[0] written[0] and[0] possesses[0] some[0] depth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is shallow , unfunny , and pretty annoying to watch . 	this is shallow , unfunny , and pretty annoying to watch .	3	-3	 this[0] is[0] shallow[-1] unfunny[0] and[0] pretty[2] annoying[-2] to[0] watch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film moves at the pace of a snail , and is damn-near painful to watch . 	the film moves at the pace of a snail , and is damn-near painful to watch .	1	-4	 the[0] film[0] moves[0] at[0] the[0] pace[0] of[0] a[0] snail[0] and[0] is[0] damn[-1] near[0] painful[-3] to[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
thank god for the fast forward button . 	thank god for the fast forward button .	2	-1	 thank[1] god[0] for[0] the[0] fast[0] forward[0] button[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting , however , isn't bad at all . 	the acting , however , isn't bad at all .	2	-1	 the[0] acting[0] however[0] isn't[0] bad[-1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actors do the best they can with the bad material , and victoria abril is pretty likable despite the script ( and the fact that she's stupid enough to try to divide herself over two people when she has kids ) . 	the actors do the best they can with the bad material , and victoria abril is pretty likable despite the script ( and the fact that she's stupid enough to try to divide herself over two people when she has kids ) .	3	-2	 the[0] actors[0] do[0] the[0] best[1] they[0] can[0] with[0] the[0] bad[-1] material[0] and[0] victoria[0] abril[0] is[0] pretty[2] likable[0] despite[0] the[0] script[0] and[0] the[0] fact[0] that[0] she's[0] stupid[-1] enough[0] to[0] try[0] to[0] divide[0] herself[0] over[0] two[0] people[0] when[0] she[0] has[0] kids[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and alain chabat has some funny moments as the neurotic husband . 	and alain chabat has some funny moments as the neurotic husband .	1	-3	 and[0] alain[0] chabat[0] has[0] some[0] funny[1][-1 LastWordBoosterStrength] moments[0] as[0] the[0] neurotic[-2] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but " french twist " is just pretty lame . 	but " french twist " is just pretty lame .	2	-3	 but[0] french[0] twist[0] is[0] just[0] pretty[2][-1 LastWordBoosterStrength] lame[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not overly horrible , and has a couple very , very , very brief moments . 	it's not overly horrible , and has a couple very , very , very brief moments .	4	-1	 it's[0] not[0] overly[0] horrible[-3][NegatedDueToPreviousWord] and[0] has[0] a[0] couple[0] very[0] very[0] very[0] brief[0] moments[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it's just a really crap film , and an example of an ill-advised distribution of a foreign film . 	but it's just a really crap film , and an example of an ill-advised distribution of a foreign film .	1	-4	 but[0] it's[0] just[0] a[0] really[0] crap[-2][-1 LastWordBoosterStrength] film[0] and[0] an[0] example[0] of[0] an[0] ill[-1] advised[0] distribution[0] of[0] a[0] foreign[-1] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
