can you say " dated " ? 	Translation	Positive	Negative	EmotionRationale
and everyone's helping with the pregnancy . 	and everyone's helping with the pregnancy .	1	-1	 and[0] everyone's[0] helping[0] with[0] the[0] pregnancy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the neighbors have some wonderful vitamin potions for her to drink , a good-luck charm for her to wear around her neck , and the name of an obstetrician who's been in the business 66 . 6 	the neighbors have some wonderful vitamin potions for her to drink , a good-luck charm for her to wear around her neck , and the name of an obstetrician who's been in the business 66 .<br> 6	3	-1	 the[0] neighbors[0] have[0] some[0] wonderful[2][-1 LastWordBoosterStrength] vitamin[0] potions[0] for[0] her[0] to[0] drink[0] a[0] good[1] luck[2] charm[1] for[0] her[0] to[0] wear[0] around[0] her[0] neck[0] and[0] the[0] name[0] of[0] an[0] obstetrician[0] who's[0] been[0] in[0] the[0] business[0] 66[0] [[Sentence=-1,3=word max, 1-5]] 6[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
years . 	years .	1	-1	 years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , mia begins having chronic stomach pains and losing a lot of weight . 	meanwhile , mia begins having chronic stomach pains and losing a lot of weight .	1	-4	 meanwhile[0] mia[0] begins[0] having[0] chronic[-2] stomach[0] pains[-3] and[0] losing[-2] a[0] lot[0] of[0] weight[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
before too long she looks just like the lead singer of the cranberries . 	before too long she looks just like the lead singer of the cranberries .	1	-1	 before[0] too[0] long[0] she[0] looks[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] lead[0] singer[0] of[0] the[0] cranberries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's when you know your health's failing . 	that's when you know your health's failing .	1	-3	 that's[0] when[0] you[0] know[0] your[0] health's[0] failing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only person in the movie who's the least bit suspicious of all this is an old friend ( maurice evans ) who calls mia up to give her the bad news -- and immediately falls into a coma . 	the only person in the movie who's the least bit suspicious of all this is an old friend ( maurice evans ) who calls mia up to give her the bad news - and immediately falls into a coma .	2	-2	 the[0] only[0] person[0] in[0] the[0] movie[0] who's[0] the[0] least[0] bit[0] suspicious[-1] of[0] all[0] this[0] is[0] an[0] old[0] friend[1] maurice[0] evans[0] who[0] calls[0] mia[0] up[0] to[0] give[0] her[0] the[0] bad[-1] news[0] and[0] immediately[0] falls[0] into[0] a[0] coma[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by about the two-hour mark i felt the same way . 	by about the two-hour mark i felt the same way .	1	-1	 by[0] about[0] the[0] two[0] hour[0] mark[0] i[0] felt[0] the[0] same[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rosemary's baby is way too long , and leads up to a payoff that's about as boring and laughable as the rest of the movie . 	rosemary's baby is way too long , and leads up to a payoff that's about as boring and laughable as the rest of the movie .	2	-2	 rosemary's[0] baby[1] is[0] way[0] too[0] long[0] and[0] leads[0] up[0] to[0] a[0] payoff[0] that's[0] about[0] as[0] boring[-1] and[0] laughable[-1] as[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i guess someone put a spell on this movie . 	i guess someone put a spell on this movie .	1	-1	 i[0] guess[0] someone[0] put[0] a[0] spell[0] on[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
