note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
consequently , he becomes an easy target for those who would ride upon his coattails and take advantage of his talent . 	consequently , he becomes an easy target for those who would ride upon his coattails and take advantage of his talent .	2	-1	 consequently[0] he[0] becomes[0] an[0] easy[0] target[0] for[0] those[0] who[0] would[0] ride[0] upon[0] his[0] coattails[0] and[0] take[0] advantage[0] of[0] his[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
louise ( rebecca demornay ) , a sultry lounge singer , insinuates herself into philip's life for the purpose of swindling him , while philip's estranged brother ( and , conveniently , louise's ex-beau ) johnny ( michael madsen ) arrives on the scene . 	louise ( rebecca demornay ) , a sultry lounge singer , insinuates herself into philip's life for the purpose of swindling him , while philip's estranged brother ( and , conveniently , louise's ex-beau ) johnny ( michael madsen ) arrives on the scene .	1	-2	 louise[0] rebecca[0] demornay[0] a[0] sultry[0] lounge[0] singer[0] insinuates[-1] herself[0] into[0] philip's[0] life[0] for[0] the[0] purpose[0] of[0] swindling[0] him[0] while[0] philip's[0] estranged[-1] brother[0] and[0] conveniently[0] louise's[0] ex[0] beau[0] johnny[0] michael[0] madsen[0] arrives[0] on[0] the[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( to add some colour , johnny also happens to be toting their father's corpse , sans one hand . ) 	 ( to add some colour , johnny also happens to be toting their father's corpse , sans one hand .<br> )	1	-1	 to[0] add[0] some[0] colour[0] johnny[0] also[0] happens[0] to[0] be[0] toting[0] their[0] father's[0] corpse[0] sans[0] one[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , philip is also befriended by a trio of low-rent , opportunists ( frank whaley , billy bob thornton , and richard edson ) , who have every intention of taking advantage of their new buddy's gift with the dice . 	meanwhile , philip is also befriended by a trio of low-rent , opportunists ( frank whaley , billy bob thornton , and richard edson ) , who have every intention of taking advantage of their new buddy's gift with the dice .	1	-2	 meanwhile[0] philip[0] is[0] also[0] befriended[0] by[0] a[0] trio[0] of[0] low[-1] rent[0] opportunists[0] frank[0] whaley[0] billy[0] bob[0] thornton[0] and[0] richard[0] edson[0] who[0] have[0] every[0] intention[0] of[0] taking[0] advantage[0] of[0] their[0] new[0] buddy's[0] gift[0] with[0] the[0] dice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
serenely overlooking the chaos from behind the scenes is the casino owner ( delroy lindo ) ; it is probably not giving away much to reveal that his role in the winner is essentially that alluded to at the end of the flashy sequence in martin scorsese's casino which details the organization hierarchy of a casino's operations - he * is * the eye in the sky . 	serenely overlooking the chaos from behind the scenes is the casino owner ( delroy lindo ) ; it is probably not giving away much to reveal that his role in the winner is essentially that alluded to at the end of the flashy sequence in martin scorsese's casino which details the organization hierarchy of a casino's operations - he * is * the eye in the sky .	2	-2	 serenely[0] overlooking[-1] the[0] chaos[-1] from[0] behind[0] the[0] scenes[0] is[0] the[0] casino[0] owner[0] delroy[0] lindo[0] it[0] is[0] probably[0] not[0] giving[0] away[0] much[0] to[0] reveal[0] that[0] his[0] role[0] in[0] the[0] winner[1] is[0] essentially[0] that[0] alluded[0] to[0] at[0] the[0] end[0] of[0] the[0] flashy[0] sequence[0] in[0] martin[0] scorsese's[0] casino[0] which[0] details[0] the[0] organization[0] hierarchy[0] of[0] a[0] casino's[0] operations[0] he[0] is[0] the[0] eye[0] in[0] the[0] sky[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it could be maddening to endure a film whose central protagonist is so oblivious of the ongoing blatant manipulation , but fortunately this is not the case in the winner , if only because our sadsack hero is such a sap ; not even remotely sympathetic or compelling , it becomes impossible to root for philip or even care about his fate , and the would-be swindlers of philip's fortunes are all drawn out as such ludicrous , transparent buffoons with entirely unimaginative and uninteresting schemes that one watches the winner with a complete sense of disinterest . 	it could be maddening to endure a film whose central protagonist is so oblivious of the ongoing blatant manipulation , but fortunately this is not the case in the winner , if only because our sadsack hero is such a sap ; not even remotely sympathetic or compelling , it becomes impossible to root for philip or even care about his fate , and the would-be swindlers of philip's fortunes are all drawn out as such ludicrous , transparent buffoons with entirely unimaginative and uninteresting schemes that one watches the winner with a complete sense of disinterest .	3	-3	 it[0] could[0] be[0] maddening[-2] to[0] endure[0] a[0] film[0] whose[0] central[0] protagonist[0] is[0] so[0] oblivious[0] of[0] the[0] ongoing[0] blatant[-1] manipulation[-1] but[0] fortunately[0] this[0] is[0] not[0] the[0] case[0] in[0] the[0] winner[1] if[0] only[0] because[0] our[0] sadsack[0] hero[2] is[0] such[0] a[0] sap[-1] not[0] even[0] remotely[0] sympathetic[0] or[0] compelling[0] it[0] becomes[0] impossible[0] to[0] root[0] for[0] philip[0] or[0] even[0] care[1] about[0] his[0] fate[0] and[0] the[0] would[0] be[0] swindlers[0] of[0] philip's[0] fortunes[0] are[0] all[0] drawn[0] out[0] as[0] such[0] ludicrous[-2] transparent[0] buffoons[-1] with[0] entirely[0] unimaginative[0] and[0] uninteresting[0] schemes[0] that[0] one[0] watches[0] the[0] winner[1] with[0] a[0] complete[0] sense[0] of[0] disinterest[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is a shame , as the winner features a talented cast - mr . d'onofrio is an underrated and gifted actor with a huge range ; mr . lindo has a remarkable screen presence which infiltrates every film in which he appears ; mr . madsen , ms . demornay , and mr . whaley have all done good work in the past . 	it is a shame , as the winner features a talented cast - mr .<br> d'onofrio is an underrated and gifted actor with a huge range ; mr .<br> lindo has a remarkable screen presence which infiltrates every film in which he appears ; mr .<br> madsen , ms .<br> demornay , and mr .<br> whaley have all done good work in the past .	2	-3	 it[0] is[0] a[0] shame[-2] as[0] the[0] winner[1] features[0] a[0] talented[1] cast[0] mr[0] [[Sentence=-3,2=word max, 1-5]] d'onofrio[0] is[0] an[0] underrated[0] and[0] gifted[0] actor[0] with[0] a[0] huge[0] range[0] mr[0] [[Sentence=-1,1=word max, 1-5]] lindo[0] has[0] a[0] remarkable[0] screen[0] presence[0] which[0] infiltrates[-1] every[0] film[0] in[0] which[0] he[0] appears[0] mr[0] [[Sentence=-2,1=word max, 1-5]] madsen[0] ms[0] [[Sentence=-1,1=word max, 1-5]] demornay[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] whaley[0] have[0] all[0] done[0] good[1] work[0] in[0] the[0] past[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
none of the actors in the winner are in top form here , and this film won't likely be a prized addition to their respective resumes . 	none of the actors in the winner are in top form here , and this film won't likely be a prized addition to their respective resumes .	3	-1	 none[0] of[0] the[0] actors[0] in[0] the[0] winner[1] are[0] in[0] top[0] form[0] here[0] and[0] this[0] film[0] won't[0] likely[0] be[0] a[0] prized[2] addition[0] to[0] their[0] respective[2] resumes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director alex cox does what he can with wendy riss' screenplay , and it is to his credit that this film at no point feels like an adaptation of a stage play ; i was startled to learn that the winner was in fact based upon one . 	director alex cox does what he can with wendy riss' screenplay , and it is to his credit that this film at no point feels like an adaptation of a stage play ; i was startled to learn that the winner was in fact based upon one .	2	-2	 director[0] alex[0] cox[0] does[0] what[0] he[0] can[0] with[0] wendy[0] riss'[0] screenplay[0] and[0] it[0] is[0] to[0] his[0] credit[0] that[0] this[0] film[0] at[0] no[0] point[0] feels[0] like[1] an[0] adaptation[0] of[0] a[0] stage[0] play[0] i[0] was[0] startled[-1] to[0] learn[0] that[0] the[0] winner[1] was[0] in[0] fact[0] based[0] upon[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while tedious , the film is well-paced and does not meander , but it would be near-impossible task for mr . cox ( or , for that matter , virtually any other director that comes to mind ) to overcome the film's widespread shortcomings in plot and characterization . 	while tedious , the film is well-paced and does not meander , but it would be near-impossible task for mr .<br> cox ( or , for that matter , virtually any other director that comes to mind ) to overcome the film's widespread shortcomings in plot and characterization .	1	-3	 while[0] tedious[-2] the[0] film[0] is[0] well[0] paced[0] and[0] does[0] not[0] meander[0] but[0] it[0] would[0] be[0] near[0] impossible[0] task[0] for[0] mr[0] [[Sentence=-3,1=word max, 1-5]] cox[0] or[0] for[0] that[0] matter[0] virtually[0] any[0] other[0] director[0] that[0] comes[0] to[0] mind[0] to[0] overcome[0] the[0] film's[0] widespread[0] shortcomings[-1] in[0] plot[0] and[0] characterization[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
to his credit , my understanding is that he has chosen to distance himself from the project in acknowledgement of its deficiencies . 	to his credit , my understanding is that he has chosen to distance himself from the project in acknowledgement of its deficiencies .	1	-1	 to[0] his[0] credit[0] my[0] understanding[0] is[0] that[0] he[0] has[0] chosen[0] to[0] distance[0] himself[0] from[0] the[0] project[0] in[0] acknowledgement[0] of[0] its[0] deficiencies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i caught the winner at its world premiere at the toronto international film festival in september 1996 , and in fairness it is entirely possible that the film has been extensively revamped since then due to the lacklustre audience reaction generated - there were more walkouts on this film than any of the others i screened . 	i caught the winner at its world premiere at the toronto international film festival in september 1996 , and in fairness it is entirely possible that the film has been extensively revamped since then due to the lacklustre audience reaction generated - there were more walkouts on this film than any of the others i screened .	2	-1	 i[0] caught[0] the[0] winner[1] at[0] its[0] world[0] premiere[0] at[0] the[0] toronto[0] international[0] film[0] festival[0] in[0] september[0] 1996[0] and[0] in[0] fairness[0] it[0] is[0] entirely[0] possible[0] that[0] the[0] film[0] has[0] been[0] extensively[0] revamped[0] since[0] then[0] due[0] to[0] the[0] lacklustre[0] audience[0] reaction[0] generated[0] there[0] were[0] more[0] walkouts[0] on[0] this[0] film[0] than[0] any[0] of[0] the[0] others[0] i[0] screened[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to be honest , though , i couldn't begin to isolate what could be done to this film to improve it - i assume that throwing the whole thing out and starting over is out of the question . 	to be honest , though , i couldn't begin to isolate what could be done to this film to improve it - i assume that throwing the whole thing out and starting over is out of the question .	2	-2	 to[0] be[0] honest[0] though[0] i[0] couldn't[0] begin[0] to[0] isolate[-1] what[0] could[0] be[0] done[0] to[0] this[0] film[0] to[0] improve[1] it[0] i[0] assume[0] that[0] throwing[0] the[0] whole[0] thing[0] out[0] and[0] starting[0] over[0] is[0] out[0] of[0] the[0] question[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the winner has apparently played on cable television in the united states and is beginning a limited theatrical release at the time of this writing . 	the winner has apparently played on cable television in the united states and is beginning a limited theatrical release at the time of this writing .	2	-1	 the[0] winner[1] has[0] apparently[0] played[0] on[0] cable[0] television[0] in[0] the[0] united[0] states[0] and[0] is[0] beginning[0] a[0] limited[0] theatrical[0] release[0] at[0] the[0] time[0] of[0] this[0] writing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film has a nice upbeat score by pray for rain , but i am honestly not being facetious when i state that the thing i treasured most about my screening of the winner was the bag of popcorn upon which i was munching . 	the film has a nice upbeat score by pray for rain , but i am honestly not being facetious when i state that the thing i treasured most about my screening of the winner was the bag of popcorn upon which i was munching .	2	-1	 the[0] film[0] has[0] a[0] nice[1] upbeat[1] score[0] by[0] pray[0] for[0] rain[0] but[0] i[0] am[0] honestly[0] not[0] being[0] facetious[0] when[0] i[0] state[0] that[0] the[0] thing[0] i[0] treasured[1] most[0] about[0] my[0] screening[0] of[0] the[0] winner[1] was[0] the[0] bag[0] of[0] popcorn[0] upon[0] which[0] i[0] was[0] munching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
