i suppose it's unfair to criticize a movie like hudson hawk , which has been panned by reviewers and moviegoers alike since it's 1991 release . 	Translation	Positive	Negative	EmotionRationale
he constantly gives deadpan reactions to things that are very silly and out-of-place , which means he has more than his share of deadpan reactions . 	he constantly gives deadpan reactions to things that are very silly and out-of-place , which means he has more than his share of deadpan reactions .	1	-3	 he[0] constantly[0] gives[0] deadpan[0] reactions[0] to[0] things[0] that[0] are[0] very[0] silly[-1][-1 LastWordBoosterStrength] and[0] out[0] of[0] place[0] which[0] means[0] he[0] has[0] more[0] than[0] his[0] share[0] of[0] deadpan[0] reactions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another plus is the appearance of andie macdowell as a schizophrenic nun and love interest for the title character . 	another plus is the appearance of andie macdowell as a schizophrenic nun and love interest for the title character .	3	-1	 another[0] plus[0] is[0] the[0] appearance[0] of[0] andie[0] macdowell[0] as[0] a[0] schizophrenic[0] nun[0] and[0] love[2] interest[1] for[0] the[0] title[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they meet when hudson goes on a mission to steal a priceless book from the vatican , and their relationship escalates in interest from there . 	they meet when hudson goes on a mission to steal a priceless book from the vatican , and their relationship escalates in interest from there .	4	-3	 they[0] meet[0] when[0] hudson[0] goes[0] on[0] a[0] mission[0] to[0] steal[-2] a[0] priceless[3] book[0] from[0] the[0] vatican[0] and[0] their[0] relationship[0] escalates[0] in[0] interest[1] from[0] there[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's unfortunate that mcdowell's one-note character is used just as an excuse for there to be a predictable plot-twist , and she offers absolutely no encouraging chemistry with willis . 	it's unfortunate that mcdowell's one-note character is used just as an excuse for there to be a predictable plot-twist , and she offers absolutely no encouraging chemistry with willis .	2	-2	 it's[0] unfortunate[-1] that[0] mcdowell's[0] one[0] note[0] character[0] is[0] used[0] just[0] as[0] an[0] excuse[0] for[0] there[0] to[0] be[0] a[0] predictable[0] plot[0] twist[0] and[0] she[0] offers[0] absolutely[0] no[0] encouraging[1] chemistry[0] with[0] willis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but now i'm rambling on again about the negative things , aren't i ? 	but now i'm rambling on again about the negative things , aren't i ?	1	-2	 but[0] now[0] i'm[0] rambling[0] on[0] again[0] about[0] the[0] negative[-1] things[0] aren't[0] i[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enough of the charade - for the most part , hudson hawk is an excruciating experience . 	enough of the charade - for the most part , hudson hawk is an excruciating experience .	1	-5	 enough[0] of[0] the[0] charade[0] for[0] the[0] most[0] part[0] hudson[0] hawk[0] is[0] an[0] excruciating[-4] experience[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
it's stupid , pointless and repetitive . 	it's stupid , pointless and repetitive .	1	-2	 it's[0] stupid[-1] pointless[-1] and[0] repetitive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can only wonder what bruce willis fans thought after exiting the theater , because this film really doesn't have the potential to please anyone . 	i can only wonder what bruce willis fans thought after exiting the theater , because this film really doesn't have the potential to please anyone .	2	-1	 i[0] can[0] only[0] wonder[0] what[0] bruce[0] willis[0] fans[0] thought[0] after[0] exiting[0] the[0] theater[0] because[0] this[0] film[0] really[0] doesn't[0] have[0] the[0] potential[0] to[0] please[1] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
action fans should take note that hudson hawk is composed of 90% comedy , and even the action sequences are skittery , rushed and poorly edited . 	action fans should take note that hudson hawk is composed of 90% comedy , and even the action sequences are skittery , rushed and poorly edited .	1	-2	 action[0] fans[0] should[0] take[0] note[0] that[0] hudson[0] hawk[0] is[0] composed[0] of[0] 90%[0] comedy[0] and[0] even[0] the[0] action[0] sequences[0] are[0] skittery[0] rushed[0] and[0] poorly[-1] edited[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and those expecting a hearty laugh or two will find it difficult even to smirk during all of the headache-inducing hi-jinks . 	and those expecting a hearty laugh or two will find it difficult even to smirk during all of the headache-inducing hi-jinks .	2	-2	 and[0] those[0] expecting[0] a[0] hearty[0] laugh[1] or[0] two[0] will[0] find[0] it[0] difficult[-1] even[0] to[0] smirk[0] during[0] all[0] of[0] the[0] headache[-1] inducing[0] hi[0] jinks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
don't get me wrong , this film is not devoid of laughs . 	don't get me wrong , this film is not devoid of laughs .	2	-2	 don't[0] get[0] me[0] wrong[-1] this[0] film[0] is[0] not[0] devoid[-1][NegatedDueToPreviousWord] of[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's too bad most of them are unintentional , or just plain forced . 	it's too bad most of them are unintentional , or just plain forced .	1	-2	 it's[0] too[0] bad[-1] most[0] of[0] them[0] are[0] unintentional[0] or[0] just[0] plain[0] forced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the impressive cast looks suitably embarrassed . 	the impressive cast looks suitably embarrassed .	2	-3	 the[0] impressive[1] cast[0] looks[0] suitably[0] embarrassed[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's understandable to see willis and aiello in a movie of this caliber , but as for the presence of future academy award winner james coburn i'm not entirely sure . 	it's understandable to see willis and aiello in a movie of this caliber , but as for the presence of future academy award winner james coburn i'm not entirely sure .	2	-1	 it's[0] understandable[0] to[0] see[0] willis[0] and[0] aiello[0] in[0] a[0] movie[0] of[0] this[0] caliber[0] but[0] as[0] for[0] the[0] presence[0] of[0] future[0] academy[0] award[0] winner[1] james[0] coburn[0] i'm[0] not[0] entirely[0] sure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
coburn plays a former nemesis of the hawk who again comes into play , and he looks unsure of his place the entire movie . 	coburn plays a former nemesis of the hawk who again comes into play , and he looks unsure of his place the entire movie .	2	-1	 coburn[0] plays[1] a[0] former[0] nemesis[0] of[0] the[0] hawk[0] who[0] again[0] comes[0] into[0] play[0] and[0] he[0] looks[0] unsure[0] of[0] his[0] place[0] the[0] entire[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
especially when he resorts to martial arts during the final showdown , and has a fight with willis that would look right at home in a jackie chan film . 	especially when he resorts to martial arts during the final showdown , and has a fight with willis that would look right at home in a jackie chan film .	1	-3	 especially[0] when[0] he[0] resorts[0] to[0] martial[0] arts[0] during[0] the[0] final[0] showdown[0] and[0] has[0] a[0] fight[-2] with[0] willis[0] that[0] would[0] look[0] right[0] at[0] home[0] in[0] a[0] jackie[0] chan[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things get more bizarre when we're introduced to his team of rejects named after chocolate bars , including future nypd blue star david caruso as the speechless , card-flipping kit-kat . 	things get more bizarre when we're introduced to his team of rejects named after chocolate bars , including future nypd blue star david caruso as the speechless , card-flipping kit-kat .	1	-2	 things[0] get[0] more[0] bizarre[-1] when[0] we're[0] introduced[0] to[0] his[0] team[0] of[0] rejects[-1] named[0] after[0] chocolate[0] bars[0] including[0] future[0] nypd[0] blue[0] star[0] david[0] caruso[0] as[0] the[0] speechless[0] card[0] flipping[0] kit[0] kat[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that's not enough for you , there's richard e . grant and sandra bernhard hamming it up as a deranged couple on the brink of a convoluted economic takeover . 	if that's not enough for you , there's richard e .<br> grant and sandra bernhard hamming it up as a deranged couple on the brink of a convoluted economic takeover .	1	-1	 if[0] that's[0] not[0] enough[0] for[0] you[0] there's[0] richard[0] e[0] [[Sentence=-1,1=word max, 1-5]] grant[0] and[0] sandra[0] bernhard[0] hamming[0] it[0] up[0] as[0] a[0] deranged[0] couple[0] on[0] the[0] brink[0] of[0] a[0] convoluted[0] economic[0] takeover[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their crotch-biting pooch provides a couple of the big laughs here . 	their crotch-biting pooch provides a couple of the big laughs here .	2	-1	 their[0] crotch[0] biting[0] pooch[0] provides[0] a[0] couple[0] of[0] the[0] big[0] laughs[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wait , maybe the only big laughs . . . 	wait , maybe the only big laughs .<br> .<br> .	2	-1	 wait[0] maybe[0] the[0] only[0] big[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not sure what kind of movie everyone had in mind when filming hudson hawk . 	i'm not sure what kind of movie everyone had in mind when filming hudson hawk .	2	-1	 i'm[0] not[0] sure[0] what[0] kind[1] of[0] movie[0] everyone[0] had[0] in[0] mind[0] when[0] filming[0] hudson[0] hawk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't even begin to start about the film's absurd plot ; but let's not get into that . 	i can't even begin to start about the film's absurd plot ; but let's not get into that .	1	-2	 i[0] can't[0] even[0] begin[0] to[0] start[0] about[0] the[0] film's[0] absurd[-1] plot[0] but[0] let's[0] not[0] get[0] into[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose there's some amusement viewers could derive from the ridiculous premise , if they were that desperate . 	i suppose there's some amusement viewers could derive from the ridiculous premise , if they were that desperate .	1	-3	 i[0] suppose[0] there's[0] some[0] amusement[1][-1 LastWordBoosterStrength] viewers[0] could[0] derive[0] from[0] the[0] ridiculous[-2] premise[0] if[0] they[0] were[0] that[0] desperate[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but hudson hawk never even has a clue of where it's going from minute one , and from there it's 90 minutes of pure cinematic muck . 	but hudson hawk never even has a clue of where it's going from minute one , and from there it's 90 minutes of pure cinematic muck .	1	-1	 but[0] hudson[0] hawk[0] never[0] even[0] has[0] a[0] clue[0] of[0] where[0] it's[0] going[0] from[0] minute[0] one[0] and[0] from[0] there[0] it's[0] 90[0] minutes[0] of[0] pure[0] cinematic[0] muck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
