a remake of the 1978 warren beatty vehicle " heaven can wait " ( which in turn was a remake of " here comes mr . jordan " ) , " down to earth " tells the tale of lance barton ( chris rock , " lethal weapon iv " ) , a young black standup comic trying to win over the audience at harlem's apollo theater . 	Translation	Positive	Negative	EmotionRationale
rock does get the chance to do some fun schtick , such as his turnaround on wellington's plans for a poor neighborhood hospital ( 'bullet in the head ? 	rock does get the chance to do some fun schtick , such as his turnaround on wellington's plans for a poor neighborhood hospital ( 'bullet in the head ?	2	-2	 rock[1] does[0] get[0] the[0] chance[0] to[0] do[0] some[0] fun[1][-1 LastWordBoosterStrength] schtick[0] such[0] as[0] his[0] turnaround[0] on[0] wellington's[0] plans[0] for[0] a[0] poor[-1] neighborhood[0] hospital[0] 'bullet[0] in[0] the[0] head[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you got a bed ! ' ) , but he's uneven when interacting with the rest of the cast . 	you got a bed !<br> ' ) , but he's uneven when interacting with the rest of the cast .	1	-2	 you[0] got[0] a[0] bed[0] [[Sentence=-1,1=word max, 1-5]] '[0] but[0] he's[0] uneven[-1] when[0] interacting[0] with[0] the[0] rest[0] of[0] the[0] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regina taylor fares well amidst the mediocrity as the young activist who confusedly ends up falling for the man she believed to be her nemesis . 	regina taylor fares well amidst the mediocrity as the young activist who confusedly ends up falling for the man she believed to be her nemesis .	1	-2	 regina[0] taylor[0] fares[0] well[0] amidst[0] the[0] mediocrity[-1] as[0] the[0] young[0] activist[0] who[0] confusedly[-1] ends[0] up[0] falling[0] for[0] the[0] man[0] she[0] believed[0] to[0] be[0] her[0] nemesis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also good is frankie faison ( " hannibal " ) as whitney , lance's compassionate manager - the only human who's made privy to lance's body body switch . 	also good is frankie faison ( " hannibal " ) as whitney , lance's compassionate manager - the only human who's made privy to lance's body body switch .	2	-1	 also[0] good[1] is[0] frankie[0] faison[0] hannibal[0] as[0] whitney[0] lance's[0] compassionate[1] manager[0] the[0] only[0] human[0] who's[0] made[0] privy[0] to[0] lance's[0] body[0] body[0] switch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chaz palminteri and levy are pretty much wasted as heaven's ambassadors . 	chaz palminteri and levy are pretty much wasted as heaven's ambassadors .	3	-2	 chaz[0] palminteri[0] and[0] levy[0] are[0] pretty[2] much[0] wasted[-1] as[0] heaven's[1] ambassadors[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
another " best in show " alumnus , jennifer coolidge , is poorly used as wellington's cheating wife ( and shown several days apart wearing the same outfit ? ! ) and greg germann ( tv's " ally mcbeal , " " sweet november " ) continues display his sitcom roots as her lover and husband's lawyer . 	another " best in show " alumnus , jennifer coolidge , is poorly used as wellington's cheating wife ( and shown several days apart wearing the same outfit ?<br> !<br> ) and greg german ( tv's " ally mcbeal , " " sweet november " ) continues display his sitcom roots as her lover and husband's lawyer .	4	-3	 another[0] best[1] in[0] show[0] alumnus[0] jennifer[0] coolidge[0] is[0] poorly[-1] used[0] as[0] wellington's[0] cheating[-2] wife[0] and[0] shown[0] several[0] days[0] apart[0] wearing[0] the[0] same[0] outfit[0] [[Sentence=-3,2=word max, 1-5]] and[0] greg[0] germann/german[-1] tv's[0] ally[0] mcbeal[0] sweet[1] november[0] continues[0] display[0] his[0] sitcom[0] roots[0] as[0] her[0] lover[3] and[0] husband's[0] lawyer[0] [[Sentence=-2,4=word max, 1-5]][[[4,-3 max of sentences]]]
mark addy ( " the full monty " ) is sorely underutilized as cisco , wellington's fake english butler . 	mark addy ( " the full monty " ) is sorely underutilized as cisco , wellington's fake english butler .	1	-2	 mark[0] addy[0] the[0] full[0] monty[0] is[0] sorely[0] underutilized[0] as[0] cisco[0] wellington's[0] fake[-1] english[0] butler[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stealing the show in every scene she's in is wanda sykes ( " the chris rock show " ) as wellington's disgruntled maid . 	stealing the show in every scene she's in is wanda sykes ( " the chris rock show " ) as wellington's disgruntled maid .	2	-3	 stealing[-2] the[0] show[0] in[0] every[0] scene[0] she's[0] in[0] is[0] wanda[0] sykes[0] the[0] chris[0] rock[1] show[0] as[0] wellington's[0] disgruntled[0] maid[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " down to earth " is for chris rock fans only . 	 " down to earth " is for chris rock fans only .	2	-1	 down[0] to[0] earth[0] is[0] for[0] chris[0] rock[1] fans[0] only[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all others should go rent " heaven can wait " or truly be brought down to earth . 	all others should go rent " heaven can wait " or truly be brought down to earth .	2	-1	 all[0] others[0] should[0] go[0] rent[0] heaven[1] can[0] wait[0] or[0] truly[1] be[0] brought[0] down[0] to[0] earth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
