plunkett & macleane is a period piece mired down by modern mtv pretentions . 	Translation	Positive	Negative	EmotionRationale
meanwhile , macleane falls in love with rebecca infuriating the businesslike plunkett , who doesn't want his plans to be foiled by his partner's mindless romantic travails . 	meanwhile , macleane falls in love with rebecca infuriating the businesslike plunkett , who doesn't want his plans to be foiled by his partner's mindless romantic travails .	4	-1	 meanwhile[0] macleane[0] falls[0] in[0] love[2] with[0] rebecca[0] infuriating[0] the[0] businesslike[0] plunkett[0] who[0] doesn't[0] want[0] his[0] plans[0] to[0] be[0] foiled[0] by[0] his[0] partner's[0] mindless[0] romantic[3] travails[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
director jake scott , son of ridley scott ( alien , blade runner ) , has his father's knack for setting up atmospheric shots but none of his skill in actually moving the camera . 	director jake scot , son of ridley scot ( alien , blade runner ) , has his father's knack for setting up atmospheric shots but none of his skill in actually moving the camera .	1	-2	 director[0] jake[0] scott/scot[0] son[0] of[0] ridley[0] scott/scot[0] alien[-1] blade[0] runner[0] has[0] his[0] father's[0] knack[0] for[0] setting[0] up[0] atmospheric[0] shots[0] but[0] none[0] of[0] his[0] skill[0] in[0] actually[0] moving[0] the[0] camera[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the action scenes are filmed in such a rapid , jerky way that it's impossible to comprehend what's going on . 	most of the action scenes are filmed in such a rapid , jerky way that it's impossible to comprehend what's going on .	1	-1	 most[0] of[0] the[0] action[0] scenes[0] are[0] filmed[0] in[0] such[0] a[0] rapid[0] jerky[0] way[0] that[0] it's[0] impossible[0] to[0] comprehend[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camerawork is even more nauseating than in the purposefully dizzying the blair witch project due to its lack of fluidity . 	the camerawork is even more nauseating than in the purposefully dizying the blair witch project due to its lack of fluidity .	1	-2	 the[0] camerawork[0] is[0] even[0] more[0] nauseating[0] than[0] in[0] the[0] purposefully[0] dizzying/dizying[0] the[0] blair[0] witch[0] project[0] due[0] to[0] its[0] lack[-1] of[0] fluidity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of utilizing panning shots to impress upon us the scope of the events scott uses attention-deficit-disorder edits . 	instead of utilizing panning shots to impress upon us the scope of the events scot uses attention-deficit-disorder edits .	2	-2	 instead[0] of[0] utilizing[0] panning[0] shots[0] to[0] impress[1] upon[0] us[0] the[0] scope[0] of[0] the[0] events[0] scott/scot[0] uses[0] attention[0] deficit[-1] disorder[-1] edits[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he barely ever holds a shot for more than ten seconds and during the faster scenes it seems more like a couple frames between each cut . 	he barely ever holds a shot for more than ten seconds and during the faster scenes it seems more like a couple frames between each cut .	2	-2	 he[0] barely[0] ever[0] holds[0] a[0] shot[-1] for[0] more[0] than[0] ten[0] seconds[0] and[0] during[0] the[0] faster[0] scenes[0] it[0] seems[0] more[0] like[1] a[0] couple[0] frames[0] between[0] each[0] cut[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the weird , almost defiant lack of dialogue ( there are no -- no -- conversations lasting over , say , 20 seconds ) undermines character definition and our two protagonists come off as ciphers rather than characters . 	the weird , almost defiant lack of dialogue ( there are no - no - conversations lasting over , say , 20 seconds ) undermines character definition and our two protagonists come off as ciphers rather than characters .	1	-2	 the[0] weird[-1] almost[0] defiant[-1] lack[-1] of[0] dialogue[0] there[0] are[0] no[0] no[0] conversations[0] lasting[0] over[0] say[0] 20[0] seconds[0] undermines[-1] character[0] definition[0] and[0] our[0] two[0] protagonists[0] come[0] off[0] as[0] ciphers[0] rather[0] than[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the love affair between macleane and rebecca is no different , emotionless and unrealistic . 	the love affair between macleane and rebecca is no different , emotionless and unrealistic .	3	-1	 the[0] love[2] affair[0] between[0] macleane[0] and[0] rebecca[0] is[0] no[0] different[0] emotionless[0] and[0] unrealistic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the script calls for macleane to decide between going to america and going to meet his lover , there is no reason for us to believe it would be worth it for him to abandon his goal ; he and rebecca barely even speak to each other throughout the film . 	when the script calls for macleane to decide between going to america and going to meet his lover , there is no reason for us to believe it would be worth it for him to abandon his goal ; he and rebecca barely even speak to each other throughout the film .	4	-2	 when[0] the[0] script[0] calls[0] for[0] macleane[0] to[0] decide[0] between[0] going[0] to[0] america[0] and[0] going[0] to[0] meet[0] his[0] lover[3] there[0] is[0] no[0] reason[0] for[0] us[0] to[0] believe[0] it[0] would[0] be[0] worth[0] it[0] for[0] him[0] to[0] abandon[-1] his[0] goal[0] he[0] and[0] rebecca[0] barely[0] even[0] speak[0] to[0] each[0] other[0] throughout[0] the[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
plunkett and macleane wants desperately to be a triumph of style over substance but since its style , quite frankly , blows , the film has no hope of succeeding on any level . 	plunkett and macleane wants desperately to be a triumph of style over substance but since its style , quite frankly , blows , the film has no hope of succeeding on any level .	3	-3	 plunkett[0] and[0] macleane[0] wants[0] desperately[-2] to[0] be[0] a[0] triumph[2] of[0] style[0] over[0] substance[0] but[0] since[0] its[0] style[0] quite[0] frankly[0] blows[0] the[0] film[0] has[0] no[0] hope[2] of[0] succeeding[2] on[0] any[0] level[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i wanted to appreciate this movie on the basis of its admittedly kinetic pace but i couldn't -- it was so kinetic it gave me a headache . 	i wanted to appreciate this movie on the basis of its admittedly kinetic pace but i couldn't - it was so kinetic it gave me a headache .	2	-2	 i[0] wanted[0] to[0] appreciate[1] this[0] movie[0] on[0] the[0] basis[0] of[0] its[0] admittedly[0] kinetic[0] pace[0] but[0] i[0] couldn't[0] it[0] was[0] so[0] kinetic[0] it[0] gave[0] me[0] a[0] headache[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
