what hath kevin williamson wrought ? 	Translation	Positive	Negative	EmotionRationale
it hardly matters if they are true or not , such as the tall tale that mikey from the life cereal commercials died from a fatal combination of pop rocks and pepsi ( he didn't ) . 	it hardly matters if they are true or not , such as the tall tale that mikey from the life cereal commercials died from a fatal combination of pop rocks and pepsi ( he didn't ) .	2	-3	 it[0] hardly[0] matters[0] if[0] they[0] are[0] true[1] or[0] not[0] such[0] as[0] the[0] tall[0] tale[0] that[0] mikey[0] from[0] the[0] life[0] cereal[0] commercials[0] died[0] from[0] a[0] fatal[-2] combination[0] of[0] pop[0] rocks[0] and[0] pepsi[0] he[0] didn't[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
michelle , slain by the " killer lurking in the backseat " of lore , is but the first to fall prey to an urban legend come true ; as the body count rises , fellow pendleton student natalie ( alicia witt ) suspects not only a link between the murders , but a personal link to her past as well . 	michelle , slain by the " killer lurking in the backseat " of lore , is but the first to fall prey to an urban legend come true ; as the body count rises , fellow pendleton student natalie ( alicia wit ) suspects not only a link between the murders , but a personal link to her past as well .	2	-4	 michelle[0] slain[0] by[0] the[0] killer[-1] lurking[0] in[0] the[0] backseat[0] of[0] lore[0] is[0] but[0] the[0] first[0] to[0] fall[0] prey[0] to[0] an[0] urban[0] legend[0] come[0] true[1] as[0] the[0] body[0] count[0] rises[0] fellow[0] pendleton[0] student[0] natalie[0] alicia[0] witt/wit[0] suspects[0] not[0] only[0] a[0] link[0] between[0] the[0] murders[-3] but[0] a[0] personal[0] link[0] to[0] her[0] past[0] as[0] well[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the setup shows promise , but the story never takes off , due in large part to horta and the director , the aptly named jamie blanks , who fires round afer round of his namesake in terms of suspense and scares . 	the setup shows promise , but the story never takes off , due in large part to horta and the director , the aptly named jamie blanks , who fires round afer round of his namesake in terms of suspense and scares .	2	-4	 the[0] setup[0] shows[0] promise[1] but[0] the[0] story[0] never[0] takes[0] off[0] due[0] in[0] large[0] part[0] to[0] horta[0] and[0] the[0] director[0] the[0] aptly[0] named[0] jamie[0] blanks[0] who[0] fires[0] round[0] afer[0] round[0] of[0] his[0] namesake[0] in[0] terms[0] of[0] suspense[0] and[0] scares[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
too many of the would-be shocks are fakeouts reliant on bombastic music cues , and the film's chase scenes are riddled with the cliches that _scream_ tried to subvert , like screaming damsels knowingly running themselves into dead ends when they should--and could--run out the front door . 	too many of the would-be shocks are fakeouts reliant on bombastic music cues , and the film's chase scenes are riddled with the cliches that _scream_ tried to subvert , like screaming damsels knowingly running themselves into dead ends when they should-and could-run out the front door .	2	-4	 too[0] many[0] of[0] the[0] would[0] be[0] shocks[-2] are[0] fakeouts[-1] reliant[0] on[0] bombastic[-1] music[0] cues[0] and[0] the[0] film's[0] chase[-1] scenes[0] are[0] riddled[0] with[0] the[0] cliches[0] that[0] _scream_[0] tried[0] to[0] subvert[-1] like[1] screaming[-3] damsels[0] knowingly[0] running[0] themselves[0] into[0] dead[-2] ends[0] when[0] they[0] should[0] and[0] could[0] run[0] out[0] the[0] front[0] door[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but that is just the tip of the iceberg when it comes to cliches ; there's also the climactic villain confession , in which a contrived and way-too-convenient motive is revealed , not to mention the credit card opening up the locked door trick , which is a cliche in any film genre . 	but that is just the tip of the iceberg when it comes to cliches ; there's also the climactic villain confession , in which a contrived and way-too-convenient motive is revealed , not to mention the credit card opening up the locked door trick , which is a cliche in any film genre .	1	-3	 but[0] that[0] is[0] just[0] the[0] tip[0] of[0] the[0] iceberg[0] when[0] it[0] comes[0] to[0] cliches[0] there's[0] also[0] the[0] climactic[0] villain[-2] confession[-1] in[0] which[0] a[0] contrived[0] and[0] way[0] too[0] convenient[0] motive[0] is[0] revealed[0] not[0] to[0] mention[0] the[0] credit[0] card[0] opening[0] up[0] the[0] locked[0] door[0] trick[-1] which[0] is[0] a[0] cliche[0] in[0] any[0] film[0] genre[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
banks and horta's ( intentional ) attempts at humor are also lame ; the fact that the best gags are lazy , in-jokey references to the other credits of co-stars joshua jackson and rebecca gayheart says a lot about the imagination of their humor . 	banks and horta's ( intentional ) attempts at humor are also lame ; the fact that the best gags are lazy , in-jokey references to the other credits of co-stars joshua jackson and rebecca gayheart says a lot about the imagination of their humor .	3	-3	 banks[0] and[0] horta's[0] intentional[0] attempts[0] at[0] humor[2] are[0] also[0] lame[-2] the[0] fact[0] that[0] the[0] best[1] gags[0] are[0] lazy[-1] in[0] jokey[1] references[0] to[0] the[0] other[0] credits[0] of[0] co[0] stars[0] joshua[0] jackson[0] and[0] rebecca[0] gayheart[0] says[0] a[0] lot[0] about[0] the[0] imagination[0] of[0] their[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some laughs are also had when the rather predictable identity of the killer is revealed , but i'm not so sure if some of the more hilarious things about it were meant to be so . 	some laughs are also had when the rather predictable identity of the killer is revealed , but i'm not so sure if some of the more hilarious things about it were meant to be so .	3	-2	 some[0] laughs[1][-1 LastWordBoosterStrength] are[0] also[0] had[0] when[0] the[0] rather[0] predictable[0] identity[0] of[0] the[0] killer[-1] is[0] revealed[0] but[0] i'm[0] not[0] so[0] sure[0] if[0] some[0] of[0] the[0] more[0] hilarious[2] things[0] about[0] it[0] were[0] meant[0] to[0] be[0] so[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the filmmakers don't get much help from their onscreen talent . 	the filmmakers don't get much help from their onscreen talent .	2	-1	 the[0] filmmakers[0] don't[0] get[0] much[0] help[0] from[0] their[0] onscreen[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was far from a fan of bland _i_know . . . _ 	i was far from a fan of bland _i_know .<br> .<br> .<br> _	1	-2	 i[0] was[0] far[0] from[0] a[0] fan[0] of[0] bland[-1] _i_know[0] [[Sentence=-2,1=word max, 1-5]] _[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
starlet jennifer love hewitt , but i'd talke her any day ove the dreadfully stiff and uncharismatic witt , whose inept attempts at emoting were often met with laughter ; witt has a pefect foil in her equally pesence-challenged leading man , jared leto . 	starlet jennifer love hewitt , but i'd talke her any day ove the dreadfully stiff and uncharismatic wit , whose inept attempts at emoting were often met with laughter ; wit has a pefect foil in her equally pesence-challenged leading man , jared leto .	3	-4	 starlet[0] jennifer[0] love[2] hewitt[0] but[0] i'd[0] talke[0] her[0] any[0] day[0] ove[0] the[0] dreadfully[-3] stiff[0] and[0] uncharismatic[0] witt/wit[0] whose[0] inept[0] attempts[0] at[0] emoting[0] were[0] often[0] met[0] with[0] laughter[1] witt/wit[0] has[0] a[0] pefect[0] foil[0] in[0] her[0] equally[0] pesence[0] challenged[-1] leading[0] man[0] jared[0] leto[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
_dawson's_creek_ star jackson mugs his way thorugh a glorified cameo ; gayheart displays all the depth and range of , well , a noxzema spokeswoman ; and robert englund lends the film little more than his freddy krueger pedigree as a folklore professor . 	_dawson's_creek_ star jackson mugs his way thorugh a glorified cameo ; gayheart displays all the depth and range of , well , a noxzema spokeswoman ; and robert englund lends the film little more than his freddy krueger pedigree as a folklore professor .	2	-1	 _dawson's_creek_[0] star[0] jackson[0] mugs[0] his[0] way[0] thorugh[0] a[0] glorified[1] cameo[0] gayheart[0] displays[0] all[0] the[0] depth[0] and[0] range[0] of[0] well[0] a[0] noxzema[0] spokeswoman[0] and[0] robert[0] englund[0] lends[0] the[0] film[0] little[0] more[0] than[0] his[0] freddy[0] krueger[0] pedigree[0] as[0] a[0] folklore[0] professor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
granted , the cast is hampered by their material . 	granted , the cast is hampered by their material .	1	-1	 granted[0] the[0] cast[0] is[0] hampered[0] by[0] their[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
loretta devine , who has done some fine work in films such as _waiting_to_exhale_ , is saddled with the ridiculous role of a pam grier-worshiping campus security guard . 	loretta devine , who has done some fine work in films such as _waiting_to_exhale_ , is saddled with the ridiculous role of a pam grier-worshiping campus security guard .	2	-3	 loretta[0] devine[0] who[0] has[0] done[0] some[0] fine[2][-1 LastWordBoosterStrength] work[0] in[0] films[0] such[0] as[0] _waiting_to_exhale_[0] is[0] saddled[0] with[0] the[0] ridiculous[-2] role[0] of[0] a[0] pam[0] grier[0] worshiping[1] campus[0] security[1] guard[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the recently resuscitated horror genre cannot rely on the efforts one man--namely , kevin williamson--to stay alive . 	the recently resuscitated horror genre cannot rely on the efforts one man-namely , kevin williamson-to stay alive .	1	-4	 the[0] recently[0] resuscitated[0] horror[-3] genre[0] cannot[0] rely[0] on[0] the[0] efforts[0] one[0] man[0] namely[0] kevin[0] williamson[0] to[0] stay[0] alive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if other filmmakers continue to make such shoddy product as _urban_legend_ , the genre looks to once again go the way of screen slashers' many victims . 	if other filmmakers continue to make such shoddy product as _urban_legend_ , the genre looks to once again go the way of screen slashers' many victims .	1	-3	 if[0] other[0] filmmakers[0] continue[0] to[0] make[0] such[0] shoddy[-1] product[0] as[0] _urban_legend_[0] the[0] genre[0] looks[0] to[0] once[0] again[0] go[0] the[0] way[0] of[0] screen[0] slashers'[-1] many[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
