i think maybe it's time for the batman series to be put to rest . 	Translation	Positive	Negative	EmotionRationale
not bad , but wouldn't the police ( or maybe batman ? ) 	not bad , but wouldn't the police ( or maybe batman ?<br> )	2	-1	 not[0] bad[-1][NegatedDueToPreviousWord] but[0] wouldn't[0] the[0] police[0] or[0] maybe[0] batman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
notice if the road was on fire ? 	notice if the road was on fire ?	1	-1	 notice[0] if[0] the[0] road[0] was[0] on[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i knew gotham city was this crazy anarchic place , but . 	i knew gotham city was this crazy anarchic place , but .	1	-2	 i[0] knew[0] gotham[0] city[0] was[0] this[0] crazy[-1] anarchic[0] place[0] but[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
it also seems that the creators of the batman movies are obeying some unwritten rule that there have to be more main characters and plot lines in each successive installment . 	it also seems that the creators of the batman movies are obeying some unwritten rule that there have to be more main characters and plot lines in each successive instalment .	1	-1	 it[0] also[0] seems[0] that[0] the[0] creators[0] of[0] the[0] batman[0] movies[0] are[0] obeying[0] some[0] unwritten[0] rule[0] that[0] there[0] have[0] to[0] be[0] more[0] main[0] characters[0] and[0] plot[0] lines[0] in[0] each[0] successive[0] installment/instalment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if three protagonists and two villains weren't enough , batman and robin further weighs itself down with an underdeveloped side story of the failing health of bruce wayne's butler alfred ( michael gough ) , which might have seemed poignant if it wasn't surrounded by so much silliness , as well as several scenes with elle macpherson as bruce's girlfriend which serve no purpose other than to remind us that she is in the movie . 	as if three protagonists and two villains weren't enough , batman and robin further weighs itself down with an underdeveloped side story of the failing health of bruce wayne's butler alfred ( michael gough ) , which might have seemed poignant if it wasn't surrounded by so much silliness , as well as several scenes with elle macpherson as bruce's girlfriend which serve no purpose other than to remind us that she is in the movie .	2	-3	 as[0] if[0] three[0] protagonists[0] and[0] two[0] villains[-2] weren't[0] enough[0] batman[0] and[0] robin[0] further[0] weighs[0] itself[0] down[0] with[0] an[0] underdeveloped[0] side[0] story[0] of[0] the[0] failing[-2] health[0] of[0] bruce[0] wayne's[0] butler[0] alfred[0] michael[0] gough[0] which[0] might[0] have[0] seemed[0] poignant[0] if[0] it[0] wasn't[0] surrounded[0] by[0] so[0] much[0] silliness[1] as[0] well[0] as[0] several[0] scenes[0] with[0] elle[0] macpherson[0] as[0] bruce's[0] girlfriend[0] which[0] serve[0] no[0] purpose[0] other[0] than[0] to[0] remind[0] us[0] that[0] she[0] is[0] in[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all this might be semi-excusable if the story were interesting and entertaining , but it isn't . 	all this might be semi-excusable if the story were interesting and entertaining , but it isn't .	2	-1	 all[0] this[0] might[0] be[0] semi[0] excusable[0] if[0] the[0] story[0] were[0] interesting[1] and[0] entertaining[0] but[0] it[0] isn't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , it's kind of boring . 	in fact , it's kind of boring .	2	-2	 in[0] fact[0] it's[0] kind[1] of[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mr . freeze and poison ivy pale in comparison as villains to past baddies such as jack nicholson's joker and danny devito's penguin . 	mr .<br> freeze and poison ivy pale in comparison as villains to past baddies such as jack nicholson's joker and danny devito's penguin .	2	-3	 mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] and[0] poison[-2] ivy[0] pale[0] in[0] comparison[0] as[0] villains[-2] to[0] past[0] baddies[0] such[0] as[0] jack[0] nicholson's[0] joker[1] and[0] danny[0] devito's[0] penguin[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their evil plot is as predictable ( schwarzenegger actually pronounces the words , " today gotham city , tomorrow the world ! " ) 	their evil plot is as predictable ( schwarzenegger actually pronounces the words , " today gotham city , tomorrow the world !<br> " )	1	-3	 their[0] evil[-2] plot[0] is[0] as[0] predictable[0] schwarzenegger[0] actually[0] pronounces[0] the[0] words[0] today[0] gotham[0] city[0] tomorrow[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as it is lame-brained ( didn't it ever occur to poison ivy that freezing the entire world would kill her precious plants too ? ) . 	as it is lame-brained ( didn't it ever occur to poison ivy that freezing the entire world would kill her precious plants too ?<br> ) .	3	-3	 as[0] it[0] is[0] lame[-2] brained[0] didn't[0] it[0] ever[0] occur[0] to[0] poison[-2] ivy[0] that[0] freezing[0] the[0] entire[0] world[0] would[0] kill[-1][--1 LastWordBoosterStrength] her[0] precious[2] plants[0] too[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and robin's constant challenging of batman mostly just makes him look bull-headed and stupid and makes us wonder why batman ever would have taken him on as a partner in the first place . 	and robin's constant challenging of batman mostly just makes him look bull-headed and stupid and makes us wonder why batman ever would have taken him on as a partner in the first place .	1	-2	 and[0] robin's[0] constant[0] challenging[0] of[0] batman[0] mostly[0] just[0] makes[0] him[0] look[0] bull[0] headed[0] and[0] stupid[-1] and[0] makes[0] us[0] wonder[0] why[0] batman[0] ever[0] would[0] have[0] taken[0] him[0] on[0] as[0] a[0] partner[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
strip away the stars , the fancy set design , and the status as a " batman movie , " and all you have here is another barely passable summer action flick . 	strip away the stars , the fancy set design , and the status as a " batman movie , " and all you have here is another barely passable summer action flick .	1	-1	 strip[0] away[0] the[0] stars[0] the[0] fancy[0] set[0] design[0] and[0] the[0] status[0] as[0] a[0] batman[0] movie[0] and[0] all[0] you[0] have[0] here[0] is[0] another[0] barely[0] passable[0] summer[0] action[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
