plot : something about a bunch of kids going into a haunted house and playing out parodies of other horror and non-horror movies . 	Translation	Positive	Negative	EmotionRationale
unfortunately , the film plummets straight down after that , with dumb parodies of many teen flicks that have nothing to do with horror such as save the last dance and dude , where's my car , and other action movies like charlie's angels and mission impossible 2 . now help me figure this one out , will you ? 	unfortunately , the film plummets straight down after that , with dumb parodies of many teen flicks that have nothing to do with horror such as save the last dance and dude , where's my car , and other action movies like charlie's angels and mission impossible 2 .<br> now help me figure this one out , will you ?	2	-4	 unfortunately[-1] the[0] film[0] plummets[0] straight[0] down[0] after[0] that[0] with[0] dumb[-1] parodies[0] of[0] many[0] teen[0] flicks[0] that[0] have[0] nothing[0] to[0] do[0] with[0] horror[-3] such[0] as[0] save[1] the[0] last[0] dance[0] and[0] dude[0] where's[0] my[0] car[0] and[0] other[0] action[0] movies[0] like[1] charlie's[0] angels[0] and[0] mission[0] impossible[0] 2[0] [[Sentence=-4,2=word max, 1-5]] now[0] help[0] me[0] figure[0] this[0] one[0] out[0] will[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
isn't this supposed to be a parody film of horror movies ? ! ? 	isn't this supposed to be a parody film of horror movies ?<br> !<br> ?	1	-4	 isn't[0] this[0] supposed[0] to[0] be[0] a[0] parody[0] film[0] of[0] horror[-3] movies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( or maybe that's just the title of the film f-ing with my head ) . 	 ( or maybe that's just the title of the film f-ing with my head ) .	1	-1	 or[0] maybe[0] that's[0] just[0] the[0] title[0] of[0] the[0] film[0] f[0] ing[0] with[0] my[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i'm sorry to have to say this but the only horror in this film is its lame-ass script ! 	well , i'm sorry to have to say this but the only horror in this film is its lame-ass script !	1	-4	 well[0] i'm[0] sorry[-1] to[0] have[0] to[0] say[0] this[0] but[0] the[0] only[0] horror[-3] in[0] this[0] film[0] is[0] its[0] lame[-2] ass[0] script[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the wayans brothers should have known better than to look towards the weinstein brothers ( money ) instead of the zucker brothers ( comedy ) for this sequel . 	the wayans brothers should have known better than to look towards the weinstein brothers ( money ) instead of the zucker brothers ( comedy ) for this sequel .	1	-1	 the[0] wayans[0] brothers[0] should[0] have[0] known[0] better[0] than[0] to[0] look[0] towards[0] the[0] weinstein[0] brothers[0] money[0] instead[0] of[0] the[0] zucker[0] brothers[0] comedy[0] for[0] this[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately for us , all we're left with here is a skeleton of a film which might've been funny , had it been worked over a few more times , tightened up here and there , and been injected with more solid laughs . 	unfortunately for us , all we're left with here is a skeleton of a film which might've been funny , had it been worked over a few more times , tightened up here and there , and been injected with more solid laughs .	2	-2	 unfortunately[-1] for[0] us[0] all[0] we're[0] left[0] with[0] here[0] is[0] a[0] skeleton[0] of[0] a[0] film[0] which[0] might've[0] been[0] funny[1] had[0] it[0] been[0] worked[0] over[0] a[0] few[0] more[0] times[0] tightened[0] up[0] here[0] and[0] there[0] and[0] been[0] injected[0] with[0] more[0] solid[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but as things stand now , there is no doubt in my mind that the obvious greed to capitalize on the success of last year's film has led everyone down this path , so screw them for not trying as hard ( critically speaking , of course ) . 	but as things stand now , there is no doubt in my mind that the obvious greed to capitalize on the success of last year's film has led everyone down this path , so screw them for not trying as hard ( critically speaking , of course ) .	3	-3	 but[0] as[0] things[0] stand[0] now[0] there[0] is[0] no[0] doubt[-1] in[0] my[0] mind[0] that[0] the[0] obvious[0] greed[-2] to[0] capitalize[0] on[0] the[0] success[2] of[0] last[0] year's[0] film[0] has[0] led[0] everyone[0] down[0] this[0] path[0] so[0] screw[0] them[0] for[0] not[0] trying[0] as[0] hard[0] critically[-1] speaking[0] of[0] course[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
you should all be ashamed of yourselves for not putting enough " real " effort into this chop-job and for not providing your fans with the ultimate of your talents . 	you should all be ashamed of yourselves for not putting enough " real " effort into this chop-job and for not providing your fans with the ultimate of your talents .	2	-2	 you[0] should[0] all[0] be[0] ashamed[-1] of[0] yourselves[0] for[0] not[0] putting[0] enough[0] real[0] effort[0] into[0] this[0] chop[0] job[0] and[0] for[0] not[0] providing[0] your[0] fans[0] with[0] the[0] ultimate[0] of[0] your[0] talents[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
pooh on you ! 	pooh on you !	1	-1	 pooh[0] on[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( that's telling 'em , joblo ! 	 ( that's telling 'em , joblo !	1	-1	 that's[0] telling[0] 'em[0] joblo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sheesh ) 	sheesh )	1	-1	 sheesh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
btw , i'm allotting one point alone to actress kathleen robertson , whose massive breasts and skanky g-string had me chompin' at the bit . 	by the way , i'm allotting one point alone to actress kathleen robertson , whose massive breasts and skanky grin�-string had me chompin' at the bit .	1	-2	 btw[0] i'm[0] allotting[0] one[0] point[0] alone[0] to[0] actress[0] kathleen[0] robertson[0] whose[0] massive[0] breasts[0] and[0] skanky[-1] g[0] string[0] had[0] me[0] chompin'[0] at[0] the[0] bit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you go , girl ! 	you go , girl !	1	-1	 you[0] go[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone else . . . stay ! 	everyone else .<br> .<br> .<br> stay !	1	-1	 everyone[0] else[0] [[Sentence=-1,1=word max, 1-5]] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
airplane ( 10/10 ) - airplane ii ( 10/10 ) - galaxy quest ( 8/10 ) - hannibal ( 7/10 ) - the haunting ( 3/10 ) - mafia ( 5/10 ) - naked gun ( 8/10 ) - scary movie ( 8/10 ) - top secret ( 9/10 ) 	airplane ( 10/10 ) - airplane i ( 10/10 ) - galaxy quest ( 8/10 ) - hannibal ( 7/10 ) - the haunting ( 3/10 ) - mafia ( 5/10 ) - naked gun ( 8/10 ) - scary movie ( 8/10 ) - top secret ( 9/10 )	1	-4	 airplane[0] 10/10[0] airplane[0] ii/i[0] 10/10[0] galaxy[0] quest[0] 8/10[0] hannibal[0] 7/10[0] the[0] haunting[0] 3/10[0] mafia[0] 5/10[0] naked[0] gun[-1] 8/10[0] scary[-3] movie[0] 8/10[0] top[0] secret[0] 9/10[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
