whether or not i would be considered a trekker probably depends on whom you would ask . 	Translation	Positive	Negative	EmotionRationale
it's about a chance to visit with old friends , and if they are involved in a truly interesting story it can be considered gravy . 	it's about a chance to visit with old friends , and if they are involved in a truly interesting story it can be considered gravy .	2	-1	 it's[0] about[0] a[0] chance[0] to[0] visit[0] with[0] old[0] friends[1] and[0] if[0] they[0] are[0] involved[0] in[0] a[0] truly[1] interesting[1] story[0] it[0] can[0] be[0] considered[0] gravy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but even that interpretation assumes that characterization has to be consistent , and in generations that just doesn't happen . 	but even that interpretation assumes that characterization has to be consistent , and in generations that just doesn't happen .	1	-1	 but[0] even[0] that[0] interpretation[0] assumes[0] that[0] characterization[0] has[0] to[0] be[0] consistent[0] and[0] in[0] generations[0] that[0] just[0] doesn't[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
data ( brent spiner ) is particularly victimized by this sloppy writing . 	data ( brent spiner ) is particularly victimized by this sloppy writing .	1	-3	 data[0] brent[0] spiner[0] is[0] particularly[0] victimized[-2] by[0] this[0] sloppy[-1] writing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the film's major sub-plot , data decides to use a chip which will give him human emotions , a chip he has had in his possession for over a year . 	in the film's major sub-plot , data decides to use a chip which will give him human emotions , a chip he has had in his possession for over a year .	1	-1	 in[0] the[0] film's[0] major[0] sub[0] plot[0] data[0] decides[0] to[0] use[0] a[0] chip[0] which[0] will[0] give[0] him[0] human[0] emotions[0] a[0] chip[0] he[0] has[0] had[0] in[0] his[0] possession[0] for[0] over[0] a[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is his motivation for taking this drastic and perhaps dangerous step ? 	what is his motivation for taking this drastic and perhaps dangerous step ?	1	-2	 what[0] is[0] his[0] motivation[0] for[0] taking[0] this[0] drastic[0] and[0] perhaps[0] dangerous[-1] step[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he doesn't get a joke . 	he doesn't get a joke .	2	-1	 he[0] doesn't[0] get[0] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once the chip is in place , spiner gets to have a lot of fun with data's new emotions , but the point is that he's no longer the data we know . 	once the chip is in place , spiner gets to have a lot of fun with data's new emotions , but the point is that he's no longer the data we know .	2	-1	 once[0] the[0] chip[0] is[0] in[0] place[0] spiner[0] gets[0] to[0] have[0] a[0] lot[0] of[0] fun[1] with[0] data's[0] new[0] emotions[0] but[0] the[0] point[0] is[0] that[0] he's[0] no[0] longer[0] the[0] data[0] we[0] know[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the rest of the " next generation " cast fares any better , it's only because they're on the screen so little that they're simply window dressing . 	if the rest of the " next generation " cast fares any better , it's only because they're on the screen so little that they're simply window dressing .	1	-1	 if[0] the[0] rest[0] of[0] the[0] next[0] generation[0] cast[0] fares[0] any[0] better[0] it's[0] only[0] because[0] they're[0] on[0] the[0] screen[0] so[0] little[0] that[0] they're[0] simply[0] window[0] dressing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then again , this story isn't really about the new crew . 	but then again , this story isn't really about the new crew .	1	-1	 but[0] then[0] again[0] this[0] story[0] isn't[0] really[0] about[0] the[0] new[0] crew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about kirk and picard , the cowboy and the politician , sharing the screen . 	it's about kirk and picard , the cowboy and the politician , sharing the screen .	1	-1	 it's[0] about[0] kirk[0] and[0] picard[0] the[0] cowboy[0] and[0] the[0] politician[0] sharing[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the huge surprise is that william shatner blows patrick stewart away . 	the huge surprise is that william shatner blows patrick stewart away .	1	-1	 the[0] huge[0] surprise[0] is[0] that[0] william[0] shatner[0] blows[0] patrick[0] stewart[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps because he knows this is his last go-round in the part that made him a legend , shatner looks like he's having the time of his life ; stewart , on the other hand , borders on the deferrential , and is saddled with the same lackluster motivations as everyone else in the cast . 	perhaps because he knows this is his last go-round in the part that made him a legend , shatner looks like he's having the time of his life ; stewart , on the other hand , borders on the deferential , and is saddled with the same lackluster motivations as everyone else in the cast .	2	-1	 perhaps[0] because[0] he[0] knows[0] this[0] is[0] his[0] last[0] go[0] round[0] in[0] the[0] part[0] that[0] made[0] him[0] a[0] legend[0] shatner[0] looks[0] like[1] he's[0] having[0] the[0] time[0] of[0] his[0] life[0] stewart[0] on[0] the[0] other[0] hand[0] borders[0] on[0] the[0] deferrential/deferential[0] and[0] is[0] saddled[0] with[0] the[0] same[0] lackluster[0] motivations[0] as[0] everyone[0] else[0] in[0] the[0] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stewart's edginess is indicative of what may be a very bad sign for paramount's hopes to turn the new cast into the same kind of franchise the original cast was : these are clearly the not ready for big screen players . 	stewart's edginess is indicative of what may be a very bad sign for paramount's hopes to turn the new cast into the same kind of franchise the original cast was : these are clearly the not ready for big screen players .	2	-3	 stewart's[0] edginess[0] is[0] indicative[0] of[0] what[0] may[0] be[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] sign[0] for[0] paramount's[0] hopes[1] to[0] turn[0] the[0] new[0] cast[0] into[0] the[0] same[0] kind[1] of[0] franchise[0] the[0] original[0] cast[0] was[0] these[0] are[0] clearly[0] the[0] not[0] ready[0] for[0] big[0] screen[0] players[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
by contrast , the prologue which features scotty ( james doohan ) and chekhov ( walter koenig ) is the highlight of the film . 	by contrast , the prologue which features scotty ( james doohan ) and chekhov ( walter koenig ) is the highlight of the film .	1	-1	 by[0] contrast[0] the[0] prologue[0] which[0] features[0] scotty[0] james[0] doohan[0] and[0] chekhov[0] walter[0] koenig[0] is[0] the[0] highlight[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these characters have become part of the popular mythology , and when they take over the enterprise in a moment of distress , it's a moment of high energy . 	these characters have become part of the popular mythology , and when they take over the enterprise in a moment of distress , it's a moment of high energy .	1	-3	 these[0] characters[0] have[0] become[0] part[0] of[0] the[0] popular[0] mythology[0] and[0] when[0] they[0] take[0] over[0] the[0] enterprise[0] in[0] a[0] moment[0] of[0] distress[-2] it's[0] a[0] moment[0] of[0] high[0] energy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
only thirty years of history can create a moment like that , and that's time this new crew doesn't have . 	only thirty years of history can create a moment like that , and that's time this new crew doesn't have .	2	-1	 only[0] thirty[0] years[0] of[0] history[0] can[0] create[0] a[0] moment[0] like[1] that[0] and[0] that's[0] time[0] this[0] new[0] crew[0] doesn't[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it certainly doesn't help that the plot they are stuck in is so convoluted and badly constructed that you need to leave a trail of bread crumbs to find your way out again . 	it certainly doesn't help that the plot they are stuck in is so convoluted and badly constructed that you need to leave a trail of bread crumbs to find your way out again .	1	-2	 it[0] certainly[0] doesn't[0] help[0] that[0] the[0] plot[0] they[0] are[0] stuck[0] in[0] is[0] so[0] convoluted[0] and[0] badly[-1] constructed[0] that[0] you[0] need[0] to[0] leave[0] a[0] trail[0] of[0] bread[0] crumbs[0] to[0] find[0] your[0] way[0] out[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's also loaded with little gags all aimed at those who are familiar enough with the series to turn to all their friends in a shared nudge of recognition . 	it's also loaded with little gags all aimed at those who are familiar enough with the series to turn to all their friends in a shared nudge of recognition .	2	-1	 it's[0] also[0] loaded[0] with[0] little[0] gags[0] all[0] aimed[0] at[0] those[0] who[0] are[0] familiar[0] enough[0] with[0] the[0] series[0] to[0] turn[0] to[0] all[0] their[0] friends[1] in[0] a[0] shared[0] nudge[0] of[0] recognition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i wonder whether anyone who is coming in cold to the " trek " universe at this point would be anything but baffled and bored by what is going on . 	i wonder whether anyone who is coming in cold to the " trek " universe at this point would be anything but baffled and bored by what is going on .	1	-2	 i[0] wonder[0] whether[0] anyone[0] who[0] is[0] coming[0] in[0] cold[-1] to[0] the[0] trek[0] universe[0] at[0] this[0] point[0] would[0] be[0] anything[0] but[0] baffled[-1] and[0] bored[-1] by[0] what[0] is[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what a waste of malcolm mcdowell , who could have been a great monomanical villain but should have been given a much more compelling reason for his obsession . 	and what a waste of malcolm mcdowell , who could have been a great monomanical villain but should have been given a much more compelling reason for his obsession .	3	-3	 and[0] what[0] a[0] waste[-1] of[0] malcolm[0] mcdowell[0] who[0] could[0] have[0] been[0] a[0] great[2] monomanical[0] villain[-2] but[0] should[0] have[0] been[0] given[0] a[0] much[0] more[0] compelling[0] reason[0] for[0] his[0] obsession[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there are plenty of details both scientific and of continuity to pick at , but to do so would be to ignore generations' major flaws . 	there are plenty of details both scientific and of continuity to pick at , but to do so would be to ignore generations' major flaws .	1	-1	 there[0] are[0] plenty[0] of[0] details[0] both[0] scientific[0] and[0] of[0] continuity[0] to[0] pick[0] at[0] but[0] to[0] do[0] so[0] would[0] be[0] to[0] ignore[0] generations'[0] major[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , i would like to make one recommendation : seatbelts . 	however , i would like to make one recommendation : seatbelts .	1	-1	 however[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] make[0] one[0] recommendation[0] seatbelts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not just for the enterprise crew , although you'd think by the 24th century space travel wouldn't involve rolling around on the floor during a battle . 	not just for the enterprise crew , although you'd think by the 24th century space travel wouldn't involve rolling around on the floor during a battle .	1	-2	 not[0] just[0] for[0] the[0] enterprise[0] crew[0] although[0] you'd[0] think[0] by[0] the[0] 24th[0] century[0] space[0] travel[0] wouldn't[0] involve[0] rolling[0] around[0] on[0] the[0] floor[0] during[0] a[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , i think the audience might need them more . 	no , i think the audience might need them more .	1	-1	 no[0] i[0] think[0] the[0] audience[0] might[0] need[0] them[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this journey is one bumpy ride . 	this journey is one bumpy ride .	1	-1	 this[0] journey[0] is[0] one[0] bumpy[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
