i have never been so confused after watching a movie . 	Translation	Positive	Negative	EmotionRationale
but pitt is the one that got one of the most difficult roles of recent time . 	but pit is the one that got one of the most difficult roles of recent time .	1	-2	 but[0] pitt/pit[0] is[0] the[0] one[0] that[0] got[0] one[0] of[0] the[0] most[0] difficult[-1] roles[0] of[0] recent[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how can you play death in human form ? 	how can you play death in human form ?	1	-3	 how[0] can[0] you[0] play[0] death[-2] in[0] human[0] form[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to me it seems that death and life are not something that can be associated with earthly matters . 	to me it seems that death and life are not something that can be associated with earthly matters .	1	-3	 to[0] me[0] it[0] seems[0] that[0] death[-2] and[0] life[0] are[0] not[0] something[0] that[0] can[0] be[0] associated[0] with[0] earthly[0] matters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are not creatures , but phenomenas . 	they are not creatures , but phenomenas .	1	-1	 they[0] are[0] not[0] creatures[0] but[0] phenomenas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
saying that death takes human form would be the same as to suggest that eternity would take human form . 	saying that death takes human form would be the same as to suggest that eternity would take human form .	1	-3	 saying[0] that[0] death[-2] takes[0] human[0] form[0] would[0] be[0] the[0] same[0] as[0] to[0] suggest[0] that[0] eternity[0] would[0] take[0] human[0] form[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
handling such a ridiculous task is incredibly difficult and pitt deserves some credit for his work . 	handling such a ridiculous task is incredibly difficult and pit deserves some credit for his work .	1	-4	 handling[0] such[0] a[0] ridiculous[-2] task[0] is[0] incredibly[0] difficult[-1][-2 LastWordBoosterStrength] and[0] pitt/pit[0] deserves[0] some[0] credit[0] for[0] his[0] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
speaking in a calm , soft voice , portraying death as a lonely , distant and powerful guy that is unfamiliar with practical earthly matters . 	speaking in a calm , soft voice , portraying death as a lonely , distant and powerful guy that is unfamiliar with practical earthly matters .	2	-3	 speaking[0] in[0] a[0] calm[1] soft[0] voice[0] portraying[0] death[-2] as[0] a[0] lonely[-1] distant[0] and[0] powerful[0] guy[0] that[0] is[0] unfamiliar[-1] with[0] practical[0] earthly[0] matters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he looks and acts more like an angel of death , rather than a demon or a red-eyed executioner . 	he looks and acts more like an angel of death , rather than a demon or a red-eyed executioner .	2	-3	 he[0] looks[0] and[0] acts[0] more[0] like[1] an[0] angel[0] of[0] death[-2] rather[0] than[0] a[0] demon[-1] or[0] a[0] red[0] eyed[0] executioner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
claire forlani and others are also fine , stretching their stereotypical characters to their limits . 	claire forlani and others are also fine , stretching their stereotypical characters to their limits .	3	-1	 claire[0] forlani[0] and[0] others[0] are[0] also[0] fine[2] stretching[0] their[0] stereotypical[0] characters[0] to[0] their[0] limits[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately their performances are not enough to rescue this film from its self inflicted misery . 	unfortunately their performances are not enough to rescue this film from its self inflicted misery .	1	-3	 unfortunately[-1] their[0] performances[0] are[0] not[0] enough[0] to[0] rescue[0] this[0] film[0] from[0] its[0] self[0] inflicted[0] misery[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in other words this is not what i expected from the director of " scent of a woman " . 	in other words this is not what i expected from the director of " scent of a woman " .	1	-1	 in[0] other[0] words[0] this[0] is[0] not[0] what[0] i[0] expected[0] from[0] the[0] director[0] of[0] scent[0] of[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could ( and should ) be better with such cast and crew . 	it could ( and should ) be better with such cast and crew .	1	-1	 it[0] could[0] and[0] should[0] be[0] better[0] with[0] such[0] cast[0] and[0] crew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end it seems as if they have all been intensively working on a ravishingly looking soap opera . 	in the end it seems as if they have all been intensively working on a ravishingly looking soap opera .	1	-1	 in[0] the[0] end[0] it[0] seems[0] as[0] if[0] they[0] have[0] all[0] been[0] intensively[0] working[0] on[0] a[0] ravishingly[0] looking[0] soap[0] opera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
