all right , all right , we get the point : despite all similarities to the best-selling story , speechless is * not * based on the romance between 1992 presidential campaign rivals james carville and mary matalin . 	Translation	Positive	Negative	EmotionRationale
it's a noble attempt to shake things up , but unfortunately it just doesn't work . 	it's a noble attempt to shake things up , but unfortunately it just doesn't work .	1	-2	 it's[0] a[0] noble[0] attempt[0] to[0] shake[-1] things[0] up[0] but[0] unfortunately[-1] it[0] just[0] doesn't[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
part of the fun of watching sparring in a romantic comedy comes from recognizing the chemistry even before the characters do , but in speechless they already know they're attracted to each other , and we're left with waiting for the campaign to end so they'll admit that they love each other already . 	part of the fun of watching sparring in a romantic comedy comes from recognizing the chemistry even before the characters do , but in speechless they already know they're attracted to each other , and we're left with waiting for the campaign to end so they'll admit that they love each other already .	4	-1	 part[0] of[0] the[0] fun[1] of[0] watching[0] sparring[0] in[0] a[0] romantic[3] comedy[0] comes[0] from[0] recognizing[0] the[0] chemistry[0] even[0] before[0] the[0] characters[0] do[0] but[0] in[0] speechless[0] they[0] already[0] know[0] they're[0] attracted[1] to[0] each[0] other[0] and[0] we're[0] left[0] with[0] waiting[0] for[0] the[0] campaign[0] to[0] end[0] so[0] they'll[0] admit[0] that[0] they[0] love[2] each[0] other[0] already[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there is such a herky-jerky feel to the constant bickering and making up that even king's sharp dialogue can't prevent speechless from becoming repetitive after about half an hour . 	there is such a herky-jerky feel to the constant bickering and making up that even king's sharp dialogue can't prevent speechless from becoming repetitive after about half an hour .	1	-1	 there[0] is[0] such[0] a[0] herky[0] jerky[0] feel[0] to[0] the[0] constant[0] bickering[0] and[0] making[0] up[0] that[0] even[0] king's[0] sharp[0] dialogue[0] can't[0] prevent[0] speechless[0] from[0] becoming[0] repetitive[0] after[0] about[0] half[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inconsistency is also the defining characteristic of the performances of geena davis and michael keaton , and with those performances most of their scenes together . 	inconsistency is also the defining characteristic of the performances of geena davis and michael keaton , and with those performances most of their scenes together .	1	-2	 inconsistency[-1] is[0] also[0] the[0] defining[0] characteristic[0] of[0] the[0] performances[0] of[0] geena[0] davis[0] and[0] michael[0] keaton[0] and[0] with[0] those[0] performances[0] most[0] of[0] their[0] scenes[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the problems begin with their initial courtship , which does virtually nothing to establish julia's character and merely establishes that kevin is a wise-ass . 	the problems begin with their initial courtship , which does virtually nothing to establish julia's character and merely establishes that kevin is a wise-ass .	1	-2	 the[0] problems[-1] begin[0] with[0] their[0] initial[0] courtship[0] which[0] does[0] virtually[0] nothing[0] to[0] establish[0] julia's[0] character[0] and[0] merely[0] establishes[0] that[0] kevin[0] is[0] a[0] wise[0] ass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
davis is radiantly beautiful , and keaton is generally entertaining , but these characters are so plastic that nothing that happens to them seems to matter one bit . 	davis is radiantly beautiful , and keaton is generally entertaining , but these characters are so plastic that nothing that happens to them seems to matter one bit .	4	-1	 davis[0] is[0] radiantly[2] beautiful[2][+1 MultiplePositiveWords] and[0] keaton[0] is[0] generally[0] entertaining[0] but[0] these[0] characters[0] are[0] so[0] plastic[0] that[0] nothing[0] that[0] happens[0] to[0] them[0] seems[0] to[0] matter[0] one[0] bit[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in a couple of scenes , like a quiet moment sitting at a fountain , they actually achieve some measure of connection . 	in a couple of scenes , like a quiet moment sitting at a fountain , they actually achieve some measure of connection .	2	-1	 in[0] a[0] couple[0] of[0] scenes[0] like[1] a[0] quiet[0] moment[0] sitting[0] at[0] a[0] fountain[0] they[0] actually[0] achieve[0] some[0] measure[0] of[0] connection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the most part , however , they're just actors spouting lines . 	for the most part , however , they're just actors spouting lines .	1	-1	 for[0] the[0] most[0] part[0] however[0] they're[0] just[0] actors[0] spouting[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you keep waiting for a little spark , and it never happens . 	you keep waiting for a little spark , and it never happens .	1	-1	 you[0] keep[0] waiting[0] for[0] a[0] little[0] spark[0] and[0] it[0] never[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps most disappointing is that king and director ron underwood completely waste their premise by removing all the punch from speechless's politics . 	perhaps most disappointing is that king and director ron underwood completely waste their premise by removing all the punch from speechless's politics .	1	-3	 perhaps[0] most[0] disappointing[-1] is[0] that[0] king[0] and[0] director[0] ron[0] underwood[0] completely[0] waste[-1][-1 LastWordBoosterStrength] their[0] premise[0] by[0] removing[0] all[0] the[0] punch[-1] from[0] speechless's[0] politics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the setting seems perfect for a high- energy battle of the sexes with partisanship thrown into the mix , but that's never the tone that underwood is going for . 	the setting seems perfect for a high- energy battle of the sexes with partisanship thrown into the mix , but that's never the tone that underwood is going for .	2	-2	 the[0] setting[0] seems[0] perfect[1] for[0] a[0] high[0] energy[0] battle[-1] of[0] the[0] sexes[0] with[0] partisanship[0] thrown[0] into[0] the[0] mix[0] but[0] that's[0] never[0] the[0] tone[0] that[0] underwood[0] is[0] going[0] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he wants a warm , fuzzy romance compatible with marc shaiman's flute-and-wind musical score , and the campaign which should have defined the conflict between kevin and julia fades into the background . 	he wants a warm , fuzy romance compatible with marc shaiman's flute-and-wind musical score , and the campaign which should have defined the conflict between kevin and julia fades into the background .	4	-2	 he[0] wants[0] a[0] warm[0] fuzzy/fuzy[0] romance[3] compatible[0] with[0] marc[0] shaiman's[0] flute[0] and[0] wind[0] musical[0] score[0] and[0] the[0] campaign[0] which[0] should[0] have[0] defined[0] the[0] conflict[-1] between[0] kevin[0] and[0] julia[0] fades[0] into[0] the[0] background[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it might as well have been a story about rival grocers , and every single character is about as uninspired as he or she could possibly be . 	it might as well have been a story about rival grocers , and every single character is about as uninspired as he or she could possibly be .	1	-2	 it[0] might[0] as[0] well[0] have[0] been[0] a[0] story[0] about[0] rival[-1] grocers[0] and[0] every[0] single[0] character[0] is[0] about[0] as[0] uninspired[0] as[0] he[0] or[0] she[0] could[0] possibly[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was about the only reviewer in the civilized world who seemed to enjoy robert king's previous screenplay , the dana carvey flop clean slate , so i had some hopes for speechless . 	i was about the only reviewer in the civilized world who seemed to enjoy robert king's previous screenplay , the dana carvey flop clean slate , so i had some hopes for speechless .	3	-1	 i[0] was[0] about[0] the[0] only[0] reviewer[0] in[0] the[0] civilized[0] world[0] who[0] seemed[0] to[0] enjoy[2] robert[0] king's[0] previous[0] screenplay[0] the[0] dana[0] carvey[0] flop[0] clean[0] slate[0] so[0] i[0] had[0] some[0] hopes[1][-1 LastWordBoosterStrength] for[0] speechless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but while there is wit in the words , this is a script which was probably much better on paper . 	but while there is wit in the words , this is a script which was probably much better on paper .	1	-1	 but[0] while[0] there[0] is[0] wit[0] in[0] the[0] words[0] this[0] is[0] a[0] script[0] which[0] was[0] probably[0] much[0] better[0] on[0] paper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on screen , it's still paper thin . 	on screen , it's still paper thin .	1	-1	 on[0] screen[0] it's[0] still[0] paper[0] thin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
