plot : two teen couples go to a church party , drink and then drive . 	Translation	Positive	Negative	EmotionRationale
now i personally don't mind trying to unravel a film every now and then , but when all it does is give me the same clue over and over again , i get kind of fed up after a while , which is this film's biggest problem . 	now i personally don't mind trying to unravel a film every now and then , but when all it does is give me the same clue over and over again , i get kind of fed up after a while , which is this film's biggest problem .	2	-2	 now[0] i[0] personally[0] don't[0] mind[0] trying[0] to[0] unravel[0] a[0] film[0] every[0] now[0] and[0] then[0] but[0] when[0] all[0] it[0] does[0] is[0] give[0] me[0] the[0] same[0] clue[0] over[0] and[0] over[0] again[0] i[0] get[0] kind[1] of[0] fed[0] up[0] after[0] a[0] while[0] which[0] is[0] this[0] film's[0] biggest[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's obviously got this big secret to hide , but it seems to want to hide it completely until its final five minutes . 	it's obviously got this big secret to hide , but it seems to want to hide it completely until its final five minutes .	1	-1	 it's[0] obviously[0] got[0] this[0] big[0] secret[0] to[0] hide[0] but[0] it[0] seems[0] to[0] want[0] to[0] hide[0] it[0] completely[0] until[0] its[0] final[0] five[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and do they make things entertaining , thrilling or even engaging , in the meantime ? 	and do they make things entertaining , thrilling or even engaging , in the meantime ?	4	-1	 and[0] do[0] they[0] make[0] things[0] entertaining[0] thrilling[3] or[0] even[0] engaging[0] in[0] the[0] meantime[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
not really . 	not really .	1	-1	 not[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sad part is that the arrow and i both dig on flicks like this , so we actually figured most of it out by the half-way point , so all of the strangeness after that did start to make a little bit of sense , but it still didn't the make the film all that more entertaining . 	the sad part is that the arrow and i both dig on flicks like this , so we actually figured most of it out by the half-way point , so all of the strangeness after that did start to make a little bit of sense , but it still didn't the make the film all that more entertaining .	2	-4	 the[0] sad[-3] part[0] is[0] that[0] the[0] arrow[0] and[0] i[0] both[0] dig[0] on[0] flicks[0] like[1] this[0] so[0] we[0] actually[0] figured[0] most[0] of[0] it[0] out[0] by[0] the[0] half[0] way[0] point[0] so[0] all[0] of[0] the[0] strangeness[0] after[0] that[0] did[0] start[0] to[0] make[0] a[0] little[0] bit[0] of[0] sense[0] but[0] it[0] still[0] didn't[0] the[0] make[0] the[0] film[0] all[0] that[0] more[0] entertaining[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i guess the bottom line with movies like this is that you should always make sure that the audience is " into it " even before they are given the secret password to enter your world of understanding . 	i guess the bottom line with movies like this is that you should always make sure that the audience is " into it " even before they are given the secret password to enter your world of understanding .	2	-1	 i[0] guess[0] the[0] bottom[0] line[0] with[0] movies[0] like[1] this[0] is[0] that[0] you[0] should[0] always[0] make[0] sure[0] that[0] the[0] audience[0] is[0] into[0] it[0] even[0] before[0] they[0] are[0] given[0] the[0] secret[0] password[0] to[0] enter[0] your[0] world[0] of[0] understanding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i mean , showing melissa sagemiller running away from visions for about 20 minutes throughout the movie is just plain lazy ! ! 	i mean , showing melissa sagemiller running away from visions for about 20 minutes throughout the movie is just plain lazy !<br> !	1	-2	 i[0] mean[0] showing[0] melissa[0] sagemiller[-1] running[0] away[0] from[0] visions[0] for[0] about[0] 20[0] minutes[0] throughout[0] the[0] movie[0] is[0] just[0] plain[0] lazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
okay , we get it . . . there 	okay , we get it .<br> .<br> .<br> there	1	-1	 okay[0] we[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are people chasing her and we don't know who they are . 	are people chasing her and we don't know who they are .	1	-1	 are[0] people[0] chasing[0] her[0] and[0] we[0] don't[0] know[0] who[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do we really need to see it over and over again ? 	do we really need to see it over and over again ?	1	-1	 do[0] we[0] really[0] need[0] to[0] see[0] it[0] over[0] and[0] over[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about giving us different scenes offering further insight into all of the strangeness going down in the movie ? 	how about giving us different scenes offering further insight into all of the strangeness going down in the movie ?	1	-1	 how[0] about[0] giving[0] us[0] different[0] scenes[0] offering[0] further[0] insight[0] into[0] all[0] of[0] the[0] strangeness[0] going[0] down[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , the studio took this film away from its director and chopped it up themselves , and it shows . 	apparently , the studio took this film away from its director and chopped it up themselves , and it shows .	1	-1	 apparently[0] the[0] studio[0] took[0] this[0] film[0] away[0] from[0] its[0] director[0] and[0] chopped[0] it[0] up[0] themselves[0] and[0] it[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there might've been a pretty decent teen mind-fuck movie in here somewhere , but i guess " the suits " decided that turning it into a music video with little edge , would make more sense . 	there might've been a pretty decent teen mind-fuck movie in here somewhere , but i guess " the suits " decided that turning it into a music video with little edge , would make more sense .	3	-3	 there[0] might've[0] been[0] a[0] pretty[2] decent[0] teen[0] mind[0] fuck[-2] movie[0] in[0] here[0] somewhere[0] but[0] i[0] guess[0] the[0] suits[0] decided[0] that[0] turning[0] it[0] into[0] a[0] music[0] video[0] with[0] little[0] edge[0] would[0] make[0] more[0] sense[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the actors are pretty good for the most part , although wes bentley just seemed to be playing the exact same character that he did in american beauty , only in a new neighborhood . 	the actors are pretty good for the most part , although wes bentley just seemed to be playing the exact same character that he did in american beauty , only in a new neighborhood .	3	-1	 the[0] actors[0] are[0] pretty[2] good[1] for[0] the[0] most[0] part[0] although[0] wes[0] bentley[0] just[0] seemed[0] to[0] be[0] playing[1] the[0] exact[0] same[0] character[0] that[0] he[0] did[0] in[0] american[0] beauty[2] only[0] in[0] a[0] new[0] neighborhood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but my biggest kudos go out to sagemiller , who holds her own throughout the entire film , and actually has you feeling her character's unraveling . 	but my biggest kudos go out to sagemiller , who holds her own throughout the entire film , and actually has you feeling her character's unraveling .	1	-2	 but[0] my[0] biggest[0] kudos[0] go[0] out[0] to[0] sagemiller[-1] who[0] holds[0] her[0] own[0] throughout[0] the[0] entire[0] film[0] and[0] actually[0] has[0] you[0] feeling[0] her[0] character's[0] unraveling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , the film doesn't stick because it doesn't entertain , it's confusing , it rarely excites and it feels pretty redundant for most of its runtime , despite a pretty cool ending and explanation to all of the craziness that came before it . 	overall , the film doesn't stick because it doesn't entertain , it's confusing , it rarely excites and it feels pretty redundant for most of its runtime , despite a pretty cool ending and explanation to all of the craziness that came before it .	3	-2	 overall[0] the[0] film[0] doesn't[0] stick[0] because[0] it[0] doesn't[0] entertain[0] it's[0] confusing[-1] it[0] rarely[0] excites[2] and[0] it[0] feels[0] pretty[2] redundant[-1] for[0] most[0] of[0] its[0] runtime[0] despite[0] a[0] pretty[2] cool[1] ending[0] and[0] explanation[0] to[0] all[0] of[0] the[0] craziness[-1] that[0] came[0] before[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh , and by the way , this is not a horror or teen slasher flick . . . it's 	oh , and by the way , this is not a horror or teen slasher flick .<br> .<br> .<br> it's	4	-2	 oh[0] and[0] by[0] the[0] way[0] this[0] is[0] not[0] a[0] horror[-3][NegatedDueToPreviousWord] or[0] teen[0] slasher[-1] flick[0] [[Sentence=-2,4=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
just packaged to look that way because someone is apparently assuming that the genre is still hot with the kids . 	just packaged to look that way because someone is apparently assuming that the genre is still hot with the kids .	1	-1	 just[0] packaged[0] to[0] look[0] that[0] way[0] because[0] someone[0] is[0] apparently[0] assuming[0] that[0] the[0] genre[0] is[0] still[0] hot[0] with[0] the[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also wrapped production two years ago and has been sitting on the shelves ever since . 	it also wrapped production two years ago and has been sitting on the shelves ever since .	1	-1	 it[0] also[0] wrapped[0] production[0] two[0] years[0] ago[0] and[0] has[0] been[0] sitting[0] on[0] the[0] shelves[0] ever[0] since[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . . . skip 	whatever .<br> .<br> .<br> skip	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]] skip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it ! 	it !	1	-1	 it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a nightmare of elm street 3 ( 7/10 ) - blair witch 2 ( 7/10 ) - the crow ( 9/10 ) - the crow : salvation ( 4/10 ) - lost highway ( 10/10 ) - memento ( 10/10 ) - the others ( 9/10 ) - stir of echoes ( 8/10 ) 	a nightmare of elm street 3 ( 7/10 ) - blair witch 2 ( 7/10 ) - the crow ( 9/10 ) - the crow : salvation ( 4/10 ) - lost highway ( 10/10 ) - memento ( 10/10 ) - the others ( 9/10 ) - stir of echoes ( 8/10 )	1	-3	 a[0] nightmare[-2] of[0] elm[0] street[0] 3[0] 7/10[0] blair[0] witch[0] 2[0] 7/10[0] the[0] crow[0] 9/10[0] the[0] crow[0] salvation[0] 4/10[0] lost[0] highway[0] 10/10[0] memento[0] 10/10[0] the[0] others[0] 9/10[0] stir[0] of[0] echoes[0] 8/10[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
