some movies ask you to leave your brain at the door , some movies ask you to believe in the impossible to really have a good time . 	Translation	Positive	Negative	EmotionRationale
john woo ! 	john woo !	1	-1	 john[0] woo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two guns blazing ! 	two guns blazing !	1	-2	 two[0] guns[-1] blazing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
slooooow motion ! " 	slow motion !<br> "	2	-1	 slooooow/slow[0][+0.6 MultipleLetters] motion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if that wasn't enough , you can also hear the script grunting under the effort it must take to try and make every single line of dialogue sound like something deep and meaningful like in a tarantino movie . 	and if that wasn't enough , you can also hear the script grunting under the effort it must take to try and make every single line of dialogue sound like something deep and meaningful like in a tarantino movie .	2	-1	 and[0] if[0] that[0] wasn't[0] enough[0] you[0] can[0] also[0] hear[0] the[0] script[0] grunting[0] under[0] the[0] effort[0] it[0] must[0] take[0] to[0] try[0] and[0] make[0] every[0] single[0] line[0] of[0] dialogue[0] sound[0] like[1] something[0] deep[0] and[0] meaningful[0] like[1] in[0] a[0] tarantino[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
poor timothy hutton gets to deliver most of the corny lines , you have to admire the effort he puts into it , this guy deserves better . 	poor timothy hutton gets to deliver most of the corny lines , you have to admire the effort he puts into it , this guy deserves better .	3	-2	 poor[-1] timothy[0] hutton[0] gets[0] to[0] deliver[0] most[0] of[0] the[0] corny[0] lines[0] you[0] have[0] to[0] admire[2] the[0] effort[0] he[0] puts[0] into[0] it[0] this[0] guy[0] deserves[0] better[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unlike most movies this one does not suffer from " stupid bad guy " syndrome , just to make things a little different this time we get stupid heroes . 	unlike most movies this one does not suffer from " stupid bad guy " syndrome , just to make things a little different this time we get stupid heroes .	4	-2	 unlike[0] most[0] movies[0] this[0] one[0] does[0] not[0] suffer[-3][NegatedDueToPreviousWord] from[0] stupid[-1] bad[-1] guy[0] syndrome[0] just[0] to[0] make[0] things[0] a[0] little[0] different[0] this[0] time[0] we[0] get[0] stupid[-1] heroes[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
example : duchovny manages to distract a bad guy by making him go into the bathroom to get some bandages . 	example : duchovny manages to distract a bad guy by making him go into the bathroom to get some bandages .	1	-2	 example[0] duchovny[0] manages[0] to[0] distract[-1] a[0] bad[-1] guy[0] by[0] making[0] him[0] go[0] into[0] the[0] bathroom[0] to[0] get[0] some[0] bandages[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now the bad guy is , like , stoned , man , so he leaves his shotgun next to our hero . 	now the bad guy is , like , stoned , man , so he leaves his shotgun next to our hero .	3	-2	 now[0] the[0] bad[-1] guy[0] is[0] like[1] stoned[0] man[0] so[0] he[0] leaves[0] his[0] shotgun[0] next[0] to[0] our[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( term used as loosely as possible ) 	 ( term used as loosely as possible )	1	-1	 term[0] used[0] as[0] loosely[0] as[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
survival instincts and a good dose of common sense seems to suggest grabbing the shotgun , which our hero does , but only after contemplating it for about thirty seconds . 	survival instincts and a good dose of common sense seems to suggest grabbing the shotgun , which our hero does , but only after contemplating it for about thirty seconds .	3	-2	 survival[0] instincts[0] and[0] a[0] good[1] dose[0] of[0] common[0] sense[0] seems[0] to[0] suggest[0] grabbing[-1] the[0] shotgun[0] which[0] our[0] hero[2] does[0] but[0] only[0] after[0] contemplating[0] it[0] for[0] about[0] thirty[0] seconds[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even when he does grab it he seems unsure how to hold it , going so far as to actually wonder if he should place a finger near the trigger . 	even when he does grab it he seems unsure how to hold it , going so far as to actually wonder if he should place a finger near the trigger .	1	-2	 even[0] when[0] he[0] does[0] grab[-1] it[0] he[0] seems[0] unsure[0] how[0] to[0] hold[0] it[0] going[0] so[0] far[0] as[0] to[0] actually[0] wonder[0] if[0] he[0] should[0] place[0] a[0] finger[0] near[0] the[0] trigger[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mind you , i've never fired a shotgun in my life but believe you me that the bad guy would be missing most of his vital organs , be he stoned or not . 	mind you , i've never fired a shotgun in my life but believe you me that the bad guy would be missing most of his vital organs , be he stoned or not .	3	-2	 mind[0] you[0] i've[0] never[0] fired[-2][NegatedDueToPreviousWord] a[0] shotgun[0] in[0] my[0] life[0] but[0] believe[0] you[0] me[0] that[0] the[0] bad[-1] guy[0] would[0] be[0] missing[0] most[0] of[0] his[0] vital[0] organs[0] be[0] he[0] stoned[0] or[0] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some will argue that our hero does not have a killer instinct , the hell with that ! 	some will argue that our hero does not have a killer instinct , the hell with that !	3	-2	 some[0] will[0] argue[-1] that[0] our[0] hero[2] does[0] not[0] have[0] a[0] killer[-1] instinct[0] the[0] hell[-1] with[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
two fbi guys have just been shot in front me , along with one bad guy and the other looks like he might go ballistic at any second . 	two fbi guys have just been shot in front me , along with one bad guy and the other looks like he might go ballistic at any second .	2	-2	 two[0] fbi[0] guys[0] have[0] just[0] been[0] shot[-1] in[0] front[0] me[0] along[0] with[0] one[0] bad[-1] guy[0] and[0] the[0] other[0] looks[0] like[1] he[0] might[0] go[0] ballistic[0] at[0] any[0] second[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
solution ? 	solution ?	1	-1	 solution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boom ! 	boom !	1	-1	 boom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll take the time to feel sorry about it later thank you very much . 	i'll take the time to feel sorry about it later thank you very much .	2	-2	 i'll[0] take[0] the[0] time[0] to[0] feel[0] sorry[-1] about[0] it[0] later[0] thank[1] you[0] very[0] much[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
another prime example of the idiot hero syndrome : 	another prime example of the idiot hero syndrome :	3	-3	 another[0] prime[0] example[0] of[0] the[0] idiot[-2] hero[2] syndrome[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
our boy duchovny needs to reach his girl before something bad happens to her . 	our boy duchovny needs to reach his girl before something bad happens to her .	1	-2	 our[0] boy[0] duchovny[0] needs[0] to[0] reach[0] his[0] girl[0] before[0] something[0] bad[-1] happens[0] to[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he knows the head bad guy has her on the tenth floor of a building and that he might be running into a room full of people with itchy trigger fingers . 	he knows the head bad guy has her on the tenth floor of a building and that he might be running into a room full of people with itchy trigger fingers .	1	-2	 he[0] knows[0] the[0] head[0] bad[-1] guy[0] has[0] her[0] on[0] the[0] tenth[0] floor[0] of[0] a[0] building[0] and[0] that[0] he[0] might[0] be[0] running[0] into[0] a[0] room[0] full[0] of[0] people[0] with[0] itchy[0] trigger[0] fingers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he still has his shotgun , bring it along you say ? 	he still has his shotgun , bring it along you say ?	1	-1	 he[0] still[0] has[0] his[0] shotgun[0] bring[0] it[0] along[0] you[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no thanks , i'll just ditch it in the back of my car . 	no thanks , i'll just ditch it in the back of my car .	2	-1	 no[0] thanks[1] i'll[0] just[0] ditch[0] it[0] in[0] the[0] back[0] of[0] my[0] car[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the real kicker is this : when he reaches the room and people start shooting at him he has the nerve to look surprised ! 	and the real kicker is this : when he reaches the room and people start shooting at him he has the nerve to look surprised !	1	-2	 and[0] the[0] real[0] kicker[-1] is[0] this[0] when[0] he[0] reaches[0] the[0] room[0] and[0] people[0] start[0] shooting[-1] at[0] him[0] he[0] has[0] the[0] nerve[0] to[0] look[0] surprised[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while we are on the subject of getting shot , why in hades were those fbi guys sitting with their backs to the door ? 	while we are on the subject of getting shot , why in hades were those fbi guys sitting with their backs to the door ?	1	-2	 while[0] we[0] are[0] on[0] the[0] subject[0] of[0] getting[0] shot[-1] why[0] in[0] hades[0] were[0] those[0] fbi[0] guys[0] sitting[0] with[0] their[0] backs[0] to[0] the[0] door[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've got no formal training but even i know you never sit with your back to the door . 	i've got no formal training but even i know you never sit with your back to the door .	1	-1	 i've[0] got[0] no[0] formal[0] training[0] but[0] even[0] i[0] know[0] you[0] never[0] sit[0] with[0] your[0] back[0] to[0] the[0] door[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ask mr . wild bill , the first and only time he did not sit with his back to a wall cost him his life . 	ask mr .<br> wild bill , the first and only time he did not sit with his back to a wall cost him his life .	1	-1	 ask[0] mr[0] [[Sentence=-1,1=word max, 1-5]] wild[0] bill[0] the[0] first[0] and[0] only[0] time[0] he[0] did[0] not[0] sit[0] with[0] his[0] back[0] to[0] a[0] wall[0] cost[0] him[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the major problem with this movie , any mook could have thought of a hundred ways to make it better . 	this is the major problem with this movie , any mook could have thought of a hundred ways to make it better .	1	-2	 this[0] is[0] the[0] major[0] problem[-1] with[0] this[0] movie[0] any[0] mook[0] could[0] have[0] thought[0] of[0] a[0] hundred[0] ways[0] to[0] make[0] it[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it so much to ask that hollywood actually put a little common sense into their characters ? 	is it so much to ask that hollywood actually put a little common sense into their characters ?	1	-1	 is[0] it[0] so[0] much[0] to[0] ask[0] that[0] hollywood[0] actually[0] put[0] a[0] little[0] common[0] sense[0] into[0] their[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance : 	for instance :	1	-1	 for[0] instance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our heroes hide at duchovny's summer home , now the bad guys could come knocking at any moment . 	our heroes hide at duchovny's summer home , now the bad guys could come knocking at any moment .	3	-2	 our[0] heroes[2] hide[0] at[0] duchovny's[0] summer[0] home[0] now[0] the[0] bad[-1] guys[0] could[0] come[0] knocking[0] at[0] any[0] moment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ok , this time our hero does get himself a gun and has it at his side most of the time . 	ok , this time our hero does get himself a gun and has it at his side most of the time .	3	-2	 ok[0] this[0] time[0] our[0] hero[2] does[0] get[0] himself[0] a[0] gun[-1] and[0] has[0] it[0] at[0] his[0] side[0] most[0] of[0] the[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but see , our hero is a drug addict and guess what ? 	but see , our hero is a drug addict and guess what ?	3	-2	 but[0] see[0] our[0] hero[2] is[0] a[0] drug[0] addict[-1] and[0] guess[0] what[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he chooses now to go clean and suffer through dt . 	he chooses now to go clean and suffer through dt .	1	-4	 he[0] chooses[0] now[0] to[0] go[0] clean[0] and[0] suffer[-3] through[0] dt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oh sure , he'll be really impressive when the bad guys come calling . 	oh sure , he'll be really impressive when the bad guys come calling .	3	-2	 oh[0] sure[0] he'll[0] be[0] really[0] impressive[1][1 LastWordBoosterStrength] when[0] the[0] bad[-1] guys[0] come[0] calling[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
going clean is really honorable of him , but i would have waited until i did not need to be conscious or being able to fire a gun . 	going clean is really honorable of him , but i would have waited until i did not need to be conscious or being able to fire a gun .	3	-2	 going[0] clean[0] is[0] really[0] honorable[1][1 LastWordBoosterStrength] of[0] him[0] but[0] i[0] would[0] have[0] waited[0] until[0] i[0] did[0] not[0] need[0] to[0] be[0] conscious[0] or[0] being[0] able[0] to[0] fire[0] a[0] gun[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for an enjoyable performance by timothy hutton , plot holes the size of godzilla , getting our intelligence insulted and several " oh come on ! " 	for an enjoyable performance by timothy hutton , plot holes the size of godzilla , getting our intelligence insulted and several " oh come on !<br> "	3	-3	 for[0] an[0] enjoyable[2] performance[0] by[0] timothy[0] hutton[0] plot[0] holes[0] the[0] size[0] of[0] godzilla[0] getting[0] our[0] intelligence[0] insulted[-2] and[0] several[0] oh[0] come[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
moments . 	moments .	1	-1	 moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
