this independent film written and directed by eric bross has the look and feel of all those other troubled blue-collar youth films that have inundated the market in recent times . 	Translation	Positive	Negative	EmotionRationale
the horse loses and now ray has big problems , as the loanshark comes after him with his muscle to get his dough . 	the horse loses and now ray has big problems , as the loanshark comes after him with his muscle to get his dough .	1	-2	 the[0] horse[0] loses[-1] and[0] now[0] ray[0] has[0] big[0] problems[-1] as[0] the[0] loanshark[0] comes[0] after[0] him[0] with[0] his[0] muscle[0] to[0] get[0] his[0] dough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is nothing i have seen so far to like about ray . 	there is nothing i have seen so far to like about ray .	2	-1	 there[0] is[0] nothing[0] i[0] have[0] seen[0] so[0] far[0] to[0] like[1] about[0] ray[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is undependable , mean-spirited , and stupid . 	he is undependable , mean-spirited , and stupid .	1	-2	 he[0] is[0] undependable[-1] mean[0] spirited[0] and[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so when his best friend mike ( gallagher ) , the narrator of the film , gets a chance to sleep with his girlfriend--who cares ? 	so when his best friend mike ( gallagher ) , the narrator of the film , gets a chance to sleep with his girlfriend-who cares ?	2	-1	 so[0] when[0] his[0] best[1] friend[1] mike[0] gallagher[0] the[0] narrator[0] of[0] the[0] film[0] gets[0] a[0] chance[0] to[0] sleep[0] with[0] his[0] girlfriend[0] who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the director must be kidding himself if he thinks we do . 	the director must be kidding himself if he thinks we do .	1	-1	 the[0] director[0] must[0] be[0] kidding[0] himself[0] if[0] he[0] thinks[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for ray's gambling debt and his dilemma of how to pay it off , the story is too predictable for anything other than what you would expect to happen . 	as for ray's gambling debt and his dilemma of how to pay it off , the story is too predictable for anything other than what you would expect to happen .	1	-2	 as[0] for[0] ray's[0] gambling[0] debt[0] and[0] his[0] dilemma[-1] of[0] how[0] to[0] pay[0] it[0] off[0] the[0] story[0] is[0] too[0] predictable[0] for[0] anything[0] other[0] than[0] what[0] you[0] would[0] expect[0] to[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his buddies , the college student mike and the dependable butchie ( gillan ) , and his old man , who he has this love/hate relationship with , rally to his aid . 	his buddies , the college student mike and the dependable butchie ( gillan ) , and his old man , who he has this love/hate relationship with , rally to his aid .	1	-1	 his[0] buddies[0] the[0] college[0] student[0] mike[0] and[0] the[0] dependable[0] butchie[0] gillan[0] and[0] his[0] old[0] man[0] who[0] he[0] has[0] this[0] love/hate[0] relationship[0] with[0] rally[0] to[0] his[0] aid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the film ends on an obligatory artistic note of ambiguity , that seems to be the way it is for all those wannabe artistic films , as ray is off to florida all by his lonesome self to try to put his life together . 	and the film ends on an obligatory artistic note of ambiguity , that seems to be the way it is for all those wannabe artistic films , as ray is off to florida all by his lonesome self to try to put his life together .	1	-2	 and[0] the[0] film[0] ends[0] on[0] an[0] obligatory[0] artistic[0] note[0] of[0] ambiguity[-1] that[0] seems[0] to[0] be[0] the[0] way[0] it[0] is[0] for[0] all[0] those[0] wannabe[0] artistic[0] films[0] as[0] ray[0] is[0] off[0] to[0] florida[0] all[0] by[0] his[0] lonesome[-1] self[0] to[0] try[0] to[0] put[0] his[0] life[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there was just no energy or spark or anything relevant in this superficial film to keep it interesting , though adrien brody showed signs that he could be a future star . 	there was just no energy or spark or anything relevant in this superficial film to keep it interesting , though adrien brody showed signs that he could be a future star .	2	-2	 there[0] was[0] just[0] no[0] energy[0] or[0] spark[0] or[0] anything[0] relevant[0] in[0] this[0] superficial[-1] film[0] to[0] keep[0] it[0] interesting[1] though[0] adrien[0] brody[0] showed[0] signs[0] that[0] he[0] could[0] be[0] a[0] future[0] star[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
because of his intensity and looks , he reminds me of sean penn . 	because of his intensity and looks , he reminds me of sean pen .	1	-1	 because[0] of[0] his[0] intensity[0] and[0] looks[0] he[0] reminds[0] me[0] of[0] sean[0] penn/pen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
