look ! the new version of " psycho " came out and the world didn't end ! 	Translation	Positive	Negative	EmotionRationale
in moore's case , the film would have been helped if " the x- files " gillian anderson had been cast instead ; especially since moore goes through the entire film doing a scully impression ! 	in moore's case , the film would have been helped if " the x- files " gillian anderson had been cast instead ; especially since more goes through the entire film doing a scully impression !	2	-1	 in[0] moore's[0] case[0] the[0] film[0] would[0] have[0] been[0] helped[0] if[0] the[0] x[1] files[0] gillian[0] anderson[0] had[0] been[0] cast[0] instead[0] especially[0] since[0] moore/more[0] goes[0] through[0] the[0] entire[0] film[0] doing[0] a[0] scully[0] impression[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from the cold demeanor and expressions to her rigid way of forming a sentence , moore is scully ! 	from the cold demeanor and expressions to her rigid way of forming a sentence , more is scully !	1	-2	 from[0] the[0] cold[-1] demeanor[0] and[0] expressions[0] to[0] her[0] rigid[-1] way[0] of[0] forming[0] a[0] sentence[0] moore/more[0] is[0] scully[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mortensen ( who i liked in " g . i . 	mortensen ( who i liked in " grin� .<br> i .	3	-1	 mortensen[0] who[0] i[0] liked[2] in[0] g[0] [[Sentence=-1,3=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
jane " ) opts to play sam loomis as a cowboy/hick , which would have been nice if he had gone past that starting point . 	jane " ) opts to play sam loomis as a cowboy/hick , which would have been nice if he had gone past that starting point .	2	-1	 jane[0] opts[0] to[0] play[0] sam[0] loomis[0] as[0] a[0] cowboy/hick[0] which[0] would[0] have[0] been[0] nice[1] if[0] he[0] had[0] gone[0] past[0] that[0] starting[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sam has a twang and a cowboy hat , but that's about it . 	sam has a twang and a cowboy hat , but that's about it .	1	-1	 sam[0] has[0] a[0] twang[0] and[0] a[0] cowboy[0] hat[0] but[0] that's[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mortensen turns in one of the most uptight performance in recent memory . 	mortensen turns in one of the most uptight performance in recent memory .	1	-3	 mortensen[0] turns[0] in[0] one[0] of[0] the[0] most[0] uptight[-2] performance[0] in[0] recent[0] memory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anne heche , in the janet leigh role , does a few good things in her brief time on screen . 	anne heche , in the janet leigh role , does a few good things in her brief time on screen .	2	-1	 anne[0] heche[0] in[0] the[0] janet[0] leigh[0] role[0] does[0] a[0] few[0] good[1] things[0] in[0] her[0] brief[0] time[0] on[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least her marion crane has a little life in her , which can't be said for most of the rest of the cast . 	at least her marion crane has a little life in her , which can't be said for most of the rest of the cast .	1	-1	 at[0] least[0] her[0] marion[0] crane[0] has[0] a[0] little[0] life[0] in[0] her[0] which[0] can't[0] be[0] said[0] for[0] most[0] of[0] the[0] rest[0] of[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best work , though , comes from vince vaughn , as the demented mama's boy , norman bates . 	the best work , though , comes from vince vaughn , as the demented mama's boy , norman bates .	2	-1	 the[0] best[1] work[0] though[0] comes[0] from[0] vince[0] vaughn[0] as[0] the[0] demented[0] mama's[0] boy[0] norman[0] bates[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's not going to make anyone forget anthony perkins , but he is effective both in being naughty and nice . 	he's not going to make anyone forget anthony perkins , but he is effective both in being naughty and nice .	2	-2	 he's[0] not[0] going[0] to[0] make[0] anyone[0] forget[0] anthony[0] perkins[0] but[0] he[0] is[0] effective[0] both[0] in[0] being[0] naughty[-1] and[0] nice[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best part of the film is the dinner scene heche and vaughn , where they simply talk . 	the best part of the film is the dinner scene heche and vaughn , where they simply talk .	2	-1	 the[0] best[1] part[0] of[0] the[0] film[0] is[0] the[0] dinner[0] scene[0] heche[0] and[0] vaughn[0] where[0] they[0] simply[0] talk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is some solid acting there , something that is not carried through the rest of the film . 	there is some solid acting there , something that is not carried through the rest of the film .	1	-1	 there[0] is[0] some[0] solid[0] acting[0] there[0] something[0] that[0] is[0] not[0] carried[0] through[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van sant has made a boring film . 	van sant has made a boring film .	1	-2	 van[0] sant[0] has[0] made[0] a[0] boring[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the camera tricks that hitchcock so eloquently used in 1960 aren't as eye-catching now . 	all the camera tricks that hitchcock so eloquently used in 1960 aren't as eye-catching now .	1	-2	 all[0] the[0] camera[0] tricks[-1] that[0] hitchcock[0] so[0] eloquently[0] used[0] in[0] 1960[0] aren't[0] as[0] eye[0] catching[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what passed for brilliance then has been copied so many times by so many directors that they don't impress or excite . 	what passed for brilliance then has been copied so many times by so many directors that they don't impress or excite .	3	-2	 what[0] passed[0] for[0] brilliance[1] then[0] has[0] been[0] copied[0] so[0] many[0] times[0] by[0] so[0] many[0] directors[0] that[0] they[0] don't[0] impress[1][NegatedDueToPreviousWord] or[0] excite[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
van sant , in what i assume is a grasp at originality , decided to put some stream-of-consciousness images into a few famous scenes ( was that a lamb in the middle of the road ? ) 	van sant , in what i assume is a grasp at originality , decided to put some stream-of-consciousness images into a few famous scenes ( was that a lamb in the middle of the road ?<br> )	1	-1	 van[0] sant[0] in[0] what[0] i[0] assume[0] is[0] a[0] grasp[0] at[0] originality[0] decided[0] to[0] put[0] some[0] stream[0] of[0] consciousness[0] images[0] into[0] a[0] few[0] famous[0] scenes[0] was[0] that[0] a[0] lamb[0] in[0] the[0] middle[0] of[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these images , included with some questionable editing choices , took away from the scenes themselves and caused , at first , bewilderment and , later , laughter . 	these images , included with some questionable editing choices , took away from the scenes themselves and caused , at first , bewilderment and , later , laughter .	2	-3	 these[0] images[0] included[0] with[0] some[0] questionable[-1][--1 LastWordBoosterStrength] editing[0] choices[0] took[0] away[0] from[0] the[0] scenes[0] themselves[0] and[0] caused[0] at[0] first[0] bewilderment[-2] and[0] later[0] laughter[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
definitely not hitchcock's intention ! 	definitely not hitchcock's intention !	1	-1	 definitely[0] not[0] hitchcock's[0] intention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least danny elfman had the good sense to not mess with bernard herrmann's original famous and terrific score . 	at least danny elfman had the good sense to not mess with bernard herrmann's original famous and terrific score .	4	-1	 at[0] least[0] danny[0] elfman[0] had[0] the[0] good[1] sense[0] to[0] not[0] mess[0] with[0] bernard[0] herrmann's[0] original[0] famous[0] and[0] terrific[3] score[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if a film like " psycho " does not frighten , then what's the point . 	if a film like " psycho " does not frighten , then what's the point .	4	-1	 if[0] a[0] film[0] like[1] psycho[0] does[0] not[0] frighten[-3][NegatedDueToPreviousWord] then[0] what's[0] the[0] point[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
aside from norman , the characters are thinly drawn people who leave no connection with the audience . 	aside from norman , the characters are thinly drawn people who leave no connection with the audience .	1	-1	 aside[0] from[0] norman[0] the[0] characters[0] are[0] thinly[0] drawn[0] people[0] who[0] leave[0] no[0] connection[0] with[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are things van sant and company could have done to at least make their recreation interesting . 	there are things van sant and company could have done to at least make their recreation interesting .	2	-1	 there[0] are[0] things[0] van[0] sant[0] and[0] company[0] could[0] have[0] done[0] to[0] at[0] least[0] make[0] their[0] recreation[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the end , however , the new " psycho " is a noble attempt , but , alas , a dismal failure . 	in the end , however , the new " psycho " is a noble attempt , but , alas , a dismal failure .	1	-3	 in[0] the[0] end[0] however[0] the[0] new[0] psycho[0] is[0] a[0] noble[0] attempt[0] but[0] alas[-1] a[0] dismal[-1] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
