shakespeare in love is quite possibly the most enjoyable period piece ever made for the silver screen . 	Translation	Positive	Negative	EmotionRationale
so it is that i am offended by the fact that marc norman and tom stoppard are credited with writing this production , and the name william shakespeare is no were to be seen beyond a character's name in the credits . 	so it is that i am offended by the fact that marc norman and tom stoppard are credited with writing this production , and the name william shakespeare is no were to be seen beyond a character's name in the credits .	1	-3	 so[0] it[0] is[0] that[0] i[0] am[0] offended[-2] by[0] the[0] fact[0] that[0] marc[0] norman[0] and[0] tom[0] stoppard[0] are[0] credited[0] with[0] writing[0] this[0] production[0] and[0] the[0] name[0] william[0] shakespeare[0] is[0] no[0] were[0] to[0] be[0] seen[0] beyond[0] a[0] character's[0] name[0] in[0] the[0] credits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting in this entertaining yet poor film is often thin to the point that it would not have survived even in queen elizabeth's theatres . 	the acting in this entertaining yet poor film is often thin to the point that it would not have survived even in queen elizabeth's theatres .	1	-2	 the[0] acting[0] in[0] this[0] entertaining[0] yet[0] poor[-1] film[0] is[0] often[0] thin[0] to[0] the[0] point[0] that[0] it[0] would[0] not[0] have[0] survived[0] even[0] in[0] queen[0] elizabeth's[0] theatres[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joseph fiennes may just be the worst of fall though . 	joseph fiennes may just be the worst of fall though .	1	-3	 joseph[0] fiennes[0] may[0] just[0] be[0] the[0] worst[-2] of[0] fall[0] though[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is tragically unbelievable and comically bad . 	he is tragically unbelievable and comically bad .	1	-2	 he[0] is[0] tragically[-1] unbelievable[-1] and[0] comically[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gwyneth paltrow is little more than satisfactory in her lead position as well . 	gwyneth paltrow is little more than satisfactory in her lead position as well .	2	-1	 gwyneth[0] paltrow[0] is[0] little[0] more[0] than[0] satisfactory[1] in[0] her[0] lead[0] position[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the supporting cast does almost save the day . 	however , the supporting cast does almost save the day .	2	-1	 however[0] the[0] supporting[1] cast[0] does[0] almost[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
geoffrey rush is nothing short of incredible and judi dench is breathtaking . 	geoffrey rush is nothing short of incredible and judi dench is breathtaking .	1	-1	 geoffrey[0] rush[0] is[0] nothing[0] short[0] of[0] incredible[0] and[0] judi[0] dench[0] is[0] breathtaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they both seem to have shown that as proven actors they could survive in this film of weak links . 	they both seem to have shown that as proven actors they could survive in this film of weak links .	1	-2	 they[0] both[0] seem[0] to[0] have[0] shown[0] that[0] as[0] proven[0] actors[0] they[0] could[0] survive[0] in[0] this[0] film[0] of[0] weak[-1] links[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you will also find a very good performance by ben affleck in his first real role since good will hunting ( no , armageddon doesn't qualify as real acting . ) . 	you will also find a very good performance by ben affleck in his first real role since good will hunting ( no , armageddon doesn't qualify as real acting .<br> ) .	3	-1	 you[0] will[0] also[0] find[0] a[0] very[0] good[1][1 LastWordBoosterStrength] performance[0] by[0] ben[0] affleck[0] in[0] his[0] first[0] real[0] role[0] since[0] good[1] will[0] hunting[0] no[0] armageddon[0] doesn't[0] qualify[0] as[0] real[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and rupert everett was cute in his small part as well . 	and rupert everett was cute in his small part as well .	2	-1	 and[0] rupert[0] everett[0] was[0] cute[1] in[0] his[0] small[0] part[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but not even they could save this sad excuse for a film , so it remains plagued by poor performances . 	but not even they could save this sad excuse for a film , so it remains plagued by poor performances .	1	-4	 but[0] not[0] even[0] they[0] could[0] save[1][-1 LastWordBoosterStrength] this[0] sad[-3] excuse[0] for[0] a[0] film[0] so[0] it[0] remains[0] plagued[-1] by[0] poor[-1] performances[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when all is said and done , shakespeare in love is only worth the trip if you want to be entertained . 	when all is said and done , shakespeare in love is only worth the trip if you want to be entertained .	3	-1	 when[0] all[0] is[0] said[0] and[0] done[0] shakespeare[0] in[0] love[2] is[0] only[0] worth[0] the[0] trip[0] if[0] you[0] want[0] to[0] be[0] entertained[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , as the film so kindly pointed out , entertainment may be fun , but it isn't necessarily quality . 	however , as the film so kindly pointed out , entertainment may be fun , but it isn't necessarily quality .	2	-1	 however[0] as[0] the[0] film[0] so[0] kindly[1] pointed[0] out[0] entertainment[0] may[0] be[0] fun[1] but[0] it[0] isn't[0] necessarily[0] quality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and this certainly isn't quality . 	and this certainly isn't quality .	1	-1	 and[0] this[0] certainly[0] isn't[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps this may be best compared to a john grisham novel , as a dear friend of mine often does compare things to his work . 	perhaps this may be best compared to a john grisham novel , as a dear friend of mine often does compare things to his work .	2	-1	 perhaps[0] this[0] may[0] be[0] best[1] compared[0] to[0] a[0] john[0] grisham[0] novel[0] as[0] a[0] dear[1] friend[1] of[0] mine[0] often[0] does[0] compare[0] things[0] to[0] his[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
simply put , it is far-fetched , poorly crafted , but very entertaining . 	simply put , it is far-fetched , poorly crafted , but very entertaining .	1	-2	 simply[0] put[0] it[0] is[0] far[0] fetched[0] poorly[-1] crafted[0] but[0] very[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
