capsule : silly and inane adaptation of gibson's short story , which is nowhere in sight . 	Translation	Positive	Negative	EmotionRationale
but that's another essay . ) 	but that's another essay .<br> )	1	-1	 but[0] that's[0] another[0] essay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , johnny runs and eventually winds up in newark . 	anyway , johnny runs and eventually winds up in newark .	1	-1	 anyway[0] johnny[0] runs[0] and[0] eventually[0] winds[0] up[0] in[0] newark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why newark ? 	why newark ?	1	-1	 why[0] newark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe because it was cheaper to fake a future newark than a future new york , that's why . 	maybe because it was cheaper to fake a future newark than a future new york , that's why .	1	-2	 maybe[0] because[0] it[0] was[0] cheaper[-1] to[0] fake[-1] a[0] future[0] newark[0] than[0] a[0] future[0] new[0] york[0] that's[0] why[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there , he meets an assortment of odd characters ( ice-t , dolph lundgren and henry rollins play a whole gallery of weirdos ) . 	there , he meets an assortment of odd characters ( ice-t , dolph lundgren and henry rollins play a whole gallery of weirdos ) .	1	-2	 there[0] he[0] meets[0] an[0] assortment[0] of[0] odd[0] characters[0] ice[0] t[0] dolph[0] lundgren[0] and[0] henry[0] rollins[0] play[0] a[0] whole[0] gallery[0] of[0] weirdos[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script deals with them with all the depth of pieces of furniture . 	the script deals with them with all the depth of pieces of furniture .	1	-1	 the[0] script[0] deals[0] with[0] them[0] with[0] all[0] the[0] depth[0] of[0] pieces[0] of[0] furniture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it turns out ( what else ? ) that the data in johnny's head could save a lot of people , but of course johnny only wants it out of his head so it doesn't kill him . 	it turns out ( what else ?<br> ) that the data in johnny's head could save a lot of people , but of course johnny only wants it out of his head so it doesn't kill him .	1	-2	 it[0] turns[0] out[0] what[0] else[0] [[Sentence=-1,1=word max, 1-5]] that[0] the[0] data[0] in[0] johnny's[0] head[0] could[0] save[1][-1 LastWordBoosterStrength] a[0] lot[0] of[0] people[0] but[0] of[0] course[0] johnny[0] only[0] wants[0] it[0] out[0] of[0] his[0] head[0] so[0] it[0] doesn't[0] kill[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
handled right , this could have been absorbing , but the script manages to mangle any chance of real sympathy for johnny at every opportunity . 	handled right , this could have been absorbing , but the script manages to mangle any chance of real sympathy for johnny at every opportunity .	1	-2	 handled[0] right[0] this[0] could[0] have[0] been[0] absorbing[0] but[0] the[0] script[0] manages[0] to[0] mangle[-1] any[0] chance[0] of[0] real[0] sympathy[0] for[0] johnny[0] at[0] every[0] opportunity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the details about the look and feel of the future are all phoned in from other , better movies -- blade runner and brazil come to mind . 	the details about the look and feel of the future are all phoned in from other , better movies - blade runner and brazil come to mind .	1	-1	 the[0] details[0] about[0] the[0] look[0] and[0] feel[0] of[0] the[0] future[0] are[0] all[0] phoned[0] in[0] from[0] other[0] better[0] movies[0] blade[0] runner[0] and[0] brazil[0] come[0] to[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything looks run-down and scummy , everyone dresses like they're punk rockers , and videophones are commonplace . 	everything looks run-down and scummy , everyone dresses like they're punk rockers , and videophones are commonplace .	2	-2	 everything[0] looks[0] run[0] down[0] and[0] scummy[-1] everyone[0] dresses[0] like[1] they're[0] punk[0] rockers[0] and[0] videophones[0] are[0] commonplace[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
snore . 	snore .	1	-2	 snore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only really interesting flourish is an extended depiction of the way the internet might work in the future ( complete with vr goggles and feedback gloves ) , but i kept thinking that it was more like what some relatively un-technical fellow would * think * it would look and behave like . 	the only really interesting flourish is an extended depiction of the way the internet might work in the future ( complete with vr goggles and feedback gloves ) , but i kept thinking that it was more like what some relatively un-technical fellow would * think * it would look and behave like .	3	-1	 the[0] only[0] really[0] interesting[1][1 LastWordBoosterStrength] flourish[0] is[0] an[0] extended[0] depiction[0] of[0] the[0] way[0] the[0] internet[0] might[0] work[0] in[0] the[0] future[0] complete[0] with[0] vr[0] goggles[0] and[0] feedback[0] gloves[0] but[0] i[0] kept[0] thinking[0] that[0] it[0] was[0] more[0] like[1] what[0] some[0] relatively[0] un[0] technical[0] fellow[0] would[0] think[0] it[0] would[0] look[0] and[0] behave[0] like[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a hacker of johnny's caliber would be blasting away with one command-line function after another , instead of wasting all this time twiddling with holograms , but of course that's not cinematic . 	a hacker of johnny's caliber would be blasting away with one command-line function after another , instead of wasting all this time twiddling with holograms , but of course that's not cinematic .	1	-1	 a[0] hacker[0] of[0] johnny's[0] caliber[0] would[0] be[0] blasting[0] away[0] with[0] one[0] command[0] line[0] function[0] after[0] another[0] instead[0] of[0] wasting[0] all[0] this[0] time[0] twiddling[0] with[0] holograms[0] but[0] of[0] course[0] that's[0] not[0] cinematic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what went wrong with this movie ? 	what went wrong with this movie ?	1	-2	 what[0] went[0] wrong[-1] with[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson wrote his own screenplay , which i guess is part of the problem : what works as a short story doesn't work in a movie . 	gibson wrote his own screenplay , which i guess is part of the problem : what works as a short story doesn't work in a movie .	1	-2	 gibson[0] wrote[0] his[0] own[0] screenplay[0] which[0] i[0] guess[0] is[0] part[0] of[0] the[0] problem[-1] what[0] works[0] as[0] a[0] short[0] story[0] doesn't[0] work[0] in[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his ear for dialogue is terrible and the plot doesn't advance , it convulses . 	his ear for dialogue is terrible and the plot doesn't advance , it convulses .	1	-4	 his[0] ear[0] for[0] dialogue[0] is[0] terrible[-3] and[0] the[0] plot[0] doesn't[0] advance[0] it[0] convulses[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from the script on out , it was probably all downhill . 	from the script on out , it was probably all downhill .	1	-1	 from[0] the[0] script[0] on[0] out[0] it[0] was[0] probably[0] all[0] downhill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
renting the movie to make fun of it is sort of pointless ; there's no fun in kicking a wounded dog , is there ? 	renting the movie to make fun of it is sort of pointless ; there's no fun in kicking a wounded dog , is there ?	2	-2	 renting[0] the[0] movie[0] to[0] make[0] fun[1] of[0] it[0] is[0] sort[0] of[0] pointless[-1] there's[0] no[0] fun[1] in[0] kicking[-1] a[0] wounded[-1] dog[0] is[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
