another formula 'feel good' quirky comedy from the british isles , much like " waking ned devine , " and a host of other popular low budget movies that turned a nifty profit off a thin story line . 	Translation	Positive	Negative	EmotionRationale
the film opens in a quaint cornish seaside village at the funeral of the husband of a middle-aged woman , grace ( brenda blethyn ) , who fell out of an airplane , evidently committing suicide . 	the film opens in a quaint cornish seaside village at the funeral of the husband of a middle-aged woman , grace ( brenda blethyn ) , who fell out of an airplane , evidently committing suicide .	3	-4	 the[0] film[0] opens[0] in[0] a[0] quaint[0] cornish[0] seaside[0] village[0] at[0] the[0] funeral[0] of[0] the[0] husband[0] of[0] a[0] middle[0] aged[0] woman[0] grace[2] brenda[0] blethyn[0] who[0] fell[0] out[0] of[0] an[0] airplane[0] evidently[0] committing[0] suicide[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the widow soon finds out her husband was a bigger bastard than she imagined . 	the widow soon finds out her husband was a bigger bastard than she imagined .	1	-3	 the[0] widow[0] soon[0] finds[0] out[0] her[0] husband[0] was[0] a[0] bigger[0] bastard[-2] than[0] she[0] imagined[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he left her with a stack of enormous bills and put up , without her knowledge , their comfortable 300 year old house as collateral for a failed business venture by taking out a second mortgage . 	he left her with a stack of enormous bills and put up , without her knowledge , their comfortable 300 year old house as collateral for a failed business venture by taking out a second mortgage .	2	-3	 he[0] left[0] her[0] with[0] a[0] stack[0] of[0] enormous[0] bills[0] and[0] put[0] up[0] without[0] her[0] knowledge[0] their[0] comfortable[1] 300[0] year[0] old[0] house[0] as[0] collateral[0] for[0] a[0] failed[-2] business[0] venture[0] by[0] taking[0] out[0] a[0] second[0] mortgage[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the widow finds herself bankrupt and with no marketable skills to pay back her husband's enormous debts and prevent her from losing the house and becoming homeless . 	the widow finds herself bankrupt and with no marketable skills to pay back her husband's enormous debts and prevent her from losing the house and becoming homeless .	1	-3	 the[0] widow[0] finds[0] herself[0] bankrupt[-2] and[0] with[0] no[0] marketable[0] skills[0] to[0] pay[0] back[0] her[0] husband's[0] enormous[0] debts[0] and[0] prevent[0] her[0] from[0] losing[-2] the[0] house[0] and[0] becoming[0] homeless[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she also knows that he was having an affair with a sophisticated woman from london , honey ( quick ) . 	she also knows that he was having an affair with a sophisticated woman from london , honey ( quick ) .	1	-1	 she[0] also[0] knows[0] that[0] he[0] was[0] having[0] an[0] affair[0] with[0] a[0] sophisticated[0] woman[0] from[0] london[0] honey[0] quick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what makes the affair doubly unsatisfying , is that when conferring with honey , she finds out that he was a tiger with her in bed but refrained from having sex with her . 	what makes the affair doubly unsatisfying , is that when conferring with honey , she finds out that he was a tiger with her in bed but refrained from having sex with her .	1	-2	 what[0] makes[0] the[0] affair[0] doubly[0] unsatisfying[0] is[0] that[0] when[0] conferring[0] with[0] honey[0] she[0] finds[0] out[0] that[0] he[0] was[0] a[0] tiger[0] with[0] her[0] in[0] bed[0] but[0] refrained[-1] from[0] having[0] sex[0] with[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though the locals try to help the bankrupt widow out as best they can , the creditors swoop down on her like vultures . 	even though the locals try to help the bankrupt widow out as best they can , the creditors swoop down on her like vultures .	2	-3	 even[0] though[0] the[0] locals[0] try[0] to[0] help[0] the[0] bankrupt[-2] widow[0] out[0] as[0] best[1] they[0] can[0] the[0] creditors[0] swoop[0] down[0] on[0] her[0] like[1] vultures[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her gardener and handyman , matthew ( ferguson ) , decides to stay on with her , despite his last check bouncing . 	her gardener and handyman , matthew ( ferguson ) , decides to stay on with her , despite his last check bouncing .	1	-1	 her[0] gardener[0] and[0] handyman[0] matthew[0] ferguson[0] decides[0] to[0] stay[0] on[0] with[0] her[0] despite[0] his[0] last[0] check[0] bouncing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since she is an expert amateur horticulturist , he convinces her to help him revive his hemp plants , which he grows for private use . 	since she is an expert amateur horticulturist , he convinces her to help him revive his hemp plants , which he grows for private use .	1	-1	 since[0] she[0] is[0] an[0] expert[0] amateur[0] horticulturist[0] he[0] convinces[0] her[0] to[0] help[0] him[0] revive[0] his[0] hemp[0] plants[0] which[0] he[0] grows[0] for[0] private[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two soon see this as a possibly big business opportunity , as grace works miracles with the plants which turn out to be high-quality stuff . 	the two soon see this as a possibly big business opportunity , as grace works miracles with the plants which turn out to be high-quality stuff .	3	-1	 the[0] two[0] soon[0] see[0] this[0] as[0] a[0] possibly[0] big[0] business[0] opportunity[0] as[0] grace[2] works[0] miracles[0] with[0] the[0] plants[0] which[0] turn[0] out[0] to[0] be[0] high[0] quality[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for grace , this is a way to save her house and get her out of debt ; for the scotsman , matthew , it offers a chance for him to continue to live in this beautiful village and earn enough money to marry his fisherman girlfriend nicky ( valerie ) . 	for grace , this is a way to save her house and get her out of debt ; for the scotsman , matthew , it offers a chance for him to continue to live in this beautiful village and earn enough money to marry his fisherman girlfriend nicky ( valerie ) .	3	-1	 for[0] grace[2] this[0] is[0] a[0] way[0] to[0] save[1] her[0] house[0] and[0] get[0] her[0] out[0] of[0] debt[0] for[0] the[0] scotsman[0] matthew[0] it[0] offers[0] a[0] chance[0] for[0] him[0] to[0] continue[0] to[0] live[0] in[0] this[0] beautiful[2] village[0] and[0] earn[0] enough[0] money[0] to[0] marry[0] his[0] fisherman[0] girlfriend[0] nicky[0] valerie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the locals all let the illegal activities go on undisturbed : the police sergeant ( campbell ) pretends not to notice what the bright lights in grace's greenhouse is for , the friendly vicar ( phillips ) counsels about the wisdom of not taking action over something that you can't control , and the doctor ( clunes ) enjoys smoking the weed for recreation . 	the locals all let the illegal activities go on undisturbed : the police sergeant ( campbell ) pretends not to notice what the bright lights in grace's greenhouse is for , the friendly vicar ( phillips ) counsels about the wisdom of not taking action over something that you can't control , and the doctor ( clunes ) enjoys smoking the weed for recreation .	3	-2	 the[0] locals[0] all[0] let[0] the[0] illegal[-1] activities[0] go[0] on[0] undisturbed[0] the[0] police[0] sergeant[0] campbell[0] pretends[0] not[0] to[0] notice[0] what[0] the[0] bright[0] lights[0] in[0] grace's[0] greenhouse[0] is[0] for[0] the[0] friendly[1] vicar[0] phillips[0] counsels[0] about[0] the[0] wisdom[0] of[0] not[0] taking[0] action[0] over[0] something[0] that[0] you[0] can't[0] control[0] and[0] the[0] doctor[0] clunes[0] enjoys[2] smoking[0] the[0] weed[-1] for[0] recreation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story becomes incredulous when grace decides to go to london and score with a big-time drug dealer instead of having matthew go , because she finds out nicky is pregnant and doesn't want matthew to end up in jail . 	the story becomes incredulous when grace decides to go to london and score with a big-time drug dealer instead of having matthew go , because she finds out nicky is pregnant and doesn't want matthew to end up in jail .	3	-2	 the[0] story[0] becomes[0] incredulous[0] when[0] grace[2] decides[0] to[0] go[0] to[0] london[0] and[0] score[0] with[0] a[0] big[0] time[0] drug[0] dealer[0] instead[0] of[0] having[0] matthew[0] go[0] because[0] she[0] finds[0] out[0] nicky[0] is[0] pregnant[0] and[0] doesn't[0] want[0] matthew[0] to[0] end[0] up[0] in[0] jail[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is interesting to note , that no one thinks smoking grass is bad for you , only that one can go to jail . 	it is interesting to note , that no one thinks smoking grass is bad for you , only that one can go to jail .	2	-2	 it[0] is[0] interesting[1] to[0] note[0] that[0] no[0] one[0] thinks[0] smoking[0] grass[0] is[0] bad[-1] for[0] you[0] only[0] that[0] one[0] can[0] go[0] to[0] jail[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the scene with grace on portobello road in the notting hill section of london , trying to find a drug dealer , while dressed out of place , in a white dress and hat one would wear to a tea party in cornwall but not on the streets of notting hill while looking to make a drug deal , was completely hokey and the film descended into a huge black hole , whereby it never recovered its dignity . 	the scene with grace on portobello road in the noting hill section of london , trying to find a drug dealer , while dressed out of place , in a white dress and hat one would wear to a tea party in cornwall but not on the streets of noting hill while looking to make a drug deal , was completely hokey and the film descended into a huge black hole , whereby it never recovered its dignity .	3	-1	 the[0] scene[0] with[0] grace[2] on[0] portobello[0] road[0] in[0] the[0] notting/noting[0] hill[0] section[0] of[0] london[0] trying[0] to[0] find[0] a[0] drug[0] dealer[0] while[0] dressed[0] out[0] of[0] place[0] in[0] a[0] white[0] dress[0] and[0] hat[0] one[0] would[0] wear[0] to[0] a[0] tea[0] party[0] in[0] cornwall[0] but[0] not[0] on[0] the[0] streets[0] of[0] notting/noting[0] hill[0] while[0] looking[0] to[0] make[0] a[0] drug[0] deal[0] was[0] completely[0] hokey[0] and[0] the[0] film[0] descended[0] into[0] a[0] huge[0] black[0] hole[0] whereby[0] it[0] never[0] recovered[0] its[0] dignity[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film moves into the formula mode , whereas grace beats the odds against her failing to survive , as she meets an international drug dealer , a frenchman ( tcheky karyo ) , who is first seen threatening to cut off her fingers but later becomes her business partner and husband as she becomes a millionaire and writes a best selling fiction book about her experiences , thereby becoming a celebrity . 	the film moves into the formula mode , whereas grace beats the odds against her failing to survive , as she meets an international drug dealer , a frenchman ( tcheky karyo ) , who is first seen threatening to cut off her fingers but later becomes her business partner and husband as she becomes a millionaire and writes a best selling fiction book about her experiences , thereby becoming a celebrity .	3	-3	 the[0] film[0] moves[0] into[0] the[0] formula[0] mode[0] whereas[0] grace[2] beats[0] the[0] odds[0] against[-1] her[0] failing[-2] to[0] survive[0] as[0] she[0] meets[0] an[0] international[0] drug[0] dealer[0] a[0] frenchman[0] tcheky[0] karyo[0] who[0] is[0] first[0] seen[0] threatening[-2] to[0] cut[0] off[0] her[0] fingers[0] but[0] later[0] becomes[0] her[0] business[0] partner[0] and[0] husband[0] as[0] she[0] becomes[0] a[0] millionaire[0] and[0] writes[0] a[0] best[1] selling[0] fiction[0] book[0] about[0] her[0] experiences[0] thereby[0] becoming[0] a[0] celebrity[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
things work out in a ridiculous way , where there is a total breakdown in the character development of grace , where this matronly figure suddenly becomes merely a cartoon figure instead of live flesh and blood . 	things work out in a ridiculous way , where there is a total breakdown in the character development of grace , where this matronly figure suddenly becomes merely a cartoon figure instead of live flesh and blood .	3	-3	 things[0] work[0] out[0] in[0] a[0] ridiculous[-2] way[0] where[0] there[0] is[0] a[0] total[0] breakdown[-1][-1 LastWordBoosterStrength] in[0] the[0] character[0] development[0] of[0] grace[2] where[0] this[0] matronly[0] figure[0] suddenly[0] becomes[0] merely[0] a[0] cartoon[0] figure[0] instead[0] of[0] live[0] flesh[0] and[0] blood[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there are a lot of silly giggles that come forth and the film has just enough of an acting performance by brenda blethyn to breathe air into it before it comes to its belated finale , as it drones on with its transparently gratuitous upbeat tone , until it makes the audience feel good that the sweet old lady succeeded . 	there are a lot of silly giggles that come forth and the film has just enough of an acting performance by brenda blethyn to breathe air into it before it comes to its belated finale , as it drones on with its transparently gratuitous upbeat tone , until it makes the audience feel good that the sweet old lady succeeded .	3	-2	 there[0] are[0] a[0] lot[0] of[0] silly[-1] giggles[2] that[0] come[0] forth[0] and[0] the[0] film[0] has[0] just[0] enough[0] of[0] an[0] acting[0] performance[0] by[0] brenda[0] blethyn[0] to[0] breathe[0] air[0] into[0] it[0] before[0] it[0] comes[0] to[0] its[0] belated[-1] finale[0] as[0] it[0] drones[0] on[0] with[0] its[0] transparently[0] gratuitous[-1] upbeat[1] tone[0] until[0] it[0] makes[0] the[0] audience[0] feel[0] good[1] that[0] the[0] sweet[1] old[0] lady[0] succeeded[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this 'unhip' film leaves one with the impression that smoking and growing pot is silly , but should be tolerated as something naughty middle-aged widows screwed by their terrible former husbands must do in order not to remain destitute . 	this 'unhip' film leaves one with the impression that smoking and growing pot is silly , but should be tolerated as something naughty middle-aged widows screwed by their terrible former husbands must do in order not to remain destitute .	1	-4	 this[0] 'unhip'[0] film[0] leaves[0] one[0] with[0] the[0] impression[0] that[0] smoking[0] and[0] growing[0] pot[0] is[0] silly[-1] but[0] should[0] be[0] tolerated[0] as[0] something[0] naughty[-1] middle[0] aged[0] widows[0] screwed[0] by[0] their[0] terrible[-3] former[0] husbands[0] must[0] do[0] in[0] order[0] not[0] to[0] remain[0] destitute[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ummm ! 	um !	2	-1	 ummm/um[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
