it seemed like the perfect concept . 	Translation	Positive	Negative	EmotionRationale
the incongruity of it all is funny for a while , with three burly black men discussing higher math in ghetto language and white-bread carrey mouthing said language with an entirely too-pleasant smile on his face . 	the incongruity of it all is funny for a while , with three burly black men discussing higher math in ghetto language and white-bread carrey mouthing said language with an entirely too-pleasant smile on his face .	4	-2	 the[0] incongruity[0] of[0] it[0] all[0] is[0] funny[1] for[0] a[0] while[0] with[0] three[0] burly[0] black[0] men[0] discussing[0] higher[0] math[0] in[0] ghetto[-1] language[0] and[0] white[0] bread[0] carrey[0] mouthing[0] said[0] language[0] with[0] an[0] entirely[0] too[0] pleasant[2] smile[2][+1 MultiplePositiveWords] on[0] his[0] face[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but by the end of the film , they're still doing the same schitck ; it hasn't been elevated to another , funnier level , and it hasn't been dropped either . 	but by the end of the film , they're still doing the same schitck ; it hasn't been elevated to another , funnier level , and it hasn't been dropped either .	2	-1	 but[0] by[0] the[0] end[0] of[0] the[0] film[0] they're[0] still[0] doing[0] the[0] same[0] schitck[0] it[0] hasn't[0] been[0] elevated[0] to[0] another[0] funnier[1] level[0] and[0] it[0] hasn't[0] been[0] dropped[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's too bad , because it ceases to be amusing about halfway through . 	that's too bad , because it ceases to be amusing about halfway through .	2	-2	 that's[0] too[0] bad[-1] because[0] it[0] ceases[0] to[0] be[0] amusing[1] about[0] halfway[0] through[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " me , myself & irene " reeks of wasted opportunities . 	 " me , myself & irene " reeks of wasted opportunities .	1	-3	 me[0] myself[0] &[0] irene[0] reeks[-2] of[0] wasted[-1] opportunities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there ought to be more focus on how other people react to charlie's new personality , and on how charlie deals with the consequences of hank's actions . 	there ought to be more focus on how other people react to charlie's new personality , and on how charlie deals with the consequences of hank's actions .	1	-1	 there[0] ought[0] to[0] be[0] more[0] focus[0] on[0] how[0] other[0] people[0] react[0] to[0] charlie's[0] new[0] personality[0] and[0] on[0] how[0] charlie[0] deals[0] with[0] the[0] consequences[0] of[0] hank's[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this doesn't really happen ; nearly every supporting character learns about charlie's condition early on , so they don't have any opportunity to be surprised by it . 	this doesn't really happen ; nearly every supporting character learns about charlie's condition early on , so they don't have any opportunity to be surprised by it .	2	-1	 this[0] doesn't[0] really[0] happen[0] nearly[0] every[0] supporting[1] character[0] learns[0] about[0] charlie's[0] condition[0] early[0] on[0] so[0] they[0] don't[0] have[0] any[0] opportunity[0] to[0] be[0] surprised[0] by[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film throws what looks like a patented farrelly curve in a scene towards the midway point ( involving an albino companion charlie and irene pick up called , appropriately , " whitey " ) , but the script doesn't go anywhere with it , instead leaving the thread twisting in the wind before awkwardly tying it up during the climax . 	the film throws what looks like a patented farrelly curve in a scene towards the midway point ( involving an albino companion charlie and irene pick up called , appropriately , " whitey " ) , but the script doesn't go anywhere with it , instead leaving the thread twisting in the wind before awkwardly tying it up during the climax .	2	-2	 the[0] film[0] throws[0] what[0] looks[0] like[1] a[0] patented[0] farrelly[0] curve[0] in[0] a[0] scene[0] towards[0] the[0] midway[0] point[0] involving[0] an[0] albino[0] companion[0] charlie[0] and[0] irene[0] pick[0] up[0] called[0] appropriately[0] whitey[0] but[0] the[0] script[0] doesn't[0] go[0] anywhere[0] with[0] it[0] instead[0] leaving[0] the[0] thread[0] twisting[0] in[0] the[0] wind[0] before[0] awkwardly[-1] tying[0] it[0] up[0] during[0] the[0] climax[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jim carrey is a gifted comedian , both physically and vocally , but he's left with nothing much to do here except contort himself in a manner similar to steve martin in " all of me . " 	jim carrey is a gifted comedian , both physically and vocally , but he's left with nothing much to do here except contort himself in a manner similar to steve martin in " all of me .<br> "	1	-1	 jim[0] carrey[0] is[0] a[0] gifted[0] comedian[0] both[0] physically[0] and[0] vocally[0] but[0] he's[0] left[0] with[0] nothing[0] much[0] to[0] do[0] here[0] except[0] contort[0] himself[0] in[0] a[0] manner[0] similar[0] to[0] steve[0] martin[0] in[0] all[0] of[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a great showcase of flexibility and split-second role-shifting , but none of it is terribly funny . 	it's a great showcase of flexibility and split-second role-shifting , but none of it is terribly funny .	3	-4	 it's[0] a[0] great[2] showcase[0] of[0] flexibility[0] and[0] split[0] second[0] role[0] shifting[0] but[0] none[0] of[0] it[0] is[0] terribly[-3] funny[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
carrey doesn't pull any stunts we don't expect him to pull , and the farrellys' script doesn't give him anything else to pull : the situations in which he must perform the role-shifting aren't set up in any meaningful way . 	carrey doesn't pull any stunts we don't expect him to pull , and the farrellys' script doesn't give him anything else to pull : the situations in which he must perform the role-shifting aren't set up in any meaningful way .	1	-1	 carrey[0] doesn't[0] pull[0] any[0] stunts[0] we[0] don't[0] expect[0] him[0] to[0] pull[0] and[0] the[0] farrellys'[0] script[0] doesn't[0] give[0] him[0] anything[0] else[0] to[0] pull[0] the[0] situations[0] in[0] which[0] he[0] must[0] perform[0] the[0] role[0] shifting[0] aren't[0] set[0] up[0] in[0] any[0] meaningful[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps carrey can take solace in the fact that his supporting actors fare no better . 	perhaps carrey can take solace in the fact that his supporting actors fare no better .	2	-1	 perhaps[0] carrey[0] can[0] take[0] solace[0] in[0] the[0] fact[0] that[0] his[0] supporting[1] actors[0] fare[0] no[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
zellweger's irene is not a strong female lead ; mary in " mary " may have been part adolescent fantasy , but she was also intelligent and strong-willed . 	zellweger's irene is not a strong female lead ; mary in " mary " may have been part adolescent fantasy , but she was also intelligent and strong-willed .	2	-1	 zellweger's[0] irene[0] is[0] not[0] a[0] strong[0] female[0] lead[0] mary[0] in[0] mary[0] may[0] have[0] been[0] part[0] adolescent[0] fantasy[0] but[0] she[0] was[0] also[0] intelligent[1] and[0] strong[0] willed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
irene is nothing in particular , as the film never makes clear whether she's ditzy , clever , or neither . 	irene is nothing in particular , as the film never makes clear whether she's ditzy , clever , or neither .	1	-1	 irene[0] is[0] nothing[0] in[0] particular[0] as[0] the[0] film[0] never[0] makes[0] clear[0] whether[0] she's[0] ditzy[0] clever[0] or[0] neither[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as such , she gives us nothing to latch onto as the only " sane " person in the film . 	as such , she gives us nothing to latch onto as the only " sane " person in the film .	1	-1	 as[0] such[0] she[0] gives[0] us[0] nothing[0] to[0] latch[0] onto[0] as[0] the[0] only[0] sane[0] person[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris cooper is stuck playing exactly one note as a corrupt fbi agent , and his character is entirely too straight-laced for a movie like this . 	chris cooper is stuck playing exactly one note as a corrupt fbi agent , and his character is entirely too straight-laced for a movie like this .	2	-3	 chris[0] cooper[0] is[0] stuck[0] playing[1] exactly[0] one[0] note[0] as[0] a[0] corrupt[-2] fbi[0] agent[0] and[0] his[0] character[0] is[0] entirely[0] too[0] straight[0] laced[0] for[0] a[0] movie[0] like[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he , like the others , does absolutely nothing unexpected . 	he , like the others , does absolutely nothing unexpected .	2	-1	 he[0] like[1] the[0] others[0] does[0] absolutely[0] nothing[0] unexpected[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after viewing the shapeless mess that " me , myself & irene " eventually dissolved into , i was stuck wondering whether or not the farrellys had outsmarted themselves . 	after viewing the shapeless mess that " me , myself & irene " eventually dissolved into , i was stuck wondering whether or not the farrellys had outsmarted themselves .	1	-1	 after[0] viewing[0] the[0] shapeless[0] mess[0] that[0] me[0] myself[0] &[0] irene[0] eventually[0] dissolved[0] into[0] i[0] was[0] stuck[0] wondering[0] whether[0] or[0] not[0] the[0] farrellys[0] had[0] outsmarted[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe their kind of comedy can only work for so long until audiences get wise to it and stop being shocked . 	maybe their kind of comedy can only work for so long until audiences get wise to it and stop being shocked .	2	-3	 maybe[0] their[0] kind[1] of[0] comedy[0] can[0] only[0] work[0] for[0] so[0] long[0] until[0] audiences[0] get[0] wise[0] to[0] it[0] and[0] stop[0] being[0] shocked[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but i don't believe it -- good filmmakers find ways of surprising their audiences even after people have grown attuned to their style . 	but i don't believe it - good filmmakers find ways of surprising their audiences even after people have grown attuned to their style .	2	-1	 but[0] i[0] don't[0] believe[0] it[0] good[1] filmmakers[0] find[0] ways[0] of[0] surprising[0] their[0] audiences[0] even[0] after[0] people[0] have[0] grown[0] attuned[0] to[0] their[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the farrellys are indeed good , smart filmmakers ( and i still think they are ) , they'll rebound just fine . 	if the farrellys are indeed good , smart filmmakers ( and i still think they are ) , they'll rebound just fine .	2	-1	 if[0] the[0] farrellys[0] are[0] indeed[0] good[1] smart[1] filmmakers[0] and[0] i[0] still[0] think[0] they[0] are[0] they'll[0] rebound[0] just[0] fine[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even after that happens , though , i'll still consider " me , myself & irene " to be a high-caliber misfire . 	even after that happens , though , i'll still consider " me , myself & irene " to be a high-caliber misfire .	1	-1	 even[0] after[0] that[0] happens[0] though[0] i'll[0] still[0] consider[0] me[0] myself[0] &[0] irene[0] to[0] be[0] a[0] high[0] caliber[0] misfire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
