one of the first films of 1999 is this mtv pictures release which marks the first leading feature role for james van der beek , the star of the wb's runaway hit dawson's creek . 	Translation	Positive	Negative	EmotionRationale
he's still a pseudo-intellectual , whiny , nice guy , except here he also happens to be a jock . 	he's still a pseudo-intellectual , whiny , nice guy , except here he also happens to be a jock .	2	-1	 he's[0] still[0] a[0] pseudo[0] intellectual[0] whiny[0] nice[1] guy[0] except[0] here[0] he[0] also[0] happens[0] to[0] be[0] a[0] jock[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
voight is a terror as he chews up every single piece of scenery and spits it out . 	voight is a terror as he chews up every single piece of scenery and spits it out .	1	-2	 voight[0] is[0] a[0] terror[-1] as[0] he[0] chews[0] up[0] every[0] single[0] piece[0] of[0] scenery[0] and[0] spits[0] it[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other adults are all notably awful while the younger performers don't fare much better . 	the other adults are all notably awful while the younger performers don't fare much better .	1	-4	 the[0] other[0] adults[0] are[0] all[0] notably[0] awful[-3] while[0] the[0] younger[0] performers[0] don't[0] fare[0] much[0] better[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on the positive side , walker is a charismatic actor who is due for a breakout role following this and his supporting turn in pleasantville ( 1998 ) . 	on the positive side , walker is a charismatic actor who is due for a breakout role following this and his supporting turn in pleasantville ( 1998 ) .	3	-1	 on[0] the[0] positive[2] side[0] walker[0] is[0] a[0] charismatic[0] actor[0] who[0] is[0] due[0] for[0] a[0] breakout[0] role[0] following[0] this[0] and[0] his[0] supporting[1] turn[0] in[0] pleasantville[2] 1998[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scott ( son of james ) caan has some lively moments as tweeder , the team's wild man . 	scot ( son of james ) can has some lively moments as tweeder , the team's wild man .	1	-1	 scott/scot[0] son[0] of[0] james[0] caan/can[0] has[0] some[0] lively[1][-1 LastWordBoosterStrength] moments[0] as[0] tweeder[0] the[0] team's[0] wild[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larter , as a gorgeous seductress looking for a one way ticket out of texas , gets to show off the film's most interesting costumes , including a very eye-opening " whipped cream bikini . " 	larter , as a gorgeous seductress looking for a one way ticket out of texas , gets to show off the film's most interesting costumes , including a very eye-opening " whipped cream bikini .<br> "	3	-1	 larter[0] as[0] a[0] gorgeous[2] seductress[0] looking[0] for[0] a[0] one[0] way[0] ticket[0] out[0] of[0] texas[0] gets[0] to[0] show[0] off[0] the[0] film's[0] most[0] interesting[1] costumes[0] including[0] a[0] very[0] eye[0] opening[0] whipped[0] cream[0] bikini[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's interesting to note that the film definitely earns its r-rating with a lot of harsh language , alcohol abuse and an unusually high amount of nudity ( including a gratuitous trip to a strip bar that reveals a not very surprising surprise ) . 	it's interesting to note that the film definitely earns its are-rating with a lot of harsh language , alcohol abuse and an unusually high amount of nudity ( including a gratuitous trip to a strip bar that reveals a not very surprising surprise ) .	2	-4	 it's[0] interesting[1] to[0] note[0] that[0] the[0] film[0] definitely[0] earns[0] its[0] r[0] rating[0] with[0] a[0] lot[0] of[0] harsh[-1] language[0] alcohol[0] abuse[-3] and[0] an[0] unusually[0] high[0] amount[0] of[0] nudity[0] including[0] a[0] gratuitous[-1] trip[0] to[0] a[0] strip[0] bar[0] that[0] reveals[0] a[0] not[0] very[0] surprising[0] surprise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
all this is likely to come as a shock to the young female fan base of dawson's creek , presumably the target audience for the picture . 	all this is likely to come as a shock to the young female fan base of dawson's creek , presumably the target audience for the picture .	1	-3	 all[0] this[0] is[0] likely[0] to[0] come[0] as[0] a[0] shock[-2] to[0] the[0] young[0] female[0] fan[0] base[0] of[0] dawson's[0] creek[0] presumably[0] the[0] target[0] audience[0] for[0] the[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director brian robbins previously helmed the kids feature good burger ( from nickelodeon films , a sister company of mtv ) and changes directions here a bit but still fails to make much of an impression . 	director brian robins previously helmed the kids feature good burger ( from nickelodeon films , a sister company of mtv ) and changes directions here a bit but still fails to make much of an impression .	2	-3	 director[0] brian[0] robbins/robins[0] previously[0] helmed[0] the[0] kids[0] feature[0] good[1] burger[0] from[0] nickelodeon[0] films[0] a[0] sister[0] company[0] of[0] mtv[0] and[0] changes[0] directions[0] here[0] a[0] bit[0] but[0] still[0] fails[-2] to[0] make[0] much[0] of[0] an[0] impression[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the look of the movie is as bland as the town and characters who populate it . 	the look of the movie is as bland as the town and characters who populate it .	1	-2	 the[0] look[0] of[0] the[0] movie[0] is[0] as[0] bland[-1] as[0] the[0] town[0] and[0] characters[0] who[0] populate[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the football scenes are generally unexciting and the entire film looks a bit washed out . 	the football scenes are generally unexciting and the entire film looks a bit washed out .	1	-1	 the[0] football[0] scenes[0] are[0] generally[0] unexciting[0] and[0] the[0] entire[0] film[0] looks[0] a[0] bit[0] washed[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an ok soundtrack featuring music from collective soul , foo fighters , green day and aaliyah but it's not as impressive as one would expect from a mtv film . 	there's an ok soundtrack featuring music from collective soul , foo fighters , green day and aliyah but it's not as impressive as one would expect from a mtv film .	1	-3	 there's[0] an[0] ok[0] soundtrack[0] featuring[0] music[0] from[0] collective[0] soul[0] foo[0] fighters[-2] green[0] day[0] and[0] aaliyah/aliyah[0] but[0] it's[0] not[0] as[0] impressive[1][NegatedDueToPreviousWord] as[0] one[0] would[0] expect[0] from[0] a[0] mtv[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
