let's get this one over with as quickly as possible . 	Translation	Positive	Negative	EmotionRationale
the monster eats the fish , the military starts shooting , and the chase is on , with the army causing 90% of the ensuing damage . 	the monster eats the fish , the military starts shooting , and the chase is on , with the army causing 90% of the ensuing damage .	1	-2	 the[0] monster[-1] eats[0] the[0] fish[0] the[0] military[0] starts[0] shooting[-1] and[0] the[0] chase[-1] is[0] on[0] with[0] the[0] army[0] causing[0] 90%[0] of[0] the[0] ensuing[0] damage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
working from a hunch as to why godzilla has decided to come to the big apple , dr . totopoulos buys a few home pregnancy kits from a local drugstore that has chosen to remain open ( even though new york has been evacuated ) . 	working from a hunch as to why godzilla has decided to come to the big apple , dr .<br> totopoulos buys a few home pregnancy kits from a local drugstore that has chosen to remain open ( even though new york has been evacuated ) .	1	-1	 working[0] from[0] a[0] hunch[0] as[0] to[0] why[0] godzilla[0] has[0] decided[0] to[0] come[0] to[0] the[0] big[0] apple[0] dr[0] [[Sentence=-1,1=word max, 1-5]] totopoulos[0] buys[0] a[0] few[0] home[0] pregnancy[0] kits[0] from[0] a[0] local[0] drugstore[0] that[0] has[0] chosen[0] to[0] remain[0] open[0] even[0] though[0] new[0] york[0] has[0] been[0] evacuated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well the test proves that the monster is a hermaphrodite and is pregnant . 	well the test proves that the monster is a hermaphrodite and is pregnant .	1	-2	 well[0] the[0] test[0] proves[0] that[0] the[0] monster[-1] is[0] a[0] hermaphrodite[0] and[0] is[0] pregnant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
needless to say , no one believes the good doctor about his discovery , so he must join up with the renegade french secret service agents and find the monster's nesting site and destroy the eggs before the mayor starts letting the populous back into the city ( even though the monster isn't dead yet ) . 	needless to say , no one believes the good doctor about his discovery , so he must join up with the renegade french secret service agents and find the monster's nesting site and destroy the eggs before the mayor starts letting the populous back into the city ( even though the monster isn't dead yet ) .	3	-3	 needless[0] to[0] say[0] no[0] one[0] believes[0] the[0] good[1] doctor[0] about[0] his[0] discovery[0] so[0] he[0] must[0] join[0] up[0] with[0] the[0] renegade[0] french[0] secret[0] service[0] agents[0] and[0] find[0] the[0] monster's[0] nesting[0] site[0] and[0] destroy[-2] the[0] eggs[0] before[0] the[0] mayor[0] starts[0] letting[0] the[0] populous[0] back[0] into[0] the[0] city[0] even[0] though[0] the[0] monster[-1] isn't[0] dead[-2][NegatedDueToPreviousWord] yet[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i sincerely hope that i've completely spoiled any interest anyone might have of seeing this film . 	i sincerely hope that i've completely spoiled any interest anyone might have of seeing this film .	3	-3	 i[0] sincerely[0] hope[2] that[0] i've[0] completely[0] spoiled[-1][-1 LastWordBoosterStrength] any[0] interest[1] anyone[0] might[0] have[0] of[0] seeing[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i gave away the relevant plot so that i could spare those of you courageous ( or foolish ) enough to drop down an hour's wage on this tripe . 	i gave away the relevant plot so that i could spare those of you courageous ( or foolish ) enough to drop down an hour's wage on this tripe .	2	-2	 i[0] gave[0] away[0] the[0] relevant[0] plot[0] so[0] that[0] i[0] could[0] spare[0] those[0] of[0] you[0] courageous[1] or[0] foolish[-1] enough[0] to[0] drop[-1] down[0] an[0] hour's[0] wage[0] on[0] this[0] tripe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everything about " godzilla " reeks almost as bad as the piles of rotting fish used to trap the beast . 	everything about " godzilla " reeks almost as bad as the piles of rotting fish used to trap the beast .	1	-3	 everything[0] about[0] godzilla[0] reeks[-2] almost[0] as[0] bad[-1] as[0] the[0] piles[0] of[0] rotting[0] fish[0] used[0] to[0] trap[-1] the[0] beast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script ( and let's be clear here ) by devlin and emmerich is so full of plot holes and non characters as to be sure to be the recipient of next years " razzie " award . 	the script ( and let's be clear here ) by devlin and emmerich is so full of plot holes and non characters as to be sure to be the recipient of next years " razie " award .	1	-1	 the[0] script[0] and[0] let's[0] be[0] clear[0] here[0] by[0] devlin[0] and[0] emmerich[0] is[0] so[0] full[0] of[0] plot[0] holes[0] and[0] non[0] characters[0] as[0] to[0] be[0] sure[0] to[0] be[0] the[0] recipient[0] of[0] next[0] years[0] razzie/razie[0] award[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue between maria pitillo ( as audrey timmonds , dr . tatopoulos' estranged girlfriend ) and mr . broderick is so adolescent , it makes teenagers giggle in disbelief ( as happened during the screening i witnessed ) . 	the dialogue between maria pitillo ( as audrey timmonds , dr .<br> tatopoulos' estranged girlfriend ) and mr .<br> broderick is so adolescent , it makes teenagers giggle in disbelief ( as happened during the screening i witnessed ) .	3	-3	 the[0] dialogue[0] between[0] maria[0] pitillo[-2] as[0] audrey[0] timmonds[0] dr[0] [[Sentence=-3,1=word max, 1-5]] tatopoulos'[0] estranged[-1] girlfriend[0] and[0] mr[0] [[Sentence=-2,1=word max, 1-5]] broderick[0] is[0] so[0] adolescent[0] it[0] makes[0] teenagers[0] giggle[2] in[0] disbelief[-1] as[0] happened[0] during[0] the[0] screening[0] i[0] witnessed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film could be enjoyably campy if it didn't take itself so damn seriously . 	the film could be enjoyably campy if it didn't take itself so damn seriously .	3	-2	 the[0] film[0] could[0] be[0] enjoyably[2] campy[0] if[0] it[0] didn't[0] take[0] itself[0] so[0] damn[-1] seriously[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but to what end , as there is no commentary on humanities foibles against nature , nor is there any reference about godzilla being some sort of retaliation against mankind . 	but to what end , as there is no commentary on humanities foibles against nature , nor is there any reference about godzilla being some sort of retaliation against mankind .	1	-2	 but[0] to[0] what[0] end[0] as[0] there[0] is[0] no[0] commentary[0] on[0] humanities[0] foibles[-1] against[-1] nature[0] nor[0] is[0] there[0] any[0] reference[0] about[0] godzilla[0] being[0] some[0] sort[0] of[0] retaliation[-1] against[-1] mankind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no . godzilla is just a big dummy that got knocked up by some french immigrants and decided to let the state of new york pay for it . 	no .<br> godzilla is just a big dummy that got knocked up by some french immigrants and decided to let the state of new york pay for it .	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] is[0] just[0] a[0] big[0] dummy[0] that[0] got[0] knocked[0] up[0] by[0] some[0] french[0] immigrants[0] and[0] decided[0] to[0] let[0] the[0] state[0] of[0] new[0] york[0] pay[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is bleak and ugly looking . 	the film is bleak and ugly looking .	1	-3	 the[0] film[0] is[0] bleak[-1] and[0] ugly[-2] looking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taking place at night during a rain storm , the movie has little or no depth . 	taking place at night during a rain storm , the movie has little or no depth .	1	-2	 taking[0] place[0] at[0] night[0] during[0] a[0] rain[0] storm[-1] the[0] movie[0] has[0] little[0] or[0] no[0] depth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything is ugly and dark . 	everything is ugly and dark .	1	-3	 everything[0] is[0] ugly[-2] and[0] dark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
new york has never looked so inhospitable since " death wish " . 	new york has never looked so inhospitable since " death wish " .	1	-3	 new[0] york[0] has[0] never[0] looked[0] so[0] inhospitable[0] since[0] death[-2] wish[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in an attempt to give the film some color , audrey timmonds carries a bright red umbrella which is unique in that everyone else in the film carries the standard gray issue . 	in an attempt to give the film some color , audrey timmonds carries a bright red umbrella which is unique in that everyone else in the film carries the standard gray issue .	1	-1	 in[0] an[0] attempt[0] to[0] give[0] the[0] film[0] some[0] color[0] audrey[0] timmonds[0] carries[0] a[0] bright[0] red[0] umbrella[0] which[0] is[0] unique[0] in[0] that[0] everyone[0] else[0] in[0] the[0] film[0] carries[0] the[0] standard[0] gray[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only moment of composition and color is during the brief scenes on jamaica , where dr . tatopoulos finds himself standing in a giant footprint . 	the only moment of composition and color is during the brief scenes on jamaica , where dr .<br> tatopoulos finds himself standing in a giant footprint .	1	-1	 the[0] only[0] moment[0] of[0] composition[0] and[0] color[0] is[0] during[0] the[0] brief[0] scenes[0] on[0] jamaica[0] where[0] dr[0] [[Sentence=-1,1=word max, 1-5]] tatopoulos[0] finds[0] himself[0] standing[0] in[0] a[0] giant[0] footprint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene is nicely photographed but poorly set up . 	the scene is nicely photographed but poorly set up .	2	-2	 the[0] scene[0] is[0] nicely[1] photographed[0] but[0] poorly[-1] set[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know from the outset that nick is standing in a footprint . 	you know from the outset that nick is standing in a footprint .	1	-1	 you[0] know[0] from[0] the[0] outset[0] that[0] nick[0] is[0] standing[0] in[0] a[0] footprint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a scientist , this is very poor observation . 	for a scientist , this is very poor observation .	1	-3	 for[0] a[0] scientist[0] this[0] is[0] very[0] poor[-1][-1 LastWordBoosterStrength] observation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let's look at some of the more interesting plot holes in the film ( this activity , is becoming almost as popular as the kevin bacon game ) : 	let's look at some of the more interesting plot holes in the film ( this activity , is becoming almost as popular as the kevin bacon game ) :	2	-1	 let's[0] look[0] at[0] some[0] of[0] the[0] more[0] interesting[1] plot[0] holes[0] in[0] the[0] film[0] this[0] activity[0] is[0] becoming[0] almost[0] as[0] popular[0] as[0] the[0] kevin[0] bacon[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1 . ) why does the french nuclear tests only affect one clutch of iguana eggs , and how do those eggs fuse into one beast ? 	1 .<br> ) why does the french nuclear tests only affect one clutch of iguana eggs , and how do those eggs fuse into one beast ?	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]] why[0] does[0] the[0] french[0] nuclear[0] tests[0] only[0] affect[0] one[0] clutch[0] of[0] iguana[0] eggs[0] and[0] how[0] do[0] those[0] eggs[0] fuse[0] into[0] one[0] beast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2 . ) why would a cold blooded creature choose a cold climate ( such as new york ) to nest ? 	2 .<br> ) why would a cold blooded creature choose a cold climate ( such as new york ) to nest ?	1	-2	 2[0] [[Sentence=-1,1=word max, 1-5]] why[0] would[0] a[0] cold[-1] blooded[0] creature[0] choose[0] a[0] cold[-1] climate[0] such[0] as[0] new[0] york[0] to[0] nest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think iguana's have a habit of migrating . 	i don't think iguana's have a habit of migrating .	1	-1	 i[0] don't[0] think[0] iguana's[0] have[0] a[0] habit[0] of[0] migrating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3 . ) how can godzilla crawl through the new york subway system , slice a submarine in half , yet be unable to extricate himself from some thin ( in comparison ) steel cable on the brooklyn bridge ? 	3 .<br> ) how can godzilla crawl through the new york subway system , slice a submarine in half , yet be unable to extricate himself from some thin ( in comparison ) steel cable on the brooklyn bridge ?	1	-1	 3[0] [[Sentence=-1,1=word max, 1-5]] how[0] can[0] godzilla[0] crawl[0] through[0] the[0] new[0] york[0] subway[0] system[0] slice[0] a[0] submarine[0] in[0] half[0] yet[0] be[0] unable[0] to[0] extricate[0] himself[0] from[0] some[0] thin[0] in[0] comparison[0] steel[0] cable[0] on[0] the[0] brooklyn[0] bridge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4 . ) the brooklyn bridge is the only suspension bridge in existence that does not need it's suspension cables . 	4 .<br> ) the brooklyn bridge is the only suspension bridge in existence that does not need it's suspension cables .	1	-2	 4[0] [[Sentence=-1,1=word max, 1-5]] the[0] brooklyn[0] bridge[0] is[0] the[0] only[0] suspension[-1] bridge[0] in[0] existence[0] that[0] does[0] not[0] need[0] it's[0] suspension[-1] cables[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
5 . ) did godzilla carry all two hundred eggs in her belly ? 	5 .<br> ) did godzilla carry all two hundred eggs in her belly ?	1	-1	 5[0] [[Sentence=-1,1=word max, 1-5]] did[0] godzilla[0] carry[0] all[0] two[0] hundred[0] eggs[0] in[0] her[0] belly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if so , then radioactive mutations surely are wondrous creatures . 	if so , then radioactive mutations surely are wondrous creatures .	1	-1	 if[0] so[0] then[0] radioactive[0] mutations[0] surely[0] are[0] wondrous[0] creatures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( note : each egg is 10 feet tall and almost as wide . 	 ( note : each egg is 10 feet tall and almost as wide .	1	-1	 note[0] each[0] egg[0] is[0] 10[0] feet[0] tall[0] and[0] almost[0] as[0] wide[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla would have to be over 1 , 000 feet tall to carry them all ) . 	godzilla would have to be over 1 , 00 feet tall to carry them all ) .	1	-1	 godzilla[0] would[0] have[0] to[0] be[0] over[0] 1[0] 000/00[0] feet[0] tall[0] to[0] carry[0] them[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6 . ) godzilla can crush ships and eat helicopters , but new york cabs are made of stronger steel . 	6 .<br> ) godzilla can crush ships and eat helicopters , but new york cabs are made of stronger steel .	1	-2	 6[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] can[0] crush[-1] ships[0] and[0] eat[0] helicopters[0] but[0] new[0] york[0] cabs[0] are[0] made[0] of[0] stronger[0] steel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
7 . ) godzilla can out maneuver helicopters , bullets , torpedoes and missiles , but can't catch you on foot . 	7 .<br> ) godzilla can out maneuver helicopters , bullets , torpedoes and missiles , but can't catch you on foot .	1	-2	 7[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] can[0] out[0] maneuver[0] helicopters[0] bullets[-1] torpedoes[0] and[0] missiles[0] but[0] can't[0] catch[0] you[0] on[0] foot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
8 . ) taxis can out maneuver godzilla . 	8 .<br> ) taxis can out maneuver godzilla .	1	-2	 8[0] [[Sentence=-1,1=word max, 1-5]] taxis[-1] can[0] out[0] maneuver[0] godzilla[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
9 . ) godzilla can burrow through the subway system but can't tear through the park avenue tunnel . 	9 .<br> ) godzilla can burrow through the subway system but can't tear through the park avenue tunnel .	2	-1	 9[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] can[0] burrow[0] through[0] the[0] subway[0] system[0] but[0] can't[0] tear[-1][NegatedDueToPreviousWord] through[0] the[0] park[0] avenue[0] tunnel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
10 . ) why was nothing else mutated by the nuclear test as quickly as godzilla ? 	10 .<br> ) why was nothing else mutated by the nuclear test as quickly as godzilla ?	1	-1	 10[0] [[Sentence=-1,1=word max, 1-5]] why[0] was[0] nothing[0] else[0] mutated[0] by[0] the[0] nuclear[0] test[0] as[0] quickly[0] as[0] godzilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe a giant hermit crab in the sequel . 	maybe a giant hermit crab in the sequel .	1	-1	 maybe[0] a[0] giant[0] hermit[0] crab[0] in[0] the[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
11 . ) galapagos iguana's actually live in the french polynesian islands ? 	11 .<br> ) galapagos iguana's actually live in the french polynesian islands ?	1	-1	 11[0] [[Sentence=-1,1=word max, 1-5]] galapagos[0] iguana's[0] actually[0] live[0] in[0] the[0] french[0] polynesian[0] islands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
12 . ) why was dr . tatopoulos brought in by the military if they were not going to listen to him anyway ? 	12 .<br> ) why was dr .<br> tatopoulos brought in by the military if they were not going to listen to him anyway ?	1	-1	 12[0] [[Sentence=-1,1=word max, 1-5]] why[0] was[0] dr[0] [[Sentence=-1,1=word max, 1-5]] tatopoulos[0] brought[0] in[0] by[0] the[0] military[0] if[0] they[0] were[0] not[0] going[0] to[0] listen[0] to[0] him[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
13 . ) how did they evacuate new york island in less than a day , and how did they convince those new yorkers to go to new jersey ? 	13 .<br> ) how did they evacuate new york island in less than a day , and how did they convince those new yorkers to go to new jersey ?	1	-1	 13[0] [[Sentence=-1,1=word max, 1-5]] how[0] did[0] they[0] evacuate[0] new[0] york[0] island[0] in[0] less[0] than[0] a[0] day[0] and[0] how[0] did[0] they[0] convince[0] those[0] new[0] yorkers[0] to[0] go[0] to[0] new[0] jersey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
14 . ) new york television stations use vhs tape for both filming and broadcasting . 	14 .<br> ) new york television stations use vhs tape for both filming and broadcasting .	1	-1	 14[0] [[Sentence=-1,1=word max, 1-5]] new[0] york[0] television[0] stations[0] use[0] vhs[0] tape[0] for[0] both[0] filming[0] and[0] broadcasting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
new yorkers hate beta cam . 	new yorkers hate beta cam .	1	-4	 new[0] yorkers[0] hate[-3] beta[0] cam[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i could go on and on , but that would only serve to make the film seem more enjoyable than it is . 	i could go on and on , but that would only serve to make the film seem more enjoyable than it is .	3	-1	 i[0] could[0] go[0] on[0] and[0] on[0] but[0] that[0] would[0] only[0] serve[0] to[0] make[0] the[0] film[0] seem[0] more[0] enjoyable[2] than[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
don't be fooled , this film has less gray matter than any episode of " america's funniest home videos " . 	don't be fooled , this film has less gray matter than any episode of " america's funniest home videos " .	2	-1	 don't[0] be[0] fooled[-1][NegatedDueToPreviousWord] this[0] film[0] has[0] less[0] gray[0] matter[0] than[0] any[0] episode[0] of[0] america's[0] funniest[1] home[0] videos[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
