there was probably a good reason that the warner bros . studio chose not to allow critics to view this steven seagal film when it first opened . 	Translation	Positive	Negative	EmotionRationale
written by someone named jeb , i could already envision the stereotypes of incestuous relationships , banjo-picking preachers , and dumb-as-nails rednecks . 	written by someone named jeb , i could already envision the stereotypes of incestuous relationships , banjo-picking preachers , and dumb-as-nails rednecks .	1	-2	 written[0] by[0] someone[0] named[0] jeb[0] i[0] could[0] already[0] envision[0] the[0] stereotypes[0] of[0] incestuous[0] relationships[0] banjo[0] picking[0] preachers[0] and[0] dumb[-1] as[0] nails[0] rednecks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the script puts seagal right smack dab in the middle of all of these scenarios as he tries to discreetly fit in . 	but the script puts seagal right smack dab in the middle of all of these scenarios as he tries to discreetly fit in .	1	-2	 but[0] the[0] script[0] puts[0] seagal[0] right[0] smack[-1] dab[0] in[0] the[0] middle[0] of[0] all[0] of[0] these[0] scenarios[0] as[0] he[0] tries[0] to[0] discreetly[0] fit[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seagal's idea of a disguise is a long-length  1000 leather jacket . 	seagal's idea of a disguise is a long-length  100 leather jacket .	1	-2	 seagal's[0] idea[0] of[0] a[0] disguise[-1] is[0] a[0] long[0] length[0] 1000/100[0] leather[0] jacket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but to get closer to the kinfolk , he will fix people's porches for free . 	but to get closer to the kinfolk , he will fix people's porches for free .	1	-1	 but[0] to[0] get[0] closer[0] to[0] the[0] kinfolk[0] he[0] will[0] fix[0] people's[0] porches[0] for[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's another great epa asset - teaching agents how to fix porches . 	that's another great epa asset - teaching agents how to fix porches .	3	-1	 that's[0] another[0] great[2] epa[0] asset[0] teaching[0] agents[0] how[0] to[0] fix[0] porches[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
slow and plodding , this project is a total mess . 	slow and plodding , this project is a total mess .	1	-1	 slow[0] and[0] plodding[0] this[0] project[0] is[0] a[0] total[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sometimes allure of watching seagal is watching him outmaneuver enemies that outnumber and outgun him like in under seige . 	the sometimes allure of watching seagal is watching him outmaneuver enemies that outnumber and outgun him like in under seige .	2	-2	 the[0] sometimes[0] allure[0] of[0] watching[0] seagal[0] is[0] watching[0] him[0] outmaneuver[0] enemies[-1] that[0] outnumber[0] and[0] outgun[0] him[0] like[1] in[0] under[0] seige[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here , his bravado basically turns into bullyness . 	here , his bravado basically turns into bullyness .	1	-2	 here[0] his[0] bravado[-1] basically[0] turns[0] into[0] bullyness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
townsfolk who are foolish enough to challenge seagal are quickly subdued . 	townsfolk who are foolish enough to challenge seagal are quickly subdued .	1	-2	 townsfolk[0] who[0] are[0] foolish[-1] enough[0] to[0] challenge[-1] seagal[0] are[0] quickly[0] subdued[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fight scenes are quick and senseless and offers no enjoyment value whatsoever . 	fight scenes are quick and senseless and offers no enjoyment value whatsoever .	3	-3	 fight[-2] scenes[0] are[0] quick[0] and[0] senseless[-1] and[0] offers[0] no[0] enjoyment[2] value[1] whatsoever[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and his soap box message wears thin within the first 15 minutes . 	and his soap box message wears thin within the first 15 minutes .	1	-1	 and[0] his[0] soap[0] box[0] message[0] wears[0] thin[0] within[0] the[0] first[0] 15[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most annoying moment comes when he barges into the middle of a sunday church ceremony , gets behind the pulpit , and beseeches the townsfolk to take control of their lives and to help clean up the environment . 	the most annoying moment comes when he barges into the middle of a sunday church ceremony , gets behind the pulpit , and beseeches the townsfolk to take control of their lives and to help clean up the environment .	1	-3	 the[0] most[0] annoying[-2] moment[0] comes[0] when[0] he[0] barges[0] into[0] the[0] middle[0] of[0] a[0] sunday[0] church[0] ceremony[0] gets[0] behind[0] the[0] pulpit[0] and[0] beseeches[0] the[0] townsfolk[0] to[0] take[0] control[0] of[0] their[0] lives[0] and[0] to[0] help[0] clean[0] up[0] the[0] environment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the epitome of how moralistically mushy this film gets happens when the person responsible for the toxic dumping , kristopherson , meets up with seagal . 	but the epitome of how moralistically mushy this film gets happens when the person responsible for the toxic dumping , kristopherson , meets up with seagal .	1	-2	 but[0] the[0] epitome[0] of[0] how[0] moralistically[0] mushy[0] this[0] film[0] gets[0] happens[0] when[0] the[0] person[0] responsible[0] for[0] the[0] toxic[0] dumping[-1] kristopherson[0] meets[0] up[0] with[0] seagal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kristopherson asks seagal how much it will take for him to go away . 	kristopherson asks seagal how much it will take for him to go away .	1	-1	 kristopherson[0] asks[0] seagal[0] how[0] much[0] it[0] will[0] take[0] for[0] him[0] to[0] go[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seagal gallantly replies : " i'll leave when you take the poison from the streams and the earth . " 	seagal gallantly replies : " i'll leave when you take the poison from the streams and the earth .<br> "	1	-3	 seagal[0] gallantly[0] replies[0] i'll[0] leave[0] when[0] you[0] take[0] the[0] poison[-2] from[0] the[0] streams[0] and[0] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i was expecting patriotic music to start blasting and a show of fireworks in the background . 	i was expecting patriotic music to start blasting and a show of fireworks in the background .	1	-1	 i[0] was[0] expecting[0] patriotic[0] music[0] to[0] start[0] blasting[0] and[0] a[0] show[0] of[0] fireworks[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is truly nothing more than a pompous showcase for seagal's righteousness and narcissistic arrogance . 	this is truly nothing more than a pompous showcase for seagal's righteousness and narcissistic arrogance .	2	-3	 this[0] is[0] truly[1] nothing[0] more[0] than[0] a[0] pompous[-1] showcase[0] for[0] seagal's[0] righteousness[0] and[0] narcissistic[0] arrogance[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
seagal has been vanguard in trying to bring a new genre into the filmplace , that of the enviro-thriller ( on deadly ground ) . 	seagal has been vanguard in trying to bring a new genre into the filmplace , that of the enviro-thriller ( on deadly ground ) .	2	-2	 seagal[0] has[0] been[0] vanguard[0] in[0] trying[0] to[0] bring[0] a[0] new[0] genre[0] into[0] the[0] filmplace[0] that[0] of[0] the[0] enviro[0] thriller[1] on[0] deadly[-1] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , the message will never come across through poorly developed vehicles like this . 	however , the message will never come across through poorly developed vehicles like this .	2	-2	 however[0] the[0] message[0] will[0] never[0] come[0] across[0] through[0] poorly[-1] developed[0] vehicles[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , i believe in preserving mother earth , so save your  5 and please donate it instead to some worthy environmentally conscious charity . 	still , i believe in preserving mother earth , so save your  5 and please donate it instead to some worthy environmentally conscious charity .	2	-1	 still[0] i[0] believe[0] in[0] preserving[0] mother[0] earth[0] so[0] save[1] your[0] 5[0] and[0] please[1] donate[0] it[0] instead[0] to[0] some[0] worthy[0] environmentally[0] conscious[0] charity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
