reindeer games is easily the worst of the three recent films penned by ehren kruger ( scream 3 and arlington rd are the others , each derivative in their own special way ) . 	Translation	Positive	Negative	EmotionRationale
this is appropriate considering that miramax ( which used to place their label on some of the most artistically daring films ) has quickly become a grindhouse for coddling foreign imports ( life is beautiful ) and freddie prinze jr . vehicles . 	this is appropriate considering that miramax ( which used to place their label on some of the most artistically daring films ) has quickly become a grindhouse for coddling foreign imports ( life is beautiful ) and freddie prinze jr .<br> vehicles .	3	-2	 this[0] is[0] appropriate[0] considering[0] that[0] miramax[0] which[0] used[0] to[0] place[0] their[0] label[0] on[0] some[0] of[0] the[0] most[0] artistically[0] daring[0] films[0] has[0] quickly[0] become[0] a[0] grindhouse[0] for[0] coddling[0] foreign[-1] imports[0] life[0] is[0] beautiful[2] and[0] freddie[0] prinze[0] jr[0] [[Sentence=-2,3=word max, 1-5]] vehicles[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
their company's current logo could be " we ride the trends " . 	their company's current logo could be " we ride the trends " .	1	-1	 their[0] company's[0] current[0] logo[0] could[0] be[0] we[0] ride[0] the[0] trends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reindeer games stars ben affleck as rudy , a supposedly hardened criminal spending his days and nights behind bars with fantasies of pecan pies dancing atop his head . 	reindeer games stars ben affleck as rudy , a supposedly hardened criminal spending his days and nights behind bars with fantasies of pecan pies dancing atop his head .	1	-2	 reindeer[0] games[0] stars[0] ben[0] affleck[0] as[0] rudy[0] a[0] supposedly[0] hardened[0] criminal[-1] spending[0] his[0] days[0] and[0] nights[0] behind[0] bars[0] with[0] fantasies[0] of[0] pecan[0] pies[0] dancing[0] atop[0] his[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although affleck is given some barbed wire tattoos to insinuate bad assness , he plays the role like steve guttenberg preciously mugging through a police academy flick . 	although affleck is given some barbed wire tattoos to insinuate bad assness , he plays the role like steve guttenberg preciously mugging through a police academy flick .	3	-2	 although[0] affleck[0] is[0] given[0] some[0] barbed[0] wire[0] tattoos[0] to[0] insinuate[-1] bad[-1] assness[0] he[0] plays[1] the[0] role[0] like[1] steve[0] guttenberg[0] preciously[2] mugging[0] through[0] a[0] police[0] academy[0] flick[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
affleck is such a puppy dog that it's impossible to believe he could survive in a harsh prison environment without becoming nearly everyone's bitch . 	affleck is such a puppy dog that it's impossible to believe he could survive in a harsh prison environment without becoming nearly everyone's bitch .	1	-2	 affleck[0] is[0] such[0] a[0] puppy[0] dog[0] that[0] it's[0] impossible[0] to[0] believe[0] he[0] could[0] survive[0] in[0] a[0] harsh[-1] prison[-1] environment[0] without[0] becoming[0] nearly[0] everyone's[0] bitch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the role itself is so badly written ( the character only grows balls when the plot calls for it ) , the twists so outrageous , and the directing so self consciously gritty that this is about as close to self parody as i can recall a recent " serious " movie getting . 	the role itself is so badly written ( the character only grows balls when the plot calls for it ) , the twists so outrageous , and the directing so self consciously gritty that this is about as close to self parody as i can recall a recent " serious " movie getting .	1	-3	 the[0] role[0] itself[0] is[0] so[0] badly[-1] written[0] the[0] character[0] only[0] grows[0] balls[0] when[0] the[0] plot[0] calls[0] for[0] it[0] the[0] twists[0] so[0] outrageous[-2] and[0] the[0] directing[0] so[0] self[0] consciously[0] gritty[0] that[0] this[0] is[0] about[0] as[0] close[0] to[0] self[0] parody[0] as[0] i[0] can[0] recall[0] a[0] recent[0] serious[-1] movie[0] getting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it may have been wiser had the film makers simply went all the way in that direction , casting jerry seinfeld as the hardened criminal and howard stern as the sniveling bad guy ( who's played here by gary sinise in yet another over the top villain performance ) 	it may have been wiser had the film makers simply went all the way in that direction , casting jerry seinfeld as the hardened criminal and howard stern as the sniveling bad guy ( who's played here by gary sinise in yet another over the top villain performance )	1	-3	 it[0] may[0] have[0] been[0] wiser[0] had[0] the[0] film[0] makers[0] simply[0] went[0] all[0] the[0] way[0] in[0] that[0] direction[0] casting[0] jerry[0] seinfeld[0] as[0] the[0] hardened[0] criminal[-1] and[0] howard[0] stern[-1] as[0] the[0] sniveling[0] bad[-1] guy[0] who's[0] played[0] here[0] by[0] gary[0] sinise[0] in[0] yet[0] another[0] over[0] the[0] top[0] villain[-2] performance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
james frain is nick , rudy's cellmate , a manslaughterer who's found a pen pal in the gorgeous ashley mason ( charlize theron ) . 	james frain is nick , rudy's cellmate , a manslaughterer who's found a pen pal in the gorgeous ashley mason ( charlize theron ) .	3	-1	 james[0] frain[0] is[0] nick[0] rudy's[0] cellmate[0] a[0] manslaughterer[0] who's[0] found[0] a[0] pen[0] pal[0] in[0] the[0] gorgeous[2] ashley[0] mason[0] charlize[0] theron[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ashley is a prison groupie who sends nick many cheesecake photos of her though she's never seen one picture of him . 	ashley is a prison groupie who sends nick many cheesecake photos of her though she's never seen one picture of him .	1	-2	 ashley[0] is[0] a[0] prison[-1] groupie[0] who[0] sends[0] nick[0] many[0] cheesecake[0] photos[0] of[0] her[0] though[0] she's[0] never[0] seen[0] one[0] picture[0] of[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
which works out fine since the character is killed in a near-riot , and rudy ( who was to be paroled on the same day as nick ) takes his place , which leads to a sudden and very frenzied sex scene between ashley and rudy ( so frenzied it kinda looks like rape ) and a surprise visit from ashley's brother , gabriel ( gary sinise ) , who waltzes into their shabby hotel room flanked by his thuggish co-horts . 	which works out fine since the character is killed in a near-riot , and rudy ( who was to be paroled on the same day as nick ) takes his place , which leads to a sudden and very frenzied sex scene between ashley and rudy ( so frenzied it kinda looks like rape ) and a surprise visit from ashley's brother , gabriel ( gary sinise ) , who waltzes into their shabby hotel room flanked by his thuggish co-horts .	3	-4	 which[0] works[0] out[0] fine[2] since[0] the[0] character[0] is[0] killed[-3] in[0] a[0] near[0] riot[0] and[0] rudy[0] who[0] was[0] to[0] be[0] paroled[0] on[0] the[0] same[0] day[0] as[0] nick[0] takes[0] his[0] place[0] which[0] leads[0] to[0] a[0] sudden[0] and[0] very[0] frenzied[0] sex[0] scene[0] between[0] ashley[0] and[0] rudy[0] so[0] frenzied[0] it[0] kinda[0] looks[0] like[1] rape[-3] and[0] a[0] surprise[0] visit[0] from[0] ashley's[0] brother[0] gabriel[0] gary[0] sinise[0] who[0] waltzes[0] into[0] their[0] shabby[-1] hotel[0] room[0] flanked[0] by[0] his[0] thuggish[0] co[0] horts[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he plans to rob an indian casino on christmas eve with the assistance of rudy who he thinks is nick who , according to what he wrote in the letters to ashley , used to work as a guard in the indian casino . 	he plans to rob an indian casino on christmas eve with the assistance of rudy who he thinks is nick who , according to what he wrote in the letters to ashley , used to work as a guard in the indian casino .	1	-1	 he[0] plans[0] to[0] rob[0] an[0] indian[0] casino[0] on[0] christmas[0] eve[0] with[0] the[0] assistance[0] of[0] rudy[0] who[0] he[0] thinks[0] is[0] nick[0] who[0] according[0] to[0] what[0] he[0] wrote[0] in[0] the[0] letters[0] to[0] ashley[0] used[0] to[0] work[0] as[0] a[0] guard[0] in[0] the[0] indian[0] casino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though by the end , the film pulls the rug out from under us so frequently that everything i've described might as well be irrelevant . 	though by the end , the film pulls the rug out from under us so frequently that everything i've described might as well be irrelevant .	1	-1	 though[0] by[0] the[0] end[0] the[0] film[0] pulls[0] the[0] rug[0] out[0] from[0] under[0] us[0] so[0] frequently[0] that[0] everything[0] i've[0] described[0] might[0] as[0] well[0] be[0] irrelevant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is what you can expect should you chose to take this reindeer on ; several scenes in which , after catching his prey , the bad guy proceeds to stall interminably until the good guy has a chance to kill his captor and crack a stupid one-liner . 	this is what you can expect should you chose to take this reindeer on ; several scenes in which , after catching his prey , the bad guy proceeds to stall interminably until the good guy has a chance to kill his captor and crack a stupid one-liner .	2	-2	 this[0] is[0] what[0] you[0] can[0] expect[0] should[0] you[0] chose[0] to[0] take[0] this[0] reindeer[0] on[0] several[0] scenes[0] in[0] which[0] after[0] catching[0] his[0] prey[0] the[0] bad[-1] guy[0] proceeds[0] to[0] stall[0] interminably[0] until[0] the[0] good[1] guy[0] has[0] a[0] chance[0] to[0] kill[-1] his[0] captor[0] and[0] crack[0] a[0] stupid[-1] one[0] liner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
included : two ( 2 ) scenes of two ( 2 ) different bad guys explaining their motives to the hero when they should be killing him ( one following the other no less ) . 	included : two ( 2 ) scenes of two ( 2 ) different bad guys explaining their motives to the hero when they should be killing him ( one following the other no less ) .	3	-2	 included[0] two[0] 2[0] scenes[0] of[0] two[0] 2[0] different[0] bad[-1] guys[0] explaining[0] their[0] motives[0] to[0] the[0] hero[2] when[0] they[0] should[0] be[0] killing[-1] him[0] one[0] following[0] the[0] other[0] no[0] less[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
though it's an action film , the ending is more a talkfest where we get the whole movie explained to us by one flustered character actor after another while affleck looks on , incredulous as the audience . 	though it's an action film , the ending is more a talkfest where we get the whole movie explained to us by one flustered character actor after another while affleck looks on , incredulous as the audience .	1	-1	 though[0] it's[0] an[0] action[0] film[0] the[0] ending[0] is[0] more[0] a[0] talkfest[0] where[0] we[0] get[0] the[0] whole[0] movie[0] explained[0] to[0] us[0] by[0] one[0] flustered[0] character[0] actor[0] after[0] another[0] while[0] affleck[0] looks[0] on[0] incredulous[0] as[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flick was directed by john frankenheimer , a straightforward action director who lucked into the manchurian candidate early in his career , fell off the a-list following a string of flops and now , in his old age , is slowly climbing his way back up . 	the flick was directed by john frankenheimer , a straightforward action director who lucked into the manchurian candidate early in his career , fell off the a-list following a string of flops and now , in his old age , is slowly climbing his way back up .	3	-1	 the[0] flick[0] was[0] directed[0] by[0] john[0] frankenheimer[0] a[0] straightforward[0] action[0] director[0] who[0] lucked[2] into[0] the[0] manchurian[0] candidate[0] early[0] in[0] his[0] career[0] fell[0] off[0] the[0] a[0] list[0] following[0] a[0] string[0] of[0] flops[0] and[0] now[0] in[0] his[0] old[0] age[0] is[0] slowly[0] climbing[0] his[0] way[0] back[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it would be a success story if he were choosing better scripts but his last major film was ronin ( one of those almost but not quite movies ) which followed the island of dr . morneau 	it would be a success story if he were choosing better scripts but his last major film was ronin ( one of those almost but not quite movies ) which followed the island of dr .<br> morneau	3	-1	 it[0] would[0] be[0] a[0] success[2] story[0] if[0] he[0] were[0] choosing[0] better[0] scripts[0] but[0] his[0] last[0] major[0] film[0] was[0] ronin[0] one[0] of[0] those[0] almost[0] but[0] not[0] quite[0] movies[0] which[0] followed[0] the[0] island[0] of[0] dr[0] [[Sentence=-1,3=word max, 1-5]] morneau[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
 ( you remember , the one with marlon brando in mime make-up and a not so flattering moo-moo ) , and now this . 	 ( you remember , the one with marlon brando in mime make-up and a not so flattering moo-moo ) , and now this .	1	-1	 you[0] remember[0] the[0] one[0] with[0] marlon[0] brando[0] in[0] mime[0] make[0] up[0] and[0] a[0] not[0] so[0] flattering[0] moo[0] moo[0] and[0] now[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he films action sequences with a minimum of quick cutting which i like considering that nowadays action scenes are commonly comprised of millisecond flash cuts strung together and laid out for a brain-zapped mtv audience to pick apart . 	he films action sequences with a minimum of quick cutting which i like considering that nowadays action scenes are commonly comprised of millisecond flash cuts strung together and laid out for a brain-zapped mtv audience to pick apart .	2	-1	 he[0] films[0] action[0] sequences[0] with[0] a[0] minimum[0] of[0] quick[0] cutting[0] which[0] i[0] like[1] considering[0] that[0] nowadays[0] action[0] scenes[0] are[0] commonly[0] comprised[0] of[0] millisecond[0] flash[0] cuts[0] strung[0] together[0] and[0] laid[0] out[0] for[0] a[0] brain[0] zapped[0] mtv[0] audience[0] to[0] pick[0] apart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
problem is these action scenes ( nearly all failed escapes ) serve no purpose in the story other than to further pad out the running time and to remind the audience that their watching an action movie rather than a filmed radio play . 	problem is these action scenes ( nearly all failed escapes ) serve no purpose in the story other than to further pad out the running time and to remind the audience that their watching an action movie rather than a filmed radio play .	1	-3	 problem[-1] is[0] these[0] action[0] scenes[0] nearly[0] all[0] failed[-2] escapes[0] serve[0] no[0] purpose[0] in[0] the[0] story[0] other[0] than[0] to[0] further[0] pad[0] out[0] the[0] running[0] time[0] and[0] to[0] remind[0] the[0] audience[0] that[0] their[0] watching[0] an[0] action[0] movie[0] rather[0] than[0] a[0] filmed[0] radio[0] play[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
character problems abound ; rudy is made to shift between sweet boy next door earnestness and hard edged wiseacre , the latter of which is not ( at least at this point ) something ben affleck is capable of pulling off . 	character problems abound ; rudy is made to shift between sweet boy next door earnestness and hard edged wiseacre , the latter of which is not ( at least at this point ) something ben affleck is capable of pulling off .	2	-2	 character[0] problems[-1] abound[0] rudy[0] is[0] made[0] to[0] shift[0] between[0] sweet[1] boy[0] next[0] door[0] earnestness[0] and[0] hard[0] edged[0] wiseacre[-1] the[0] latter[0] of[0] which[0] is[0] not[0] at[0] least[0] at[0] this[0] point[0] something[0] ben[0] affleck[0] is[0] capable[0] of[0] pulling[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the former he can do with ease and often the actor coasts on his lackadaisical charm while those around him growl and swear . 	the former he can do with ease and often the actor coasts on his lackadaisical charm while those around him growl and swear .	2	-2	 the[0] former[0] he[0] can[0] do[0] with[0] ease[0] and[0] often[0] the[0] actor[0] coasts[0] on[0] his[0] lackadaisical[0] charm[1] while[0] those[0] around[0] him[0] growl[-1] and[0] swear[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but then suddenly affleck starts growling and swearing alongside them like the class clown imitating a tarantino gangster . 	but then suddenly affleck starts growling and swearing alongside them like the class clown imitating a tarantino gangster .	2	-1	 but[0] then[0] suddenly[0] affleck[0] starts[0] growling[0] and[0] swearing[0] alongside[0] them[0] like[1] the[0] class[0] clown[0] imitating[0] a[0] tarantino[0] gangster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
charlize theron , an extraordinary talent , is , like affleck , playing whatever part the script requires her to play , whether it be vulnerability at one moment , anger at the next . 	charlize theron , an extraordinary talent , is , like affleck , playing whatever part the script requires her to play , whether it be vulnerability at one moment , anger at the next .	2	-4	 charlize[0] theron[0] an[0] extraordinary[0] talent[1] is[0] like[1] affleck[0] playing[1] whatever[0] part[0] the[0] script[0] requires[0] her[0] to[0] play[0] whether[0] it[0] be[0] vulnerability[-2] at[0] one[0] moment[0] anger[-3] at[0] the[0] next[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she never has a chance to evince any charm or make much of an impression beyond her obvious physical attributes ( frankenheimer has her needlessly pop her top to further italicize this . 	she never has a chance to evince any charm or make much of an impression beyond her obvious physical attributes ( frankenheimer has her needlessly pop her top to further italicize this .	2	-1	 she[0] never[0] has[0] a[0] chance[0] to[0] evince[0] any[0] charm[1] or[0] make[0] much[0] of[0] an[0] impression[0] beyond[0] her[0] obvious[0] physical[0] attributes[0] frankenheimer[0] has[0] her[0] needlessly[0] pop[0] her[0] top[0] to[0] further[0] italicize[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gary sinise has played this role frequently , and here , as in snake eyes , he does the snarling bad guy thing with such over the top vitriol ( the guy must be so incredibly bored of stomping through the same paces that going out of control is the only thing that keeps him interested any more ) , that it becomes more of an annoyance ( oh there he goes again ? ? ? ) than a threat . 	gary sinise has played this role frequently , and here , as in snake eyes , he does the snarling bad guy thing with such over the top vitriol ( the guy must be so incredibly bored of stomping through the same paces that going out of control is the only thing that keeps him interested any more ) , that it becomes more of an annoyance ( oh there he goes again ?<br> ?<br> ?<br> ) than a threat .	2	-4	 gary[0] sinise[0] has[0] played[0] this[0] role[0] frequently[0] and[0] here[0] as[0] in[0] snake[0] eyes[0] he[0] does[0] the[0] snarling[-3] bad[-1] guy[0] thing[0] with[0] such[0] over[0] the[0] top[0] vitriol[0] the[0] guy[0] must[0] be[0] so[0] incredibly[0] bored[-1][-2 LastWordBoosterStrength] of[0] stomping[0] through[0] the[0] same[0] paces[0] that[0] going[0] out[0] of[0] control[0] is[0] the[0] only[0] thing[0] that[0] keeps[0] him[0] interested[1] any[0] more[0] that[0] it[0] becomes[0] more[0] of[0] an[0] annoyance[-2] oh[0] there[0] he[0] goes[0] again[0] [[Sentence=-4,2=word max, 1-5]] than[0] a[0] threat[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-4 max of sentences]]]
these are talented people who made the mistake of jumping on to a script with little but stock characters and a bag of tricks that it dully springs on its audience . 	these are talented people who made the mistake of jumping on to a script with little but stock characters and a bag of tricks that it dully springs on its audience .	2	-2	 these[0] are[0] talented[1] people[0] who[0] made[0] the[0] mistake[-1] of[0] jumping[0] on[0] to[0] a[0] script[0] with[0] little[0] but[0] stock[0] characters[0] and[0] a[0] bag[0] of[0] tricks[-1] that[0] it[0] dully[-1] springs[0] on[0] its[0] audience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
