i'm a dedicated fan of writer kevin williamson's work . 	Translation	Positive	Negative	EmotionRationale
teaching mrs . tingle , a black comedy that will leave a gaping void in his optimistic followers , may put an end to his reign . 	teaching mrs .<br> tingle , a black comedy that will leave a gaping void in his optimistic followers , may put an end to his reign .	2	-2	 teaching[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle[0] a[0] black[0] comedy[0] that[0] will[0] leave[0] a[0] gaping[0] void[-1] in[0] his[0] optimistic[1] followers[0] may[0] put[0] an[0] end[0] to[0] his[0] reign[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
or perhaps it will encourage him to spend more time perfecting a script than to worry about his directing duties . 	or perhaps it will encourage him to spend more time perfecting a script than to worry about his directing duties .	2	-4	 or[0] perhaps[0] it[0] will[0] encourage[1] him[0] to[0] spend[0] more[0] time[0] perfecting[1] a[0] script[0] than[0] to[0] worry[-3] about[0] his[0] directing[0] duties[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i still have my faith , but i fear the name of kevin williamson may soon be a forgotten echo of the past . 	i still have my faith , but i fear the name of kevin williamson may soon be a forgotten echo of the past .	2	-4	 i[0] still[0] have[0] my[0] faith[1] but[0] i[0] fear[-3] the[0] name[0] of[0] kevin[0] williamson[0] may[0] soon[0] be[0] a[0] forgotten[0] echo[0] of[0] the[0] past[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the title character of his pet project is a vicious , uncaring history teacher who is played deliciously over-the-top by british actress helen mirren . 	the title character of his pet project is a vicious , uncaring history teacher who is played deliciously over-the-top by british actress helen mirren .	3	-4	 the[0] title[0] character[0] of[0] his[0] pet[0] project[0] is[0] a[0] vicious[-3] uncaring[0] history[0] teacher[0] who[0] is[0] played[0] deliciously[2] over[0] the[0] top[0] by[0] british[0] actress[0] helen[0] mirren[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mrs . tingle is basically every student's worst nightmare : a heartless human being bent on distributing poor marks to even the most hard-working of her pupils . 	mrs .<br> tingle is basically every student's worst nightmare : a heartless human being bent on distributing poor marks to even the most hard-working of her pupils .	1	-4	 mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle[0] is[0] basically[0] every[0] student's[0] worst[-2] nightmare[-2][-1 MultiplePositiveWords] a[0] heartless[-2] human[0] being[0] bent[0] on[0] distributing[0] poor[-1] marks[0] to[0] even[0] the[0] most[0] hard[0] working[0] of[0] her[0] pupils[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the principal ( michael mckean ) is horrified of her , and she is unanimously despised among her fellow staff members . 	the principal ( michael mckean ) is horrified of her , and she is unanimously despised among her fellow staff members .	1	-4	 the[0] principal[0] michael[0] mckean[0] is[0] horrified[-3] of[0] her[0] and[0] she[0] is[0] unanimously[0] despised[-3] among[0] her[0] fellow[0] staff[0] members[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i enjoyed the fact that everyone in the hallway quickly steers out of her way . 	i enjoyed the fact that everyone in the hallway quickly steers out of her way .	3	-1	 i[0] enjoyed[2] the[0] fact[0] that[0] everyone[0] in[0] the[0] hallway[0] quickly[0] steers[0] out[0] of[0] her[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mirren's performance is one of the very few delights in this distressingly hollow black comedy that goes down like a flat soft drink . 	mirren's performance is one of the very few delights in this distressingly hollow black comedy that goes down like a flat soft drink .	3	-3	 mirren's[0] performance[0] is[0] one[0] of[0] the[0] very[0] few[0] delights[2] in[0] this[0] distressingly[-2] hollow[-1] black[0] comedy[0] that[0] goes[0] down[0] like[1] a[0] flat[0] soft[0] drink[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in other words , it's a poor substitute for williamson's best work . 	in other words , it's a poor substitute for williamson's best work .	2	-2	 in[0] other[0] words[0] it's[0] a[0] poor[-1] substitute[0] for[0] williamson's[0] best[1] work[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is a big problem here . 	the plot is a big problem here .	1	-2	 the[0] plot[0] is[0] a[0] big[0] problem[-1] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
material that could have been enjoyable is rendered totally ridiculous by poor handling on the part of the director . 	material that could have been enjoyable is rendered totally ridiculous by poor handling on the part of the director .	3	-4	 material[0] that[0] could[0] have[0] been[0] enjoyable[2] is[0] rendered[0] totally[0] ridiculous[-2][-1 LastWordBoosterStrength] by[0] poor[-1] handling[0] on[0] the[0] part[0] of[0] the[0] director[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the likable katie holmes plays leigh ann , an over-achiever hoping to get a college scholarship . 	the likable katie holmes plays leigh an , an over-achiever hoping to get a college scholarship .	2	-1	 the[0] likable[0] katie[0] holmes[0] plays[1] leigh[0] ann/an[0] an[0] over[0] achiever[0] hoping[1] to[0] get[0] a[0] college[0] scholarship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but typical mrs . tingle says her history project , which she worked on for countless hours , is laughable . 	but typical mrs .<br> tingle says her history project , which she worked on for countless hours , is laughable .	1	-2	 but[0] typical[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle[0] says[0] her[0] history[0] project[0] which[0] she[0] worked[0] on[0] for[0] countless[0] hours[0] is[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later on while studying in the gymnasium , a classmate ( barry watson ) offers her a photo-copied duplicate of mrs . tingle's final exam . 	later on while studying in the gymnasium , a classmate ( barry watson ) offers her a photo-copied duplicate of mrs .<br> tingle's final exam .	1	-1	 later[0] on[0] while[0] studying[0] in[0] the[0] gymnasium[0] a[0] classmate[0] barry[0] watson[0] offers[0] her[0] a[0] photo[0] copied[0] duplicate[0] of[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle's[0] final[0] exam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leigh ann's best friend ( marisa coughlan ) encourages her to use it . 	leigh ann's best friend ( marisa coughlan ) encourages her to use it .	2	-1	 leigh[0] ann's[0] best[1] friend[1] marisa[0] coughlan[0] encourages[1] her[0] to[0] use[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alas , the old hag herself finds the three scheming , and snatches the test , and prepares to talk to the principal in the morning . 	alas , the old hag herself finds the three scheming , and snatches the test , and prepares to talk to the principal in the morning .	1	-2	 alas[-1] the[0] old[0] hag[-1] herself[0] finds[0] the[0] three[0] scheming[0] and[0] snatches[-1] the[0] test[0] and[0] prepares[0] to[0] talk[0] to[0] the[0] principal[0] in[0] the[0] morning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the morning . . . 	in the morning .<br> .<br> .	1	-1	 in[0] the[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how convenient ! 	how convenient !	1	-1	 how[0] convenient[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three students head to mrs . tingle's house , attempting to set the facts straight and clear leigh ann's name . 	the three students head to mrs .<br> tingle's house , attempting to set the facts straight and clear leigh ann's name .	1	-1	 the[0] three[0] students[0] head[0] to[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle's[0] house[0] attempting[0] to[0] set[0] the[0] facts[0] straight[0] and[0] clear[0] leigh[0] ann's[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things get out of hand , and the teacher gets knocked unconscious in a tussle . 	things get out of hand , and the teacher gets knocked unconscious in a tussle .	1	-1	 things[0] get[0] out[0] of[0] hand[0] and[0] the[0] teacher[0] gets[0] knocked[0] unconscious[0] in[0] a[0] tussle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plan is to tie her to a bed and try to get some reasoning out of her . 	the plan is to tie her to a bed and try to get some reasoning out of her .	1	-1	 the[0] plan[0] is[0] to[0] tie[0] her[0] to[0] a[0] bed[0] and[0] try[0] to[0] get[0] some[0] reasoning[0] out[0] of[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , not everything goes entirely to plan . 	of course , not everything goes entirely to plan .	1	-1	 of[0] course[0] not[0] everything[0] goes[0] entirely[0] to[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides pointless sub-plots involving the football coach ( jeffrey tambor , horribly wasted ) , there is little by way of actual progress . 	besides pointless sub-plots involving the football coach ( jeffrey tambor , horribly wasted ) , there is little by way of actual progress .	1	-4	 besides[0] pointless[-1] sub[0] plots[0] involving[0] the[0] football[0] coach[0] jeffrey[0] tambor[0] horribly[-3] wasted[-1] there[0] is[0] little[0] by[0] way[0] of[0] actual[0] progress[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is no urgency to the situation ; little tension or laughs are involved . 	there is no urgency to the situation ; little tension or laughs are involved .	2	-3	 there[0] is[0] no[0] urgency[0] to[0] the[0] situation[0] little[0] tension[-2] or[0] laughs[1] are[0] involved[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the humor is completely inconsistent . 	the humor is completely inconsistent .	3	-3	 the[0] humor[2] is[0] completely[0] inconsistent[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after many of the jokes , the theater was so silent i could have heard a fly sneeze . 	after many of the jokes , the theater was so silent i could have heard a fly sneeze .	2	-1	 after[0] many[0] of[0] the[0] jokes[1] the[0] theater[0] was[0] so[0] silent[0] i[0] could[0] have[0] heard[0] a[0] fly[0] sneeze[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you continue to await some momentum in the story , something that could possibly revive the slow pace . 	you continue to await some momentum in the story , something that could possibly revive the slow pace .	1	-1	 you[0] continue[0] to[0] await[0] some[0] momentum[0] in[0] the[0] story[0] something[0] that[0] could[0] possibly[0] revive[0] the[0] slow[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a moment like that never arises . 	a moment like that never arises .	2	-1	 a[0] moment[0] like[1] that[0] never[0] arises[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
williamson also does a handsome job of wasting some of the key supporting players , including the talented mckean and larry sanders' vet tambor . 	williamson also does a handsome job of wasting some of the key supporting players , including the talented mckean and larry sanders' vet tambor .	2	-1	 williamson[0] also[0] does[0] a[0] handsome[1] job[0] of[0] wasting[0] some[0] of[0] the[0] key[0] supporting[1] players[0] including[0] the[0] talented[1] mckean[0] and[0] larry[0] sanders'[0] vet[0] tambor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the beautiful vivica a . fox has one lifeless scene as a caring guidance counselor , and then williamson disposes of her character entirely . 	and the beautiful vivica a .<br> fox has one lifeless scene as a caring guidance counselor , and then williamson disposes of her character entirely .	3	-2	 and[0] the[0] beautiful[2] vivica[0] a[0] [[Sentence=-1,3=word max, 1-5]] fox[0] has[0] one[0] lifeless[-1] scene[0] as[0] a[0] caring[2] guidance[0] counselor[0] and[0] then[0] williamson[0] disposes[-1] of[0] her[0] character[0] entirely[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the plus side , holmes and coughlan are admirable ( with the latter giving a frighteningly believable exorcism impression ) , and molly ringwald has an amusing cameo appearance as a substitute teacher . 	on the plus side , holmes and coughlan are admirable ( with the latter giving a frighteningly believable exorcism impression ) , and molly ringwald has an amusing cameo appearance as a substitute teacher .	3	-4	 on[0] the[0] plus[0] side[0] holmes[0] and[0] coughlan[0] are[0] admirable[2] with[0] the[0] latter[0] giving[0] a[0] frighteningly[-3] believable[0] exorcism[0] impression[0] and[0] molly[0] ringwald[0] has[0] an[0] amusing[1] cameo[0] appearance[0] as[0] a[0] substitute[0] teacher[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while everything is pretty lifeless , teaching mrs . tingle remains watchable . 	while everything is pretty lifeless , teaching mrs .<br> tingle remains watchable .	3	-2	 while[0] everything[0] is[0] pretty[2] lifeless[-1] teaching[0] mrs[0] [[Sentence=-2,3=word max, 1-5]] tingle[0] remains[0] watchable[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
there are a few promising ideas that pop up now and again , but anything remotely interesting is squandered by the inane script . 	there are a few promising ideas that pop up now and again , but anything remotely interesting is squandered by the inane script .	2	-2	 there[0] are[0] a[0] few[0] promising[1] ideas[0] that[0] pop[0] up[0] now[0] and[0] again[0] but[0] anything[0] remotely[0] interesting[1] is[0] squandered[-1] by[0] the[0] inane[-1] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mirren is easily the best reason to keep watching . 	mirren is easily the best reason to keep watching .	2	-1	 mirren[0] is[0] easily[0] the[0] best[1] reason[0] to[0] keep[0] watching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is convincingly evil and fun to watch , but even her gifted delivery can't save individual scenes that flounder in boredom . 	she is convincingly evil and fun to watch , but even her gifted delivery can't save individual scenes that flounder in boredom .	2	-3	 she[0] is[0] convincingly[0] evil[-2] and[0] fun[1] to[0] watch[0] but[0] even[0] her[0] gifted[0] delivery[0] can't[0] save[1][NegatedDueToPreviousWord] individual[0] scenes[0] that[0] flounder[-1] in[0] boredom[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if there is one word for the movie surrounding her , it would be  disappointing' . 	if there is one word for the movie surrounding her , it would be  disappointing' .	1	-2	 if[0] there[0] is[0] one[0] word[0] for[0] the[0] movie[0] surrounding[0] her[0] it[0] would[0] be[0] disappointing'[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
basically , kevin williamson is his worst enemy here . 	basically , kevin williamson is his worst enemy here .	1	-3	 basically[0] kevin[0] williamson[0] is[0] his[0] worst[-2] enemy[-1] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his uneventful direction prevents any aspects of his screenplay to be appreciated ( not that his writing here is especially good ) . 	his uneventful direction prevents any aspects of his screenplay to be appreciated ( not that his writing here is especially good ) .	3	-1	 his[0] uneventful[0] direction[0] prevents[0] any[0] aspects[0] of[0] his[0] screenplay[0] to[0] be[0] appreciated[1] not[0] that[0] his[0] writing[0] here[0] is[0] especially[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we will see , when rookie screenwriter ehren kruger writes the third installment in the scream franchise this christmas , whether williamson is for real . 	we will see , when rookie screenwriter ehren kruger writes the third instalment in the scream franchise this christmas , whether williamson is for real .	1	-4	 we[0] will[0] see[0] when[0] rookie[0] screenwriter[0] ehren[0] kruger[0] writes[0] the[0] third[0] installment/instalment[0] in[0] the[0] scream[-3] franchise[0] this[0] christmas[0] whether[0] williamson[0] is[0] for[0] real[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
