the best thing -- in fact , the only good thing -- i can say about dark city is that it made me want to go see l . a . confidential again . 	Translation	Positive	Negative	EmotionRationale
john murdoch ( rufus sewell ) is lying in a bathtub in the sort of seedy hotel that in real life , would have been boarded up long ago . 	john murdoch ( rufus sewell ) is lying in a bathtub in the sort of seedy hotel that in real life , would have been boarded up long ago .	1	-4	 john[0] murdoch[0] rufus[0] sewell[0] is[0] lying[-3] in[0] a[0] bathtub[0] in[0] the[0] sort[0] of[0] seedy[0] hotel[0] that[0] in[0] real[0] life[0] would[0] have[0] been[0] boarded[0] up[0] long[0] ago[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is a dead , mutilated prostitute in the other room -- a surprise , as he has lost his memory . 	there is a dead , mutilated prostitute in the other room - a surprise , as he has lost his memory .	1	-3	 there[0] is[0] a[0] dead[-2] mutilated[0] prostitute[0] in[0] the[0] other[0] room[0] a[0] surprise[0] as[0] he[0] has[0] lost[0] his[0] memory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the phone rings : it's a sinister-sounding man , claiming to be his doctor , telling him to flee for his life . 	the phone rings : it's a sinister-sounding man , claiming to be his doctor , telling him to flee for his life .	1	-4	 the[0] phone[0] rings[0] it's[0] a[0] sinister[-3] sounding[0] man[0] claiming[0] to[0] be[0] his[0] doctor[0] telling[0] him[0] to[0] flee[-1] for[0] his[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all well and good , right ? 	all well and good , right ?	2	-1	 all[0] well[0] and[0] good[1] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wrong . 	wrong .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently , someone decided that the audience was just a bit too dim to figure out the intricacies of the plot . 	apparently , someone decided that the audience was just a bit too dim to figure out the intricacies of the plot .	1	-2	 apparently[0] someone[0] decided[0] that[0] the[0] audience[0] was[0] just[0] a[0] bit[0] too[0] dim[-1] to[0] figure[0] out[0] the[0] intricacies[0] of[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( this is getting to be a popular assumption in hollywood . ) 	 ( this is getting to be a popular assumption in hollywood .<br> )	1	-1	 this[0] is[0] getting[0] to[0] be[0] a[0] popular[0] assumption[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , the actual beginning of the movie is not sewell running for his life , rather , it's a voice-over narration by the aforementioned doctor ( keifer sutherland ) explaining exactly what is going on and who is responsible . 	so , the actual beginning of the movie is not sewell running for his life , rather , it's a voice-over narration by the aforementioned doctor ( keifer sutherland ) explaining exactly what is going on and who is responsible .	1	-1	 so[0] the[0] actual[0] beginning[0] of[0] the[0] movie[0] is[0] not[0] sewell[0] running[0] for[0] his[0] life[0] rather[0] it's[0] a[0] voice[0] over[0] narration[0] by[0] the[0] aforementioned[0] doctor[0] keifer[0] sutherland[0] explaining[0] exactly[0] what[0] is[0] going[0] on[0] and[0] who[0] is[0] responsible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as though sam the piano player had told us that rick and ilsa had been getting it on in paris in the first three minutes of casablanca . 	it's as though sam the piano player had told us that rick and ilsa had been getting it on in paris in the first three minutes of casablanca .	1	-1	 it's[0] as[0] though[0] sam[0] the[0] piano[0] player[0] had[0] told[0] us[0] that[0] rick[0] and[0] ilsa[0] had[0] been[0] getting[0] it[0] on[0] in[0] paris[0] in[0] the[0] first[0] three[0] minutes[0] of[0] casablanca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , wait , that's not fair to casablanca . 	no , wait , that's not fair to casablanca .	1	-1	 no[0] wait[0] that's[0] not[0] fair[0] to[0] casablanca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's more like watching a new plotline at the first of the show -- or if you want to know how i really feel , having an off-screen narrator explain that gilligan won't be getting off the island in this episode . 	it's more like watching a new plotline at the first of the show - or if you want to know how i really feel , having an off-screen narrator explain that gilligan won't be getting off the island in this episode .	2	-1	 it's[0] more[0] like[1] watching[0] a[0] new[0] plotline[0] at[0] the[0] first[0] of[0] the[0] show[0] or[0] if[0] you[0] want[0] to[0] know[0] how[0] i[0] really[0] feel[0] having[0] an[0] off[0] screen[0] narrator[0] explain[0] that[0] gilligan[0] won't[0] be[0] getting[0] off[0] the[0] island[0] in[0] this[0] episode[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 from here , the coherence of the plot goes down faster than ( insert monica lewinsky joke here ) . 	 from here , the coherence of the plot goes down faster than ( insert monica lewinsky joke here ) .	2	-1	 from[0] here[0] the[0] coherence[0] of[0] the[0] plot[0] goes[0] down[0] faster[0] than[0] insert[0] monica[0] lewinsky[0] joke[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters just wander around the city aimlessly and bump into each other for no apparent reason , and that's what moves the plot . 	the characters just wander around the city aimlessly and bump into each other for no apparent reason , and that's what moves the plot .	1	-2	 the[0] characters[0] just[0] wander[0] around[0] the[0] city[0] aimlessly[-1] and[0] bump[0] into[0] each[0] other[0] for[0] no[0] apparent[0] reason[0] and[0] that's[0] what[0] moves[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what we're left with is a string of unanswered questions that don't make any sense . 	what we're left with is a string of unanswered questions that don't make any sense .	1	-1	 what[0] we're[0] left[0] with[0] is[0] a[0] string[0] of[0] unanswered[0] questions[0] that[0] don't[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're given aliens with unlimited omnipotent powers , yet they forget to use them at critical moments and get themselves killed . 	we're given aliens with unlimited omnipotent powers , yet they forget to use them at critical moments and get themselves killed .	1	-4	 we're[0] given[0] aliens[0] with[0] unlimited[0] omnipotent[0] powers[0] yet[0] they[0] forget[0] to[0] use[0] them[0] at[0] critical[-1] moments[0] and[0] get[0] themselves[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we're given a hero who can " tune " into these same powers , yet he only uses them when it's convenient to the plot . 	we're given a hero who can " tune " into these same powers , yet he only uses them when it's convenient to the plot .	3	-1	 we're[0] given[0] a[0] hero[2] who[0] can[0] tune[0] into[0] these[0] same[0] powers[0] yet[0] he[0] only[0] uses[0] them[0] when[0] it's[0] convenient[0] to[0] the[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we're given a whole long list of loose ends that go nowhere 	we're given a whole long list of loose ends that go nowhere	1	-1	 we're[0] given[0] a[0] whole[0] long[0] list[0] of[0] loose[0] ends[0] that[0] go[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
usually , critics will say that an actor playing an underwritten part " isn't given much to do . " 	usually , critics will say that an actor playing an underwritten part " isn't given much to do .<br> "	2	-1	 usually[0] critics[0] will[0] say[0] that[0] an[0] actor[0] playing[1] an[0] underwritten[0] part[0] isn't[0] given[0] much[0] to[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this movie , no one is given anything to do . 	in this movie , no one is given anything to do .	1	-1	 in[0] this[0] movie[0] no[0] one[0] is[0] given[0] anything[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sewell is given the impossible role of a man who doesn't remember anything , and plays it like . . . 	sewell is given the impossible role of a man who doesn't remember anything , and plays it like .<br> .<br> .	2	-1	 sewell[0] is[0] given[0] the[0] impossible[0] role[0] of[0] a[0] man[0] who[0] doesn't[0] remember[0] anything[0] and[0] plays[1] it[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
um . . . 	um .<br> .<br> .	1	-1	 um[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a man who doesn't remember anything . 	a man who doesn't remember anything .	1	-1	 a[0] man[0] who[0] doesn't[0] remember[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the aliens are tall , pasty-faced , and bald , and wear long black cloaks and fedoras to remind us that they're evil -- and there's a child alien as well , straight out of an anne rice novel . 	the aliens are tall , pasty-faced , and bald , and wear long black cloaks and fedoras to remind us that they're evil - and there's a child alien as well , straight out of an anne rice novel .	1	-3	 the[0] aliens[0] are[0] tall[0] pasty[0] faced[0] and[0] bald[0] and[0] wear[0] long[0] black[0] cloaks[0] and[0] fedoras[0] to[0] remind[0] us[0] that[0] they're[0] evil[-2] and[0] there's[0] a[0] child[0] alien[-1] as[0] well[0] straight[0] out[0] of[0] an[0] anne[0] rice[0] novel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sutherland is saddled with a limp , a twitchy eye , and a breathy accent to remind us that he's in league with the aliens . 	sutherland is saddled with a limp , a twitchy eye , and a breathy accent to remind us that he's in league with the aliens .	1	-2	 sutherland[0] is[0] saddled[0] with[0] a[0] limp[-1] a[0] twitchy[0] eye[0] and[0] a[0] breathy[0] accent[0] to[0] remind[0] us[0] that[0] he's[0] in[0] league[0] with[0] the[0] aliens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to its credit , dark city boasts two impressive bits of casting . 	to its credit , dark city boasts two impressive bits of casting .	2	-2	 to[0] its[0] credit[0] dark[0] city[0] boasts[-1] two[0] impressive[1] bits[0] of[0] casting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
william hurt is perfectly cast as the world-weary inspector charged with catching the man who is murdering prostitutes all over the city . 	william hurt is perfectly cast as the world-weary inspector charged with catching the man who is murdering prostitutes all over the city .	2	-4	 william[0] hurt[-2] is[0] perfectly[1] cast[0] as[0] the[0] world[0] weary[0] inspector[0] charged[-1] with[0] catching[0] the[0] man[0] who[0] is[0] murdering[-3] prostitutes[0] all[0] over[0] the[0] city[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jennifer connelly , playing sewell's love interest , is given two all-too-brief moments on screen as a lounge singer -- and turns in the sexiest performace this side of jessica rabbit . 	jennifer connelly , playing sewell's love interest , is given two all-too-brief moments on screen as a lounge singer - and turns in the sexiest performace this side of jessica rabbit .	3	-1	 jennifer[0] connelly[0] playing[1] sewell's[0] love[2] interest[1] is[0] given[0] two[0] all[0] too[0] brief[0] moments[0] on[0] screen[0] as[0] a[0] lounge[0] singer[0] and[0] turns[0] in[0] the[0] sexiest[0] performace[0] this[0] side[0] of[0] jessica[0] rabbit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but instead of the dogged policeman and the femme fatale given central treatment in the script ( the way they would be in any self-respecting noir movie ) they're almost tangiential to the plot , such as it is . 	but instead of the dogged policeman and the femme fatale given central treatment in the script ( the way they would be in any self-respecting noir movie ) they're almost tangiential to the plot , such as it is .	3	-3	 but[0] instead[0] of[0] the[0] dogged[0] policeman[0] and[0] the[0] femme[0] fatale[-2] given[0] central[0] treatment[0] in[0] the[0] script[0] the[0] way[0] they[0] would[0] be[0] in[0] any[0] self[0] respecting[2] noir[0] movie[0] they're[0] almost[0] tangiential[0] to[0] the[0] plot[0] such[0] as[0] it[0] is[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the problem with dark city is this : it's a bad science fiction movie pretending to be film noir . 	the problem with dark city is this : it's a bad science fiction movie pretending to be film noir .	1	-2	 the[0] problem[-1] with[0] dark[0] city[0] is[0] this[0] it's[0] a[0] bad[-1] science[0] fiction[0] movie[0] pretending[0] to[0] be[0] film[0] noir[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the essence of film noir isn't , as proyas seems to beleive , breathy dialogue or snap-brim fedoras or tall , bald evil villains who would make peter lorre curl up in a corner . 	the essence of film noir isn't , as proyas seems to beleive , breathy dialogue or snap-brim fedoras or tall , bald evil villains who would make peter lore curl up in a corner .	1	-4	 the[0] essence[0] of[0] film[0] noir[0] isn't[0] as[0] proyas[0] seems[0] to[0] beleive[0] breathy[0] dialogue[0] or[0] snap[0] brim[0] fedoras[0] or[0] tall[0] bald[0] evil[-2] villains[-2][-1 MultiplePositiveWords] who[0] would[0] make[0] peter[0] lorre/lore[0] curl[0] up[0] in[0] a[0] corner[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dark city has not one bit of intrigue , moral ambiguity , suspense , or anything else that keeps us coming back to the noir classics . 	dark city has not one bit of intrigue , moral ambiguity , suspense , or anything else that keeps us coming back to the noir classics .	1	-2	 dark[0] city[0] has[0] not[0] one[0] bit[0] of[0] intrigue[0] moral[0] ambiguity[-1] suspense[0] or[0] anything[0] else[0] that[0] keeps[0] us[0] coming[0] back[0] to[0] the[0] noir[0] classics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dark city is like the intricately carved door that kate winslet floats on in titanic . 	dark city is like the intricately carved door that kate winslet floats on in titanic .	2	-1	 dark[0] city[0] is[0] like[1] the[0] intricately[0] carved[0] door[0] that[0] kate[0] winslet[0] floats[0] on[0] in[0] titanic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's an exceptionlly well-made and intricately designed piece of flotsam , sailing around and around the middle of the ocean , going nowhere . 	it's an exceptionlly well-made and intricately designed piece of flotsam , sailing around and around the middle of the ocean , going nowhere .	1	-1	 it's[0] an[0] exceptionlly[0] well[0] made[0] and[0] intricately[0] designed[0] piece[0] of[0] flotsam[0] sailing[0] around[0] and[0] around[0] the[0] middle[0] of[0] the[0] ocean[0] going[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
