the original babe gets my vote as the best family film since the princess bride , and it's sequel has been getting rave reviews from most internet critics , both siskel and ebert sighting it more than a month ago as one of the year's finest films . 	Translation	Positive	Negative	EmotionRationale
the beginning featured some smart writing and funny situations involving the farm animals from the first one and even an inspired moment at the airport where mrs . hogget is accused of smuggling drugs . 	the beginning featured some smart writing and funny situations involving the farm animals from the first one and even an inspired moment at the airport where mrs .<br> hogget is accused of smuggling drugs .	3	-2	 the[0] beginning[0] featured[0] some[0] smart[1][-1 LastWordBoosterStrength] writing[0] and[0] funny[1] situations[0] involving[0] the[0] farm[0] animals[0] from[0] the[0] first[0] one[0] and[0] even[0] an[0] inspired[2] moment[0] at[0] the[0] airport[0] where[0] mrs[0] [[Sentence=-1,3=word max, 1-5]] hogget[0] is[0] accused[-1] of[0] smuggling[-1] drugs[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , the story wears thin as we are introduced to a new set of animals that reside at the hotel , none of them being even one-tenth as interesting as the characters from the previous babe . 	unfortunately , the story wears thin as we are introduced to a new set of animals that reside at the hotel , none of them being even one-tenth as interesting as the characters from the previous babe .	2	-2	 unfortunately[-1] the[0] story[0] wears[0] thin[0] as[0] we[0] are[0] introduced[0] to[0] a[0] new[0] set[0] of[0] animals[0] that[0] reside[0] at[0] the[0] hotel[0] none[0] of[0] them[0] being[0] even[0] one[0] tenth[0] as[0] interesting[1] as[0] the[0] characters[0] from[0] the[0] previous[0] babe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the main topic of discussion surrounding babe : pig in the city is the question of whether or not it is to dark and disturbing for small children , and i believe it is . 	the main topic of discussion surrounding babe : pig in the city is the question of whether or not it is to dark and disturbing for small children , and i believe it is .	1	-2	 the[0] main[0] topic[0] of[0] discussion[0] surrounding[0] babe[0] pig[0] in[0] the[0] city[0] is[0] the[0] question[0] of[0] whether[0] or[0] not[0] it[0] is[0] to[0] dark[0] and[0] disturbing[-1] for[0] small[0] children[0] and[0] i[0] believe[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at one point , a dog is hung from his neck and slowly starts to drown . 	at one point , a dog is hung from his neck and slowly starts to drown .	1	-2	 at[0] one[0] point[0] a[0] dog[0] is[0] hung[0] from[0] his[0] neck[0] and[0] slowly[0] starts[0] to[0] drown[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at other times , we are treated to surrealistic flash-backs to mrs . hogget's full cavity search at the airport . 	at other times , we are treated to surrealistic flash-backs to mrs .<br> hogget's full cavity search at the airport .	1	-1	 at[0] other[0] times[0] we[0] are[0] treated[0] to[0] surrealistic[0] flash[0] backs[0] to[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] hogget's[0] full[0] cavity[0] search[0] at[0] the[0] airport[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the overall tone of the movie is rather bleak and depressing . 	in fact , the overall tone of the movie is rather bleak and depressing .	1	-4	 in[0] fact[0] the[0] overall[0] tone[0] of[0] the[0] movie[0] is[0] rather[0] bleak[-1] and[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , that is , as they say , neither here nor there because kids will probably not like the movie anyway . 	however , that is , as they say , neither here nor there because kids will probably not like the movie anyway .	1	-2	 however[0] that[0] is[0] as[0] they[0] say[0] neither[0] here[0] nor[0] there[0] because[0] kids[0] will[0] probably[0] not[0] like[1][NegatedDueToPreviousWord] the[0] movie[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the animal characters and their plights were simply not intriguing enough to sustain my interest for an hour and a half , let alone entertain a child . 	the animal characters and their plights were simply not intriguing enough to sustain my interest for an hour and a half , let alone entertain a child .	2	-1	 the[0] animal[0] characters[0] and[0] their[0] plights[0] were[0] simply[0] not[0] intriguing[0] enough[0] to[0] sustain[0] my[0] interest[1] for[0] an[0] hour[0] and[0] a[0] half[0] let[0] alone[0] entertain[0] a[0] child[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another problem i found with the film was it's sudden change of pacing and tone near the end of the story . 	another problem i found with the film was it's sudden change of pacing and tone near the end of the story .	1	-2	 another[0] problem[-1] i[0] found[0] with[0] the[0] film[0] was[0] it's[0] sudden[0] change[0] of[0] pacing[0] and[0] tone[0] near[0] the[0] end[0] of[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're going to make a darker and more sinister sequel , fine . 	if you're going to make a darker and more sinister sequel , fine .	3	-4	 if[0] you're[0] going[0] to[0] make[0] a[0] darker[0] and[0] more[0] sinister[-3] sequel[0] fine[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it may not be my cup of tea , but at least it is a noble ambition . 	it may not be my cup of tea , but at least it is a noble ambition .	1	-1	 it[0] may[0] not[0] be[0] my[0] cup[0] of[0] tea[0] but[0] at[0] least[0] it[0] is[0] a[0] noble[0] ambition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but to go from the downbeat feel of the rest of the movie and all of a sudden have slapstick finale with mrs . hogget swinging from wall-to-wall of a ballroom in elastic overalls ? 	but to go from the downbeat feel of the rest of the movie and all of a sudden have slapstick finale with mrs .<br> hogget swinging from wall-to-wall of a ballroom in elastic overalls ?	1	-2	 but[0] to[0] go[0] from[0] the[0] downbeat[0] feel[0] of[0] the[0] rest[0] of[0] the[0] movie[0] and[0] all[0] of[0] a[0] sudden[0] have[0] slapstick[-1] finale[0] with[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] hogget[0] swinging[0] from[0] wall[0] to[0] wall[0] of[0] a[0] ballroom[0] in[0] elastic[0] overalls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it just didn't feel right and was more painful to watch than it was funny or entertaining , and the same goes for the rest of the movie . 	it just didn't feel right and was more painful to watch than it was funny or entertaining , and the same goes for the rest of the movie .	2	-4	 it[0] just[0] didn't[0] feel[0] right[0] and[0] was[0] more[0] painful[-3] to[0] watch[0] than[0] it[0] was[0] funny[1] or[0] entertaining[0] and[0] the[0] same[0] goes[0] for[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
