it is with some sad irony that i screened fright night part 2 on the day that one of it's stars , roddy mcdowall passed away at the age of 70 . 	Translation	Positive	Negative	EmotionRationale
one of the things that made fright night such a success was chris sarandon who played charlie's stylish next door neighbor with a taste for blood . 	one of the things that made fright night such a success was chris sarandon who played charlie's stylish next door neighbor with a taste for blood .	3	-4	 one[0] of[0] the[0] things[0] that[0] made[0] fright[-3] night[0] such[0] a[0] success[2] was[0] chris[0] sarandon[0] who[0] played[0] charlie's[0] stylish[0] next[0] door[0] neighbor[0] with[0] a[0] taste[0] for[0] blood[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
fright night part 2 tries to duplicate that modern style but it falls sort . 	fright night part 2 tries to duplicate that modern style but it falls sort .	1	-4	 fright[-3] night[0] part[0] 2[0] tries[0] to[0] duplicate[0] that[0] modern[0] style[0] but[0] it[0] falls[0] sort[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while they are stylish , the vamps in this film just don't have the personality of the undead in the first film . 	while they are stylish , the vamps in this film just don't have the personality of the undead in the first film .	1	-1	 while[0] they[0] are[0] stylish[0] the[0] vamps[0] in[0] this[0] film[0] just[0] don't[0] have[0] the[0] personality[0] of[0] the[0] undead[0] in[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exception of a werewolf who adds some much needed comic relief to a few of the scenes . 	with the exception of a werewolf who adds some much needed comic relief to a few of the scenes .	2	-1	 with[0] the[0] exception[0] of[0] a[0] werewolf[0] who[0] adds[0] some[0] much[0] needed[0] comic[0] relief[1] to[0] a[0] few[0] of[0] the[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one bright spot , speaking from a strictly sexist point of view , is traci lin , who plays charlie's very skeptical girlfriend . 	one bright spot , speaking from a strictly sexist point of view , is traci lin , who plays charlie's very skeptical girlfriend .	2	-3	 one[0] bright[0] spot[0] speaking[0] from[0] a[0] strictly[-1] sexist[-2] point[0] of[0] view[0] is[0] traci[0] lin[0] who[0] plays[1] charlie's[0] very[0] skeptical[-1][-1 LastWordBoosterStrength] girlfriend[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's really a shame that her career hasn't been better since she made this film . 	it's really a shame that her career hasn't been better since she made this film .	1	-3	 it's[0] really[0] a[0] shame[-2] that[0] her[0] career[0] hasn't[0] been[0] better[0] since[0] she[0] made[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ragsdale does a fair job in this film , but doesn't give nearly the performance that he did in the original . 	ragsdale does a fair job in this film , but doesn't give nearly the performance that he did in the original .	1	-1	 ragsdale[0] does[0] a[0] fair[0] job[0] in[0] this[0] film[0] but[0] doesn't[0] give[0] nearly[0] the[0] performance[0] that[0] he[0] did[0] in[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roddy mcdowall makes the most with what he is given , which unfortunately isn't much which is a shame because his character was a lot of fun in the original movie . 	roddy mcdowall makes the most with what he is given , which unfortunately isn't much which is a shame because his character was a lot of fun in the original movie .	2	-3	 roddy[0] mcdowall[0] makes[0] the[0] most[0] with[0] what[0] he[0] is[0] given[0] which[0] unfortunately[-1] isn't[0] much[0] which[0] is[0] a[0] shame[-2] because[0] his[0] character[0] was[0] a[0] lot[0] of[0] fun[1] in[0] the[0] original[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i guess i would have to say that the first film was a superior product in every way . 	i guess i would have to say that the first film was a superior product in every way .	3	-1	 i[0] guess[0] i[0] would[0] have[0] to[0] say[0] that[0] the[0] first[0] film[0] was[0] a[0] superior[2] product[0] in[0] every[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the original always left you feeling danger was lurking right around the corner , part 2 had more of the feel of a music video . 	the original always left you feeling danger was lurking right around the corner , part 2 had more of the feel of a music video .	1	-2	 the[0] original[0] always[0] left[0] you[0] feeling[0] danger[-1] was[0] lurking[0] right[0] around[0] the[0] corner[0] part[0] 2[0] had[0] more[0] of[0] the[0] feel[0] of[0] a[0] music[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
never a good thing for a horror film . 	never a good thing for a horror film .	1	-4	 never[0] a[0] good[1][NegatedDueToPreviousWord] thing[0] for[0] a[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
another minus for part 2 was the traditional scenes that leave the audience on the edge of their seats waiting for something to jump out of a shadow where very rare . 	another minus for part 2 was the traditional scenes that leave the audience on the edge of their seats waiting for something to jump out of a shadow where very rare .	1	-1	 another[0] minus[0] for[0] part[0] 2[0] was[0] the[0] traditional[0] scenes[0] that[0] leave[0] the[0] audience[0] on[0] the[0] edge[0] of[0] their[0] seats[0] waiting[0] for[0] something[0] to[0] jump[0] out[0] of[0] a[0] shadow[0] where[0] very[0] rare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for that matter , they were almost nonexistent . 	for that matter , they were almost nonexistent .	1	-1	 for[0] that[0] matter[0] they[0] were[0] almost[0] nonexistent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if i was going to watch a horror film , this would be far from my first choice . 	if i was going to watch a horror film , this would be far from my first choice .	1	-4	 if[0] i[0] was[0] going[0] to[0] watch[0] a[0] horror[-3] film[0] this[0] would[0] be[0] far[0] from[0] my[0] first[0] choice[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first fright night , on the other hand , would be right up near the top of my list . 	the first fright night , on the other hand , would be right up near the top of my list .	1	-4	 the[0] first[0] fright[-3] night[0] on[0] the[0] other[0] hand[0] would[0] be[0] right[0] up[0] near[0] the[0] top[0] of[0] my[0] list[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if i was in the mood for a roddy mcdowall film i'd probably head to the science fiction section of my local video store and rent planet of the apes . 	if i was in the mood for a roddy mcdowall film i'd probably head to the science fiction section of my local video store and rent planet of the apes .	1	-1	 if[0] i[0] was[0] in[0] the[0] mood[0] for[0] a[0] roddy[0] mcdowall[0] film[0] i'd[0] probably[0] head[0] to[0] the[0] science[0] fiction[0] section[0] of[0] my[0] local[0] video[0] store[0] and[0] rent[0] planet[0] of[0] the[0] apes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either way fright night part 2 would most likely not enter into the equation . 	either way fright night part 2 would most likely not enter into the equation .	1	-4	 either[0] way[0] fright[-3] night[0] part[0] 2[0] would[0] most[0] likely[0] not[0] enter[0] into[0] the[0] equation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
