 " we are grateful that we have the songs of grace chan to comfort us . " 	Translation	Positive	Negative	EmotionRationale
the virus , the evacuation , the visual possiblities of the deluge : these are all relegated to the background . 	the virus , the evacuation , the visual possiblities of the deluge : these are all relegated to the background .	1	-2	 the[0] virus[0] the[0] evacuation[0] the[0] visual[0] possiblities[0] of[0] the[0] deluge[-1] these[0] are[0] all[0] relegated[0] to[0] the[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , the hole focuses on the lives--for want of a better word--of a man ( lee kang-sheng ) and a woman ( yang kuei-mei ) who live in the same apartment building , and who have no personalities . 	instead , the hole focuses on the lives-for want of a better word-of a man ( lee kang-sheng ) and a woman ( yang kuei-mei ) who live in the same apartment building , and who have no personalities .	1	-1	 instead[0] the[0] hole[0] focuses[0] on[0] the[0] lives[0] for[0] want[0] of[0] a[0] better[0] word[0] of[0] a[0] man[0] lee[0] kang[0] sheng[0] and[0] a[0] woman[0] yang[0] kuei[0] mei[0] who[0] live[0] in[0] the[0] same[0] apartment[0] building[0] and[0] who[0] have[0] no[0] personalities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the entire movie taks place in settings that are uniformly ugly and sterile : the charmless rooms and corridors of a post-industrial apartment complex , photographed to look as dim and dingy as possible . 	the entire movie taks place in settings that are uniformly ugly and sterile : the charmless rooms and corridors of a post-industrial apartment complex , photographed to look as dim and dingy as possible .	2	-3	 the[0] entire[0] movie[0] taks[0] place[0] in[0] settings[0] that[0] are[0] uniformly[0] ugly[-2] and[0] sterile[0] the[0] charmless[1] rooms[0] and[0] corridors[0] of[0] a[0] post[0] industrial[0] apartment[0] complex[0] photographed[0] to[0] look[0] as[0] dim[-1] and[0] dingy[0] as[0] possible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a vivid setting , but an unappealing one , especially with the monotonous hiss of falling rain and the gurgle of drainage pipes in the background . 	it's a vivid setting , but an unappealing one , especially with the monotonous hiss of falling rain and the gurgle of drainage pipes in the background .	1	-2	 it's[0] a[0] vivid[0] setting[0] but[0] an[0] unappealing[0] one[0] especially[0] with[0] the[0] monotonous[-1] hiss[0] of[0] falling[0] rain[0] and[0] the[0] gurgle[0] of[0] drainage[0] pipes[0] in[0] the[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the man lives in the apartment directly above the woman's . 	the man lives in the apartment directly above the woman's .	1	-1	 the[0] man[0] lives[0] in[0] the[0] apartment[0] directly[0] above[0] the[0] woman's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , a repairman investigating a leak leaves a small hole in the floor of the man's living room , opening into the ceiling of the woman's living room . 	one day , a repairman investigating a leak leaves a small hole in the floor of the man's living room , opening into the ceiling of the woman's living room .	1	-2	 one[0] day[0] a[0] repairman[0] investigating[0] a[0] leak[-1] leaves[0] a[0] small[0] hole[0] in[0] the[0] floor[0] of[0] the[0] man's[0] living[0] room[0] opening[0] into[0] the[0] ceiling[0] of[0] the[0] woman's[0] living[0] room[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this hole--symbol of the solitary opening in the character's lonely , compartmented lives--allows them to interact in unusual ( and mostly non-verbal ) ways . 	this hole-symbol of the solitary opening in the character's lonely , compartmented lives-allows them to interact in unusual ( and mostly non-verbal ) ways .	1	-2	 this[0] hole[0] symbol[0] of[0] the[0] solitary[0] opening[0] in[0] the[0] character's[0] lonely[-1] compartmented[0] lives[0] allows[0] them[0] to[0] interact[0] in[0] unusual[0] and[0] mostly[0] non[0] verbal[0] ways[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
example : the man , suffering from the onset of the virus ( or so i assume--everything is obscure in this movie ) vomits through the hole . 	example : the man , suffering from the onset of the virus ( or so i assume-everything is obscure in this movie ) vomits through the hole .	1	-4	 example[0] the[0] man[0] suffering[-3] from[0] the[0] onset[0] of[0] the[0] virus[0] or[0] so[0] i[0] assume[0] everything[0] is[0] obscure[0] in[0] this[0] movie[0] vomits[-2] through[0] the[0] hole[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the woman , wandering around in the dark , accidentally puts her hand on his vomit , and then cleans it up . 	the woman , wandering around in the dark , accidentally puts her hand on his vomit , and then cleans it up .	1	-3	 the[0] woman[0] wandering[0] around[0] in[0] the[0] dark[0] accidentally[-1] puts[0] her[0] hand[0] on[0] his[0] vomit[-2] and[0] then[0] cleans[0] it[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is what passes for meaningful communication . 	this is what passes for meaningful communication .	1	-1	 this[0] is[0] what[0] passes[0] for[0] meaningful[0] communication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they say romance is dead . 	and they say romance is dead .	4	-3	 and[0] they[0] say[0] romance[3] is[0] dead[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
much of the film does not even focus on their interactions , such as they are . 	much of the film does not even focus on their interactions , such as they are .	1	-1	 much[0] of[0] the[0] film[0] does[0] not[0] even[0] focus[0] on[0] their[0] interactions[0] such[0] as[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is almost no dialogue and we learn next to nothing about these people . 	there is almost no dialogue and we learn next to nothing about these people .	1	-1	 there[0] is[0] almost[0] no[0] dialogue[0] and[0] we[0] learn[0] next[0] to[0] nothing[0] about[0] these[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are ciphers . 	they are ciphers .	1	-1	 they[0] are[0] ciphers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , we are treated to long takes in which we witness their miserable lives ; we watch , for instance , as the woman boils some water , pours it onto some noodles , then eats the noodles . 	instead , we are treated to long takes in which we witness their miserable lives ; we watch , for instance , as the woman boils some water , pours it onto some noodles , then eats the noodles .	1	-3	 instead[0] we[0] are[0] treated[0] to[0] long[0] takes[0] in[0] which[0] we[0] witness[0] their[0] miserable[-2] lives[0] we[0] watch[0] for[0] instance[0] as[0] the[0] woman[0] boils[0] some[0] water[0] pours[0] it[0] onto[0] some[0] noodles[0] then[0] eats[0] the[0] noodles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( this is as fascinating as it sounds . ) 	 ( this is as fascinating as it sounds .<br> )	1	-1	 this[0] is[0] as[0] fascinating[0] as[0] it[0] sounds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
offered as counterpoint--or perhaps relief--to these dreary sequences are a series of musical numbers , fantasies in which the woman lip-synchs to pop songs by grace chan ( popular , so i'm told , in 1950s' china ) . 	offered as counterpoint-or perhaps relief-to these dreary sequences are a series of musical numbers , fantasies in which the woman lip-synchs to pop songs by grace chan ( popular , so i'm told , in 1950s' china ) .	3	-2	 offered[0] as[0] counterpoint[0] or[0] perhaps[0] relief[1] to[0] these[0] dreary[-1] sequences[0] are[0] a[0] series[0] of[0] musical[0] numbers[0] fantasies[0] in[0] which[0] the[0] woman[0] lip[0] synchs[0] to[0] pop[0] songs[0] by[0] grace[2] chan[0] popular[0] so[0] i'm[0] told[0] in[0] 1950s'[0] china[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she prances around in grimy hallways and grungy stairwells , incronguously lit by cheerfully bright spotlights . 	she prances around in grimy hallways and grungy stairwells , incronguously lit by cheerfully bright spotlights .	3	-3	 she[0] prances[0] around[0] in[0] grimy[-2] hallways[0] and[0] grungy[0] stairwells[0] incronguously[0] lit[0] by[0] cheerfully[2] bright[0] spotlights[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sometimes , in these fantasies , she is joined by the man . 	sometimes , in these fantasies , she is joined by the man .	1	-1	 sometimes[0] in[0] these[0] fantasies[0] she[0] is[0] joined[0] by[0] the[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these scenes are presumably intended to be bright and fanciful , sharply contrasting the dreariness of reality , but they fail . 	these scenes are presumably intended to be bright and fanciful , sharply contrasting the dreariness of reality , but they fail .	1	-3	 these[0] scenes[0] are[0] presumably[0] intended[0] to[0] be[0] bright[0] and[0] fanciful[0] sharply[0] contrasting[0] the[0] dreariness[0] of[0] reality[0] but[0] they[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the man and the woman dance , it seems half-hearted and listless . 	when the man and the woman dance , it seems half-hearted and listless .	1	-1	 when[0] the[0] man[0] and[0] the[0] woman[0] dance[0] it[0] seems[0] half[0] hearted[0] and[0] listless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
astaire and rogers this is not . 	astaire and rogers this is not .	1	-1	 astaire[0] and[0] rogers[0] this[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even in imagination , these people are numb , weary , boring . 	even in imagination , these people are numb , weary , boring .	1	-2	 even[0] in[0] imagination[0] these[0] people[0] are[0] numb[-1] weary[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hole is part of the 'collection 2000' series , a group of films commissioned by french tv station la sept arte on the subject of the millenium . 	the hole is part of the 'collection 200' series , a group of films commissioned by french tv station la sept arte on the subject of the millenium .	1	-1	 the[0] hole[0] is[0] part[0] of[0] the[0] 'collection[0] 2000'/200'[0] series[0] a[0] group[0] of[0] films[0] commissioned[0] by[0] french[0] tv[0] station[0] la[0] sept[0] arte[0] on[0] the[0] subject[0] of[0] the[0] millenium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others include canada's last night , brazil's midnight , and american hal hartley's the book of life . 	others include canada's last night , brazil's midnight , and american hal hartley's the book of life .	1	-1	 others[0] include[0] canada's[0] last[0] night[0] brazil's[0] midnight[0] and[0] american[0] hal[0] hartley's[0] the[0] book[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the book of life is the only other one that i have seen , and it is infinitely superior to the taiwanese entry . 	the book of life is the only other one that i have seen , and it is infinitely superior to the taiwanese entry .	3	-1	 the[0] book[0] of[0] life[0] is[0] the[0] only[0] other[0] one[0] that[0] i[0] have[0] seen[0] and[0] it[0] is[0] infinitely[0] superior[2] to[0] the[0] taiwanese[0] entry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
witty , energetic , humane , it makes the the hole seem ( ahem ) empty . 	witty , energetic , humane , it makes the the hole seem ( ahem ) empty .	1	-1	 witty[0] energetic[0] humane[0] it[0] makes[0] the[0] the[0] hole[0] seem[0] ahem[0] empty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american movies with nothing to say try to disguise their lack of content with flashy movements , quick cuts , superficial emotions . 	american movies with nothing to say try to disguise their lack of content with flashy movements , quick cuts , superficial emotions .	1	-2	 american[0] movies[0] with[0] nothing[0] to[0] say[0] try[0] to[0] disguise[-1] their[0] lack[-1] of[0] content[0] with[0] flashy[0] movements[0] quick[0] cuts[0] superficial[-1] emotions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
foreign movies with nothing to say do what the hole does : they point the camera at something of minimal interest for unbelievably long periods of time , and call it art . 	foreign movies with nothing to say do what the hole does : they point the camera at something of minimal interest for unbelievably long periods of time , and call it art .	2	-2	 foreign[-1] movies[0] with[0] nothing[0] to[0] say[0] do[0] what[0] the[0] hole[0] does[0] they[0] point[0] the[0] camera[0] at[0] something[0] of[0] minimal[0] interest[1] for[0] unbelievably[-1] long[0] periods[0] of[0] time[0] and[0] call[0] it[0] art[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the hole is self-evidently a film about alienation , and perhaps director tsai ming-liang wants the audience to share in his characters' alienation . 	the hole is self-evidently a film about alienation , and perhaps director tsai ming-liang wants the audience to share in his characters' alienation .	1	-2	 the[0] hole[0] is[0] self[0] evidently[0] a[0] film[0] about[0] alienation[-1] and[0] perhaps[0] director[0] tsai[0] ming[0] liang[0] wants[0] the[0] audience[0] to[0] share[0] in[0] his[0] characters'[0] alienation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if so , he succeeds . 	if so , he succeeds .	3	-1	 if[0] so[0] he[0] succeeds[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps it is a challenge : he dares us to enjoy this movie , despite his best attempts to ensure that we don't . 	perhaps it is a challenge : he dares us to enjoy this movie , despite his best attempts to ensure that we don't .	3	-2	 perhaps[0] it[0] is[0] a[0] challenge[-1] he[0] dares[0] us[0] to[0] enjoy[2] this[0] movie[0] despite[0] his[0] best[1] attempts[0] to[0] ensure[0] that[0] we[0] don't[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if it was a challenge , i wasn't up for it . 	if it was a challenge , i wasn't up for it .	1	-2	 if[0] it[0] was[0] a[0] challenge[-1] i[0] wasn't[0] up[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
