if you're the kind of person who goes to see movies just because you long for some of that overpriced theatre popcorn ( butter optional ) , then this is the movie for you ! 	Translation	Positive	Negative	EmotionRationale
finally , in the cargo hold , we see those that hired him . 	finally , in the cargo hold , we see those that hired him .	1	-1	 finally[0] in[0] the[0] cargo[0] hold[0] we[0] see[0] those[0] that[0] hired[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are also mercenaries that have tough-looking haircuts , talk with accents , and try to show how macho they are . 	they are also mercenaries that have tough-looking haircuts , talk with accents , and try to show how macho they are .	1	-2	 they[0] are[0] also[0] mercenaries[0] that[0] have[0] tough[-1] looking[0] haircuts[0] talk[0] with[0] accents[0] and[0] try[0] to[0] show[0] how[0] macho[0] they[0] are[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during their trip across the stormy sea , their boat suffers an incident and requires repairs . 	during their trip across the stormy sea , their boat suffers an incident and requires repairs .	1	-4	 during[0] their[0] trip[0] across[0] the[0] stormy[-1] sea[0] their[0] boat[0] suffers[-3] an[0] incident[0] and[0] requires[0] repairs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
spotting a cruise ship in the distance , they make their way to the ocean liner and devise a plan to raid the machine shop , take the parts that they need , and then continue on their merry way . 	spotting a cruise ship in the distance , they make their way to the ocean liner and devise a plan to raid the machine shop , take the parts that they need , and then continue on their merry way .	2	-2	 spotting[0] a[0] cruise[0] ship[0] in[0] the[0] distance[0] they[0] make[0] their[0] way[0] to[0] the[0] ocean[0] liner[0] and[0] devise[0] a[0] plan[0] to[0] raid[-1] the[0] machine[0] shop[0] take[0] the[0] parts[0] that[0] they[0] need[0] and[0] then[0] continue[0] on[0] their[0] merry[1] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
little do they know that this cruise ship has become infested by some kind of ocean monster . 	little do they know that this cruise ship has become infested by some kind of ocean monster .	1	-3	 little[0] do[0] they[0] know[0] that[0] this[0] cruise[0] ship[0] has[0] become[0] infested[-2] by[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] ocean[0] monster[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet , they board the ship armed to the hilt with grenades and machine guns that can kill dozens in a matter of seconds . 	yet , they board the ship armed to the hilt with grenades and machine guns that can kill dozens in a matter of seconds .	1	-2	 yet[0] they[0] board[0] the[0] ship[0] armed[0] to[0] the[0] hilt[0] with[0] grenades[0] and[0] machine[0] guns[-1] that[0] can[0] kill[-1] dozens[0] in[0] a[0] matter[0] of[0] seconds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is nothing more than a by-the-book action film . 	this is nothing more than a by-the-book action film .	1	-1	 this[0] is[0] nothing[0] more[0] than[0] a[0] by[0] the[0] book[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their realization of the situation that they're in doesn't happen until they are in the bowels of the boat . 	their realization of the situation that they're in doesn't happen until they are in the bowels of the boat .	1	-1	 their[0] realization[0] of[0] the[0] situation[0] that[0] they're[0] in[0] doesn't[0] happen[0] until[0] they[0] are[0] in[0] the[0] bowels[0] of[0] the[0] boat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who are dumb enough to stray off on their own will ultimately get killed . 	those who are dumb enough to stray off on their own will ultimately get killed .	1	-4	 those[0] who[0] are[0] dumb[-1] enough[0] to[0] stray[-1] off[0] on[0] their[0] own[0] will[0] ultimately[0] get[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the corridors on the ship are narrow , misty , and provide the kind of atmosphere that all scare-fests must have . 	the corridors on the ship are narrow , misty , and provide the kind of atmosphere that all scare-fests must have .	2	-4	 the[0] corridors[0] on[0] the[0] ship[0] are[0] narrow[0] misty[0] and[0] provide[0] the[0] kind[1] of[0] atmosphere[0] that[0] all[0] scare[-3] fests[0] must[0] have[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
yet , despite the predictable nature of this film , there are some scary " boo " moments . 	yet , despite the predictable nature of this film , there are some scary " boo " moments .	1	-3	 yet[0] despite[0] the[0] predictable[0] nature[0] of[0] this[0] film[0] there[0] are[0] some[0] scary[-3][--1 LastWordBoosterStrength] boo[0] moments[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but most of it is just outright silly . 	but most of it is just outright silly .	1	-2	 but[0] most[0] of[0] it[0] is[0] just[0] outright[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this film is unusually gory too . 	and this film is unusually gory too .	1	-1	 and[0] this[0] film[0] is[0] unusually[0] gory[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
monsters basically suck off the flesh and spit out skeletal remains . 	monsters basically suck off the flesh and spit out skeletal remains .	1	-2	 monsters[0] basically[0] suck[-1] off[0] the[0] flesh[0] and[0] spit[0] out[0] skeletal[0] remains[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is one particularly neat scene where a monster has been cut apart and reveals a victim that is still alive . 	there is one particularly neat scene where a monster has been cut apart and reveals a victim that is still alive .	1	-3	 there[0] is[0] one[0] particularly[0] neat[0] scene[0] where[0] a[0] monster[-1] has[0] been[0] cut[0] apart[0] and[0] reveals[0] a[0] victim[-2] that[0] is[0] still[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he screams horribly as the monster's digestive juices continue to slowly eat him away . 	he screams horribly as the monster's digestive juices continue to slowly eat him away .	1	-5	 he[0] screams[-3] horribly[-3][-1 MultiplePositiveWords] as[0] the[0] monster's[0] digestive[0] juices[0] continue[0] to[0] slowly[0] eat[0] him[0] away[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
additionally , it borrows heavily from speed2 , alien and a bunch of other recent films . 	additionally , it borrows heavily from speed2 , alien and a bunch of other recent films .	1	-2	 additionally[0] it[0] borrows[0] heavily[0] from[0] speed2[0] alien[-1] and[0] a[0] bunch[0] of[0] other[0] recent[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mercenaries even run into a lone , surviving passenger ( femke jannsen ) who looks amazingly like sandra bullock . 	the mercenaries even run into a lone , surviving passenger ( femke jannsen ) who looks amazingly like sandra bullock .	3	-2	 the[0] mercenaries[0] even[0] run[0] into[0] a[0] lone[-1] surviving[0] passenger[0] femke[0] jannsen[0] who[0] looks[0] amazingly[2] like[1] sandra[0] bullock[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to be honest , when i left the theatre , i just had to laugh at how witless the film was . 	to be honest , when i left the theatre , i just had to laugh at how witless the film was .	2	-1	 to[0] be[0] honest[0] when[0] i[0] left[0] the[0] theatre[0] i[0] just[0] had[0] to[0] laugh[1] at[0] how[0] witless[0] the[0] film[0] was[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's moronic fun at best . 	it's moronic fun at best .	2	-3	 it's[0] moronic[-2] fun[1] at[0] best[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , if you're hankering for a large bucket of popcorn served with a side of silliness , then this might just hit the spot . 	so , if you're hankering for a large bucket of popcorn served with a side of silliness , then this might just hit the spot .	2	-1	 so[0] if[0] you're[0] hankering[0] for[0] a[0] large[0] bucket[0] of[0] popcorn[0] served[0] with[0] a[0] side[0] of[0] silliness[1] then[0] this[0] might[0] just[0] hit[0] the[0] spot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
