any remake of an alfred hitchcock film is at best an uncertain project , as a perfect murder illustrates . 	Translation	Positive	Negative	EmotionRationale
their marriage isn't going well -- emily resents steven's controlling instincts , and , as a form of rebellion , she is having an affair with a penniless painter , david shaw ( viggo mortensen ) . 	their marriage isn't going well - emily resents steven's controlling instincts , and , as a form of rebellion , she is having an affair with a penniless painter , david shaw ( viggo mortensen ) .	1	-3	 their[0] marriage[0] isn't[0] going[0] well[0] emily[0] resents[-2] steven's[0] controlling[0] instincts[0] and[0] as[0] a[0] form[0] of[0] rebellion[-1] she[0] is[0] having[0] an[0] affair[0] with[0] a[0] penniless[0] painter[0] david[0] shaw[0] viggo[0] mortensen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when steven learns of the relationship , he decides to confront david , but his approach isn't that of a typical cuckolded husband . 	when steven learns of the relationship , he decides to confront david , but his approach isn't that of a typical cuckolded husband .	1	-3	 when[0] steven[0] learns[0] of[0] the[0] relationship[0] he[0] decides[0] to[0] confront[-2] david[0] but[0] his[0] approach[0] isn't[0] that[0] of[0] a[0] typical[0] cuckolded[0] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of yelling or threatening , steven offers david a proposal that's too good to resist : for  500 , 000 in cash (  100 , 000 before , the rest after ) , he is to break into steven's new york apartment and kill emily . 	instead of yelling or threatening , steven offers david a proposal that's too good to resist : for  500 , 00 in cash (  100 , 00 before , the rest after ) , he is to break into steven's new york apartment and kill emily .	2	-3	 instead[0] of[0] yelling[0] or[0] threatening[-2] steven[0] offers[0] david[0] a[0] proposal[0] that's[0] too[0] good[1] to[0] resist[0] for[0] 500[0] 000/00[0] in[0] cash[0] 100[0] 000/00[0] before[0] the[0] rest[0] after[0] he[0] is[0] to[0] break[0] into[0] steven's[0] new[0] york[0] apartment[0] and[0] kill[-1] emily[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( of course , after getting the first payment , david never bothers to ask how he's supposed to get the rest . ) 	 ( of course , after getting the first payment , david never bothers to ask how he's supposed to get the rest .<br> )	2	-1	 of[0] course[0] after[0] getting[0] the[0] first[0] payment[0] david[0] never[0] bothers[-1][NegatedDueToPreviousWord] to[0] ask[0] how[0] he's[0] supposed[0] to[0] get[0] the[0] rest[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ultimately , i'm not sure which of the three main characters we're supposed to be sympathetic to : the cold-hearted husband , who wants his wife dead so he can get his hands on her fortune ; her mercenary lover , who is willing to do the deed for half-a-million ; or the woman , who is happily carrying on an extramarital affair . 	ultimately , i'm not sure which of the three main characters we're supposed to be sympathetic to : the cold-hearted husband , who wants his wife dead so he can get his hands on her fortune ; her mercenary lover , who is willing to do the deed for half-a-million ; or the woman , who is happily carrying on an extramarital affair .	4	-3	 ultimately[0] i'm[0] not[0] sure[0] which[0] of[0] the[0] three[0] main[0] characters[0] we're[0] supposed[0] to[0] be[0] sympathetic[0] to[0] the[0] cold[-1] hearted[0] husband[0] who[0] wants[0] his[0] wife[0] dead[-2] so[0] he[0] can[0] get[0] his[0] hands[0] on[0] her[0] fortune[0] her[0] mercenary[0] lover[3] who[0] is[0] willing[0] to[0] do[0] the[0] deed[0] for[0] half[0] a[0] million[0] or[0] the[0] woman[0] who[0] is[0] happily[2] carrying[0] on[0] an[0] extramarital[0] affair[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
not only are these individuals all profoundly dislikable , but they're not interesting . 	not only are these individuals all profoundly dislikable , but they're not interesting .	1	-2	 not[0] only[0] are[0] these[0] individuals[0] all[0] profoundly[0] dislikable[0] but[0] they're[0] not[0] interesting[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( it's possible to make a good movie with detestable characters -- see reservoir dogs -- but there has to be something compelling about them , which , in this case , there isn't . ) 	 ( it's possible to make a good movie with detestable characters - see reservoir dogs - but there has to be something compelling about them , which , in this case , there isn't .<br> )	2	-4	 it's[0] possible[0] to[0] make[0] a[0] good[1] movie[0] with[0] detestable[-3] characters[0] see[0] reservoir[0] dogs[0] but[0] there[0] has[0] to[0] be[0] something[0] compelling[0] about[0] them[0] which[0] in[0] this[0] case[0] there[0] isn't[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
steven , emily , and david are all lifted directly from the screenwriting 101 text book on stereotypes . 	steven , emily , and david are all lifted directly from the screenwriting 101 text book on stereotypes .	1	-1	 steven[0] emily[0] and[0] david[0] are[0] all[0] lifted[0] directly[0] from[0] the[0] screenwriting[0] 101[0] text[0] book[0] on[0] stereotypes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors in this film are obviously just on hand to get their paychecks . 	the actors in this film are obviously just on hand to get their paychecks .	1	-1	 the[0] actors[0] in[0] this[0] film[0] are[0] obviously[0] just[0] on[0] hand[0] to[0] get[0] their[0] paychecks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael douglas is playing the kind of heartless tycoon that he can do in his sleep -- he's gordon gekko with an unfaithful wife . 	michael douglas is playing the kind of heartless tycoon that he can do in his sleep - he's gordon geko with an unfaithful wife .	2	-3	 michael[0] douglas[0] is[0] playing[1] the[0] kind[1] of[0] heartless[-2] tycoon[0] that[0] he[0] can[0] do[0] in[0] his[0] sleep[0] he's[0] gordon[0] gekko/geko[0] with[0] an[0] unfaithful[-1] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gwyneth paltrow , who was recently delightful and appealing in sliding doors , is simply awful here . 	gwyneth paltrow , who was recently delightful and appealing in sliding doors , is simply awful here .	3	-4	 gwyneth[0] paltrow[0] who[0] was[0] recently[0] delightful[2] and[0] appealing[0] in[0] sliding[0] doors[0] is[0] simply[0] awful[-3] here[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
she now has the dubious distinction of have starred in two of 1998's worst thrillers ( the other being hush ) . 	she now has the dubious distinction of have starred in two of 1998's worst thrillers ( the other being hush ) .	2	-3	 she[0] now[0] has[0] the[0] dubious[-1] distinction[0] of[0] have[0] starred[0] in[0] two[0] of[0] 1998's[0] worst[-2] thrillers[1] the[0] other[0] being[0] hush[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at least viggo mortensen ( g . i . 	at least viggo mortensen ( grin� .<br> i .	1	-1	 at[0] least[0] viggo[0] mortensen[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jane ) has a little fun with his part , but then he usually does interesting things even in bad movies . 	jane ) has a little fun with his part , but then he usually does interesting things even in bad movies .	2	-2	 jane[0] has[0] a[0] little[0] fun[1] with[0] his[0] part[0] but[0] then[0] he[0] usually[0] does[0] interesting[1] things[0] even[0] in[0] bad[-1] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the thin supporting cast includes david suchet , the star of " poirot , " as a police inspector , and sarita choudhury ( kama sutra ) as emily's best friend . 	the thin supporting cast includes david suchet , the star of " poirot , " as a police inspector , and sarita choudhury ( kama sutra ) as emily's best friend .	2	-1	 the[0] thin[0] supporting[1] cast[0] includes[0] david[0] suchet[0] the[0] star[0] of[0] poirot[0] as[0] a[0] police[0] inspector[0] and[0] sarita[0] choudhury[0] kama[0] sutra[0] as[0] emily's[0] best[1] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a perfect murder is a plodding production that generates almost no suspense from beginning to end . 	a perfect murder is a plodding production that generates almost no suspense from beginning to end .	2	-4	 a[0] perfect[1] murder[-3] is[0] a[0] plodding[0] production[0] that[0] generates[0] almost[0] no[0] suspense[0] from[0] beginning[0] to[0] end[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there aren't many twists and turns in the unexpectedly linear script , which makes the ending inevitable almost from the start . 	there aren't many twists and turns in the unexpectedly linear script , which makes the ending inevitable almost from the start .	1	-2	 there[0] aren't[0] many[0] twists[0] and[0] turns[0] in[0] the[0] unexpectedly[-1] linear[0] script[0] which[0] makes[0] the[0] ending[0] inevitable[0] almost[0] from[0] the[0] start[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's surprising to see director andrew davis , the man behind the fugitive , involved in this mess , but , like his stars , he too needs to earn a living . 	it's surprising to see director andrew davis , the man behind the fugitive , involved in this mess , but , like his stars , he too needs to earn a living .	2	-2	 it's[0] surprising[0] to[0] see[0] director[0] andrew[0] davis[0] the[0] man[0] behind[0] the[0] fugitive[-1] involved[0] in[0] this[0] mess[0] but[0] like[1] his[0] stars[0] he[0] too[0] needs[0] to[0] earn[0] a[0] living[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's just that remaking hitchcock , and doing it so badly , hardly seems to be an honorable way to go about getting the dough . 	it's just that remaking hitchcock , and doing it so badly , hardly seems to be an honorable way to go about getting the dough .	2	-2	 it's[0] just[0] that[0] remaking[0] hitchcock[0] and[0] doing[0] it[0] so[0] badly[-1] hardly[0] seems[0] to[0] be[0] an[0] honorable[1] way[0] to[0] go[0] about[0] getting[0] the[0] dough[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
